Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
26165;73,65;11378,76;41,833676;1555,475410;5,594580;27,448846;73,654009992352997;9,7702;272;70;60;18;20;300;800
26109;73,65;11378,76;41,833676;1555,475410;5,594580;27,448846;73,654009992352997;9,7702;272;70;60;15;20;300;800
26053;73,65;11378,76;41,833676;1555,475410;5,594580;27,448846;73,654009992352997;9,7702;272;70;60;12;20;300;800
25997;73,65;11378,76;41,833676;1555,475410;5,594580;27,448846;73,654009992352997;9,7702;272;70;60;9;20;300;800
27061;73,65;14747,30;60,193061;2015,658470;3,644008;22,800912;73,654008066071128;17,5049;245;70;60;18;20;500;800
27005;73,65;14747,30;60,193061;2015,658470;3,644008;22,800912;73,654008066071128;17,5049;245;70;60;15;20;500;800
26949;73,65;14747,30;60,193061;2015,658470;3,644008;22,800912;73,654008066071128;17,5049;245;70;60;12;20;500;800
26893;73,65;14747,30;60,193061;2015,658470;3,644008;22,800912;73,654008066071128;17,5049;245;70;60;9;20;500;800
22581;73,65;11233,12;47,800511;1514,897574;5,601967;26,932427;73,654006025700497;9,6776;235;70;60;18;20;300;700
22525;73,65;11233,12;47,800511;1514,897574;5,601967;26,932427;73,654006025700497;9,6776;235;70;60;15;20;300;700
22469;73,65;11233,12;47,800511;1514,897574;5,601967;26,932427;73,654006025700497;9,6776;235;70;60;12;20;300;700
22413;73,65;11233,12;47,800511;1514,897574;5,601967;26,932427;73,654006025700497;9,6776;235;70;60;9;20;300;700
23477;73,65;14669,46;68,870704;1978,016173;3,694780;22,749173;73,653985683320116;17,1967;213;70;60;18;20;500;700
23421;73,65;14669,46;68,870704;1978,016173;3,694780;22,749173;73,653985683320116;17,1967;213;70;60;15;20;500;700
23365;73,65;14669,46;68,870704;1978,016173;3,694780;22,749173;73,653985683320116;17,1967;213;70;60;12;20;500;700
23309;73,65;14669,46;68,870704;1978,016173;3,694780;22,749173;73,653985683320116;17,1967;213;70;60;9;20;500;700
18997;73,65;11269,60;55,790099;1566,222222;5,633589;27,024045;73,653951787358821;9,6039;202;70;60;18;20;300;600
18941;73,65;11269,60;55,790099;1566,222222;5,633589;27,024045;73,653951787358821;9,6039;202;70;60;15;20;300;600
18885;73,65;11269,60;55,790099;1566,222222;5,633589;27,024045;73,653951787358821;9,6039;202;70;60;12;20;300;600
18829;73,65;11269,60;55,790099;1566,222222;5,633589;27,024045;73,653951787358821;9,6039;202;70;60;9;20;300;600
27957;73,65;17189,00;72,527426;2349,224044;2,361438;16,292891;73,653925108099344;33,2267;237;70;60;18;20;700;800
27901;73,65;17189,00;72,527426;2349,224044;2,361438;16,292891;73,653925108099344;33,2267;237;70;60;15;20;700;800
27845;73,65;17189,00;72,527426;2349,224044;2,361438;16,292891;73,653925108099344;33,2267;237;70;60;12;20;700;800
27789;73,65;17189,00;72,527426;2349,224044;2,361438;16,292891;73,653925108099344;33,2267;237;70;60;9;20;700;800
26221;73,65;6990,96;36,035876;956,049180;4,270201;32,558035;73,653899545847295;9,9059;194;70;60;9;30;300;800
27117;73,65;12079,04;62,263093;1651,142077;3,391693;26,887936;73,653899538530808;17,2613;194;70;60;9;30;500;800
28013;73,65;15176,49;78,229330;2074,290984;2,250042;18,038917;73,653881969425328;33,2214;194;70;60;9;30;700;800
24373;73,65;17124,01;83,126262;2308,818059;2,293307;16,068736;73,653868490411398;34,2617;206;70;60;18;20;700;700
24317;73,65;17124,01;83,126262;2308,818059;2,293307;16,068736;73,653868490411398;34,2617;206;70;60;15;20;700;700
24261;73,65;17124,01;83,126262;2308,818059;2,293307;16,068736;73,653868490411398;34,2617;206;70;60;12;20;700;700
24205;73,65;17124,01;83,126262;2308,818059;2,293307;16,068736;73,653868490411398;34,2617;206;70;60;9;20;700;700
19893;73,65;14997,90;81,510326;2084,041667;3,753341;22,898254;73,653763921933574;17,0530;184;70;60;18;20;500;600
