Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;53,70;-185,20;0,00;0,00;0,00;-0,19;0,00;0,00;123;37;181;24;16;525;131
2;76,76;-57,23;0,00;0,00;0,00;-0,06;0,00;0,00;474;159;111;20;39;645;272
3;47,63;-245,99;0,00;0,00;0,00;-0,25;0,00;0,00;188;162;185;13;24;818;483
4;28,91;-418,73;0,00;0,00;0,00;-0,42;0,00;0,00;350;145;113;48;34;622;693
5;31,42;-385,91;0,00;0,00;0,00;-0,39;0,00;0,00;235;163;62;40;28;417;198
6;77,43;191,97;0,00;0,00;0,00;0,19;0,00;0,00;197;181;130;32;17;879;183
7;88,44;206,41;0,00;0,00;0,00;0,21;0,00;0,00;186;42;135;13;34;797;138
8;83,72;113,24;0,00;0,00;0,00;0,11;0,00;0,00;129;28;133;46;30;332;408
9;86,03;122,55;0,00;0,00;0,00;0,12;0,00;0,00;398;46;151;31;17;685;424
10;55,33;-137,06;0,00;0,00;0,00;-0,14;0,00;0,00;80;134;107;12;22;854;332
11;29,40;-389,99;0,00;0,00;0,00;-0,39;0,00;0,00;105;28;89;33;39;423;165
12;45,16;-290,14;0,00;0,00;0,00;-0,29;0,00;0,00;215;151;13;15;35;124;871
13;60,17;-151,47;0,00;0,00;0,00;-0,15;0,00;0,00;311;85;136;39;20;821;397
14;51,81;-147,50;0,00;0,00;0,00;-0,15;0,00;0,00;184;89;157;26;24;384;380
15;73,18;29,59;0,00;0,00;0,00;0,03;0,00;0,00;497;13;190;48;15;385;548
16;20,52;-502,27;0,00;0,00;0,00;-0,50;0,00;0,00;424;113;156;48;31;796;179
17;22,73;-441,58;0,00;0,00;0,00;-0,44;0,00;0,00;116;103;95;35;27;895;794
18;48,04;-234,92;0,00;0,00;0,00;-0,23;0,00;0,00;277;150;128;29;20;701;788
19;53,05;-140,42;0,00;0,00;0,00;-0,14;0,00;0,00;434;58;73;47;31;518;225
20;66,58;-21,56;0,00;0,00;0,00;-0,02;0,00;0,00;439;121;61;29;16;750;171
21;73,53;70,98;0,00;0,00;0,00;0,07;0,00;0,00;115;153;67;17;18;324;153
22;57,58;-112,01;0,00;0,00;0,00;-0,11;0,00;0,00;335;186;146;30;21;507;893
23;90,88;226,47;0,00;0,00;0,00;0,23;0,00;0,00;163;100;151;39;23;163;787
24;70,46;54,01;0,00;0,00;0,00;0,05;0,00;0,00;457;96;36;44;23;764;474
25;61,37;-94,34;0,00;0,00;0,00;-0,09;0,00;0,00;343;34;103;23;36;639;826
26;59,66;-92,11;0,00;0,00;0,00;-0,09;0,00;0,00;32;134;14;25;34;549;328
27;66,53;-19,23;0,00;0,00;0,00;-0,02;0,00;0,00;200;30;142;37;26;513;541
28;42,13;-263,23;0,00;0,00;0,00;-0,26;0,00;0,00;415;98;65;13;29;166;425
29;38,89;-295,44;0,00;0,00;0,00;-0,30;0,00;0,00;496;63;194;26;29;554;716
30;65,38;-48,29;0,00;0,00;0,00;-0,05;0,00;0,00;129;57;167;47;29;269;648
31;93,22;209,56;0,00;0,00;0,00;0,21;0,00;0,00;18;40;79;39;27;633;109
32;71,26;20,20;0,00;0,00;0,00;0,02;0,00;0,00;72;197;26;18;21;235;974
33;39,71;-386,04;0,00;0,00;0,00;-0,39;0,00;0,00;185;135;143;17;34;868;582
34;28,44;-398,47;0,00;0,00;0,00;-0,40;0,00;0,00;108;70;39;43;39;347;851
35;46,04;-197,35;0,00;0,00;0,00;-0,20;0,00;0,00;260;95;45;15;17;737;418
36;29,13;-465,52;0,00;0,00;0,00;-0,47;0,00;0,00;34;80;116;22;23;817;422
37;66,92;-80,79;0,00;0,00;0,00;-0,08;0,00;0,00;424;117;173;23;37;718;703
38;66,95;-47,01;0,00;0,00;0,00;-0,05;0,00;0,00;443;129;108;15;16;411;662
39;30,19;-339,18;0,00;0,00;0,00;-0,34;0,00;0,00;211;182;108;30;31;429;198
40;25,15;-372,90;0,00;0,00;0,00;-0,37;0,00;0,00;273;81;154;21;21;781;998
41;37,82;-396,58;0,00;0,00;0,00;-0,40;0,00;0,00;62;57;18;17;37;632;515
42;37,91;-404,48;0,00;0,00;0,00;-0,40;0,00;0,00;498;119;36;26;34;798;594
43;53,04;-174,81;0,00;0,00;0,00;-0,17;0,00;0,00;377;25;53;33;30;697;637
44;26,25;-362,45;0,00;0,00;0,00;-0,36;0,00;0,00;99;179;155;24;38;813;396
45;57,11;-21,67;0,00;0,00;0,00;-0,02;0,00;0,00;372;150;164;13;24;730;805
46;58,01;-73,65;0,00;0,00;0,00;-0,07;0,00;0,00;213;139;138;25;21;739;420
47;69,65;60,33;0,00;0,00;0,00;0,06;0,00;0,00;72;87;150;43;19;230;144
48;32,70;-374,79;0,00;0,00;0,00;-0,37;0,00;0,00;44;77;104;45;21;828;592
49;36,33;-306,44;0,00;0,00;0,00;-0,31;0,00;0,00;294;180;25;16;19;915;958
50;63,98;-69,05;0,00;0,00;0,00;-0,07;0,00;0,00;160;100;73;49;27;931;925
51;44,66;-175,23;0,00;0,00;0,00;-0,18;0,00;0,00;197;120;196;32;34;550;147
52;75,26;103,25;0,00;0,00;0,00;0,10;0,00;0,00;310;35;150;39;19;702;770
53;93,06;184,92;0,00;0,00;0,00;0,18;0,00;0,00;196;119;15;15;21;325;711
54;37,32;-295,67;0,00;0,00;0,00;-0,30;0,00;0,00;149;157;97;15;34;959;459
55;33,51;-332,95;0,00;0,00;0,00;-0,33;0,00;0,00;50;171;170;36;35;665;550
56;72,21;-59,40;0,00;0,00;0,00;-0,06;0,00;0,00;98;151;105;26;26;361;215
57;29,54;-313,61;0,00;0,00;0,00;-0,31;0,00;0,00;52;18;56;17;27;932;854
58;16,60;-534,86;0,00;0,00;0,00;-0,53;0,00;0,00;13;63;51;18;19;464;291
59;40,77;-236,95;0,00;0,00;0,00;-0,24;0,00;0,00;277;87;119;30;30;174;136
60;49,63;-224,25;0,00;0,00;0,00;-0,22;0,00;0,00;20;105;19;43;19;355;605
