Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;37,80;-301,59;0,00;0,00;0,00;-0,30;0,00;0,00;167;140;81;44;17;705;176
2;40,70;-401,20;0,00;0,00;0,00;-0,40;0,00;0,00;480;16;151;17;36;686;828
3;18,13;-485,58;0,00;0,00;0,00;-0,49;0,00;0,00;280;180;51;29;18;720;386
4;65,60;-128,55;0,00;0,00;0,00;-0,13;0,00;0,00;160;131;38;46;16;367;374
5;31,20;-426,57;0,00;0,00;0,00;-0,43;0,00;0,00;17;73;30;17;22;506;767
6;42,79;-208,49;0,00;0,00;0,00;-0,21;0,00;0,00;323;51;174;28;16;169;468
7;63,70;-37,14;0,00;0,00;0,00;-0,04;0,00;0,00;273;178;179;40;35;318;875
8;57,69;-162,10;0,00;0,00;0,00;-0,16;0,00;0,00;29;55;150;45;33;669;928
9;65,38;44,12;0,00;0,00;0,00;0,04;0,00;0,00;56;102;44;45;31;564;407
10;54,41;-185,00;0,00;0,00;0,00;-0,18;0,00;0,00;347;192;83;49;33;948;183
11;45,81;-235,35;0,00;0,00;0,00;-0,24;0,00;0,00;411;157;72;30;30;889;394
12;57,97;-79,10;0,00;0,00;0,00;-0,08;0,00;0,00;262;159;120;35;36;597;985
13;14,27;-569,06;0,00;0,00;0,00;-0,57;0,00;0,00;136;63;61;24;24;775;998
14;44,48;-389,52;0,00;0,00;0,00;-0,39;0,00;0,00;18;170;194;29;30;890;525
15;6,18;-589,70;0,00;0,00;0,00;-0,59;0,00;0,00;466;182;160;12;25;960;541
16;76,84;35,31;0,00;0,00;0,00;0,04;0,00;0,00;342;168;161;41;36;606;633
17;39,55;-346,11;0,00;0,00;0,00;-0,35;0,00;0,00;99;74;172;26;18;561;522
18;89,87;82,27;0,00;0,00;0,00;0,08;0,00;0,00;90;176;43;45;15;982;614
