Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;40,91;-55,22;0,00;0,00;0,00;-0,06;0,00;0,00;401;150;98;38;19;872;349
2;61,62;176,52;0,00;0,00;0,00;0,18;0,00;0,00;241;54;118;42;29;904;851
3;65,36;177,47;0,00;0,00;0,00;0,18;0,00;0,00;104;193;135;38;35;556;207
4;60,06;160,93;0,00;0,00;0,00;0,16;0,00;0,00;190;130;155;25;17;304;999
5;61,80;82,53;0,00;0,00;0,00;0,08;0,00;0,00;142;187;108;41;33;493;622
6;61,09;106,86;0,00;0,00;0,00;0,11;0,00;0,00;253;102;71;49;37;136;976
7;49,59;-34,85;0,00;0,00;0,00;-0,03;0,00;0,00;465;124;19;16;33;683;797
8;59,55;95,02;0,00;0,00;0,00;0,10;0,00;0,00;444;87;69;19;39;862;898
9;19,63;-310,86;0,00;0,00;0,00;-0,31;0,00;0,00;332;68;116;33;25;762;340
10;50,18;81,25;0,00;0,00;0,00;0,08;0,00;0,00;427;162;75;49;23;792;965
11;57,34;180,59;0,00;0,00;0,00;0,18;0,00;0,00;218;147;16;39;17;990;977
12;53,21;7,73;0,00;0,00;0,00;0,01;0,00;0,00;93;163;12;32;20;981;795
13;52,29;-20,61;0,00;0,00;0,00;-0,02;0,00;0,00;85;155;83;41;34;989;624
14;23,47;-236,36;0,00;0,00;0,00;-0,24;0,00;0,00;284;106;68;38;32;895;407
15;58,82;79,09;0,00;0,00;0,00;0,08;0,00;0,00;394;60;66;13;17;714;950
16;52,03;78,81;0,00;0,00;0,00;0,08;0,00;0,00;87;54;194;17;33;918;987
17;26,71;-225,49;0,00;0,00;0,00;-0,23;0,00;0,00;264;163;189;39;24;224;123
18;70,48;227,63;0,00;0,00;0,00;0,23;0,00;0,00;326;185;191;43;35;479;850
19;28,28;-225,91;0,00;0,00;0,00;-0,23;0,00;0,00;464;98;136;42;22;363;920
20;59,29;35,68;0,00;0,00;0,00;0,04;0,00;0,00;124;180;107;18;28;396;447
21;75,98;257,08;0,00;0,00;0,00;0,26;0,00;0,00;179;126;129;21;29;516;637
22;42,42;-62,10;0,00;0,00;0,00;-0,06;0,00;0,00;291;144;143;20;37;697;951
23;47,85;-135,18;0,00;0,00;0,00;-0,14;0,00;0,00;169;92;92;20;18;928;737
24;41,53;-75,41;0,00;0,00;0,00;-0,08;0,00;0,00;159;104;134;16;16;852;290
25;46,17;88,25;0,00;0,00;0,00;0,09;0,00;0,00;141;92;50;10;16;165;272
26;48,00;-24,19;0,00;0,00;0,00;-0,02;0,00;0,00;297;184;129;33;26;453;452
27;32,95;-157,14;0,00;0,00;0,00;-0,16;0,00;0,00;297;115;191;33;18;986;307
28;46,48;-5,94;0,00;0,00;0,00;-0,01;0,00;0,00;370;13;154;11;23;747;162
29;52,00;-26,92;0,00;0,00;0,00;-0,03;0,00;0,00;55;87;172;33;20;582;343
30;34,53;-157,81;0,00;0,00;0,00;-0,16;0,00;0,00;199;72;193;41;23;350;790
31;52,00;37,09;0,00;0,00;0,00;0,04;0,00;0,00;437;78;143;33;15;199;988
32;31,93;-216,59;0,00;0,00;0,00;-0,22;0,00;0,00;338;147;45;42;34;781;432
33;49,60;32,41;0,00;0,00;0,00;0,03;0,00;0,00;495;52;77;31;37;222;215
34;33,56;-78,48;0,00;0,00;0,00;-0,08;0,00;0,00;206;112;198;13;24;547;233
35;36,81;-118,42;0,00;0,00;0,00;-0,12;0,00;0,00;143;165;184;14;32;307;808
36;58,76;30,17;0,00;0,00;0,00;0,03;0,00;0,00;414;71;115;30;17;384;888
37;42,43;-55,95;0,00;0,00;0,00;-0,06;0,00;0,00;347;180;129;38;34;661;192
38;56,23;66,62;0,00;0,00;0,00;0,07;0,00;0,00;353;154;119;21;23;995;955
39;100,00;490,58;0,00;0,00;0,00;0,49;0,00;0,00;485;146;46;45;20;260;861
40;56,61;107,98;0,00;0,00;0,00;0,11;0,00;0,00;325;27;199;48;34;789;634
41;43,16;-43,16;0,00;0,00;0,00;-0,04;0,00;0,00;221;32;40;28;29;230;716
42;43,92;-61,52;0,00;0,00;0,00;-0,06;0,00;0,00;57;14;54;11;18;381;314
43;50,16;-78,42;0,00;0,00;0,00;-0,08;0,00;0,00;412;181;194;23;28;950;468
44;67,93;147,72;0,00;0,00;0,00;0,15;0,00;0,00;446;47;187;32;33;846;657
45;40,27;-67,52;0,00;0,00;0,00;-0,07;0,00;0,00;186;64;151;44;27;529;191
46;50,94;42,02;0,00;0,00;0,00;0,04;0,00;0,00;10;115;63;37;34;555;583
47;75,04;317,94;0,00;0,00;0,00;0,32;0,00;0,00;56;79;182;45;18;705;798
48;46,37;-119,06;0,00;0,00;0,00;-0,12;0,00;0,00;462;14;24;27;35;391;136
49;32,69;-157,66;0,00;0,00;0,00;-0,16;0,00;0,00;391;54;29;36;28;679;584
50;21,44;-316,43;0,00;0,00;0,00;-0,32;0,00;0,00;97;148;123;26;30;797;642
