Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;100,00;308,82;0,00;0,00;0,00;0,31;0,00;0,00;342;37;181;24;16;525;131
2;31,71;-441,53;0,00;0,00;0,00;-0,44;0,00;0,00;468;159;111;20;39;645;272
3;0,00;-731,78;0,00;0,00;0,00;-0,73;0,00;0,00;395;162;185;13;24;818;483
4;24,60;-402,52;0,00;0,00;0,00;-0,40;0,00;0,00;199;145;113;48;34;622;693
5;31,19;-326,28;0,00;0,00;0,00;-0,33;0,00;0,00;473;163;62;40;28;417;198
6;55,13;-150,74;0,00;0,00;0,00;-0,15;0,00;0,00;378;181;130;32;17;879;183
7;74,32;33,68;0,00;0,00;0,00;0,03;0,00;0,00;464;42;135;13;34;797;138
8;72,97;61,13;0,00;0,00;0,00;0,06;0,00;0,00;281;28;133;46;30;332;408
9;82,49;65,09;0,00;0,00;0,00;0,07;0,00;0,00;407;46;151;31;17;685;424
10;22,43;-477,04;0,00;0,00;0,00;-0,48;0,00;0,00;225;134;107;12;22;854;332
11;13,43;-465,66;0,00;0,00;0,00;-0,47;0,00;0,00;232;28;89;33;39;423;165
12;53,16;-185,40;0,00;0,00;0,00;-0,19;0,00;0,00;481;151;13;15;35;124;871
13;30,36;-419,21;0,00;0,00;0,00;-0,42;0,00;0,00;144;85;136;39;20;821;397
14;42,26;-186,58;0,00;0,00;0,00;-0,19;0,00;0,00;14;89;157;26;24;384;380
15;76,90;86,36;0,00;0,00;0,00;0,09;0,00;0,00;70;13;190;48;15;385;548
16;54,84;-202,86;0,00;0,00;0,00;-0,20;0,00;0,00;10;113;156;48;31;796;179
17;18,33;-493,80;0,00;0,00;0,00;-0,49;0,00;0,00;89;103;95;35;27;895;794
18;50,60;-182,01;0,00;0,00;0,00;-0,18;0,00;0,00;246;150;128;29;20;701;788
19;47,86;-209,62;0,00;0,00;0,00;-0,21;0,00;0,00;32;58;73;47;31;518;225
20;36,98;-361,43;0,00;0,00;0,00;-0,36;0,00;0,00;119;121;61;29;16;750;171
21;86,92;128,68;0,00;0,00;0,00;0,13;0,00;0,00;54;153;67;17;18;324;153
22;57,69;-96,25;0,00;0,00;0,00;-0,10;0,00;0,00;65;186;146;30;21;507;893
23;49,32;-268,46;0,00;0,00;0,00;-0,27;0,00;0,00;488;100;151;39;23;163;787
24;76,37;38,80;0,00;0,00;0,00;0,04;0,00;0,00;435;96;36;44;23;764;474
25;44,71;-293,88;0,00;0,00;0,00;-0,29;0,00;0,00;470;34;103;23;36;639;826
26;79,12;136,03;0,00;0,00;0,00;0,14;0,00;0,00;94;134;14;25;34;549;328
27;95,49;322,97;0,00;0,00;0,00;0,32;0,00;0,00;105;30;142;37;26;513;541
28;50,94;-202,64;0,00;0,00;0,00;-0,20;0,00;0,00;363;98;65;13;29;166;425
29;42,36;-236,19;0,00;0,00;0,00;-0,24;0,00;0,00;248;63;194;26;29;554;716
30;74,57;68,72;0,00;0,00;0,00;0,07;0,00;0,00;443;57;167;47;29;269;648
31;36,20;-272,78;0,00;0,00;0,00;-0,27;0,00;0,00;122;40;79;39;27;633;109
32;51,14;-181,98;0,00;0,00;0,00;-0,18;0,00;0,00;240;197;26;18;21;235;974
33;67,13;-64,89;0,00;0,00;0,00;-0,06;0,00;0,00;208;135;143;17;34;868;582
34;12,02;-585,71;0,00;0,00;0,00;-0,59;0,00;0,00;311;70;39;43;39;347;851
35;59,59;-59,61;0,00;0,00;0,00;-0,06;0,00;0,00;124;95;45;15;17;737;418
36;34,16;-342,35;0,00;0,00;0,00;-0,34;0,00;0,00;182;80;116;22;23;817;422
37;67,59;-55,89;0,00;0,00;0,00;-0,06;0,00;0,00;165;117;173;23;37;718;703
38;42,64;-187,24;0,00;0,00;0,00;-0,19;0,00;0,00;412;129;108;15;16;411;662
39;35,89;-327,49;0,00;0,00;0,00;-0,33;0,00;0,00;452;182;108;30;31;429;198
40;0,00;-663,88;0,00;0,00;0,00;-0,66;0,00;0,00;311;81;154;21;21;781;998
41;17,08;-517,26;0,00;0,00;0,00;-0,52;0,00;0,00;125;57;18;17;37;632;515
42;21,41;-457,32;0,00;0,00;0,00;-0,46;0,00;0,00;399;119;36;26;34;798;594
43;17,54;-517,72;0,00;0,00;0,00;-0,52;0,00;0,00;419;25;53;33;30;697;637
44;0,00;-707,42;0,00;0,00;0,00;-0,71;0,00;0,00;46;179;155;24;38;813;396
45;46,92;-267,36;0,00;0,00;0,00;-0,27;0,00;0,00;210;150;164;13;24;730;805
46;46,09;-208,90;0,00;0,00;0,00;-0,21;0,00;0,00;266;139;138;25;21;739;420
47;65,20;-115,74;0,00;0,00;0,00;-0,12;0,00;0,00;420;87;150;43;19;230;144
48;59,44;-127,56;0,00;0,00;0,00;-0,13;0,00;0,00;482;77;104;45;21;828;592
49;42,58;-223,12;0,00;0,00;0,00;-0,22;0,00;0,00;350;180;25;16;19;915;958
50;35,51;-284,22;0,00;0,00;0,00;-0,28;0,00;0,00;160;100;73;49;27;931;925
51;0,00;-636,96;0,00;0,00;0,00;-0,64;0,00;0,00;368;120;196;32;34;550;147
52;36,32;-310,00;0,00;0,00;0,00;-0,31;0,00;0,00;223;35;150;39;19;702;770
53;51,47;-126,38;0,00;0,00;0,00;-0,13;0,00;0,00;437;119;15;15;21;325;711
54;52,21;-224,96;0,00;0,00;0,00;-0,22;0,00;0,00;106;157;97;15;34;959;459
55;13,13;-598,23;0,00;0,00;0,00;-0,60;0,00;0,00;53;171;170;36;35;665;550
56;59,32;-79,07;0,00;0,00;0,00;-0,08;0,00;0,00;185;151;105;26;26;361;215
57;68,59;-29,97;0,00;0,00;0,00;-0,03;0,00;0,00;312;18;56;17;27;932;854
58;33,82;-335,86;0,00;0,00;0,00;-0,34;0,00;0,00;358;63;51;18;19;464;291
59;0,00;-761,58;0,00;0,00;0,00;-0,76;0,00;0,00;183;87;119;30;30;174;136
60;79,91;173,45;0,00;0,00;0,00;0,17;0,00;0,00;108;105;19;43;19;355;605
61;0,00;-698,50;0,00;0,00;0,00;-0,70;0,00;0,00;35;167;147;48;30;152;159
62;37,41;-263,47;0,00;0,00;0,00;-0,26;0,00;0,00;287;188;87;33;15;541;112
63;64,16;-103,80;0,00;0,00;0,00;-0,10;0,00;0,00;233;84;150;33;21;588;834
64;68,49;-51,54;0,00;0,00;0,00;-0,05;0,00;0,00;74;171;198;29;18;843;924
65;8,29;-653,70;0,00;0,00;0,00;-0,65;0,00;0,00;204;38;166;37;31;294;488
66;0,00;-698,02;0,00;0,00;0,00;-0,70;0,00;0,00;470;179;144;27;17;901;444
67;18,93;-485,74;0,00;0,00;0,00;-0,49;0,00;0,00;219;188;166;13;32;993;881
68;31,88;-344,56;0,00;0,00;0,00;-0,34;0,00;0,00;492;32;191;43;39;182;924
69;83,29;124,53;0,00;0,00;0,00;0,12;0,00;0,00;143;144;164;20;30;638;142
70;84,39;174,23;0,00;0,00;0,00;0,17;0,00;0,00;218;137;127;45;30;807;377
71;48,34;-164,00;0,00;0,00;0,00;-0,16;0,00;0,00;336;118;160;44;15;658;945
72;29,38;-513,05;0,00;0,00;0,00;-0,51;0,00;0,00;499;181;78;46;25;681;751
73;54,39;-118,51;0,00;0,00;0,00;-0,12;0,00;0,00;378;18;19;47;25;435;741
74;83,51;99,32;0,00;0,00;0,00;0,10;0,00;0,00;361;92;144;11;25;491;672
75;29,11;-402,55;0,00;0,00;0,00;-0,40;0,00;0,00;159;18;196;40;19;580;304
76;27,64;-515,35;0,00;0,00;0,00;-0,52;0,00;0,00;35;143;130;10;36;602;491
77;23,72;-479,61;0,00;0,00;0,00;-0,48;0,00;0,00;64;165;141;21;17;607;732
78;43,14;-306,66;0,00;0,00;0,00;-0,31;0,00;0,00;161;194;172;48;22;803;503
79;90,44;198,44;0,00;0,00;0,00;0,20;0,00;0,00;129;195;30;34;20;857;604
80;66,84;27,31;0,00;0,00;0,00;0,03;0,00;0,00;208;69;135;45;30;459;798
81;55,53;-155,10;0,00;0,00;0,00;-0,16;0,00;0,00;53;120;92;38;31;834;922
82;43,58;-288,37;0,00;0,00;0,00;-0,29;0,00;0,00;279;158;124;41;23;862;739
83;52,12;-272,81;0,00;0,00;0,00;-0,27;0,00;0,00;19;174;26;15;28;786;617
84;65,62;-13,77;0,00;0,00;0,00;-0,01;0,00;0,00;477;82;135;35;35;291;467
85;83,40;131,67;0,00;0,00;0,00;0,13;0,00;0,00;282;92;44;43;38;797;181
86;43,25;-212,95;0,00;0,00;0,00;-0,21;0,00;0,00;316;170;196;13;34;121;746
87;69,01;34,60;0,00;0,00;0,00;0,03;0,00;0,00;478;63;22;16;37;477;472
88;45,19;-218,91;0,00;0,00;0,00;-0,22;0,00;0,00;209;80;187;13;38;189;798
89;33,50;-351,45;0,00;0,00;0,00;-0,35;0,00;0,00;465;97;87;24;28;535;541
90;12,96;-573,87;0,00;0,00;0,00;-0,57;0,00;0,00;220;21;168;47;36;453;923
91;63,31;-78,78;0,00;0,00;0,00;-0,08;0,00;0,00;484;95;110;46;32;989;390
92;96,77;249,34;0,00;0,00;0,00;0,25;0,00;0,00;83;199;86;12;26;112;297
93;54,72;-73,62;0,00;0,00;0,00;-0,07;0,00;0,00;232;182;10;28;30;710;965
94;36,17;-455,13;0,00;0,00;0,00;-0,46;0,00;0,00;150;143;186;29;28;734;253
95;61,76;-68,62;0,00;0,00;0,00;-0,07;0,00;0,00;209;163;140;42;34;403;627
96;64,05;-19,64;0,00;0,00;0,00;-0,02;0,00;0,00;363;136;179;35;23;865;553
97;91,46;233,25;0,00;0,00;0,00;0,23;0,00;0,00;138;74;197;39;19;729;633
98;24,85;-399,49;0,00;0,00;0,00;-0,40;0,00;0,00;367;136;134;45;33;480;176
99;17,25;-511,95;0,00;0,00;0,00;-0,51;0,00;0,00;109;85;53;22;33;154;655
100;25,14;-459,55;0,00;0,00;0,00;-0,46;0,00;0,00;149;133;168;43;37;760;198
101;72,47;-33,82;0,00;0,00;0,00;-0,03;0,00;0,00;192;83;140;10;20;951;747
102;23,88;-444,98;0,00;0,00;0,00;-0,44;0,00;0,00;129;167;97;24;39;516;247
103;78,79;69,51;0,00;0,00;0,00;0,07;0,00;0,00;207;181;133;33;35;759;407
104;53,77;-313,37;0,00;0,00;0,00;-0,31;0,00;0,00;449;20;156;20;19;736;125
105;59,60;-56,40;0,00;0,00;0,00;-0,06;0,00;0,00;262;156;107;26;37;252;158
106;50,18;-199,94;0,00;0,00;0,00;-0,20;0,00;0,00;136;111;10;32;18;202;633
107;62,37;-3,12;0,00;0,00;0,00;-0,00;0,00;0,00;35;114;161;43;37;271;330
108;26,45;-497,06;0,00;0,00;0,00;-0,50;0,00;0,00;110;36;128;28;15;758;376
109;71,88;-23,62;0,00;0,00;0,00;-0,02;0,00;0,00;70;173;148;19;18;803;733
110;85,62;279,17;0,00;0,00;0,00;0,28;0,00;0,00;497;103;193;36;37;271;996
111;0,00;-641,17;0,00;0,00;0,00;-0,64;0,00;0,00;109;177;23;16;29;377;565
112;62,64;-95,54;0,00;0,00;0,00;-0,10;0,00;0,00;390;145;41;15;37;978;737
113;13,20;-672,42;0,00;0,00;0,00;-0,67;0,00;0,00;437;188;144;38;28;230;119
114;19,75;-496,07;0,00;0,00;0,00;-0,50;0,00;0,00;427;54;131;40;24;922;562
115;75,28;-56,69;0,00;0,00;0,00;-0,06;0,00;0,00;391;187;103;35;15;913;336
116;74,76;9,35;0,00;0,00;0,00;0,01;0,00;0,00;143;179;110;37;34;206;411
117;51,77;-133,66;0,00;0,00;0,00;-0,13;0,00;0,00;285;77;19;49;23;996;207
118;46,44;-255,27;0,00;0,00;0,00;-0,26;0,00;0,00;177;19;41;25;37;499;385
119;62,29;-36,12;0,00;0,00;0,00;-0,04;0,00;0,00;454;111;57;15;15;503;198
120;64,08;-104,99;0,00;0,00;0,00;-0,10;0,00;0,00;300;156;194;21;38;896;204
121;6,63;-676,82;0,00;0,00;0,00;-0,68;0,00;0,00;197;16;73;42;25;958;584
122;48,26;-136,90;0,00;0,00;0,00;-0,14;0,00;0,00;464;19;108;13;22;244;470
123;49,90;-219,51;0,00;0,00;0,00;-0,22;0,00;0,00;343;21;77;31;37;628;392
124;75,17;-6,25;0,00;0,00;0,00;-0,01;0,00;0,00;360;183;154;14;37;672;494
125;70,54;34,25;0,00;0,00;0,00;0,03;0,00;0,00;395;30;50;12;33;324;667
126;56,19;-105,07;0,00;0,00;0,00;-0,11;0,00;0,00;298;20;115;43;23;792;318
127;39,62;-293,80;0,00;0,00;0,00;-0,29;0,00;0,00;412;199;110;27;27;844;690
128;2,65;-585,64;0,00;0,00;0,00;-0,59;0,00;0,00;433;187;106;49;33;306;809
129;59,80;-51,81;0,00;0,00;0,00;-0,05;0,00;0,00;475;187;113;18;25;312;194
130;39,17;-314,81;0,00;0,00;0,00;-0,31;0,00;0,00;170;76;125;41;25;829;408
131;84,62;93,23;0,00;0,00;0,00;0,09;0,00;0,00;386;95;42;17;39;608;520
132;16,00;-529,28;0,00;0,00;0,00;-0,53;0,00;0,00;80;153;151;20;17;131;586
133;17,77;-515,45;0,00;0,00;0,00;-0,52;0,00;0,00;251;131;167;37;24;488;147
134;85,65;123,43;0,00;0,00;0,00;0,12;0,00;0,00;439;105;147;13;20;876;957
135;63,23;-50,60;0,00;0,00;0,00;-0,05;0,00;0,00;244;176;83;27;32;989;622
136;57,17;-32,63;0,00;0,00;0,00;-0,03;0,00;0,00;239;101;125;34;18;841;429
137;50,12;-185,91;0,00;0,00;0,00;-0,19;0,00;0,00;441;114;101;43;26;708;941
138;83,05;178,10;0,00;0,00;0,00;0,18;0,00;0,00;284;190;98;48;21;617;126
139;84,50;155,61;0,00;0,00;0,00;0,16;0,00;0,00;281;153;187;48;36;452;829
140;58,33;-111,11;0,00;0,00;0,00;-0,11;0,00;0,00;260;199;194;32;39;376;939
141;62,67;-75,09;0,00;0,00;0,00;-0,08;0,00;0,00;189;90;47;20;19;749;234
142;66,41;-53,29;0,00;0,00;0,00;-0,05;0,00;0,00;57;113;187;23;23;395;976
143;40,30;-435,75;0,00;0,00;0,00;-0,44;0,00;0,00;485;68;15;31;27;972;641
144;38,16;-233,47;0,00;0,00;0,00;-0,23;0,00;0,00;217;81;162;45;29;404;977
145;50,60;-196,55;0,00;0,00;0,00;-0,20;0,00;0,00;141;135;122;48;36;790;684
146;90,05;159,39;0,00;0,00;0,00;0,16;0,00;0,00;243;19;30;20;30;193;929
147;62,85;-31,62;0,00;0,00;0,00;-0,03;0,00;0,00;162;99;125;47;35;587;552
148;14,20;-576,20;0,00;0,00;0,00;-0,58;0,00;0,00;431;133;12;19;37;474;421
149;30,31;-402,76;0,00;0,00;0,00;-0,40;0,00;0,00;485;59;157;24;39;678;640
150;69,99;-49,32;0,00;0,00;0,00;-0,05;0,00;0,00;311;49;69;44;21;754;420
151;0,00;-721,16;0,00;0,00;0,00;-0,72;0,00;0,00;189;22;139;15;27;332;829
