Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;37,85;-128,62;0,00;0,00;0,00;-0,13;0,00;0,00;117;150;98;38;19;872;349
2;59,37;119,49;0,00;0,00;0,00;0,12;0,00;0,00;211;54;118;42;29;904;851
3;62,49;143,74;0,00;0,00;0,00;0,14;0,00;0,00;298;193;135;38;35;556;207
4;47,21;-58,68;0,00;0,00;0,00;-0,06;0,00;0,00;49;130;155;25;17;304;999
5;52,32;49,20;0,00;0,00;0,00;0,05;0,00;0,00;304;187;108;41;33;493;622
6;50,84;-24,10;0,00;0,00;0,00;-0,02;0,00;0,00;487;102;71;49;37;136;976
7;47,29;14,78;0,00;0,00;0,00;0,01;0,00;0,00;291;124;19;16;33;683;797
8;61,23;6,41;0,00;0,00;0,00;0,01;0,00;0,00;148;87;69;19;39;862;898
9;17,05;-276,86;0,00;0,00;0,00;-0,28;0,00;0,00;75;68;116;33;25;762;340
10;49,13;-4,06;0,00;0,00;0,00;-0,00;0,00;0,00;407;162;75;49;23;792;965
11;60,29;148,29;0,00;0,00;0,00;0,15;0,00;0,00;254;147;16;39;17;990;977
12;49,63;35,24;0,00;0,00;0,00;0,04;0,00;0,00;327;163;12;32;20;981;795
13;60,08;185,79;0,00;0,00;0,00;0,19;0,00;0,00;377;155;83;41;34;989;624
14;32,98;-150,65;0,00;0,00;0,00;-0,15;0,00;0,00;406;106;68;38;32;895;407
15;60,10;165,45;0,00;0,00;0,00;0,17;0,00;0,00;91;60;66;13;17;714;950
16;43,09;-77,96;0,00;0,00;0,00;-0,08;0,00;0,00;351;54;194;17;33;918;987
17;25,99;-289,54;0,00;0,00;0,00;-0,29;0,00;0,00;497;163;189;39;24;224;123
18;69,27;61,26;0,00;0,00;0,00;0,06;0,00;0,00;227;185;191;43;35;479;850
19;38,50;-85,27;0,00;0,00;0,00;-0,09;0,00;0,00;353;98;136;42;22;363;920
20;53,77;4,79;0,00;0,00;0,00;0,00;0,00;0,00;361;180;107;18;28;396;447
21;75,86;316,13;0,00;0,00;0,00;0,32;0,00;0,00;90;126;129;21;29;516;637
22;44,22;-65,83;0,00;0,00;0,00;-0,07;0,00;0,00;140;144;143;20;37;697;951
23;54,45;112,24;0,00;0,00;0,00;0,11;0,00;0,00;302;92;92;20;18;928;737
24;51,49;89,96;0,00;0,00;0,00;0,09;0,00;0,00;456;104;134;16;16;852;290
25;52,46;2,64;0,00;0,00;0,00;0,00;0,00;0,00;144;92;50;10;16;165;272
26;53,03;38,99;0,00;0,00;0,00;0,04;0,00;0,00;486;184;129;33;26;453;452
27;49,45;61,79;0,00;0,00;0,00;0,06;0,00;0,00;335;115;191;33;18;986;307
28;51,78;8,26;0,00;0,00;0,00;0,01;0,00;0,00;403;13;154;11;23;747;162
29;59,63;53,09;0,00;0,00;0,00;0,05;0,00;0,00;285;87;172;33;20;582;343
30;43,96;-58,08;0,00;0,00;0,00;-0,06;0,00;0,00;207;72;193;41;23;350;790
31;49,28;13,50;0,00;0,00;0,00;0,01;0,00;0,00;314;78;143;33;15;199;988
32;36,53;-127,39;0,00;0,00;0,00;-0,13;0,00;0,00;148;147;45;42;34;781;432
33;48,38;8,13;0,00;0,00;0,00;0,01;0,00;0,00;266;52;77;31;37;222;215
34;37,03;-205,10;0,00;0,00;0,00;-0,21;0,00;0,00;429;112;198;13;24;547;233
35;42,60;-138,52;0,00;0,00;0,00;-0,14;0,00;0,00;442;165;184;14;32;307;808
36;59,79;121,15;0,00;0,00;0,00;0,12;0,00;0,00;65;71;115;30;17;384;888
37;40,08;-75,55;0,00;0,00;0,00;-0,08;0,00;0,00;246;180;129;38;34;661;192
38;49,07;-47,28;0,00;0,00;0,00;-0,05;0,00;0,00;420;154;119;21;23;995;955
39;98,47;502,56;0,00;0,00;0,00;0,50;0,00;0,00;109;146;46;45;20;260;861
40;65,59;98,10;0,00;0,00;0,00;0,10;0,00;0,00;487;27;199;48;34;789;634
41;47,12;-32,90;0,00;0,00;0,00;-0,03;0,00;0,00;184;32;40;28;29;230;716
42;42,97;-121,95;0,00;0,00;0,00;-0,12;0,00;0,00;89;14;54;11;18;381;314
43;45,58;44,55;0,00;0,00;0,00;0,04;0,00;0,00;58;181;194;23;28;950;468
44;70,36;208,78;0,00;0,00;0,00;0,21;0,00;0,00;99;47;187;32;33;846;657
45;44,11;-56,87;0,00;0,00;0,00;-0,06;0,00;0,00;320;64;151;44;27;529;191
46;49,17;2,12;0,00;0,00;0,00;0,00;0,00;0,00;224;115;63;37;34;555;583
47;76,47;317,06;0,00;0,00;0,00;0,32;0,00;0,00;343;79;182;45;18;705;798
48;32,12;-149,00;0,00;0,00;0,00;-0,15;0,00;0,00;374;14;24;27;35;391;136
49;37,51;-142,12;0,00;0,00;0,00;-0,14;0,00;0,00;409;54;29;36;28;679;584
50;24,45;-231,38;0,00;0,00;0,00;-0,23;0,00;0,00;15;148;123;26;30;797;642
51;50,78;26,78;0,00;0,00;0,00;0,03;0,00;0,00;350;38;132;26;31;166;319
52;51,20;23,35;0,00;0,00;0,00;0,02;0,00;0,00;403;108;191;23;24;680;859
53;48,84;-0,79;0,00;0,00;0,00;-0,00;0,00;0,00;93;71;33;46;34;354;451
54;45,59;-57,01;0,00;0,00;0,00;-0,06;0,00;0,00;477;178;27;30;29;333;773
55;85,73;377,08;0,00;0,00;0,00;0,38;0,00;0,00;234;158;99;17;37;221;779
56;53,82;36,13;0,00;0,00;0,00;0,04;0,00;0,00;181;49;45;37;16;312;524
57;48,71;28,92;0,00;0,00;0,00;0,03;0,00;0,00;68;89;62;19;16;338;211
58;69,87;191,42;0,00;0,00;0,00;0,19;0,00;0,00;480;87;147;41;21;859;128
59;30,22;-137,74;0,00;0,00;0,00;-0,14;0,00;0,00;326;114;166;29;24;876;982
60;81,59;262,67;0,00;0,00;0,00;0,26;0,00;0,00;268;78;123;45;15;652;658
61;60,53;58,78;0,00;0,00;0,00;0,06;0,00;0,00;479;32;41;37;27;435;572
62;56,55;16,86;0,00;0,00;0,00;0,02;0,00;0,00;199;13;155;43;21;424;944
63;49,62;-13,82;0,00;0,00;0,00;-0,01;0,00;0,00;151;15;35;37;31;883;823
64;36,29;-138,96;0,00;0,00;0,00;-0,14;0,00;0,00;233;188;126;12;21;907;771
65;45,78;-86,50;0,00;0,00;0,00;-0,09;0,00;0,00;48;82;28;11;38;367;689
66;78,41;286,29;0,00;0,00;0,00;0,29;0,00;0,00;409;46;171;38;38;138;225
67;46,88;-36,34;0,00;0,00;0,00;-0,04;0,00;0,00;416;113;67;41;32;952;406
68;59,32;94,48;0,00;0,00;0,00;0,09;0,00;0,00;459;194;161;48;24;488;117
69;18,74;-271,86;0,00;0,00;0,00;-0,27;0,00;0,00;158;70;75;20;36;336;797
70;58,08;114,47;0,00;0,00;0,00;0,11;0,00;0,00;60;111;163;22;20;803;647
71;54,13;19,55;0,00;0,00;0,00;0,02;0,00;0,00;276;26;113;17;22;779;976
72;69,48;236,53;0,00;0,00;0,00;0,24;0,00;0,00;326;199;87;45;21;680;177
73;48,99;22,20;0,00;0,00;0,00;0,02;0,00;0,00;214;139;88;33;22;426;914
74;52,61;123,02;0,00;0,00;0,00;0,12;0,00;0,00;193;160;144;31;33;199;488
75;40,82;-83,23;0,00;0,00;0,00;-0,08;0,00;0,00;436;55;112;24;16;699;779
76;51,82;-2,40;0,00;0,00;0,00;-0,00;0,00;0,00;84;60;16;46;38;131;934
77;71,58;196,77;0,00;0,00;0,00;0,20;0,00;0,00;313;10;20;34;16;598;528
78;62,75;56,76;0,00;0,00;0,00;0,06;0,00;0,00;147;79;114;34;24;213;324
79;10,26;-346,59;0,00;0,00;0,00;-0,35;0,00;0,00;116;45;120;16;30;986;559
80;51,62;15,06;0,00;0,00;0,00;0,02;0,00;0,00;207;144;71;37;19;158;983
81;66,49;165,18;0,00;0,00;0,00;0,17;0,00;0,00;120;199;144;30;30;767;194
82;24,78;-207,19;0,00;0,00;0,00;-0,21;0,00;0,00;81;75;62;33;28;685;786
83;36,06;-49,11;0,00;0,00;0,00;-0,05;0,00;0,00;188;95;164;45;27;115;114
84;47,53;-38,41;0,00;0,00;0,00;-0,04;0,00;0,00;210;93;166;47;32;643;562
85;49,34;7,67;0,00;0,00;0,00;0,01;0,00;0,00;305;125;127;30;36;781;362
86;57,78;97,53;0,00;0,00;0,00;0,10;0,00;0,00;120;79;102;15;17;447;959
87;56,85;82,15;0,00;0,00;0,00;0,08;0,00;0,00;438;27;68;17;29;275;296
88;73,26;250,85;0,00;0,00;0,00;0,25;0,00;0,00;449;137;157;26;36;301;597
89;49,58;-28,30;0,00;0,00;0,00;-0,03;0,00;0,00;24;11;182;14;30;153;235
90;54,51;25,71;0,00;0,00;0,00;0,03;0,00;0,00;339;120;103;47;25;596;770
91;50,19;56,05;0,00;0,00;0,00;0,06;0,00;0,00;36;162;27;41;35;116;628
92;58,28;107,57;0,00;0,00;0,00;0,11;0,00;0,00;401;99;89;33;28;215;621
93;45,27;-55,82;0,00;0,00;0,00;-0,06;0,00;0,00;191;189;132;22;30;507;363
94;31,00;-195,04;0,00;0,00;0,00;-0,20;0,00;0,00;104;152;58;34;22;119;939
95;41,45;-153,30;0,00;0,00;0,00;-0,15;0,00;0,00;298;183;68;39;36;890;646
96;32,62;-157,68;0,00;0,00;0,00;-0,16;0,00;0,00;255;115;145;16;32;158;412
97;45,48;-52,21;0,00;0,00;0,00;-0,05;0,00;0,00;48;77;133;47;23;742;379
98;24,57;-239,82;0,00;0,00;0,00;-0,24;0,00;0,00;144;178;110;44;31;930;263
99;63,94;157,95;0,00;0,00;0,00;0,16;0,00;0,00;142;84;149;11;38;680;804
100;43,88;-66,89;0,00;0,00;0,00;-0,07;0,00;0,00;82;179;29;18;31;505;748
101;55,76;127,68;0,00;0,00;0,00;0,13;0,00;0,00;285;34;30;33;22;461;243
102;53,06;-21,98;0,00;0,00;0,00;-0,02;0,00;0,00;471;121;30;12;20;194;865
103;45,76;-117,77;0,00;0,00;0,00;-0,12;0,00;0,00;375;31;115;38;32;192;792
104;42,95;-31,52;0,00;0,00;0,00;-0,03;0,00;0,00;79;188;147;32;16;219;269
105;51,05;81,66;0,00;0,00;0,00;0,08;0,00;0,00;156;192;160;16;31;219;850
106;50,52;0,39;0,00;0,00;0,00;0,00;0,00;0,00;469;50;178;23;22;781;484
107;55,52;112,85;0,00;0,00;0,00;0,11;0,00;0,00;378;88;177;37;18;764;542
108;52,13;25,62;0,00;0,00;0,00;0,03;0,00;0,00;47;139;62;12;22;544;609
109;67,74;199,06;0,00;0,00;0,00;0,20;0,00;0,00;430;76;164;16;24;508;793
110;40,52;-84,42;0,00;0,00;0,00;-0,08;0,00;0,00;187;57;113;41;19;297;479
111;29,56;-259,05;0,00;0,00;0,00;-0,26;0,00;0,00;137;73;65;44;32;882;909
112;35,31;-80,22;0,00;0,00;0,00;-0,08;0,00;0,00;435;169;36;48;36;383;821
113;88,72;335,72;0,00;0,00;0,00;0,34;0,00;0,00;153;142;119;18;23;803;245
114;54,54;-61,54;0,00;0,00;0,00;-0,06;0,00;0,00;292;194;127;35;20;685;982
115;56,85;70,61;0,00;0,00;0,00;0,07;0,00;0,00;224;16;91;11;29;916;945
116;26,05;-237,64;0,00;0,00;0,00;-0,24;0,00;0,00;67;134;48;18;36;902;761
117;49,28;37,18;0,00;0,00;0,00;0,04;0,00;0,00;399;84;100;30;23;455;176
118;41,50;-48,88;0,00;0,00;0,00;-0,05;0,00;0,00;191;49;28;39;32;248;531
119;75,51;321,77;0,00;0,00;0,00;0,32;0,00;0,00;326;178;108;48;16;265;704
120;21,98;-299,37;0,00;0,00;0,00;-0,30;0,00;0,00;359;160;75;36;29;292;186
121;80,48;311,13;0,00;0,00;0,00;0,31;0,00;0,00;272;38;181;34;30;169;738
122;60,64;97,00;0,00;0,00;0,00;0,10;0,00;0,00;69;174;72;23;39;403;905
123;10,08;-400,41;0,00;0,00;0,00;-0,40;0,00;0,00;68;18;165;25;24;458;530
124;26,17;-290,63;0,00;0,00;0,00;-0,29;0,00;0,00;321;55;101;31;17;747;136
125;59,89;76,13;0,00;0,00;0,00;0,08;0,00;0,00;23;164;87;44;21;332;716
126;88,29;436,37;0,00;0,00;0,00;0,44;0,00;0,00;452;153;140;19;26;153;805
127;46,44;-58,12;0,00;0,00;0,00;-0,06;0,00;0,00;347;36;43;30;17;717;274
128;51,37;-43,19;0,00;0,00;0,00;-0,04;0,00;0,00;461;25;17;33;38;978;409
129;59,98;95,92;0,00;0,00;0,00;0,10;0,00;0,00;221;43;137;10;28;167;106
130;49,34;-17,80;0,00;0,00;0,00;-0,02;0,00;0,00;416;160;176;24;25;422;671
131;65,92;79,84;0,00;0,00;0,00;0,08;0,00;0,00;490;108;129;19;25;398;514
132;40,16;-83,66;0,00;0,00;0,00;-0,08;0,00;0,00;153;73;154;25;19;358;153
133;36,79;-106,76;0,00;0,00;0,00;-0,11;0,00;0,00;394;174;123;37;27;240;316
134;58,06;73,01;0,00;0,00;0,00;0,07;0,00;0,00;481;11;112;32;30;627;931
135;61,60;190,46;0,00;0,00;0,00;0,19;0,00;0,00;329;198;181;13;24;269;806
136;33,08;-116,37;0,00;0,00;0,00;-0,12;0,00;0,00;468;160;42;14;39;687;245
137;70,57;306,47;0,00;0,00;0,00;0,31;0,00;0,00;136;190;85;45;16;475;942
138;43,86;-95,11;0,00;0,00;0,00;-0,10;0,00;0,00;30;99;139;34;23;769;940
