Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;62,73;-122,74;0,00;0,00;0,00;-0,12;0,00;0,00;477;140;81;44;17;705;176
2;49,19;-84,49;0,00;0,00;0,00;-0,08;0,00;0,00;99;16;151;17;36;686;828
3;15,48;-563,81;0,00;0,00;0,00;-0,56;0,00;0,00;245;180;51;29;18;720;386
4;100,00;251,90;0,00;0,00;0,00;0,25;0,00;0,00;13;131;38;46;16;367;374
5;38,56;-215,75;0,00;0,00;0,00;-0,22;0,00;0,00;268;73;30;17;22;506;767
6;51,43;-177,70;0,00;0,00;0,00;-0,18;0,00;0,00;116;51;174;28;16;169;468
7;85,62;185,63;0,00;0,00;0,00;0,19;0,00;0,00;451;178;179;40;35;318;875
8;27,61;-456,10;0,00;0,00;0,00;-0,46;0,00;0,00;351;55;150;45;33;669;928
9;49,64;-219,14;0,00;0,00;0,00;-0,22;0,00;0,00;411;102;44;45;31;564;407
10;82,92;225,67;0,00;0,00;0,00;0,23;0,00;0,00;460;192;83;49;33;948;183
11;40,44;-301,09;0,00;0,00;0,00;-0,30;0,00;0,00;213;157;72;30;30;889;394
12;26,78;-453,00;0,00;0,00;0,00;-0,45;0,00;0,00;454;159;120;35;36;597;985
13;27,32;-457,21;0,00;0,00;0,00;-0,46;0,00;0,00;305;63;61;24;24;775;998
14;74,92;33,70;0,00;0,00;0,00;0,03;0,00;0,00;243;170;194;29;30;890;525
15;49,53;-241,19;0,00;0,00;0,00;-0,24;0,00;0,00;15;182;160;12;25;960;541
16;20,71;-524,20;0,00;0,00;0,00;-0,52;0,00;0,00;176;168;161;41;36;606;633
17;14,74;-564,98;0,00;0,00;0,00;-0,56;0,00;0,00;387;74;172;26;18;561;522
18;44,54;-162,09;0,00;0,00;0,00;-0,16;0,00;0,00;52;176;43;45;15;982;614
19;82,40;62,63;0,00;0,00;0,00;0,06;0,00;0,00;391;90;167;30;26;995;705
20;25,41;-522,39;0,00;0,00;0,00;-0,52;0,00;0,00;347;127;60;49;36;202;227
21;95,62;228,02;0,00;0,00;0,00;0,23;0,00;0,00;12;126;179;26;20;652;249
22;69,08;2,75;0,00;0,00;0,00;0,00;0,00;0,00;285;120;55;46;28;294;574
23;37,24;-320,60;0,00;0,00;0,00;-0,32;0,00;0,00;298;139;185;30;27;249;144
24;57,42;-62,58;0,00;0,00;0,00;-0,06;0,00;0,00;314;144;143;37;36;818;451
25;68,26;-13,28;0,00;0,00;0,00;-0,01;0,00;0,00;437;57;83;28;35;142;189
26;17,62;-468,16;0,00;0,00;0,00;-0,47;0,00;0,00;232;61;185;21;16;627;705
27;39,89;-279,66;0,00;0,00;0,00;-0,28;0,00;0,00;171;66;176;12;17;225;358
28;50,27;-167,46;0,00;0,00;0,00;-0,17;0,00;0,00;381;179;173;47;19;455;489
29;68,84;-55,02;0,00;0,00;0,00;-0,06;0,00;0,00;404;131;16;42;28;156;641
30;46,99;-211,15;0,00;0,00;0,00;-0,21;0,00;0,00;29;170;79;47;32;364;998
31;26,42;-471,09;0,00;0,00;0,00;-0,47;0,00;0,00;156;140;180;33;24;388;626
32;11,73;-563,74;0,00;0,00;0,00;-0,56;0,00;0,00;41;174;72;44;37;949;222
33;86,48;222,88;0,00;0,00;0,00;0,22;0,00;0,00;475;112;142;36;18;467;748
34;75,69;94,83;0,00;0,00;0,00;0,09;0,00;0,00;34;146;148;49;23;739;339
35;58,02;-188,40;0,00;0,00;0,00;-0,19;0,00;0,00;111;171;52;28;27;980;233
36;37,55;-334,65;0,00;0,00;0,00;-0,33;0,00;0,00;85;148;184;15;23;109;334
37;99,91;380,08;0,00;0,00;0,00;0,38;0,00;0,00;319;152;175;38;19;218;529
38;67,98;18,49;0,00;0,00;0,00;0,02;0,00;0,00;38;88;187;13;15;759;141
39;51,14;-213,00;0,00;0,00;0,00;-0,21;0,00;0,00;212;189;146;45;31;367;574
40;15,00;-473,77;0,00;0,00;0,00;-0,47;0,00;0,00;329;44;109;16;37;960;597
41;90,50;183,03;0,00;0,00;0,00;0,18;0,00;0,00;78;66;71;47;31;318;831
42;40,76;-340,68;0,00;0,00;0,00;-0,34;0,00;0,00;428;115;88;33;29;217;588
43;39,04;-245,98;0,00;0,00;0,00;-0,25;0,00;0,00;44;91;90;30;33;384;548
