Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;33,94;-375,07;0,00;0,00;0,00;-0,38;0,00;0,00;473;37;181;24;16;525;131
2;42,69;-243,40;0,00;0,00;0,00;-0,24;0,00;0,00;380;159;111;20;39;645;272
3;43,57;-209,91;0,00;0,00;0,00;-0,21;0,00;0,00;90;162;185;13;24;818;483
4;33,70;-309,52;0,00;0,00;0,00;-0,31;0,00;0,00;322;145;113;48;34;622;693
5;31,69;-407,03;0,00;0,00;0,00;-0,41;0,00;0,00;255;163;62;40;28;417;198
6;90,07;173,18;0,00;0,00;0,00;0,17;0,00;0,00;402;181;130;32;17;879;183
7;88,84;157,68;0,00;0,00;0,00;0,16;0,00;0,00;225;42;135;13;34;797;138
8;53,50;-122,87;0,00;0,00;0,00;-0,12;0,00;0,00;392;28;133;46;30;332;408
9;72,55;32,54;0,00;0,00;0,00;0,03;0,00;0,00;129;46;151;31;17;685;424
10;37,26;-295,96;0,00;0,00;0,00;-0,30;0,00;0,00;88;134;107;12;22;854;332
11;18,75;-462,67;0,00;0,00;0,00;-0,46;0,00;0,00;201;28;89;33;39;423;165
12;57,23;-97,42;0,00;0,00;0,00;-0,10;0,00;0,00;491;151;13;15;35;124;871
13;74,59;15,06;0,00;0,00;0,00;0,02;0,00;0,00;308;85;136;39;20;821;397
14;0,00;-727,12;0,00;0,00;0,00;-0,73;0,00;0,00;20;89;157;26;24;384;380
15;73,80;13,17;0,00;0,00;0,00;0,01;0,00;0,00;446;13;190;48;15;385;548
16;5,59;-660,09;0,00;0,00;0,00;-0,66;0,00;0,00;320;113;156;48;31;796;179
17;44,09;-295,78;0,00;0,00;0,00;-0,30;0,00;0,00;494;103;95;35;27;895;794
18;46,79;-211,59;0,00;0,00;0,00;-0,21;0,00;0,00;304;150;128;29;20;701;788
19;68,62;-20,84;0,00;0,00;0,00;-0,02;0,00;0,00;45;58;73;47;31;518;225
20;2,84;-666,13;0,00;0,00;0,00;-0,67;0,00;0,00;249;121;61;29;16;750;171
21;81,69;54,79;0,00;0,00;0,00;0,05;0,00;0,00;391;153;67;17;18;324;153
22;52,77;-276,29;0,00;0,00;0,00;-0,28;0,00;0,00;213;186;146;30;21;507;893
23;40,39;-277,53;0,00;0,00;0,00;-0,28;0,00;0,00;339;100;151;39;23;163;787
24;63,19;-84,03;0,00;0,00;0,00;-0,08;0,00;0,00;122;96;36;44;23;764;474
25;28,51;-404,17;0,00;0,00;0,00;-0,40;0,00;0,00;329;34;103;23;36;639;826
26;74,42;142,77;0,00;0,00;0,00;0,14;0,00;0,00;36;134;14;25;34;549;328
27;64,15;14,49;0,00;0,00;0,00;0,01;0,00;0,00;345;30;142;37;26;513;541
28;8,47;-694,38;0,00;0,00;0,00;-0,69;0,00;0,00;411;98;65;13;29;166;425
29;37,82;-386,19;0,00;0,00;0,00;-0,39;0,00;0,00;269;63;194;26;29;554;716
30;71,33;57,52;0,00;0,00;0,00;0,06;0,00;0,00;303;57;167;47;29;269;648
31;76,00;65,14;0,00;0,00;0,00;0,07;0,00;0,00;156;40;79;39;27;633;109
32;40,31;-345,21;0,00;0,00;0,00;-0,35;0,00;0,00;225;197;26;18;21;235;974
33;74,93;39,53;0,00;0,00;0,00;0,04;0,00;0,00;69;135;143;17;34;868;582
34;22,10;-544,70;0,00;0,00;0,00;-0,54;0,00;0,00;123;70;39;43;39;347;851
35;70,38;31,74;0,00;0,00;0,00;0,03;0,00;0,00;364;95;45;15;17;737;418
36;24,25;-458,65;0,00;0,00;0,00;-0,46;0,00;0,00;284;80;116;22;23;817;422
37;50,69;-157,21;0,00;0,00;0,00;-0,16;0,00;0,00;469;117;173;23;37;718;703
38;72,35;18,62;0,00;0,00;0,00;0,02;0,00;0,00;488;129;108;15;16;411;662
39;78,44;87,18;0,00;0,00;0,00;0,09;0,00;0,00;118;182;108;30;31;429;198
40;0,00;-742,84;0,00;0,00;0,00;-0,74;0,00;0,00;233;81;154;21;21;781;998
41;0,00;-697,37;0,00;0,00;0,00;-0,70;0,00;0,00;326;57;18;17;37;632;515
42;8,60;-559,43;0,00;0,00;0,00;-0,56;0,00;0,00;172;119;36;26;34;798;594
43;19,55;-464,34;0,00;0,00;0,00;-0,46;0,00;0,00;468;25;53;33;30;697;637
44;49,92;-217,42;0,00;0,00;0,00;-0,22;0,00;0,00;320;179;155;24;38;813;396
45;68,96;-33,22;0,00;0,00;0,00;-0,03;0,00;0,00;79;150;164;13;24;730;805
46;54,45;-172,00;0,00;0,00;0,00;-0,17;0,00;0,00;354;139;138;25;21;739;420
47;93,37;276,96;0,00;0,00;0,00;0,28;0,00;0,00;443;87;150;43;19;230;144
48;44,38;-234,07;0,00;0,00;0,00;-0,23;0,00;0,00;262;77;104;45;21;828;592
49;42,87;-309,71;0,00;0,00;0,00;-0,31;0,00;0,00;213;180;25;16;19;915;958
50;45,51;-235,97;0,00;0,00;0,00;-0,24;0,00;0,00;497;100;73;49;27;931;925
51;48,60;-241,89;0,00;0,00;0,00;-0,24;0,00;0,00;393;120;196;32;34;550;147
52;46,01;-266,34;0,00;0,00;0,00;-0,27;0,00;0,00;328;35;150;39;19;702;770
53;89,61;218,73;0,00;0,00;0,00;0,22;0,00;0,00;224;119;15;15;21;325;711
54;76,10;-16,40;0,00;0,00;0,00;-0,02;0,00;0,00;489;157;97;15;34;959;459
55;36,28;-327,03;0,00;0,00;0,00;-0,33;0,00;0,00;182;171;170;36;35;665;550
56;57,69;-87,38;0,00;0,00;0,00;-0,09;0,00;0,00;12;151;105;26;26;361;215
57;88,98;207,42;0,00;0,00;0,00;0,21;0,00;0,00;177;18;56;17;27;932;854
58;2,42;-695,30;0,00;0,00;0,00;-0,70;0,00;0,00;84;63;51;18;19;464;291
59;18,16;-568,45;0,00;0,00;0,00;-0,57;0,00;0,00;292;87;119;30;30;174;136
60;5,14;-483,96;0,00;0,00;0,00;-0,48;0,00;0,00;114;105;19;43;19;355;605
61;17,21;-553,47;0,00;0,00;0,00;-0,55;0,00;0,00;480;167;147;48;30;152;159
62;45,65;-169,74;0,00;0,00;0,00;-0,17;0,00;0,00;414;188;87;33;15;541;112
63;75,60;-26,40;0,00;0,00;0,00;-0,03;0,00;0,00;438;84;150;33;21;588;834
64;58,20;-127,29;0,00;0,00;0,00;-0,13;0,00;0,00;36;171;198;29;18;843;924
65;21,52;-528,59;0,00;0,00;0,00;-0,53;0,00;0,00;248;38;166;37;31;294;488
66;36,13;-293,77;0,00;0,00;0,00;-0,29;0,00;0,00;375;179;144;27;17;901;444
67;54,89;-59,23;0,00;0,00;0,00;-0,06;0,00;0,00;114;188;166;13;32;993;881
68;45,60;-304,77;0,00;0,00;0,00;-0,30;0,00;0,00;356;32;191;43;39;182;924
69;83,05;96,63;0,00;0,00;0,00;0,10;0,00;0,00;411;144;164;20;30;638;142
70;27,65;-444,35;0,00;0,00;0,00;-0,44;0,00;0,00;116;137;127;45;30;807;377
71;0,00;-732,99;0,00;0,00;0,00;-0,73;0,00;0,00;168;118;160;44;15;658;945
72;75,01;98,09;0,00;0,00;0,00;0,10;0,00;0,00;122;181;78;46;25;681;751
73;49,31;-156,90;0,00;0,00;0,00;-0,16;0,00;0,00;339;18;19;47;25;435;741
74;64,11;20,34;0,00;0,00;0,00;0,02;0,00;0,00;390;92;144;11;25;491;672
75;43,72;-283,39;0,00;0,00;0,00;-0,28;0,00;0,00;189;18;196;40;19;580;304
76;38,70;-327,45;0,00;0,00;0,00;-0,33;0,00;0,00;340;143;130;10;36;602;491
77;43,76;-187,84;0,00;0,00;0,00;-0,19;0,00;0,00;243;165;141;21;17;607;732
78;43,45;-291,96;0,00;0,00;0,00;-0,29;0,00;0,00;318;194;172;48;22;803;503
79;51,03;-206,91;0,00;0,00;0,00;-0,21;0,00;0,00;458;195;30;34;20;857;604
80;44,11;-237,41;0,00;0,00;0,00;-0,24;0,00;0,00;453;69;135;45;30;459;798
81;47,18;-277,92;0,00;0,00;0,00;-0,28;0,00;0,00;320;120;92;38;31;834;922
82;46,92;-210,26;0,00;0,00;0,00;-0,21;0,00;0,00;401;158;124;41;23;862;739
83;96,17;187,40;0,00;0,00;0,00;0,19;0,00;0,00;246;174;26;15;28;786;617
84;0,00;-675,83;0,00;0,00;0,00;-0,68;0,00;0,00;247;82;135;35;35;291;467
85;53,64;-221,63;0,00;0,00;0,00;-0,22;0,00;0,00;248;92;44;43;38;797;181
86;12,88;-475,51;0,00;0,00;0,00;-0,48;0,00;0,00;360;170;196;13;34;121;746
87;62,60;-178,47;0,00;0,00;0,00;-0,18;0,00;0,00;227;63;22;16;37;477;472
88;84,54;228,64;0,00;0,00;0,00;0,23;0,00;0,00;141;80;187;13;38;189;798
89;60,49;-143,86;0,00;0,00;0,00;-0,14;0,00;0,00;51;97;87;24;28;535;541
90;53,40;-143,28;0,00;0,00;0,00;-0,14;0,00;0,00;358;21;168;47;36;453;923
91;76,13;-46,93;0,00;0,00;0,00;-0,05;0,00;0,00;142;95;110;46;32;989;390
92;61,71;-89,94;0,00;0,00;0,00;-0,09;0,00;0,00;215;199;86;12;26;112;297
93;59,20;-23,29;0,00;0,00;0,00;-0,02;0,00;0,00;440;182;10;28;30;710;965
94;44,07;-221,48;0,00;0,00;0,00;-0,22;0,00;0,00;451;143;186;29;28;734;253
95;51,89;-173,90;0,00;0,00;0,00;-0,17;0,00;0,00;158;163;140;42;34;403;627
96;14,33;-596,53;0,00;0,00;0,00;-0,60;0,00;0,00;116;136;179;35;23;865;553
97;87,81;156,72;0,00;0,00;0,00;0,16;0,00;0,00;59;74;197;39;19;729;633
98;61,40;-109,47;0,00;0,00;0,00;-0,11;0,00;0,00;46;136;134;45;33;480;176
99;30,07;-411,87;0,00;0,00;0,00;-0,41;0,00;0,00;463;85;53;22;33;154;655
100;56,35;-55,70;0,00;0,00;0,00;-0,06;0,00;0,00;199;133;168;43;37;760;198
101;54,51;-197,15;0,00;0,00;0,00;-0,20;0,00;0,00;232;83;140;10;20;951;747
102;33,80;-314,15;0,00;0,00;0,00;-0,31;0,00;0,00;175;167;97;24;39;516;247
103;11,41;-642,98;0,00;0,00;0,00;-0,64;0,00;0,00;108;181;133;33;35;759;407
104;46,63;-195,27;0,00;0,00;0,00;-0,20;0,00;0,00;412;20;156;20;19;736;125
105;28,29;-432,12;0,00;0,00;0,00;-0,43;0,00;0,00;395;156;107;26;37;252;158
106;50,53;-136,87;0,00;0,00;0,00;-0,14;0,00;0,00;331;111;10;32;18;202;633
107;30,19;-388,42;0,00;0,00;0,00;-0,39;0,00;0,00;120;114;161;43;37;271;330
108;7,71;-658,00;0,00;0,00;0,00;-0,66;0,00;0,00;37;36;128;28;15;758;376
109;71,84;60,19;0,00;0,00;0,00;0,06;0,00;0,00;479;173;148;19;18;803;733
110;77,92;55,85;0,00;0,00;0,00;0,06;0,00;0,00;79;103;193;36;37;271;996
111;56,49;-259,30;0,00;0,00;0,00;-0,26;0,00;0,00;123;177;23;16;29;377;565
112;25,44;-453,58;0,00;0,00;0,00;-0,45;0,00;0,00;53;145;41;15;37;978;737
113;55,34;-276,72;0,00;0,00;0,00;-0,28;0,00;0,00;91;188;144;38;28;230;119
114;9,42;-600,10;0,00;0,00;0,00;-0,60;0,00;0,00;426;54;131;40;24;922;562
115;69,83;-44,26;0,00;0,00;0,00;-0,04;0,00;0,00;191;187;103;35;15;913;336
116;35,64;-315,90;0,00;0,00;0,00;-0,32;0,00;0,00;226;179;110;37;34;206;411
117;55,07;-147,12;0,00;0,00;0,00;-0,15;0,00;0,00;56;77;19;49;23;996;207
118;32,64;-342,74;0,00;0,00;0,00;-0,34;0,00;0,00;222;19;41;25;37;499;385
119;68,56;-91,05;0,00;0,00;0,00;-0,09;0,00;0,00;403;111;57;15;15;503;198
120;16,05;-525,30;0,00;0,00;0,00;-0,53;0,00;0,00;143;156;194;21;38;896;204
121;45,15;-269,95;0,00;0,00;0,00;-0,27;0,00;0,00;454;16;73;42;25;958;584
122;54,79;-203,06;0,00;0,00;0,00;-0,20;0,00;0,00;455;19;108;13;22;244;470
123;30,22;-504,12;0,00;0,00;0,00;-0,50;0,00;0,00;432;21;77;31;37;628;392
124;49,14;-153,47;0,00;0,00;0,00;-0,15;0,00;0,00;68;183;154;14;37;672;494
125;41,58;-239,23;0,00;0,00;0,00;-0,24;0,00;0,00;449;30;50;12;33;324;667
126;41,01;-207,72;0,00;0,00;0,00;-0,21;0,00;0,00;126;20;115;43;23;792;318
127;60,51;-98,58;0,00;0,00;0,00;-0,10;0,00;0,00;43;199;110;27;27;844;690
128;28,52;-401,92;0,00;0,00;0,00;-0,40;0,00;0,00;450;187;106;49;33;306;809
129;69,66;13,05;0,00;0,00;0,00;0,01;0,00;0,00;203;187;113;18;25;312;194
130;55,63;-195,43;0,00;0,00;0,00;-0,20;0,00;0,00;282;76;125;41;25;829;408
131;58,07;-200,95;0,00;0,00;0,00;-0,20;0,00;0,00;53;95;42;17;39;608;520
132;81,90;100,09;0,00;0,00;0,00;0,10;0,00;0,00;128;153;151;20;17;131;586
133;47,16;-185,30;0,00;0,00;0,00;-0,19;0,00;0,00;81;131;167;37;24;488;147
134;61,85;-60,89;0,00;0,00;0,00;-0,06;0,00;0,00;466;105;147;13;20;876;957
135;76,26;24,69;0,00;0,00;0,00;0,02;0,00;0,00;493;176;83;27;32;989;622
136;31,60;-325,35;0,00;0,00;0,00;-0,33;0,00;0,00;212;101;125;34;18;841;429
137;30,77;-358,78;0,00;0,00;0,00;-0,36;0,00;0,00;100;114;101;43;26;708;941
138;64,57;-46,97;0,00;0,00;0,00;-0,05;0,00;0,00;72;190;98;48;21;617;126
139;47,48;-258,77;0,00;0,00;0,00;-0,26;0,00;0,00;133;153;187;48;36;452;829
140;80,06;141,11;0,00;0,00;0,00;0,14;0,00;0,00;326;199;194;32;39;376;939
141;58,14;-110,29;0,00;0,00;0,00;-0,11;0,00;0,00;473;90;47;20;19;749;234
142;34,02;-339,62;0,00;0,00;0,00;-0,34;0,00;0,00;448;113;187;23;23;395;976
143;31,44;-348,93;0,00;0,00;0,00;-0,35;0,00;0,00;129;68;15;31;27;972;641
144;14,48;-495,26;0,00;0,00;0,00;-0,50;0,00;0,00;56;81;162;45;29;404;977
145;49,00;-151,06;0,00;0,00;0,00;-0,15;0,00;0,00;202;135;122;48;36;790;684
146;38,26;-321,17;0,00;0,00;0,00;-0,32;0,00;0,00;369;19;30;20;30;193;929
147;88,82;269,36;0,00;0,00;0,00;0,27;0,00;0,00;182;99;125;47;35;587;552
148;47,05;-217,20;0,00;0,00;0,00;-0,22;0,00;0,00;116;133;12;19;37;474;421
149;83,73;214,64;0,00;0,00;0,00;0,21;0,00;0,00;440;59;157;24;39;678;640
150;29,52;-396,24;0,00;0,00;0,00;-0,40;0,00;0,00;212;49;69;44;21;754;420
151;0,00;-760,36;0,00;0,00;0,00;-0,76;0,00;0,00;71;22;139;15;27;332;829
152;4,97;-662,37;0,00;0,00;0,00;-0,66;0,00;0,00;344;26;180;29;25;935;261
153;69,94;-8,52;0,00;0,00;0,00;-0,01;0,00;0,00;457;85;95;38;22;834;413
154;46,73;-246,68;0,00;0,00;0,00;-0,25;0,00;0,00;208;94;170;21;28;934;761
155;46,71;-128,59;0,00;0,00;0,00;-0,13;0,00;0,00;313;30;190;47;25;578;924
156;28,79;-390,13;0,00;0,00;0,00;-0,39;0,00;0,00;340;142;127;22;18;332;133
157;60,77;-108,80;0,00;0,00;0,00;-0,11;0,00;0,00;45;60;147;44;32;193;468
158;67,61;7,53;0,00;0,00;0,00;0,01;0,00;0,00;119;49;103;36;30;755;855
159;51,81;-145,60;0,00;0,00;0,00;-0,15;0,00;0,00;117;83;94;21;25;227;959
160;52,47;-153,20;0,00;0,00;0,00;-0,15;0,00;0,00;362;83;83;49;22;912;480
161;51,83;-182,68;0,00;0,00;0,00;-0,18;0,00;0,00;297;34;31;28;15;249;527
162;96,03;266,84;0,00;0,00;0,00;0,27;0,00;0,00;174;10;93;19;31;898;442
163;94,48;278,59;0,00;0,00;0,00;0,28;0,00;0,00;163;16;40;32;27;811;193
164;100,00;266,61;0,00;0,00;0,00;0,27;0,00;0,00;292;129;124;19;31;458;455
165;28,90;-370,63;0,00;0,00;0,00;-0,37;0,00;0,00;476;39;13;23;23;337;812
166;43,81;-271,17;0,00;0,00;0,00;-0,27;0,00;0,00;38;54;178;29;36;760;703
167;38,35;-382,82;0,00;0,00;0,00;-0,38;0,00;0,00;242;70;54;28;37;823;816
168;41,50;-262,94;0,00;0,00;0,00;-0,26;0,00;0,00;289;193;93;45;16;101;452
169;74,79;68,52;0,00;0,00;0,00;0,07;0,00;0,00;95;66;165;45;21;845;161
170;32,76;-477,53;0,00;0,00;0,00;-0,48;0,00;0,00;214;196;165;42;38;280;792
171;43,97;-335,87;0,00;0,00;0,00;-0,34;0,00;0,00;254;53;107;34;19;593;984
172;15,88;-618,16;0,00;0,00;0,00;-0,62;0,00;0,00;369;103;28;31;31;728;785
173;71,21;34,10;0,00;0,00;0,00;0,03;0,00;0,00;383;70;152;49;28;880;998
174;56,99;-173,66;0,00;0,00;0,00;-0,17;0,00;0,00;320;119;188;49;26;995;881
175;23,15;-470,29;0,00;0,00;0,00;-0,47;0,00;0,00;36;42;112;14;32;945;326
176;83,12;166,21;0,00;0,00;0,00;0,17;0,00;0,00;84;42;25;12;39;719;922
177;42,38;-328,84;0,00;0,00;0,00;-0,33;0,00;0,00;278;184;137;12;25;805;662
178;56,51;-165,25;0,00;0,00;0,00;-0,17;0,00;0,00;346;103;147;19;24;172;203
179;47,75;-205,33;0,00;0,00;0,00;-0,21;0,00;0,00;442;75;88;12;27;716;648
180;89,38;222,02;0,00;0,00;0,00;0,22;0,00;0,00;414;45;112;34;30;695;696
181;36,55;-340,42;0,00;0,00;0,00;-0,34;0,00;0,00;160;179;23;46;25;541;246
182;49,38;-290,74;0,00;0,00;0,00;-0,29;0,00;0,00;188;116;83;48;22;947;534
183;39,17;-306,05;0,00;0,00;0,00;-0,31;0,00;0,00;346;142;144;18;21;424;635
184;17,53;-468,46;0,00;0,00;0,00;-0,47;0,00;0,00;234;53;80;25;34;766;371
185;73,84;-33,60;0,00;0,00;0,00;-0,03;0,00;0,00;102;193;119;47;28;512;270
