Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;32,59;-187,36;0,00;0,00;0,00;-0,19;0,00;0,00;41;150;98;38;19;872;349
2;61,88;210,18;0,00;0,00;0,00;0,21;0,00;0,00;291;54;118;42;29;904;851
3;65,61;259,45;0,00;0,00;0,00;0,26;0,00;0,00;138;193;135;38;35;556;207
4;58,97;12,77;0,00;0,00;0,00;0,01;0,00;0,00;167;130;155;25;17;304;999
5;61,24;115,07;0,00;0,00;0,00;0,12;0,00;0,00;190;187;108;41;33;493;622
6;63,08;160,72;0,00;0,00;0,00;0,16;0,00;0,00;20;102;71;49;37;136;976
7;45,33;10,35;0,00;0,00;0,00;0,01;0,00;0,00;211;124;19;16;33;683;797
8;52,29;62,63;0,00;0,00;0,00;0,06;0,00;0,00;239;87;69;19;39;862;898
9;23,14;-264,78;0,00;0,00;0,00;-0,26;0,00;0,00;370;68;116;33;25;762;340
10;49,50;75,20;0,00;0,00;0,00;0,08;0,00;0,00;430;162;75;49;23;792;965
11;57,40;69,67;0,00;0,00;0,00;0,07;0,00;0,00;266;147;16;39;17;990;977
12;51,33;35,39;0,00;0,00;0,00;0,04;0,00;0,00;455;163;12;32;20;981;795
13;61,29;131,59;0,00;0,00;0,00;0,13;0,00;0,00;175;155;83;41;34;989;624
14;23,09;-266,62;0,00;0,00;0,00;-0,27;0,00;0,00;426;106;68;38;32;895;407
15;61,00;60,99;0,00;0,00;0,00;0,06;0,00;0,00;369;60;66;13;17;714;950
16;47,76;-33,66;0,00;0,00;0,00;-0,03;0,00;0,00;429;54;194;17;33;918;987
17;9,97;-435,63;0,00;0,00;0,00;-0,44;0,00;0,00;83;163;189;39;24;224;123
18;80,49;334,55;0,00;0,00;0,00;0,33;0,00;0,00;35;185;191;43;35;479;850
19;28,71;-163,22;0,00;0,00;0,00;-0,16;0,00;0,00;362;98;136;42;22;363;920
20;53,00;-27,03;0,00;0,00;0,00;-0,03;0,00;0,00;206;180;107;18;28;396;447
21;77,86;240,20;0,00;0,00;0,00;0,24;0,00;0,00;154;126;129;21;29;516;637
22;47,66;-15,85;0,00;0,00;0,00;-0,02;0,00;0,00;166;144;143;20;37;697;951
23;49,82;-123,48;0,00;0,00;0,00;-0,12;0,00;0,00;23;92;92;20;18;928;737
24;55,97;56,43;0,00;0,00;0,00;0,06;0,00;0,00;171;104;134;16;16;852;290
25;46,09;-86,19;0,00;0,00;0,00;-0,09;0,00;0,00;194;92;50;10;16;165;272
26;47,48;62,66;0,00;0,00;0,00;0,06;0,00;0,00;392;184;129;33;26;453;452
27;45,95;90,19;0,00;0,00;0,00;0,09;0,00;0,00;437;115;191;33;18;986;307
28;47,62;-70,83;0,00;0,00;0,00;-0,07;0,00;0,00;14;13;154;11;23;747;162
29;54,35;98,42;0,00;0,00;0,00;0,10;0,00;0,00;283;87;172;33;20;582;343
30;45,72;-60,27;0,00;0,00;0,00;-0,06;0,00;0,00;273;72;193;41;23;350;790
31;57,15;39,97;0,00;0,00;0,00;0,04;0,00;0,00;203;78;143;33;15;199;988
32;35,80;-123,18;0,00;0,00;0,00;-0,12;0,00;0,00;442;147;45;42;34;781;432
33;49,73;-40,95;0,00;0,00;0,00;-0,04;0,00;0,00;284;52;77;31;37;222;215
34;53,02;91,32;0,00;0,00;0,00;0,09;0,00;0,00;355;112;198;13;24;547;233
35;34,80;-161,44;0,00;0,00;0,00;-0,16;0,00;0,00;73;165;184;14;32;307;808
36;55,09;119,34;0,00;0,00;0,00;0,12;0,00;0,00;234;71;115;30;17;384;888
37;35,26;-152,48;0,00;0,00;0,00;-0,15;0,00;0,00;16;180;129;38;34;661;192
38;62,04;79,59;0,00;0,00;0,00;0,08;0,00;0,00;339;154;119;21;23;995;955
39;96,91;413,91;0,00;0,00;0,00;0,41;0,00;0,00;60;146;46;45;20;260;861
40;54,66;15,35;0,00;0,00;0,00;0,02;0,00;0,00;172;27;199;48;34;789;634
41;45,79;-16,42;0,00;0,00;0,00;-0,02;0,00;0,00;357;32;40;28;29;230;716
42;41,67;-143,54;0,00;0,00;0,00;-0,14;0,00;0,00;357;14;54;11;18;381;314
43;47,72;-130,08;0,00;0,00;0,00;-0,13;0,00;0,00;141;181;194;23;28;950;468
44;56,01;1,99;0,00;0,00;0,00;0,00;0,00;0,00;344;47;187;32;33;846;657
45;43,75;-48,97;0,00;0,00;0,00;-0,05;0,00;0,00;52;64;151;44;27;529;191
46;56,87;70,50;0,00;0,00;0,00;0,07;0,00;0,00;374;115;63;37;34;555;583
47;68,64;141,47;0,00;0,00;0,00;0,14;0,00;0,00;463;79;182;45;18;705;798
48;36,19;-93,83;0,00;0,00;0,00;-0,09;0,00;0,00;491;14;24;27;35;391;136
49;46,38;102,60;0,00;0,00;0,00;0,10;0,00;0,00;332;54;29;36;28;679;584
50;23,22;-238,80;0,00;0,00;0,00;-0,24;0,00;0,00;84;148;123;26;30;797;642
51;47,02;-108,84;0,00;0,00;0,00;-0,11;0,00;0,00;343;38;132;26;31;166;319
52;51,98;131,12;0,00;0,00;0,00;0,13;0,00;0,00;139;108;191;23;24;680;859
53;59,79;138,80;0,00;0,00;0,00;0,14;0,00;0,00;338;71;33;46;34;354;451
54;44,39;-48,55;0,00;0,00;0,00;-0,05;0,00;0,00;258;178;27;30;29;333;773
55;85,09;384,12;0,00;0,00;0,00;0,38;0,00;0,00;223;158;99;17;37;221;779
56;50,83;14,22;0,00;0,00;0,00;0,01;0,00;0,00;441;49;45;37;16;312;524
57;38,12;-115,94;0,00;0,00;0,00;-0,12;0,00;0,00;413;89;62;19;16;338;211
58;59,89;71,35;0,00;0,00;0,00;0,07;0,00;0,00;162;87;147;41;21;859;128
59;42,03;-41,28;0,00;0,00;0,00;-0,04;0,00;0,00;429;114;166;29;24;876;982
60;77,99;294,13;0,00;0,00;0,00;0,29;0,00;0,00;324;78;123;45;15;652;658
61;44,11;-33,19;0,00;0,00;0,00;-0,03;0,00;0,00;314;32;41;37;27;435;572
62;53,16;99,31;0,00;0,00;0,00;0,10;0,00;0,00;202;13;155;43;21;424;944
63;48,39;-98,68;0,00;0,00;0,00;-0,10;0,00;0,00;499;15;35;37;31;883;823
64;33,20;-130,06;0,00;0,00;0,00;-0,13;0,00;0,00;401;188;126;12;21;907;771
65;59,39;43,06;0,00;0,00;0,00;0,04;0,00;0,00;61;82;28;11;38;367;689
66;78,56;193,84;0,00;0,00;0,00;0,19;0,00;0,00;359;46;171;38;38;138;225
67;47,94;-46,78;0,00;0,00;0,00;-0,05;0,00;0,00;377;113;67;41;32;952;406
68;50,77;2,96;0,00;0,00;0,00;0,00;0,00;0,00;374;194;161;48;24;488;117
69;22,16;-264,87;0,00;0,00;0,00;-0,26;0,00;0,00;144;70;75;20;36;336;797
70;58,64;59,25;0,00;0,00;0,00;0,06;0,00;0,00;87;111;163;22;20;803;647
71;46,02;-104,02;0,00;0,00;0,00;-0,10;0,00;0,00;99;26;113;17;22;779;976
72;73,61;276,00;0,00;0,00;0,00;0,28;0,00;0,00;307;199;87;45;21;680;177
73;35,93;-108,11;0,00;0,00;0,00;-0,11;0,00;0,00;324;139;88;33;22;426;914
