Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;44,03;-270,45;0,00;0,00;0,00;-0,27;0,00;0,00;286;140;81;44;17;705;176
2;22,49;-418,11;0,00;0,00;0,00;-0,42;0,00;0,00;329;16;151;17;36;686;828
3;21,05;-495,59;0,00;0,00;0,00;-0,50;0,00;0,00;368;180;51;29;18;720;386
4;83,37;144,66;0,00;0,00;0,00;0,14;0,00;0,00;226;131;38;46;16;367;374
5;54,70;-126,00;0,00;0,00;0,00;-0,13;0,00;0,00;34;73;30;17;22;506;767
6;44,45;-248,56;0,00;0,00;0,00;-0,25;0,00;0,00;326;51;174;28;16;169;468
7;72,93;-9,76;0,00;0,00;0,00;-0,01;0,00;0,00;228;178;179;40;35;318;875
8;73,15;22,81;0,00;0,00;0,00;0,02;0,00;0,00;491;55;150;45;33;669;928
9;52,66;-223,82;0,00;0,00;0,00;-0,22;0,00;0,00;482;102;44;45;31;564;407
10;92,68;211,90;0,00;0,00;0,00;0,21;0,00;0,00;492;192;83;49;33;948;183
11;41,03;-334,31;0,00;0,00;0,00;-0,33;0,00;0,00;272;157;72;30;30;889;394
12;0,00;-731,88;0,00;0,00;0,00;-0,73;0,00;0,00;220;159;120;35;36;597;985
13;56,67;-139,15;0,00;0,00;0,00;-0,14;0,00;0,00;374;63;61;24;24;775;998
14;42,23;-318,78;0,00;0,00;0,00;-0,32;0,00;0,00;140;170;194;29;30;890;525
15;20,52;-461,57;0,00;0,00;0,00;-0,46;0,00;0,00;126;182;160;12;25;960;541
16;59,61;-136,40;0,00;0,00;0,00;-0,14;0,00;0,00;471;168;161;41;36;606;633
17;54,15;-145,39;0,00;0,00;0,00;-0,15;0,00;0,00;86;74;172;26;18;561;522
18;83,70;192,72;0,00;0,00;0,00;0,19;0,00;0,00;144;176;43;45;15;982;614
19;50,99;-183,31;0,00;0,00;0,00;-0,18;0,00;0,00;12;90;167;30;26;995;705
20;38,17;-316,40;0,00;0,00;0,00;-0,32;0,00;0,00;458;127;60;49;36;202;227
21;77,01;165,81;0,00;0,00;0,00;0,17;0,00;0,00;204;126;179;26;20;652;249
22;89,34;198,54;0,00;0,00;0,00;0,20;0,00;0,00;485;120;55;46;28;294;574
23;20,85;-438,17;0,00;0,00;0,00;-0,44;0,00;0,00;219;139;185;30;27;249;144
24;54,51;-102,77;0,00;0,00;0,00;-0,10;0,00;0,00;446;144;143;37;36;818;451
25;64,27;-149,32;0,00;0,00;0,00;-0,15;0,00;0,00;348;57;83;28;35;142;189
26;28,92;-394,38;0,00;0,00;0,00;-0,39;0,00;0,00;336;61;185;21;16;627;705
27;38,59;-274,92;0,00;0,00;0,00;-0,27;0,00;0,00;459;66;176;12;17;225;358
28;0,00;-693,69;0,00;0,00;0,00;-0,69;0,00;0,00;72;179;173;47;19;455;489
29;62,71;-59,55;0,00;0,00;0,00;-0,06;0,00;0,00;129;131;16;42;28;156;641
30;66,69;52,91;0,00;0,00;0,00;0,05;0,00;0,00;182;170;79;47;32;364;998
31;47,19;-167,68;0,00;0,00;0,00;-0,17;0,00;0,00;312;140;180;33;24;388;626
32;61,81;-75,37;0,00;0,00;0,00;-0,08;0,00;0,00;344;174;72;44;37;949;222
33;38,25;-370,29;0,00;0,00;0,00;-0,37;0,00;0,00;365;112;142;36;18;467;748
34;65,21;-102,19;0,00;0,00;0,00;-0,10;0,00;0,00;165;146;148;49;23;739;339
35;36,05;-369,22;0,00;0,00;0,00;-0,37;0,00;0,00;343;171;52;28;27;980;233
36;87,01;68,17;0,00;0,00;0,00;0,07;0,00;0,00;233;148;184;15;23;109;334
37;82,98;91,20;0,00;0,00;0,00;0,09;0,00;0,00;126;152;175;38;19;218;529
38;61,16;-116,27;0,00;0,00;0,00;-0,12;0,00;0,00;207;88;187;13;15;759;141
39;57,27;-196,77;0,00;0,00;0,00;-0,20;0,00;0,00;310;189;146;45;31;367;574
40;9,71;-664,91;0,00;0,00;0,00;-0,66;0,00;0,00;118;44;109;16;37;960;597
41;51,29;-247,03;0,00;0,00;0,00;-0,25;0,00;0,00;15;66;71;47;31;318;831
42;44,76;-161,31;0,00;0,00;0,00;-0,16;0,00;0,00;70;115;88;33;29;217;588
43;59,80;13,46;0,00;0,00;0,00;0,01;0,00;0,00;362;91;90;30;33;384;548
44;44,88;-261,45;0,00;0,00;0,00;-0,26;0,00;0,00;430;155;174;42;38;651;674
45;61,59;-36,18;0,00;0,00;0,00;-0,04;0,00;0,00;439;148;121;16;21;638;478
