Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;38,00;-48,86;0,00;0,00;0,00;-0,05;0,00;0,00;266;150;98;38;19;872;349
2;52,75;15,34;0,00;0,00;0,00;0,02;0,00;0,00;27;54;118;42;29;904;851
3;55,58;77,05;0,00;0,00;0,00;0,08;0,00;0,00;148;193;135;38;35;556;207
4;61,19;53,96;0,00;0,00;0,00;0,05;0,00;0,00;254;130;155;25;17;304;999
5;61,76;108,12;0,00;0,00;0,00;0,11;0,00;0,00;477;187;108;41;33;493;622
6;62,97;149,37;0,00;0,00;0,00;0,15;0,00;0,00;47;102;71;49;37;136;976
7;39,13;-91,20;0,00;0,00;0,00;-0,09;0,00;0,00;221;124;19;16;33;683;797
8;60,05;90,48;0,00;0,00;0,00;0,09;0,00;0,00;371;87;69;19;39;862;898
9;18,98;-297,25;0,00;0,00;0,00;-0,30;0,00;0,00;456;68;116;33;25;762;340
10;51,59;53,82;0,00;0,00;0,00;0,05;0,00;0,00;162;162;75;49;23;792;965
11;65,65;154,04;0,00;0,00;0,00;0,15;0,00;0,00;247;147;16;39;17;990;977
12;58,57;72,28;0,00;0,00;0,00;0,07;0,00;0,00;441;163;12;32;20;981;795
13;52,11;-14,23;0,00;0,00;0,00;-0,01;0,00;0,00;153;155;83;41;34;989;624
14;25,87;-263,50;0,00;0,00;0,00;-0,26;0,00;0,00;276;106;68;38;32;895;407
15;52,44;-43,13;0,00;0,00;0,00;-0,04;0,00;0,00;203;60;66;13;17;714;950
16;41,28;-114,34;0,00;0,00;0,00;-0,11;0,00;0,00;88;54;194;17;33;918;987
17;19,79;-337,88;0,00;0,00;0,00;-0,34;0,00;0,00;364;163;189;39;24;224;123
18;63,18;126,37;0,00;0,00;0,00;0,13;0,00;0,00;48;185;191;43;35;479;850
19;25,15;-265,24;0,00;0,00;0,00;-0,27;0,00;0,00;46;98;136;42;22;363;920
20;57,38;69,43;0,00;0,00;0,00;0,07;0,00;0,00;346;180;107;18;28;396;447
21;77,51;234,91;0,00;0,00;0,00;0,23;0,00;0,00;283;126;129;21;29;516;637
22;37,05;-164,45;0,00;0,00;0,00;-0,16;0,00;0,00;175;144;143;20;37;697;951
23;42,35;-31,39;0,00;0,00;0,00;-0,03;0,00;0,00;147;92;92;20;18;928;737
24;56,20;-29,92;0,00;0,00;0,00;-0,03;0,00;0,00;314;104;134;16;16;852;290
25;51,47;9,29;0,00;0,00;0,00;0,01;0,00;0,00;472;92;50;10;16;165;272
26;43,89;-180,22;0,00;0,00;0,00;-0,18;0,00;0,00;281;184;129;33;26;453;452
27;37,19;-79,23;0,00;0,00;0,00;-0,08;0,00;0,00;107;115;191;33;18;986;307
28;46,64;12,44;0,00;0,00;0,00;0,01;0,00;0,00;436;13;154;11;23;747;162
29;48,93;94,41;0,00;0,00;0,00;0,09;0,00;0,00;89;87;172;33;20;582;343
30;48,01;-5,12;0,00;0,00;0,00;-0,01;0,00;0,00;401;72;193;41;23;350;790
31;66,07;149,57;0,00;0,00;0,00;0,15;0,00;0,00;331;78;143;33;15;199;988
32;39,59;-66,39;0,00;0,00;0,00;-0,07;0,00;0,00;367;147;45;42;34;781;432
33;51,19;32,48;0,00;0,00;0,00;0,03;0,00;0,00;362;52;77;31;37;222;215
34;34,06;-174,77;0,00;0,00;0,00;-0,17;0,00;0,00;433;112;198;13;24;547;233
35;43,10;-42,04;0,00;0,00;0,00;-0,04;0,00;0,00;53;165;184;14;32;307;808
36;55,54;25,56;0,00;0,00;0,00;0,03;0,00;0,00;278;71;115;30;17;384;888
37;41,36;-168,90;0,00;0,00;0,00;-0,17;0,00;0,00;377;180;129;38;34;661;192
38;54,96;-53,47;0,00;0,00;0,00;-0,05;0,00;0,00;50;154;119;21;23;995;955
39;100,00;449,91;0,00;0,00;0,00;0,45;0,00;0,00;60;146;46;45;20;260;861
40;53,50;10,60;0,00;0,00;0,00;0,01;0,00;0,00;127;27;199;48;34;789;634
41;40,72;-56,29;0,00;0,00;0,00;-0,06;0,00;0,00;438;32;40;28;29;230;716
42;41,85;-101,12;0,00;0,00;0,00;-0,10;0,00;0,00;231;14;54;11;18;381;314
43;47,47;53,96;0,00;0,00;0,00;0,05;0,00;0,00;398;181;194;23;28;950;468
44;62,70;169,83;0,00;0,00;0,00;0,17;0,00;0,00;173;47;187;32;33;846;657
45;35,13;-180,79;0,00;0,00;0,00;-0,18;0,00;0,00;312;64;151;44;27;529;191
46;50,12;21,57;0,00;0,00;0,00;0,02;0,00;0,00;383;115;63;37;34;555;583
47;75,00;335,08;0,00;0,00;0,00;0,34;0,00;0,00;440;79;182;45;18;705;798
48;34,78;-193,89;0,00;0,00;0,00;-0,19;0,00;0,00;425;14;24;27;35;391;136
49;42,07;-161,57;0,00;0,00;0,00;-0,16;0,00;0,00;45;54;29;36;28;679;584
50;22,15;-265,31;0,00;0,00;0,00;-0,27;0,00;0,00;159;148;123;26;30;797;642
51;38,75;-43,59;0,00;0,00;0,00;-0,04;0,00;0,00;372;38;132;26;31;166;319
52;48,62;-43,54;0,00;0,00;0,00;-0,04;0,00;0,00;271;108;191;23;24;680;859
53;51,96;27,93;0,00;0,00;0,00;0,03;0,00;0,00;177;71;33;46;34;354;451
54;39,93;-53,16;0,00;0,00;0,00;-0,05;0,00;0,00;367;178;27;30;29;333;773
55;94,73;393,86;0,00;0,00;0,00;0,39;0,00;0,00;36;158;99;17;37;221;779
56;58,52;14,86;0,00;0,00;0,00;0,01;0,00;0,00;38;49;45;37;16;312;524
57;40,68;-59,80;0,00;0,00;0,00;-0,06;0,00;0,00;455;89;62;19;16;338;211
58;69,40;187,25;0,00;0,00;0,00;0,19;0,00;0,00;196;87;147;41;21;859;128
59;48,91;-31,65;0,00;0,00;0,00;-0,03;0,00;0,00;429;114;166;29;24;876;982
60;79,65;247,45;0,00;0,00;0,00;0,25;0,00;0,00;373;78;123;45;15;652;658
61;44,48;-82,74;0,00;0,00;0,00;-0,08;0,00;0,00;139;32;41;37;27;435;572
62;52,44;18,50;0,00;0,00;0,00;0,02;0,00;0,00;454;13;155;43;21;424;944
63;47,22;-132,34;0,00;0,00;0,00;-0,13;0,00;0,00;400;15;35;37;31;883;823
64;28,60;-240,51;0,00;0,00;0,00;-0,24;0,00;0,00;347;188;126;12;21;907;771
65;57,89;1,53;0,00;0,00;0,00;0,00;0,00;0,00;400;82;28;11;38;367;689
66;80,66;297,24;0,00;0,00;0,00;0,30;0,00;0,00;210;46;171;38;38;138;225
67;45,49;-79,65;0,00;0,00;0,00;-0,08;0,00;0,00;429;113;67;41;32;952;406
