Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;20,09;-408,62;0,00;0,00;0,00;-0,41;0,00;0,00;120;37;181;24;16;525;131
2;37,88;-209,12;0,00;0,00;0,00;-0,21;0,00;0,00;65;159;111;20;39;645;272
3;3,06;-615,04;0,00;0,00;0,00;-0,62;0,00;0,00;309;162;185;13;24;818;483
4;24,48;-427,62;0,00;0,00;0,00;-0,43;0,00;0,00;437;145;113;48;34;622;693
5;14,25;-619,21;0,00;0,00;0,00;-0,62;0,00;0,00;42;163;62;40;28;417;198
6;54,83;-134,83;0,00;0,00;0,00;-0,13;0,00;0,00;437;181;130;32;17;879;183
7;60,27;-45,69;0,00;0,00;0,00;-0,05;0,00;0,00;486;42;135;13;34;797;138
8;67,03;-14,48;0,00;0,00;0,00;-0,01;0,00;0,00;435;28;133;46;30;332;408
9;64,70;-33,49;0,00;0,00;0,00;-0,03;0,00;0,00;398;46;151;31;17;685;424
10;27,43;-300,52;0,00;0,00;0,00;-0,30;0,00;0,00;387;134;107;12;22;854;332
11;0,00;-687,08;0,00;0,00;0,00;-0,69;0,00;0,00;268;28;89;33;39;423;165
12;37,03;-306,06;0,00;0,00;0,00;-0,31;0,00;0,00;340;151;13;15;35;124;871
13;33,58;-319,41;0,00;0,00;0,00;-0,32;0,00;0,00;475;85;136;39;20;821;397
14;45,46;-180,61;0,00;0,00;0,00;-0,18;0,00;0,00;473;89;157;26;24;384;380
15;44,98;-228,11;0,00;0,00;0,00;-0,23;0,00;0,00;437;13;190;48;15;385;548
16;39,41;-216,34;0,00;0,00;0,00;-0,22;0,00;0,00;156;113;156;48;31;796;179
17;70,40;31,51;0,00;0,00;0,00;0,03;0,00;0,00;228;103;95;35;27;895;794
18;93,55;210,39;0,00;0,00;0,00;0,21;0,00;0,00;477;150;128;29;20;701;788
19;100,00;274,31;0,00;0,00;0,00;0,27;0,00;0,00;244;58;73;47;31;518;225
20;35,92;-365,43;0,00;0,00;0,00;-0,37;0,00;0,00;334;121;61;29;16;750;171
21;36,67;-378,13;0,00;0,00;0,00;-0,38;0,00;0,00;219;153;67;17;18;324;153
22;56,55;-109,31;0,00;0,00;0,00;-0,11;0,00;0,00;121;186;146;30;21;507;893
23;73,23;45,34;0,00;0,00;0,00;0,05;0,00;0,00;136;100;151;39;23;163;787
24;71,73;53,57;0,00;0,00;0,00;0,05;0,00;0,00;291;96;36;44;23;764;474
25;29,44;-321,42;0,00;0,00;0,00;-0,32;0,00;0,00;158;34;103;23;36;639;826
26;60,63;-129,27;0,00;0,00;0,00;-0,13;0,00;0,00;460;134;14;25;34;549;328
27;72,97;60,49;0,00;0,00;0,00;0,06;0,00;0,00;305;30;142;37;26;513;541
28;38,03;-334,20;0,00;0,00;0,00;-0,33;0,00;0,00;44;98;65;13;29;166;425
29;35,70;-264,32;0,00;0,00;0,00;-0,26;0,00;0,00;468;63;194;26;29;554;716
30;92,35;350,69;0,00;0,00;0,00;0,35;0,00;0,00;228;57;167;47;29;269;648
31;51,06;-163,10;0,00;0,00;0,00;-0,16;0,00;0,00;480;40;79;39;27;633;109
32;27,89;-443,80;0,00;0,00;0,00;-0,44;0,00;0,00;160;197;26;18;21;235;974
33;62,87;-85,21;0,00;0,00;0,00;-0,09;0,00;0,00;409;135;143;17;34;868;582
34;30,13;-361,14;0,00;0,00;0,00;-0,36;0,00;0,00;370;70;39;43;39;347;851
35;46,60;-249,77;0,00;0,00;0,00;-0,25;0,00;0,00;480;95;45;15;17;737;418
36;60,54;-103,11;0,00;0,00;0,00;-0,10;0,00;0,00;52;80;116;22;23;817;422
37;66,43;48,77;0,00;0,00;0,00;0,05;0,00;0,00;133;117;173;23;37;718;703
38;55,56;-257,72;0,00;0,00;0,00;-0,26;0,00;0,00;437;129;108;15;16;411;662
39;44,25;-249,38;0,00;0,00;0,00;-0,25;0,00;0,00;12;182;108;30;31;429;198
40;42,57;-184,00;0,00;0,00;0,00;-0,18;0,00;0,00;351;81;154;21;21;781;998
41;48,09;-149,60;0,00;0,00;0,00;-0,15;0,00;0,00;398;57;18;17;37;632;515
42;9,94;-664,61;0,00;0,00;0,00;-0,66;0,00;0,00;181;119;36;26;34;798;594
43;14,46;-488,55;0,00;0,00;0,00;-0,49;0,00;0,00;304;25;53;33;30;697;637
44;73,28;-13,24;0,00;0,00;0,00;-0,01;0,00;0,00;460;179;155;24;38;813;396
45;67,42;8,99;0,00;0,00;0,00;0,01;0,00;0,00;226;150;164;13;24;730;805
46;61,63;-46,21;0,00;0,00;0,00;-0,05;0,00;0,00;31;139;138;25;21;739;420
47;86,58;125,05;0,00;0,00;0,00;0,13;0,00;0,00;369;87;150;43;19;230;144
48;57,25;-235,65;0,00;0,00;0,00;-0,24;0,00;0,00;81;77;104;45;21;828;592
49;22,91;-459,14;0,00;0,00;0,00;-0,46;0,00;0,00;47;180;25;16;19;915;958
50;52,35;-228,95;0,00;0,00;0,00;-0,23;0,00;0,00;244;100;73;49;27;931;925
51;0,00;-830,11;0,00;0,00;0,00;-0,83;0,00;0,00;235;120;196;32;34;550;147
52;29,16;-449,02;0,00;0,00;0,00;-0,45;0,00;0,00;375;35;150;39;19;702;770
53;50,63;-148,27;0,00;0,00;0,00;-0,15;0,00;0,00;55;119;15;15;21;325;711
54;38,84;-390,19;0,00;0,00;0,00;-0,39;0,00;0,00;472;157;97;15;34;959;459
55;36,60;-266,07;0,00;0,00;0,00;-0,27;0,00;0,00;114;171;170;36;35;665;550
