Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;38,45;-305,00;0,00;0,00;0,00;-0,31;0,00;0,00;468;140;81;44;17;705;176
2;0,19;-732,68;0,00;0,00;0,00;-0,73;0,00;0,00;250;16;151;17;36;686;828
3;40,96;-315,87;0,00;0,00;0,00;-0,32;0,00;0,00;384;180;51;29;18;720;386
4;80,80;38,83;0,00;0,00;0,00;0,04;0,00;0,00;389;131;38;46;16;367;374
5;58,57;-98,55;0,00;0,00;0,00;-0,10;0,00;0,00;441;73;30;17;22;506;767
6;38,60;-375,77;0,00;0,00;0,00;-0,38;0,00;0,00;374;51;174;28;16;169;468
7;92,99;239,75;0,00;0,00;0,00;0,24;0,00;0,00;175;178;179;40;35;318;875
8;47,30;-130,13;0,00;0,00;0,00;-0,13;0,00;0,00;43;55;150;45;33;669;928
9;57,15;-95,19;0,00;0,00;0,00;-0,10;0,00;0,00;191;102;44;45;31;564;407
10;89,92;190,07;0,00;0,00;0,00;0,19;0,00;0,00;316;192;83;49;33;948;183
11;59,93;-94,46;0,00;0,00;0,00;-0,09;0,00;0,00;467;157;72;30;30;889;394
12;55,69;-167,99;0,00;0,00;0,00;-0,17;0,00;0,00;317;159;120;35;36;597;985
13;51,17;-200,98;0,00;0,00;0,00;-0,20;0,00;0,00;252;63;61;24;24;775;998
14;35,52;-351,11;0,00;0,00;0,00;-0,35;0,00;0,00;319;170;194;29;30;890;525
15;53,30;-158,26;0,00;0,00;0,00;-0,16;0,00;0,00;226;182;160;12;25;960;541
16;46,04;-274,35;0,00;0,00;0,00;-0,27;0,00;0,00;465;168;161;41;36;606;633
17;5,19;-737,28;0,00;0,00;0,00;-0,74;0,00;0,00;34;74;172;26;18;561;522
18;56,54;-139,49;0,00;0,00;0,00;-0,14;0,00;0,00;253;176;43;45;15;982;614
19;65,64;-79,96;0,00;0,00;0,00;-0,08;0,00;0,00;314;90;167;30;26;995;705
20;25,51;-457,09;0,00;0,00;0,00;-0,46;0,00;0,00;115;127;60;49;36;202;227
21;23,98;-398,53;0,00;0,00;0,00;-0,40;0,00;0,00;419;126;179;26;20;652;249
22;53,80;-172,63;0,00;0,00;0,00;-0,17;0,00;0,00;421;120;55;46;28;294;574
23;89,71;97,53;0,00;0,00;0,00;0,10;0,00;0,00;101;139;185;30;27;249;144
24;45,18;-248,71;0,00;0,00;0,00;-0,25;0,00;0,00;200;144;143;37;36;818;451
25;32,66;-317,88;0,00;0,00;0,00;-0,32;0,00;0,00;23;57;83;28;35;142;189
26;44,88;-236,60;0,00;0,00;0,00;-0,24;0,00;0,00;403;61;185;21;16;627;705
27;60,30;-114,55;0,00;0,00;0,00;-0,11;0,00;0,00;160;66;176;12;17;225;358
28;26,55;-388,22;0,00;0,00;0,00;-0,39;0,00;0,00;319;179;173;47;19;455;489
29;43,72;-260,70;0,00;0,00;0,00;-0,26;0,00;0,00;68;131;16;42;28;156;641
30;79,22;97,47;0,00;0,00;0,00;0,10;0,00;0,00;10;170;79;47;32;364;998
31;11,31;-561,84;0,00;0,00;0,00;-0,56;0,00;0,00;337;140;180;33;24;388;626
32;59,79;-94,54;0,00;0,00;0,00;-0,09;0,00;0,00;129;174;72;44;37;949;222
33;93,67;236,98;0,00;0,00;0,00;0,24;0,00;0,00;304;112;142;36;18;467;748
34;86,69;133,33;0,00;0,00;0,00;0,13;0,00;0,00;115;146;148;49;23;739;339
35;7,89;-601,55;0,00;0,00;0,00;-0,60;0,00;0,00;427;171;52;28;27;980;233
36;61,74;-127,53;0,00;0,00;0,00;-0,13;0,00;0,00;369;148;184;15;23;109;334
37;100,00;318,91;0,00;0,00;0,00;0,32;0,00;0,00;189;152;175;38;19;218;529
38;71,58;100,44;0,00;0,00;0,00;0,10;0,00;0,00;90;88;187;13;15;759;141
39;52,17;-104,27;0,00;0,00;0,00;-0,10;0,00;0,00;421;189;146;45;31;367;574
40;25,98;-387,28;0,00;0,00;0,00;-0,39;0,00;0,00;70;44;109;16;37;960;597
41;79,89;92,95;0,00;0,00;0,00;0,09;0,00;0,00;158;66;71;47;31;318;831
42;51,58;-170,48;0,00;0,00;0,00;-0,17;0,00;0,00;159;115;88;33;29;217;588
43;46,23;-276,81;0,00;0,00;0,00;-0,28;0,00;0,00;379;91;90;30;33;384;548
44;83,25;289,15;0,00;0,00;0,00;0,29;0,00;0,00;353;155;174;42;38;651;674
45;62,89;-41,77;0,00;0,00;0,00;-0,04;0,00;0,00;243;148;121;16;21;638;478
46;27,71;-364,21;0,00;0,00;0,00;-0,36;0,00;0,00;292;143;48;41;21;529;359
47;27,88;-458,94;0,00;0,00;0,00;-0,46;0,00;0,00;13;83;34;44;27;952;622
48;82,07;226,94;0,00;0,00;0,00;0,23;0,00;0,00;294;79;43;21;27;113;306
49;52,55;-200,93;0,00;0,00;0,00;-0,20;0,00;0,00;334;75;116;13;39;799;411
50;20,54;-412,48;0,00;0,00;0,00;-0,41;0,00;0,00;141;104;62;33;21;693;195
51;17,68;-525,93;0,00;0,00;0,00;-0,53;0,00;0,00;284;196;38;24;37;583;727
52;61,96;1,28;0,00;0,00;0,00;0,00;0,00;0,00;468;19;28;48;35;557;461
53;100,00;284,23;0,00;0,00;0,00;0,28;0,00;0,00;301;69;119;22;33;133;189
54;12,65;-539,93;0,00;0,00;0,00;-0,54;0,00;0,00;140;87;136;12;33;357;559
55;63,79;-82,70;0,00;0,00;0,00;-0,08;0,00;0,00;175;34;119;38;38;101;231
56;10,93;-514,92;0,00;0,00;0,00;-0,51;0,00;0,00;392;128;143;34;31;684;975
57;51,20;-180,82;0,00;0,00;0,00;-0,18;0,00;0,00;443;129;166;41;33;868;601
58;42,45;-291,03;0,00;0,00;0,00;-0,29;0,00;0,00;440;108;62;18;20;434;796
59;29,84;-408,98;0,00;0,00;0,00;-0,41;0,00;0,00;388;68;170;20;26;893;428
60;56,30;-100,49;0,00;0,00;0,00;-0,10;0,00;0,00;133;17;162;20;30;324;495
61;16,31;-467,05;0,00;0,00;0,00;-0,47;0,00;0,00;177;183;30;31;15;867;233
62;72,31;15,68;0,00;0,00;0,00;0,02;0,00;0,00;348;164;120;27;37;826;798
63;31,33;-343,88;0,00;0,00;0,00;-0,34;0,00;0,00;76;64;121;26;37;617;659
64;42,62;-318,07;0,00;0,00;0,00;-0,32;0,00;0,00;228;94;12;47;22;399;608
65;34,77;-337,14;0,00;0,00;0,00;-0,34;0,00;0,00;219;162;178;30;17;400;553
66;74,21;49,19;0,00;0,00;0,00;0,05;0,00;0,00;201;150;24;41;35;408;499
67;86,39;66,88;0,00;0,00;0,00;0,07;0,00;0,00;277;30;182;24;22;649;932
68;38,91;-305,98;0,00;0,00;0,00;-0,31;0,00;0,00;396;145;24;34;35;606;628
69;19,52;-538,95;0,00;0,00;0,00;-0,54;0,00;0,00;222;13;113;11;32;216;111
70;100,00;265,66;0,00;0,00;0,00;0,27;0,00;0,00;295;189;107;29;26;569;552
71;58,21;-179,83;0,00;0,00;0,00;-0,18;0,00;0,00;396;157;48;38;18;143;358
72;42,25;-267,55;0,00;0,00;0,00;-0,27;0,00;0,00;421;50;159;44;28;668;128
73;47,11;-123,13;0,00;0,00;0,00;-0,12;0,00;0,00;204;127;48;17;24;820;322
74;43,29;-255,15;0,00;0,00;0,00;-0,26;0,00;0,00;459;85;65;30;18;841;544
75;24,29;-505,89;0,00;0,00;0,00;-0,51;0,00;0,00;420;40;40;37;29;147;572
76;47,62;-227,57;0,00;0,00;0,00;-0,23;0,00;0,00;458;97;186;18;35;150;518
77;55,03;-141,58;0,00;0,00;0,00;-0,14;0,00;0,00;149;21;63;18;22;862;782
78;61,01;-158,07;0,00;0,00;0,00;-0,16;0,00;0,00;379;66;43;11;24;303;953
