Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;13,18;-628,05;0,00;0,00;0,00;-0,63;0,00;0,00;206;140;81;44;17;705;176
2;13,53;-572,41;0,00;0,00;0,00;-0,57;0,00;0,00;428;16;151;17;36;686;828
3;32,16;-340,25;0,00;0,00;0,00;-0,34;0,00;0,00;405;180;51;29;18;720;386
4;81,83;217,66;0,00;0,00;0,00;0,22;0,00;0,00;239;131;38;46;16;367;374
5;29,83;-518,68;0,00;0,00;0,00;-0,52;0,00;0,00;72;73;30;17;22;506;767
6;60,07;-90,83;0,00;0,00;0,00;-0,09;0,00;0,00;444;51;174;28;16;169;468
7;51,89;-216,29;0,00;0,00;0,00;-0,22;0,00;0,00;421;178;179;40;35;318;875
8;21,29;-474,24;0,00;0,00;0,00;-0,47;0,00;0,00;436;55;150;45;33;669;928
9;62,47;-36,08;0,00;0,00;0,00;-0,04;0,00;0,00;31;102;44;45;31;564;407
10;76,82;130,31;0,00;0,00;0,00;0,13;0,00;0,00;39;192;83;49;33;948;183
11;43,74;-235,83;0,00;0,00;0,00;-0,24;0,00;0,00;217;157;72;30;30;889;394
12;36,79;-333,32;0,00;0,00;0,00;-0,33;0,00;0,00;80;159;120;35;36;597;985
13;26,54;-491,43;0,00;0,00;0,00;-0,49;0,00;0,00;483;63;61;24;24;775;998
14;20,83;-527,90;0,00;0,00;0,00;-0,53;0,00;0,00;276;170;194;29;30;890;525
15;23,88;-508,76;0,00;0,00;0,00;-0,51;0,00;0,00;220;182;160;12;25;960;541
16;48,62;-258,15;0,00;0,00;0,00;-0,26;0,00;0,00;456;168;161;41;36;606;633
17;9,91;-631,52;0,00;0,00;0,00;-0,63;0,00;0,00;56;74;172;26;18;561;522
18;100,00;206,37;0,00;0,00;0,00;0,21;0,00;0,00;294;176;43;45;15;982;614
19;50,19;-221,81;0,00;0,00;0,00;-0,22;0,00;0,00;362;90;167;30;26;995;705
20;33,31;-327,16;0,00;0,00;0,00;-0,33;0,00;0,00;463;127;60;49;36;202;227
21;61,60;-69,69;0,00;0,00;0,00;-0,07;0,00;0,00;305;126;179;26;20;652;249
22;58,97;-66,57;0,00;0,00;0,00;-0,07;0,00;0,00;459;120;55;46;28;294;574
23;13,75;-593,54;0,00;0,00;0,00;-0,59;0,00;0,00;334;139;185;30;27;249;144
24;49,38;-197,41;0,00;0,00;0,00;-0,20;0,00;0,00;299;144;143;37;36;818;451
25;79,61;64,52;0,00;0,00;0,00;0,06;0,00;0,00;360;57;83;28;35;142;189
26;77,90;117,15;0,00;0,00;0,00;0,12;0,00;0,00;390;61;185;21;16;627;705
27;73,16;7,51;0,00;0,00;0,00;0,01;0,00;0,00;447;66;176;12;17;225;358
28;12,70;-483,03;0,00;0,00;0,00;-0,48;0,00;0,00;231;179;173;47;19;455;489
29;55,29;-140,65;0,00;0,00;0,00;-0,14;0,00;0,00;275;131;16;42;28;156;641
30;31,27;-354,89;0,00;0,00;0,00;-0,35;0,00;0,00;232;170;79;47;32;364;998
31;37,61;-292,48;0,00;0,00;0,00;-0,29;0,00;0,00;62;140;180;33;24;388;626
32;65,89;-45,43;0,00;0,00;0,00;-0,05;0,00;0,00;311;174;72;44;37;949;222
33;74,52;85,13;0,00;0,00;0,00;0,09;0,00;0,00;453;112;142;36;18;467;748
34;100,00;298,10;0,00;0,00;0,00;0,30;0,00;0,00;246;146;148;49;23;739;339
35;10,10;-645,03;0,00;0,00;0,00;-0,65;0,00;0,00;133;171;52;28;27;980;233
36;67,71;-20,77;0,00;0,00;0,00;-0,02;0,00;0,00;276;148;184;15;23;109;334
37;100,00;245,77;0,00;0,00;0,00;0,25;0,00;0,00;165;152;175;38;19;218;529
38;58,99;-81,45;0,00;0,00;0,00;-0,08;0,00;0,00;252;88;187;13;15;759;141
39;61,78;-96,71;0,00;0,00;0,00;-0,10;0,00;0,00;289;189;146;45;31;367;574
40;36,09;-364,25;0,00;0,00;0,00;-0,36;0,00;0,00;84;44;109;16;37;960;597
41;56,53;-153,49;0,00;0,00;0,00;-0,15;0,00;0,00;465;66;71;47;31;318;831
42;20,48;-529,90;0,00;0,00;0,00;-0,53;0,00;0,00;470;115;88;33;29;217;588
43;77,38;74,21;0,00;0,00;0,00;0,07;0,00;0,00;190;91;90;30;33;384;548
44;37,55;-234,33;0,00;0,00;0,00;-0,23;0,00;0,00;130;155;174;42;38;651;674
45;71,94;-11,03;0,00;0,00;0,00;-0,01;0,00;0,00;204;148;121;16;21;638;478
46;54,03;-103,36;0,00;0,00;0,00;-0,10;0,00;0,00;239;143;48;41;21;529;359
47;58,48;-231,95;0,00;0,00;0,00;-0,23;0,00;0,00;92;83;34;44;27;952;622
48;100,00;226,20;0,00;0,00;0,00;0,23;0,00;0,00;249;79;43;21;27;113;306
49;53,44;-134,78;0,00;0,00;0,00;-0,13;0,00;0,00;187;75;116;13;39;799;411
50;60,68;-57,01;0,00;0,00;0,00;-0,06;0,00;0,00;97;104;62;33;21;693;195
51;23,06;-514,05;0,00;0,00;0,00;-0,51;0,00;0,00;190;196;38;24;37;583;727
52;48,61;-161,61;0,00;0,00;0,00;-0,16;0,00;0,00;29;19;28;48;35;557;461
53;76,86;69,75;0,00;0,00;0,00;0,07;0,00;0,00;52;69;119;22;33;133;189
54;2,31;-738,26;0,00;0,00;0,00;-0,74;0,00;0,00;471;87;136;12;33;357;559
55;56,96;-148,64;0,00;0,00;0,00;-0,15;0,00;0,00;413;34;119;38;38;101;231
56;0,00;-679,36;0,00;0,00;0,00;-0,68;0,00;0,00;374;128;143;34;31;684;975
57;50,35;-212,44;0,00;0,00;0,00;-0,21;0,00;0,00;306;129;166;41;33;868;601
58;56,22;-84,77;0,00;0,00;0,00;-0,08;0,00;0,00;202;108;62;18;20;434;796
59;95,89;261,56;0,00;0,00;0,00;0,26;0,00;0,00;174;68;170;20;26;893;428
60;35,19;-322,72;0,00;0,00;0,00;-0,32;0,00;0,00;459;17;162;20;30;324;495
61;0,00;-629,28;0,00;0,00;0,00;-0,63;0,00;0,00;472;183;30;31;15;867;233
62;23,30;-437,47;0,00;0,00;0,00;-0,44;0,00;0,00;246;164;120;27;37;826;798
63;60,88;-148,43;0,00;0,00;0,00;-0,15;0,00;0,00;416;64;121;26;37;617;659
64;60,82;-139,41;0,00;0,00;0,00;-0,14;0,00;0,00;59;94;12;47;22;399;608
65;87,85;124,80;0,00;0,00;0,00;0,12;0,00;0,00;245;162;178;30;17;400;553
66;40,05;-291,37;0,00;0,00;0,00;-0,29;0,00;0,00;408;150;24;41;35;408;499
67;30,94;-370,87;0,00;0,00;0,00;-0,37;0,00;0,00;75;30;182;24;22;649;932
68;31,60;-374,52;0,00;0,00;0,00;-0,37;0,00;0,00;461;145;24;34;35;606;628
69;40,10;-233,17;0,00;0,00;0,00;-0,23;0,00;0,00;341;13;113;11;32;216;111
70;63,35;-21,67;0,00;0,00;0,00;-0,02;0,00;0,00;428;189;107;29;26;569;552
