Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;41,29;-330,62;0,00;0,00;0,00;-0,33;0,00;0,00;98;37;181;24;16;525;131
2;50,63;-152,60;0,00;0,00;0,00;-0,15;0,00;0,00;29;159;111;20;39;645;272
3;9,34;-542,81;0,00;0,00;0,00;-0,54;0,00;0,00;258;162;185;13;24;818;483
4;17,10;-475,96;0,00;0,00;0,00;-0,48;0,00;0,00;365;145;113;48;34;622;693
5;61,93;-88,89;0,00;0,00;0,00;-0,09;0,00;0,00;127;163;62;40;28;417;198
6;52,66;-151,04;0,00;0,00;0,00;-0,15;0,00;0,00;205;181;130;32;17;879;183
7;84,02;254,59;0,00;0,00;0,00;0,25;0,00;0,00;402;42;135;13;34;797;138
8;39,07;-325,14;0,00;0,00;0,00;-0,33;0,00;0,00;287;28;133;46;30;332;408
9;71,85;5,90;0,00;0,00;0,00;0,01;0,00;0,00;384;46;151;31;17;685;424
10;51,97;-176,47;0,00;0,00;0,00;-0,18;0,00;0,00;213;134;107;12;22;854;332
11;2,22;-588,05;0,00;0,00;0,00;-0,59;0,00;0,00;199;28;89;33;39;423;165
12;46,17;-312,55;0,00;0,00;0,00;-0,31;0,00;0,00;84;151;13;15;35;124;871
13;54,10;-155,22;0,00;0,00;0,00;-0,16;0,00;0,00;39;85;136;39;20;821;397
14;41,95;-258,20;0,00;0,00;0,00;-0,26;0,00;0,00;453;89;157;26;24;384;380
15;43,03;-293,61;0,00;0,00;0,00;-0,29;0,00;0,00;71;13;190;48;15;385;548
16;0,00;-673,85;0,00;0,00;0,00;-0,67;0,00;0,00;377;113;156;48;31;796;179
17;16,57;-508,68;0,00;0,00;0,00;-0,51;0,00;0,00;60;103;95;35;27;895;794
18;43,30;-208,80;0,00;0,00;0,00;-0,21;0,00;0,00;456;150;128;29;20;701;788
19;70,69;19,92;0,00;0,00;0,00;0,02;0,00;0,00;417;58;73;47;31;518;225
20;60,34;-159,91;0,00;0,00;0,00;-0,16;0,00;0,00;368;121;61;29;16;750;171
21;53,67;-110,86;0,00;0,00;0,00;-0,11;0,00;0,00;90;153;67;17;18;324;153
22;77,66;199,89;0,00;0,00;0,00;0,20;0,00;0,00;167;186;146;30;21;507;893
23;83,01;-6,97;0,00;0,00;0,00;-0,01;0,00;0,00;465;100;151;39;23;163;787
24;73,28;35,06;0,00;0,00;0,00;0,04;0,00;0,00;141;96;36;44;23;764;474
25;23,16;-511,72;0,00;0,00;0,00;-0,51;0,00;0,00;361;34;103;23;36;639;826
26;83,35;140,89;0,00;0,00;0,00;0,14;0,00;0,00;347;134;14;25;34;549;328
27;76,84;74,36;0,00;0,00;0,00;0,07;0,00;0,00;442;30;142;37;26;513;541
28;60,27;-133,86;0,00;0,00;0,00;-0,13;0,00;0,00;462;98;65;13;29;166;425
29;45,28;-247,96;0,00;0,00;0,00;-0,25;0,00;0,00;355;63;194;26;29;554;716
30;72,01;87,67;0,00;0,00;0,00;0,09;0,00;0,00;268;57;167;47;29;269;648
31;63,58;-94,28;0,00;0,00;0,00;-0,09;0,00;0,00;394;40;79;39;27;633;109
32;63,72;-80,58;0,00;0,00;0,00;-0,08;0,00;0,00;366;197;26;18;21;235;974
33;78,07;27,66;0,00;0,00;0,00;0,03;0,00;0,00;473;135;143;17;34;868;582
34;53,48;-154,21;0,00;0,00;0,00;-0,15;0,00;0,00;352;70;39;43;39;347;851
35;49,88;-262,04;0,00;0,00;0,00;-0,26;0,00;0,00;403;95;45;15;17;737;418
36;12,21;-636,17;0,00;0,00;0,00;-0,64;0,00;0,00;172;80;116;22;23;817;422
37;48,64;-295,40;0,00;0,00;0,00;-0,30;0,00;0,00;374;117;173;23;37;718;703
38;44,93;-301,37;0,00;0,00;0,00;-0,30;0,00;0,00;252;129;108;15;16;411;662
39;62,57;-115,14;0,00;0,00;0,00;-0,12;0,00;0,00;302;182;108;30;31;429;198
40;31,97;-470,76;0,00;0,00;0,00;-0,47;0,00;0,00;186;81;154;21;21;781;998
41;72,60;38,92;0,00;0,00;0,00;0,04;0,00;0,00;247;57;18;17;37;632;515
42;29,54;-424,60;0,00;0,00;0,00;-0,42;0,00;0,00;330;119;36;26;34;798;594
43;24,31;-507,10;0,00;0,00;0,00;-0,51;0,00;0,00;405;25;53;33;30;697;637
44;9,09;-624,07;0,00;0,00;0,00;-0,62;0,00;0,00;57;179;155;24;38;813;396
45;58,02;-151,63;0,00;0,00;0,00;-0,15;0,00;0,00;215;150;164;13;24;730;805
46;66,47;-28,10;0,00;0,00;0,00;-0,03;0,00;0,00;62;139;138;25;21;739;420
47;31,15;-469,36;0,00;0,00;0,00;-0,47;0,00;0,00;85;87;150;43;19;230;144
48;85,63;178,26;0,00;0,00;0,00;0,18;0,00;0,00;357;77;104;45;21;828;592
49;72,72;-51,56;0,00;0,00;0,00;-0,05;0,00;0,00;174;180;25;16;19;915;958
50;25,92;-522,76;0,00;0,00;0,00;-0,52;0,00;0,00;164;100;73;49;27;931;925
51;60,69;-47,14;0,00;0,00;0,00;-0,05;0,00;0,00;227;120;196;32;34;550;147
52;30,00;-455,52;0,00;0,00;0,00;-0,46;0,00;0,00;360;35;150;39;19;702;770
53;55,46;-153,96;0,00;0,00;0,00;-0,15;0,00;0,00;355;119;15;15;21;325;711
54;26,20;-469,57;0,00;0,00;0,00;-0,47;0,00;0,00;392;157;97;15;34;959;459
55;31,08;-482,37;0,00;0,00;0,00;-0,48;0,00;0,00;148;171;170;36;35;665;550
56;72,72;38,62;0,00;0,00;0,00;0,04;0,00;0,00;204;151;105;26;26;361;215
57;56,21;-182,83;0,00;0,00;0,00;-0,18;0,00;0,00;198;18;56;17;27;932;854
58;29,14;-439,31;0,00;0,00;0,00;-0,44;0,00;0,00;406;63;51;18;19;464;291
59;56,07;-152,32;0,00;0,00;0,00;-0,15;0,00;0,00;241;87;119;30;30;174;136
60;20,70;-536,75;0,00;0,00;0,00;-0,54;0,00;0,00;154;105;19;43;19;355;605
61;61,79;-94,76;0,00;0,00;0,00;-0,09;0,00;0,00;32;167;147;48;30;152;159
62;41,60;-235,35;0,00;0,00;0,00;-0,24;0,00;0,00;330;188;87;33;15;541;112
63;50,17;-267,34;0,00;0,00;0,00;-0,27;0,00;0,00;454;84;150;33;21;588;834
64;95,23;248,03;0,00;0,00;0,00;0,25;0,00;0,00;471;171;198;29;18;843;924
65;0,85;-794,32;0,00;0,00;0,00;-0,79;0,00;0,00;437;38;166;37;31;294;488
66;0,00;-758,53;0,00;0,00;0,00;-0,76;0,00;0,00;212;179;144;27;17;901;444
67;33,34;-424,12;0,00;0,00;0,00;-0,42;0,00;0,00;143;188;166;13;32;993;881
68;35,35;-358,89;0,00;0,00;0,00;-0,36;0,00;0,00;226;32;191;43;39;182;924
69;36,81;-337,90;0,00;0,00;0,00;-0,34;0,00;0,00;393;144;164;20;30;638;142
70;62,48;-57,41;0,00;0,00;0,00;-0,06;0,00;0,00;386;137;127;45;30;807;377
71;0,00;-617,29;0,00;0,00;0,00;-0,62;0,00;0,00;432;118;160;44;15;658;945
72;69,01;1,29;0,00;0,00;0,00;0,00;0,00;0,00;169;181;78;46;25;681;751
73;58,74;-171,54;0,00;0,00;0,00;-0,17;0,00;0,00;390;18;19;47;25;435;741
74;79,91;95,18;0,00;0,00;0,00;0,10;0,00;0,00;167;92;144;11;25;491;672
75;71,68;56,43;0,00;0,00;0,00;0,06;0,00;0,00;412;18;196;40;19;580;304
76;14,13;-602,11;0,00;0,00;0,00;-0,60;0,00;0,00;51;143;130;10;36;602;491
77;38,05;-315,53;0,00;0,00;0,00;-0,32;0,00;0,00;356;165;141;21;17;607;732
78;61,77;-80,14;0,00;0,00;0,00;-0,08;0,00;0,00;275;194;172;48;22;803;503
79;51,68;-213,92;0,00;0,00;0,00;-0,21;0,00;0,00;72;195;30;34;20;857;604
80;91,43;169,55;0,00;0,00;0,00;0,17;0,00;0,00;491;69;135;45;30;459;798
81;54,54;-190,81;0,00;0,00;0,00;-0,19;0,00;0,00;44;120;92;38;31;834;922
82;39,14;-358,72;0,00;0,00;0,00;-0,36;0,00;0,00;211;158;124;41;23;862;739
83;47,38;-172,29;0,00;0,00;0,00;-0,17;0,00;0,00;154;174;26;15;28;786;617
84;6,36;-611,78;0,00;0,00;0,00;-0,61;0,00;0,00;195;82;135;35;35;291;467
85;62,18;-174,07;0,00;0,00;0,00;-0,17;0,00;0,00;497;92;44;43;38;797;181
86;0,00;-764,23;0,00;0,00;0,00;-0,76;0,00;0,00;57;170;196;13;34;121;746
87;64,44;-14,27;0,00;0,00;0,00;-0,01;0,00;0,00;355;63;22;16;37;477;472
88;77,41;150,49;0,00;0,00;0,00;0,15;0,00;0,00;54;80;187;13;38;189;798
89;27,97;-496,58;0,00;0,00;0,00;-0,50;0,00;0,00;213;97;87;24;28;535;541
90;71,60;-30,97;0,00;0,00;0,00;-0,03;0,00;0,00;379;21;168;47;36;453;923
91;37,56;-312,45;0,00;0,00;0,00;-0,31;0,00;0,00;464;95;110;46;32;989;390
92;53,33;-203,18;0,00;0,00;0,00;-0,20;0,00;0,00;80;199;86;12;26;112;297
93;32,32;-455,43;0,00;0,00;0,00;-0,46;0,00;0,00;68;182;10;28;30;710;965
94;47,03;-283,55;0,00;0,00;0,00;-0,28;0,00;0,00;326;143;186;29;28;734;253
95;93,92;216,76;0,00;0,00;0,00;0,22;0,00;0,00;124;163;140;42;34;403;627
96;51,13;-166,08;0,00;0,00;0,00;-0,17;0,00;0,00;395;136;179;35;23;865;553
97;80,12;55,80;0,00;0,00;0,00;0,06;0,00;0,00;104;74;197;39;19;729;633
98;19,36;-571,59;0,00;0,00;0,00;-0,57;0,00;0,00;132;136;134;45;33;480;176
99;1,38;-683,43;0,00;0,00;0,00;-0,68;0,00;0,00;214;85;53;22;33;154;655
100;58,94;-152,80;0,00;0,00;0,00;-0,15;0,00;0,00;477;133;168;43;37;760;198
101;59,05;-101,20;0,00;0,00;0,00;-0,10;0,00;0,00;408;83;140;10;20;951;747
102;16,54;-530,64;0,00;0,00;0,00;-0,53;0,00;0,00;300;167;97;24;39;516;247
103;31,18;-452,60;0,00;0,00;0,00;-0,45;0,00;0,00;403;181;133;33;35;759;407
104;71,29;-62,66;0,00;0,00;0,00;-0,06;0,00;0,00;29;20;156;20;19;736;125
105;32,60;-359,50;0,00;0,00;0,00;-0,36;0,00;0,00;39;156;107;26;37;252;158
106;40,54;-348,33;0,00;0,00;0,00;-0,35;0,00;0,00;66;111;10;32;18;202;633
107;46,44;-299,39;0,00;0,00;0,00;-0,30;0,00;0,00;138;114;161;43;37;271;330
108;29,06;-463,15;0,00;0,00;0,00;-0,46;0,00;0,00;205;36;128;28;15;758;376
109;33,90;-274,17;0,00;0,00;0,00;-0,27;0,00;0,00;323;173;148;19;18;803;733
110;41,87;-249,92;0,00;0,00;0,00;-0,25;0,00;0,00;184;103;193;36;37;271;996
111;77,33;83,65;0,00;0,00;0,00;0,08;0,00;0,00;110;177;23;16;29;377;565
112;59,75;-106,18;0,00;0,00;0,00;-0,11;0,00;0,00;143;145;41;15;37;978;737
113;28,46;-362,64;0,00;0,00;0,00;-0,36;0,00;0,00;382;188;144;38;28;230;119
114;33,70;-312,13;0,00;0,00;0,00;-0,31;0,00;0,00;379;54;131;40;24;922;562
115;63,22;-92,58;0,00;0,00;0,00;-0,09;0,00;0,00;353;187;103;35;15;913;336
116;52,13;-165,42;0,00;0,00;0,00;-0,17;0,00;0,00;454;179;110;37;34;206;411
117;44,37;-289,77;0,00;0,00;0,00;-0,29;0,00;0,00;266;77;19;49;23;996;207
118;65,96;-68,26;0,00;0,00;0,00;-0,07;0,00;0,00;158;19;41;25;37;499;385
119;85,12;89,25;0,00;0,00;0,00;0,09;0,00;0,00;215;111;57;15;15;503;198
120;61,87;-140,26;0,00;0,00;0,00;-0,14;0,00;0,00;19;156;194;21;38;896;204
