Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;35,54;-92,90;0,00;0,00;0,00;-0,09;0,00;0,00;460;150;98;38;19;872;349
2;61,82;72,39;0,00;0,00;0,00;0,07;0,00;0,00;61;54;118;42;29;904;851
3;54,79;49,91;0,00;0,00;0,00;0,05;0,00;0,00;161;193;135;38;35;556;207
4;55,40;138,01;0,00;0,00;0,00;0,14;0,00;0,00;330;130;155;25;17;304;999
5;59,51;45,27;0,00;0,00;0,00;0,05;0,00;0,00;436;187;108;41;33;493;622
6;62,92;126,09;0,00;0,00;0,00;0,13;0,00;0,00;377;102;71;49;37;136;976
7;53,67;-19,40;0,00;0,00;0,00;-0,02;0,00;0,00;112;124;19;16;33;683;797
8;56,62;24,82;0,00;0,00;0,00;0,02;0,00;0,00;116;87;69;19;39;862;898
9;29,62;-261,10;0,00;0,00;0,00;-0,26;0,00;0,00;207;68;116;33;25;762;340
10;46,63;5,49;0,00;0,00;0,00;0,01;0,00;0,00;210;162;75;49;23;792;965
11;54,53;-23,59;0,00;0,00;0,00;-0,02;0,00;0,00;83;147;16;39;17;990;977
12;49,69;52,26;0,00;0,00;0,00;0,05;0,00;0,00;393;163;12;32;20;981;795
13;56,28;89,42;0,00;0,00;0,00;0,09;0,00;0,00;328;155;83;41;34;989;624
14;23,21;-225,07;0,00;0,00;0,00;-0,23;0,00;0,00;34;106;68;38;32;895;407
15;57,39;119,98;0,00;0,00;0,00;0,12;0,00;0,00;259;60;66;13;17;714;950
16;45,45;-85,73;0,00;0,00;0,00;-0,09;0,00;0,00;478;54;194;17;33;918;987
17;32,56;-273,65;0,00;0,00;0,00;-0,27;0,00;0,00;155;163;189;39;24;224;123
18;67,50;201,61;0,00;0,00;0,00;0,20;0,00;0,00;305;185;191;43;35;479;850
19;35,10;-16,66;0,00;0,00;0,00;-0,02;0,00;0,00;174;98;136;42;22;363;920
20;59,56;144,78;0,00;0,00;0,00;0,14;0,00;0,00;117;180;107;18;28;396;447
21;75,34;223,91;0,00;0,00;0,00;0,22;0,00;0,00;62;126;129;21;29;516;637
22;50,21;-50,49;0,00;0,00;0,00;-0,05;0,00;0,00;486;144;143;20;37;697;951
23;47,13;-65,91;0,00;0,00;0,00;-0,07;0,00;0,00;410;92;92;20;18;928;737
24;50,44;55,02;0,00;0,00;0,00;0,06;0,00;0,00;48;104;134;16;16;852;290
25;47,25;-86,85;0,00;0,00;0,00;-0,09;0,00;0,00;63;92;50;10;16;165;272
26;47,13;36,10;0,00;0,00;0,00;0,04;0,00;0,00;221;184;129;33;26;453;452
27;35,23;-109,08;0,00;0,00;0,00;-0,11;0,00;0,00;127;115;191;33;18;986;307
28;43,10;-52,82;0,00;0,00;0,00;-0,05;0,00;0,00;185;13;154;11;23;747;162
29;47,53;-27,92;0,00;0,00;0,00;-0,03;0,00;0,00;450;87;172;33;20;582;343
30;50,05;41,34;0,00;0,00;0,00;0,04;0,00;0,00;24;72;193;41;23;350;790
