Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;59,34;-144,19;0,00;0,00;0,00;-0,14;0,00;0,00;238;140;81;44;17;705;176
2;49,74;-194,78;0,00;0,00;0,00;-0,19;0,00;0,00;463;16;151;17;36;686;828
3;33,09;-323,36;0,00;0,00;0,00;-0,32;0,00;0,00;181;180;51;29;18;720;386
4;69,26;-107,59;0,00;0,00;0,00;-0,11;0,00;0,00;136;131;38;46;16;367;374
5;74,74;107,33;0,00;0,00;0,00;0,11;0,00;0,00;434;73;30;17;22;506;767
6;32,92;-432,99;0,00;0,00;0,00;-0,43;0,00;0,00;174;51;174;28;16;169;468
7;43,29;-348,40;0,00;0,00;0,00;-0,35;0,00;0,00;317;178;179;40;35;318;875
8;60,23;-94,85;0,00;0,00;0,00;-0,09;0,00;0,00;351;55;150;45;33;669;928
9;82,06;130,32;0,00;0,00;0,00;0,13;0,00;0,00;453;102;44;45;31;564;407
10;44,17;-239,34;0,00;0,00;0,00;-0,24;0,00;0,00;457;192;83;49;33;948;183
11;49,69;-133,60;0,00;0,00;0,00;-0,13;0,00;0,00;156;157;72;30;30;889;394
12;69,42;7,97;0,00;0,00;0,00;0,01;0,00;0,00;93;159;120;35;36;597;985
13;23,54;-478,84;0,00;0,00;0,00;-0,48;0,00;0,00;359;63;61;24;24;775;998
14;64,08;-132,26;0,00;0,00;0,00;-0,13;0,00;0,00;290;170;194;29;30;890;525
15;0,00;-717,80;0,00;0,00;0,00;-0,72;0,00;0,00;271;182;160;12;25;960;541
16;40,74;-186,42;0,00;0,00;0,00;-0,19;0,00;0,00;119;168;161;41;36;606;633
17;35,84;-391,78;0,00;0,00;0,00;-0,39;0,00;0,00;246;74;172;26;18;561;522
18;86,74;182,05;0,00;0,00;0,00;0,18;0,00;0,00;264;176;43;45;15;982;614
19;56,92;-146,32;0,00;0,00;0,00;-0,15;0,00;0,00;361;90;167;30;26;995;705
20;47,63;-291,39;0,00;0,00;0,00;-0,29;0,00;0,00;377;127;60;49;36;202;227
21;64,42;20,09;0,00;0,00;0,00;0,02;0,00;0,00;342;126;179;26;20;652;249
22;48,67;-244,85;0,00;0,00;0,00;-0,24;0,00;0,00;102;120;55;46;28;294;574
23;22,23;-540,84;0,00;0,00;0,00;-0,54;0,00;0,00;489;139;185;30;27;249;144
24;28,91;-353,46;0,00;0,00;0,00;-0,35;0,00;0,00;317;144;143;37;36;818;451
25;77,27;132,70;0,00;0,00;0,00;0,13;0,00;0,00;360;57;83;28;35;142;189
26;46,78;-269,50;0,00;0,00;0,00;-0,27;0,00;0,00;360;61;185;21;16;627;705
27;54,44;-196,68;0,00;0,00;0,00;-0,20;0,00;0,00;56;66;176;12;17;225;358
28;16,21;-544,04;0,00;0,00;0,00;-0,54;0,00;0,00;269;179;173;47;19;455;489
29;46,69;-162,47;0,00;0,00;0,00;-0,16;0,00;0,00;364;131;16;42;28;156;641
30;17,98;-513,27;0,00;0,00;0,00;-0,51;0,00;0,00;291;170;79;47;32;364;998
31;26,48;-479,88;0,00;0,00;0,00;-0,48;0,00;0,00;396;140;180;33;24;388;626
32;61,28;-167,61;0,00;0,00;0,00;-0,17;0,00;0,00;165;174;72;44;37;949;222
33;89,76;187,97;0,00;0,00;0,00;0,19;0,00;0,00;26;112;142;36;18;467;748
34;81,99;194,06;0,00;0,00;0,00;0,19;0,00;0,00;251;146;148;49;23;739;339
35;14,06;-520,37;0,00;0,00;0,00;-0,52;0,00;0,00;161;171;52;28;27;980;233
36;62,38;-50,52;0,00;0,00;0,00;-0,05;0,00;0,00;453;148;184;15;23;109;334
37;79,08;103,72;0,00;0,00;0,00;0,10;0,00;0,00;52;152;175;38;19;218;529
38;90,68;257,88;0,00;0,00;0,00;0,26;0,00;0,00;281;88;187;13;15;759;141
39;30,34;-447,77;0,00;0,00;0,00;-0,45;0,00;0,00;430;189;146;45;31;367;574
40;46,98;-196,29;0,00;0,00;0,00;-0,20;0,00;0,00;476;44;109;16;37;960;597
41;69,91;-37,89;0,00;0,00;0,00;-0,04;0,00;0,00;462;66;71;47;31;318;831
42;44,17;-235,05;0,00;0,00;0,00;-0,24;0,00;0,00;179;115;88;33;29;217;588
43;96,46;244,11;0,00;0,00;0,00;0,24;0,00;0,00;310;91;90;30;33;384;548
44;52,90;-171,63;0,00;0,00;0,00;-0,17;0,00;0,00;449;155;174;42;38;651;674
45;8,82;-650,93;0,00;0,00;0,00;-0,65;0,00;0,00;119;148;121;16;21;638;478
46;58,42;-89,23;0,00;0,00;0,00;-0,09;0,00;0,00;408;143;48;41;21;529;359
47;81,68;111,05;0,00;0,00;0,00;0,11;0,00;0,00;58;83;34;44;27;952;622
48;53,03;-180,37;0,00;0,00;0,00;-0,18;0,00;0,00;154;79;43;21;27;113;306
49;39,84;-365,33;0,00;0,00;0,00;-0,37;0,00;0,00;481;75;116;13;39;799;411
50;42,76;-213,12;0,00;0,00;0,00;-0,21;0,00;0,00;208;104;62;33;21;693;195
51;66,42;-14,90;0,00;0,00;0,00;-0,01;0,00;0,00;318;196;38;24;37;583;727
52;39,63;-214,89;0,00;0,00;0,00;-0,21;0,00;0,00;131;19;28;48;35;557;461
53;76,17;25,10;0,00;0,00;0,00;0,03;0,00;0,00;184;69;119;22;33;133;189
54;68,97;-46,10;0,00;0,00;0,00;-0,05;0,00;0,00;378;87;136;12;33;357;559
55;25,13;-373,73;0,00;0,00;0,00;-0,37;0,00;0,00;288;34;119;38;38;101;231
56;0,00;-564,01;0,00;0,00;0,00;-0,56;0,00;0,00;58;128;143;34;31;684;975
57;53,84;-179,75;0,00;0,00;0,00;-0,18;0,00;0,00;18;129;166;41;33;868;601
58;51,10;-127,90;0,00;0,00;0,00;-0,13;0,00;0,00;467;108;62;18;20;434;796
59;50,64;-170,81;0,00;0,00;0,00;-0,17;0,00;0,00;356;68;170;20;26;893;428
60;87,69;159,28;0,00;0,00;0,00;0,16;0,00;0,00;238;17;162;20;30;324;495
61;0,00;-669,40;0,00;0,00;0,00;-0,67;0,00;0,00;420;183;30;31;15;867;233
62;63,69;-138,50;0,00;0,00;0,00;-0,14;0,00;0,00;133;164;120;27;37;826;798
63;34,34;-376,64;0,00;0,00;0,00;-0,38;0,00;0,00;308;64;121;26;37;617;659
64;67,55;-101,66;0,00;0,00;0,00;-0,10;0,00;0,00;21;94;12;47;22;399;608
65;59,55;-35,76;0,00;0,00;0,00;-0,04;0,00;0,00;434;162;178;30;17;400;553
66;64,94;-80,73;0,00;0,00;0,00;-0,08;0,00;0,00;331;150;24;41;35;408;499
67;59,72;-106,22;0,00;0,00;0,00;-0,11;0,00;0,00;263;30;182;24;22;649;932
68;6,87;-615,37;0,00;0,00;0,00;-0,62;0,00;0,00;195;145;24;34;35;606;628
69;23,32;-348,06;0,00;0,00;0,00;-0,35;0,00;0,00;75;13;113;11;32;216;111
70;58,45;-30,66;0,00;0,00;0,00;-0,03;0,00;0,00;477;189;107;29;26;569;552
71;31,85;-392,90;0,00;0,00;0,00;-0,39;0,00;0,00;434;157;48;38;18;143;358
72;47,55;-260,92;0,00;0,00;0,00;-0,26;0,00;0,00;194;50;159;44;28;668;128
73;67,33;-63,60;0,00;0,00;0,00;-0,06;0,00;0,00;441;127;48;17;24;820;322
74;58,00;-152,37;0,00;0,00;0,00;-0,15;0,00;0,00;22;85;65;30;18;841;544
75;48,96;-249,58;0,00;0,00;0,00;-0,25;0,00;0,00;387;40;40;37;29;147;572
76;69,37;-47,49;0,00;0,00;0,00;-0,05;0,00;0,00;355;97;186;18;35;150;518
77;62,36;-87,29;0,00;0,00;0,00;-0,09;0,00;0,00;416;21;63;18;22;862;782
78;20,52;-487,09;0,00;0,00;0,00;-0,49;0,00;0,00;324;66;43;11;24;303;953
79;62,88;-106,94;0,00;0,00;0,00;-0,11;0,00;0,00;486;60;133;33;32;466;519
80;79,09;28,33;0,00;0,00;0,00;0,03;0,00;0,00;484;167;96;27;25;235;149
81;83,78;164,80;0,00;0,00;0,00;0,16;0,00;0,00;188;51;112;36;21;208;593
82;53,55;-207,20;0,00;0,00;0,00;-0,21;0,00;0,00;140;190;117;12;18;627;569
83;88,25;100,34;0,00;0,00;0,00;0,10;0,00;0,00;392;80;40;25;30;780;210
84;30,97;-422,94;0,00;0,00;0,00;-0,42;0,00;0,00;308;111;162;23;32;550;758
85;44,59;-202,04;0,00;0,00;0,00;-0,20;0,00;0,00;253;125;185;48;35;637;880
86;18,49;-471,50;0,00;0,00;0,00;-0,47;0,00;0,00;231;159;48;44;19;472;505
87;40,24;-334,17;0,00;0,00;0,00;-0,33;0,00;0,00;365;134;79;13;25;243;636
88;63,10;-94,87;0,00;0,00;0,00;-0,09;0,00;0,00;439;175;187;26;28;359;674
89;0,00;-758,10;0,00;0,00;0,00;-0,76;0,00;0,00;85;165;54;38;29;526;531
90;50,50;-165,04;0,00;0,00;0,00;-0,17;0,00;0,00;356;34;44;46;25;939;886
91;52,61;-103,36;0,00;0,00;0,00;-0,10;0,00;0,00;293;186;41;34;27;942;711
92;61,66;-181,32;0,00;0,00;0,00;-0,18;0,00;0,00;17;192;25;17;20;774;390
93;34,76;-373,23;0,00;0,00;0,00;-0,37;0,00;0,00;14;81;67;15;33;783;621
94;49,16;-213,10;0,00;0,00;0,00;-0,21;0,00;0,00;182;180;62;49;33;688;411
95;67,44;-13,29;0,00;0,00;0,00;-0,01;0,00;0,00;186;116;53;17;22;904;558
96;36,68;-312,13;0,00;0,00;0,00;-0,31;0,00;0,00;145;35;130;34;19;383;585
97;40,17;-267,41;0,00;0,00;0,00;-0,27;0,00;0,00;110;73;74;34;39;353;755
98;33,47;-316,91;0,00;0,00;0,00;-0,32;0,00;0,00;238;50;117;35;29;246;875
99;49,65;-167,36;0,00;0,00;0,00;-0,17;0,00;0,00;59;98;198;17;19;408;560
100;10,91;-599,62;0,00;0,00;0,00;-0,60;0,00;0,00;84;188;106;38;36;601;731
101;27,98;-376,49;0,00;0,00;0,00;-0,38;0,00;0,00;165;17;112;39;27;244;666
102;40,31;-299,39;0,00;0,00;0,00;-0,30;0,00;0,00;190;185;145;43;23;581;204
103;54,65;-117,78;0,00;0,00;0,00;-0,12;0,00;0,00;424;54;109;22;37;271;507
104;51,15;-182,93;0,00;0,00;0,00;-0,18;0,00;0,00;209;98;119;11;37;386;796
105;43,37;-305,78;0,00;0,00;0,00;-0,31;0,00;0,00;486;50;131;18;26;248;427
106;34,01;-368,32;0,00;0,00;0,00;-0,37;0,00;0,00;257;144;59;14;18;265;196
107;32,90;-268,66;0,00;0,00;0,00;-0,27;0,00;0,00;44;175;13;14;25;960;178
108;68,50;-65,72;0,00;0,00;0,00;-0,07;0,00;0,00;468;64;128;20;24;205;830
109;22,77;-498,49;0,00;0,00;0,00;-0,50;0,00;0,00;318;91;61;19;26;444;687
110;69,36;7,37;0,00;0,00;0,00;0,01;0,00;0,00;64;20;74;32;27;291;873
111;64,89;-49,77;0,00;0,00;0,00;-0,05;0,00;0,00;281;176;61;16;36;790;300
112;0,00;-678,16;0,00;0,00;0,00;-0,68;0,00;0,00;195;65;145;10;38;516;970
113;81,30;106,98;0,00;0,00;0,00;0,11;0,00;0,00;216;133;26;21;27;872;959
114;38,21;-307,93;0,00;0,00;0,00;-0,31;0,00;0,00;48;27;142;41;22;929;926
115;100,00;352,51;0,00;0,00;0,00;0,35;0,00;0,00;295;189;164;13;35;926;987
116;54,49;-189,72;0,00;0,00;0,00;-0,19;0,00;0,00;122;54;85;27;30;897;611
117;87,36;151,40;0,00;0,00;0,00;0,15;0,00;0,00;207;192;140;41;30;990;999
118;49,40;-227,77;0,00;0,00;0,00;-0,23;0,00;0,00;336;90;68;41;27;367;200
119;54,47;-157,29;0,00;0,00;0,00;-0,16;0,00;0,00;352;38;12;43;33;108;756
120;9,65;-515,95;0,00;0,00;0,00;-0,52;0,00;0,00;461;104;118;18;35;804;557
121;51,63;-181,93;0,00;0,00;0,00;-0,18;0,00;0,00;428;197;64;31;17;694;751
122;28,37;-395,27;0,00;0,00;0,00;-0,40;0,00;0,00;334;53;83;42;17;277;956
123;13,87;-468,86;0,00;0,00;0,00;-0,47;0,00;0,00;313;107;93;22;28;310;708
124;67,26;-8,04;0,00;0,00;0,00;-0,01;0,00;0,00;249;84;100;17;16;872;636
125;40,33;-253,85;0,00;0,00;0,00;-0,25;0,00;0,00;387;154;38;39;20;545;353
126;44,90;-247,00;0,00;0,00;0,00;-0,25;0,00;0,00;358;51;109;21;23;470;825
127;85,38;138,19;0,00;0,00;0,00;0,14;0,00;0,00;162;154;31;39;30;430;794
128;73,44;3,24;0,00;0,00;0,00;0,00;0,00;0,00;465;130;149;26;30;178;283
129;71,66;-27,39;0,00;0,00;0,00;-0,03;0,00;0,00;216;87;22;41;23;334;517
130;100,00;269,30;0,00;0,00;0,00;0,27;0,00;0,00;345;167;127;28;31;475;744
131;45,28;-224,99;0,00;0,00;0,00;-0,22;0,00;0,00;122;101;191;20;16;772;295
132;55,48;-180,43;0,00;0,00;0,00;-0,18;0,00;0,00;401;62;28;18;22;615;375
133;43,47;-246,42;0,00;0,00;0,00;-0,25;0,00;0,00;375;35;120;20;32;880;715
134;100,00;218,56;0,00;0,00;0,00;0,22;0,00;0,00;448;139;84;15;18;177;796
135;94,81;296,83;0,00;0,00;0,00;0,30;0,00;0,00;15;69;177;40;16;931;561
136;36,22;-334,45;0,00;0,00;0,00;-0,33;0,00;0,00;442;190;131;44;22;467;689
137;26,29;-482,88;0,00;0,00;0,00;-0,48;0,00;0,00;435;71;49;22;19;251;542
138;50,41;-138,53;0,00;0,00;0,00;-0,14;0,00;0,00;322;77;131;28;36;643;299
139;76,19;60,36;0,00;0,00;0,00;0,06;0,00;0,00;451;104;137;27;16;800;614
140;68,41;68,58;0,00;0,00;0,00;0,07;0,00;0,00;349;60;160;25;23;930;421
141;36,32;-352,61;0,00;0,00;0,00;-0,35;0,00;0,00;373;181;113;15;24;710;687
142;35,61;-346,49;0,00;0,00;0,00;-0,35;0,00;0,00;407;56;199;13;37;790;759
143;42,81;-261,93;0,00;0,00;0,00;-0,26;0,00;0,00;62;141;190;18;30;570;729
144;51,57;-161,93;0,00;0,00;0,00;-0,16;0,00;0,00;261;53;191;17;19;225;548
145;80,22;148,42;0,00;0,00;0,00;0,15;0,00;0,00;183;163;82;10;30;574;396
146;4,34;-640,67;0,00;0,00;0,00;-0,64;0,00;0,00;429;104;44;24;24;752;410
147;56,50;-104,30;0,00;0,00;0,00;-0,10;0,00;0,00;486;122;13;42;33;126;999
148;36,70;-350,57;0,00;0,00;0,00;-0,35;0,00;0,00;469;105;38;38;23;361;568
149;69,72;-2,48;0,00;0,00;0,00;-0,00;0,00;0,00;438;174;87;11;22;185;322
150;61,70;-82,40;0,00;0,00;0,00;-0,08;0,00;0,00;43;173;98;28;37;746;837
151;36,11;-392,76;0,00;0,00;0,00;-0,39;0,00;0,00;204;157;20;49;21;805;823
