Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;80,47;150,25;0,00;0,00;0,00;0,15;0,00;0,00;264;37;181;24;16;525;131
2;37,37;-288,24;0,00;0,00;0,00;-0,29;0,00;0,00;208;159;111;20;39;645;272
3;14,43;-604,98;0,00;0,00;0,00;-0,60;0,00;0,00;398;162;185;13;24;818;483
4;0,00;-812,02;0,00;0,00;0,00;-0,81;0,00;0,00;278;145;113;48;34;622;693
5;76,55;92,97;0,00;0,00;0,00;0,09;0,00;0,00;420;163;62;40;28;417;198
6;94,02;280,24;0,00;0,00;0,00;0,28;0,00;0,00;401;181;130;32;17;879;183
7;95,94;268,93;0,00;0,00;0,00;0,27;0,00;0,00;275;42;135;13;34;797;138
8;79,16;58,19;0,00;0,00;0,00;0,06;0,00;0,00;242;28;133;46;30;332;408
9;53,45;-155,50;0,00;0,00;0,00;-0,16;0,00;0,00;157;46;151;31;17;685;424
10;23,74;-445,17;0,00;0,00;0,00;-0,45;0,00;0,00;196;134;107;12;22;854;332
11;27,31;-343,60;0,00;0,00;0,00;-0,34;0,00;0,00;499;28;89;33;39;423;165
12;47,95;-203,01;0,00;0,00;0,00;-0,20;0,00;0,00;211;151;13;15;35;124;871
13;72,48;34,85;0,00;0,00;0,00;0,03;0,00;0,00;483;85;136;39;20;821;397
14;36,17;-439,71;0,00;0,00;0,00;-0,44;0,00;0,00;275;89;157;26;24;384;380
15;79,15;203,58;0,00;0,00;0,00;0,20;0,00;0,00;485;13;190;48;15;385;548
16;37,22;-398,19;0,00;0,00;0,00;-0,40;0,00;0,00;261;113;156;48;31;796;179
17;25,67;-410,89;0,00;0,00;0,00;-0,41;0,00;0,00;448;103;95;35;27;895;794
18;25,10;-422,63;0,00;0,00;0,00;-0,42;0,00;0,00;217;150;128;29;20;701;788
19;89,49;277,40;0,00;0,00;0,00;0,28;0,00;0,00;203;58;73;47;31;518;225
20;63,01;-107,06;0,00;0,00;0,00;-0,11;0,00;0,00;217;121;61;29;16;750;171
21;66,31;-66,84;0,00;0,00;0,00;-0,07;0,00;0,00;288;153;67;17;18;324;153
