Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;46,24;-54,22;0,00;0,00;0,00;-0,05;0,00;0,00;90;150;98;38;19;872;349
2;62,95;167,71;0,00;0,00;0,00;0,17;0,00;0,00;271;54;118;42;29;904;851
3;66,66;177,28;0,00;0,00;0,00;0,18;0,00;0,00;11;193;135;38;35;556;207
4;62,05;60,98;0,00;0,00;0,00;0,06;0,00;0,00;301;130;155;25;17;304;999
5;53,90;131,94;0,00;0,00;0,00;0,13;0,00;0,00;263;187;108;41;33;493;622
6;65,30;103,43;0,00;0,00;0,00;0,10;0,00;0,00;291;102;71;49;37;136;976
7;60,68;109,84;0,00;0,00;0,00;0,11;0,00;0,00;217;124;19;16;33;683;797
8;49,19;-15,67;0,00;0,00;0,00;-0,02;0,00;0,00;446;87;69;19;39;862;898
9;16,37;-352,46;0,00;0,00;0,00;-0,35;0,00;0,00;469;68;116;33;25;762;340
10;52,99;27,46;0,00;0,00;0,00;0,03;0,00;0,00;396;162;75;49;23;792;965
11;58,15;165,69;0,00;0,00;0,00;0,17;0,00;0,00;70;147;16;39;17;990;977
12;59,42;55,42;0,00;0,00;0,00;0,06;0,00;0,00;272;163;12;32;20;981;795
13;55,42;15,64;0,00;0,00;0,00;0,02;0,00;0,00;449;155;83;41;34;989;624
14;22,10;-228,09;0,00;0,00;0,00;-0,23;0,00;0,00;493;106;68;38;32;895;407
15;47,64;-128,58;0,00;0,00;0,00;-0,13;0,00;0,00;139;60;66;13;17;714;950
16;41,68;-122,10;0,00;0,00;0,00;-0,12;0,00;0,00;39;54;194;17;33;918;987
17;31,92;-134,62;0,00;0,00;0,00;-0,13;0,00;0,00;134;163;189;39;24;224;123
18;56,31;75,93;0,00;0,00;0,00;0,08;0,00;0,00;303;185;191;43;35;479;850
19;43,88;-127,74;0,00;0,00;0,00;-0,13;0,00;0,00;206;98;136;42;22;363;920
20;59,49;102,40;0,00;0,00;0,00;0,10;0,00;0,00;133;180;107;18;28;396;447
21;72,86;216,95;0,00;0,00;0,00;0,22;0,00;0,00;296;126;129;21;29;516;637
22;50,18;-12,25;0,00;0,00;0,00;-0,01;0,00;0,00;476;144;143;20;37;697;951
23;53,32;-17,58;0,00;0,00;0,00;-0,02;0,00;0,00;32;92;92;20;18;928;737
24;58,51;12,90;0,00;0,00;0,00;0,01;0,00;0,00;283;104;134;16;16;852;290
25;40,50;-119,24;0,00;0,00;0,00;-0,12;0,00;0,00;138;92;50;10;16;165;272
26;37,32;-128,39;0,00;0,00;0,00;-0,13;0,00;0,00;11;184;129;33;26;453;452
27;38,14;0,77;0,00;0,00;0,00;0,00;0,00;0,00;332;115;191;33;18;986;307
28;43,86;8,19;0,00;0,00;0,00;0,01;0,00;0,00;39;13;154;11;23;747;162
29;54,49;63,91;0,00;0,00;0,00;0,06;0,00;0,00;313;87;172;33;20;582;343
30;43,76;15,21;0,00;0,00;0,00;0,02;0,00;0,00;350;72;193;41;23;350;790
