Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;38,68;-264,27;0,00;0,00;0,00;-0,26;0,00;0,00;484;150;98;38;19;872;349
2;65,47;186,43;0,00;0,00;0,00;0,19;0,00;0,00;447;54;118;42;29;904;851
3;72,67;223,46;0,00;0,00;0,00;0,22;0,00;0,00;48;193;135;38;35;556;207
4;57,02;176,18;0,00;0,00;0,00;0,18;0,00;0,00;434;130;155;25;17;304;999
5;56,64;79,40;0,00;0,00;0,00;0,08;0,00;0,00;427;187;108;41;33;493;622
6;54,46;23,50;0,00;0,00;0,00;0,02;0,00;0,00;265;102;71;49;37;136;976
7;56,67;101,04;0,00;0,00;0,00;0,10;0,00;0,00;195;124;19;16;33;683;797
8;52,05;72,83;0,00;0,00;0,00;0,07;0,00;0,00;436;87;69;19;39;862;898
9;29,79;-161,39;0,00;0,00;0,00;-0,16;0,00;0,00;374;68;116;33;25;762;340
10;44,84;-75,25;0,00;0,00;0,00;-0,08;0,00;0,00;80;162;75;49;23;792;965
11;64,30;151,95;0,00;0,00;0,00;0,15;0,00;0,00;482;147;16;39;17;990;977
12;51,68;-14,45;0,00;0,00;0,00;-0,01;0,00;0,00;55;163;12;32;20;981;795
13;54,78;51,05;0,00;0,00;0,00;0,05;0,00;0,00;187;155;83;41;34;989;624
14;23,15;-188,16;0,00;0,00;0,00;-0,19;0,00;0,00;46;106;68;38;32;895;407
15;55,27;92,65;0,00;0,00;0,00;0,09;0,00;0,00;416;60;66;13;17;714;950
16;44,61;-32,88;0,00;0,00;0,00;-0,03;0,00;0,00;100;54;194;17;33;918;987
17;27,23;-241,71;0,00;0,00;0,00;-0,24;0,00;0,00;484;163;189;39;24;224;123
18;70,17;194,98;0,00;0,00;0,00;0,19;0,00;0,00;353;185;191;43;35;479;850
19;35,75;-122,82;0,00;0,00;0,00;-0,12;0,00;0,00;122;98;136;42;22;363;920
20;51,10;58,16;0,00;0,00;0,00;0,06;0,00;0,00;203;180;107;18;28;396;447
21;71,25;295,24;0,00;0,00;0,00;0,30;0,00;0,00;33;126;129;21;29;516;637
22;38,97;-151,09;0,00;0,00;0,00;-0,15;0,00;0,00;385;144;143;20;37;697;951
23;45,60;-37,27;0,00;0,00;0,00;-0,04;0,00;0,00;498;92;92;20;18;928;737
24;52,22;85,58;0,00;0,00;0,00;0,09;0,00;0,00;144;104;134;16;16;852;290
25;47,71;-65,89;0,00;0,00;0,00;-0,07;0,00;0,00;349;92;50;10;16;165;272
26;46,87;61,05;0,00;0,00;0,00;0,06;0,00;0,00;326;184;129;33;26;453;452
27;42,88;9,21;0,00;0,00;0,00;0,01;0,00;0,00;431;115;191;33;18;986;307
28;53,43;57,25;0,00;0,00;0,00;0,06;0,00;0,00;213;13;154;11;23;747;162
29;53,34;70,78;0,00;0,00;0,00;0,07;0,00;0,00;318;87;172;33;20;582;343
30;46,60;-113,98;0,00;0,00;0,00;-0,11;0,00;0,00;466;72;193;41;23;350;790
31;63,92;124,16;0,00;0,00;0,00;0,12;0,00;0,00;312;78;143;33;15;199;988
32;34,40;-73,33;0,00;0,00;0,00;-0,07;0,00;0,00;361;147;45;42;34;781;432
33;40,11;-241,38;0,00;0,00;0,00;-0,24;0,00;0,00;481;52;77;31;37;222;215
34;49,93;7,65;0,00;0,00;0,00;0,01;0,00;0,00;63;112;198;13;24;547;233
35;41,07;-95,44;0,00;0,00;0,00;-0,10;0,00;0,00;269;165;184;14;32;307;808
36;64,67;74,89;0,00;0,00;0,00;0,07;0,00;0,00;198;71;115;30;17;384;888
37;39,09;-62,74;0,00;0,00;0,00;-0,06;0,00;0,00;135;180;129;38;34;661;192
38;54,88;62,98;0,00;0,00;0,00;0,06;0,00;0,00;250;154;119;21;23;995;955
39;100,00;472,26;0,00;0,00;0,00;0,47;0,00;0,00;82;146;46;45;20;260;861
40;59,52;131,77;0,00;0,00;0,00;0,13;0,00;0,00;242;27;199;48;34;789;634
41;37,59;-74,67;0,00;0,00;0,00;-0,07;0,00;0,00;134;32;40;28;29;230;716
42;29,39;-212,73;0,00;0,00;0,00;-0,21;0,00;0,00;288;14;54;11;18;381;314
43;46,26;-64,13;0,00;0,00;0,00;-0,06;0,00;0,00;230;181;194;23;28;950;468
44;69,13;156,24;0,00;0,00;0,00;0,16;0,00;0,00;109;47;187;32;33;846;657
45;33,66;-63,81;0,00;0,00;0,00;-0,06;0,00;0,00;72;64;151;44;27;529;191
46;49,75;-46,86;0,00;0,00;0,00;-0,05;0,00;0,00;93;115;63;37;34;555;583
47;85,04;314,37;0,00;0,00;0,00;0,31;0,00;0,00;111;79;182;45;18;705;798
48;33,19;-122,90;0,00;0,00;0,00;-0,12;0,00;0,00;459;14;24;27;35;391;136
49;48,70;-14,44;0,00;0,00;0,00;-0,01;0,00;0,00;346;54;29;36;28;679;584
50;25,55;-142,01;0,00;0,00;0,00;-0,14;0,00;0,00;31;148;123;26;30;797;642
51;44,97;-73,70;0,00;0,00;0,00;-0,07;0,00;0,00;201;38;132;26;31;166;319
52;57,58;73,62;0,00;0,00;0,00;0,07;0,00;0,00;84;108;191;23;24;680;859
53;46,35;36,43;0,00;0,00;0,00;0,04;0,00;0,00;146;71;33;46;34;354;451
54;36,41;-136,59;0,00;0,00;0,00;-0,14;0,00;0,00;86;178;27;30;29;333;773
55;88,76;398,28;0,00;0,00;0,00;0,40;0,00;0,00;366;158;99;17;37;221;779
56;53,58;132,22;0,00;0,00;0,00;0,13;0,00;0,00;363;49;45;37;16;312;524
57;44,41;-120,40;0,00;0,00;0,00;-0,12;0,00;0,00;239;89;62;19;16;338;211
58;52,07;40,58;0,00;0,00;0,00;0,04;0,00;0,00;467;87;147;41;21;859;128
59;43,48;-40,52;0,00;0,00;0,00;-0,04;0,00;0,00;374;114;166;29;24;876;982
60;71,67;152,85;0,00;0,00;0,00;0,15;0,00;0,00;154;78;123;45;15;652;658
61;39,66;-184,45;0,00;0,00;0,00;-0,18;0,00;0,00;191;32;41;37;27;435;572
62;54,45;18,82;0,00;0,00;0,00;0,02;0,00;0,00;59;13;155;43;21;424;944
63;44,35;-17,08;0,00;0,00;0,00;-0,02;0,00;0,00;97;15;35;37;31;883;823
64;34,91;-119,76;0,00;0,00;0,00;-0,12;0,00;0,00;33;188;126;12;21;907;771
65;49,84;-98,29;0,00;0,00;0,00;-0,10;0,00;0,00;318;82;28;11;38;367;689
66;72,82;281,30;0,00;0,00;0,00;0,28;0,00;0,00;124;46;171;38;38;138;225
67;50,37;40,45;0,00;0,00;0,00;0,04;0,00;0,00;134;113;67;41;32;952;406
68;58,36;94,33;0,00;0,00;0,00;0,09;0,00;0,00;290;194;161;48;24;488;117
69;19,39;-368,03;0,00;0,00;0,00;-0,37;0,00;0,00;118;70;75;20;36;336;797
70;57,69;66,79;0,00;0,00;0,00;0,07;0,00;0,00;455;111;163;22;20;803;647
71;44,42;-58,98;0,00;0,00;0,00;-0,06;0,00;0,00;297;26;113;17;22;779;976
72;65,58;162,22;0,00;0,00;0,00;0,16;0,00;0,00;17;199;87;45;21;680;177
73;52,41;3,67;0,00;0,00;0,00;0,00;0,00;0,00;27;139;88;33;22;426;914
74;40,82;-90,95;0,00;0,00;0,00;-0,09;0,00;0,00;361;160;144;31;33;199;488
75;33,44;-105,69;0,00;0,00;0,00;-0,11;0,00;0,00;420;55;112;24;16;699;779
76;48,71;36,30;0,00;0,00;0,00;0,04;0,00;0,00;324;60;16;46;38;131;934
77;72,69;281,64;0,00;0,00;0,00;0,28;0,00;0,00;357;10;20;34;16;598;528
78;56,71;97,57;0,00;0,00;0,00;0,10;0,00;0,00;222;79;114;34;24;213;324
79;32,09;-156,23;0,00;0,00;0,00;-0,16;0,00;0,00;23;45;120;16;30;986;559
80;45,06;-55,99;0,00;0,00;0,00;-0,06;0,00;0,00;279;144;71;37;19;158;983
81;62,21;105,98;0,00;0,00;0,00;0,11;0,00;0,00;477;199;144;30;30;767;194
82;22,67;-230,61;0,00;0,00;0,00;-0,23;0,00;0,00;266;75;62;33;28;685;786
83;45,83;15,43;0,00;0,00;0,00;0,02;0,00;0,00;229;95;164;45;27;115;114
84;50,25;-23,94;0,00;0,00;0,00;-0,02;0,00;0,00;370;93;166;47;32;643;562
85;49,30;28,55;0,00;0,00;0,00;0,03;0,00;0,00;244;125;127;30;36;781;362
86;58,52;161,41;0,00;0,00;0,00;0,16;0,00;0,00;35;79;102;15;17;447;959
87;60,66;94,12;0,00;0,00;0,00;0,09;0,00;0,00;453;27;68;17;29;275;296
88;73,87;197,31;0,00;0,00;0,00;0,20;0,00;0,00;498;137;157;26;36;301;597
89;46,27;-52,82;0,00;0,00;0,00;-0,05;0,00;0,00;485;11;182;14;30;153;235
90;64,80;147,22;0,00;0,00;0,00;0,15;0,00;0,00;379;120;103;47;25;596;770
91;46,45;-37,58;0,00;0,00;0,00;-0,04;0,00;0,00;213;162;27;41;35;116;628
92;57,11;15,54;0,00;0,00;0,00;0,02;0,00;0,00;213;99;89;33;28;215;621
93;56,33;75,15;0,00;0,00;0,00;0,08;0,00;0,00;93;189;132;22;30;507;363
94;34,81;-114,61;0,00;0,00;0,00;-0,11;0,00;0,00;492;152;58;34;22;119;939
95;34,93;-246,04;0,00;0,00;0,00;-0,25;0,00;0,00;47;183;68;39;36;890;646
96;31,52;-144,98;0,00;0,00;0,00;-0,14;0,00;0,00;462;115;145;16;32;158;412
97;52,91;-52,55;0,00;0,00;0,00;-0,05;0,00;0,00;375;77;133;47;23;742;379
98;37,07;-51,78;0,00;0,00;0,00;-0,05;0,00;0,00;137;178;110;44;31;930;263
99;54,46;117,73;0,00;0,00;0,00;0,12;0,00;0,00;318;84;149;11;38;680;804
100;43,36;-77,88;0,00;0,00;0,00;-0,08;0,00;0,00;447;179;29;18;31;505;748
101;53,07;1,80;0,00;0,00;0,00;0,00;0,00;0,00;233;34;30;33;22;461;243
102;58,85;129,92;0,00;0,00;0,00;0,13;0,00;0,00;431;121;30;12;20;194;865
103;55,64;67,45;0,00;0,00;0,00;0,07;0,00;0,00;291;31;115;38;32;192;792
104;51,16;64,17;0,00;0,00;0,00;0,06;0,00;0,00;329;188;147;32;16;219;269
105;58,99;118,85;0,00;0,00;0,00;0,12;0,00;0,00;71;192;160;16;31;219;850
106;63,59;160,62;0,00;0,00;0,00;0,16;0,00;0,00;223;50;178;23;22;781;484
107;51,22;-19,30;0,00;0,00;0,00;-0,02;0,00;0,00;460;88;177;37;18;764;542
108;63,45;30,48;0,00;0,00;0,00;0,03;0,00;0,00;389;139;62;12;22;544;609
109;58,85;143,39;0,00;0,00;0,00;0,14;0,00;0,00;356;76;164;16;24;508;793
110;44,51;-21,05;0,00;0,00;0,00;-0,02;0,00;0,00;377;57;113;41;19;297;479
111;38,28;-20,47;0,00;0,00;0,00;-0,02;0,00;0,00;292;73;65;44;32;882;909
112;29,19;-220,44;0,00;0,00;0,00;-0,22;0,00;0,00;418;169;36;48;36;383;821
113;80,17;221,57;0,00;0,00;0,00;0,22;0,00;0,00;241;142;119;18;23;803;245
114;56,91;67,14;0,00;0,00;0,00;0,07;0,00;0,00;397;194;127;35;20;685;982
115;53,23;110,52;0,00;0,00;0,00;0,11;0,00;0,00;208;16;91;11;29;916;945
116;27,46;-176,67;0,00;0,00;0,00;-0,18;0,00;0,00;342;134;48;18;36;902;761
117;49,82;25,37;0,00;0,00;0,00;0,03;0,00;0,00;126;84;100;30;23;455;176
118;42,56;35,08;0,00;0,00;0,00;0,04;0,00;0,00;234;49;28;39;32;248;531
119;85,06;354,17;0,00;0,00;0,00;0,35;0,00;0,00;139;178;108;48;16;265;704
120;29,45;-294,82;0,00;0,00;0,00;-0,29;0,00;0,00;21;160;75;36;29;292;186
121;69,18;189,40;0,00;0,00;0,00;0,19;0,00;0,00;321;38;181;34;30;169;738
122;57,38;53,61;0,00;0,00;0,00;0,05;0,00;0,00;74;174;72;23;39;403;905
123;12,73;-352,52;0,00;0,00;0,00;-0,35;0,00;0,00;160;18;165;25;24;458;530
124;27,51;-271,78;0,00;0,00;0,00;-0,27;0,00;0,00;290;55;101;31;17;747;136
125;59,01;156,53;0,00;0,00;0,00;0,16;0,00;0,00;170;164;87;44;21;332;716
126;81,83;316,20;0,00;0,00;0,00;0,32;0,00;0,00;247;153;140;19;26;153;805
127;51,49;68,96;0,00;0,00;0,00;0,07;0,00;0,00;192;36;43;30;17;717;274
128;51,37;6,54;0,00;0,00;0,00;0,01;0,00;0,00;150;25;17;33;38;978;409
129;68,80;192,69;0,00;0,00;0,00;0,19;0,00;0,00;430;43;137;10;28;167;106
130;59,46;109,11;0,00;0,00;0,00;0,11;0,00;0,00;145;160;176;24;25;422;671
131;60,55;173,99;0,00;0,00;0,00;0,17;0,00;0,00;72;108;129;19;25;398;514
132;41,61;-45,78;0,00;0,00;0,00;-0,05;0,00;0,00;327;73;154;25;19;358;153
133;48,60;35,69;0,00;0,00;0,00;0,04;0,00;0,00;296;174;123;37;27;240;316
134;51,62;15,57;0,00;0,00;0,00;0,02;0,00;0,00;80;11;112;32;30;627;931
135;60,42;111,42;0,00;0,00;0,00;0,11;0,00;0,00;35;198;181;13;24;269;806
136;42,04;-106,83;0,00;0,00;0,00;-0,11;0,00;0,00;413;160;42;14;39;687;245
137;68,82;232,38;0,00;0,00;0,00;0,23;0,00;0,00;78;190;85;45;16;475;942
138;59,34;78,01;0,00;0,00;0,00;0,08;0,00;0,00;35;99;139;34;23;769;940
139;27,07;-195,74;0,00;0,00;0,00;-0,20;0,00;0,00;417;148;137;15;24;687;196
140;50,08;-55,71;0,00;0,00;0,00;-0,06;0,00;0,00;280;18;41;33;39;608;465
141;53,02;59,56;0,00;0,00;0,00;0,06;0,00;0,00;403;164;48;32;25;830;219
142;43,77;-134,42;0,00;0,00;0,00;-0,13;0,00;0,00;342;101;161;17;17;513;891
143;38,11;-90,34;0,00;0,00;0,00;-0,09;0,00;0,00;492;41;124;31;32;373;877
144;37,03;-122,63;0,00;0,00;0,00;-0,12;0,00;0,00;161;196;83;47;25;652;142
145;61,98;195,35;0,00;0,00;0,00;0,20;0,00;0,00;79;98;197;21;24;700;649
146;62,49;74,43;0,00;0,00;0,00;0,07;0,00;0,00;433;85;162;36;19;311;862
147;38,59;-123,97;0,00;0,00;0,00;-0,12;0,00;0,00;16;47;65;37;36;539;536
148;43,39;-111,78;0,00;0,00;0,00;-0,11;0,00;0,00;411;10;79;46;23;324;341
149;36,87;-62,02;0,00;0,00;0,00;-0,06;0,00;0,00;128;83;147;49;20;257;692
150;42,05;-32,07;0,00;0,00;0,00;-0,03;0,00;0,00;318;107;140;29;34;927;152
151;49,75;114,17;0,00;0,00;0,00;0,11;0,00;0,00;134;138;184;29;24;607;534
152;26,19;-248,97;0,00;0,00;0,00;-0,25;0,00;0,00;77;19;164;42;33;187;933
153;70,89;333,82;0,00;0,00;0,00;0,33;0,00;0,00;124;146;53;35;22;556;993
154;24,88;-175,07;0,00;0,00;0,00;-0,18;0,00;0,00;497;104;124;42;30;948;411
155;38,29;-171,65;0,00;0,00;0,00;-0,17;0,00;0,00;123;29;73;35;27;699;416
156;45,49;-133,25;0,00;0,00;0,00;-0,13;0,00;0,00;122;61;45;39;25;110;546
