Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;31,75;-408,39;0,00;0,00;0,00;-0,41;0,00;0,00;397;140;81;44;17;705;176
2;59,13;-147,27;0,00;0,00;0,00;-0,15;0,00;0,00;46;16;151;17;36;686;828
3;0,00;-661,34;0,00;0,00;0,00;-0,66;0,00;0,00;259;180;51;29;18;720;386
4;69,11;2,81;0,00;0,00;0,00;0,00;0,00;0,00;68;131;38;46;16;367;374
5;41,25;-258,29;0,00;0,00;0,00;-0,26;0,00;0,00;436;73;30;17;22;506;767
6;55,09;-122,15;0,00;0,00;0,00;-0,12;0,00;0,00;147;51;174;28;16;169;468
7;67,32;-53,95;0,00;0,00;0,00;-0,05;0,00;0,00;205;178;179;40;35;318;875
8;8,18;-549,57;0,00;0,00;0,00;-0,55;0,00;0,00;51;55;150;45;33;669;928
9;91,39;281,67;0,00;0,00;0,00;0,28;0,00;0,00;191;102;44;45;31;564;407
10;62,63;-28,64;0,00;0,00;0,00;-0,03;0,00;0,00;23;192;83;49;33;948;183
11;45,90;-289,80;0,00;0,00;0,00;-0,29;0,00;0,00;180;157;72;30;30;889;394
12;41,75;-251,62;0,00;0,00;0,00;-0,25;0,00;0,00;16;159;120;35;36;597;985
13;26,24;-460,56;0,00;0,00;0,00;-0,46;0,00;0,00;232;63;61;24;24;775;998
14;60,46;-15,89;0,00;0,00;0,00;-0,02;0,00;0,00;467;170;194;29;30;890;525
15;47,45;-175,17;0,00;0,00;0,00;-0,18;0,00;0,00;149;182;160;12;25;960;541
16;23,23;-375,28;0,00;0,00;0,00;-0,38;0,00;0,00;20;168;161;41;36;606;633
17;35,95;-211,93;0,00;0,00;0,00;-0,21;0,00;0,00;465;74;172;26;18;561;522
18;54,91;-87,17;0,00;0,00;0,00;-0,09;0,00;0,00;32;176;43;45;15;982;614
19;84,75;98,39;0,00;0,00;0,00;0,10;0,00;0,00;210;90;167;30;26;995;705
20;21,19;-517,48;0,00;0,00;0,00;-0,52;0,00;0,00;485;127;60;49;36;202;227
21;77,86;139,96;0,00;0,00;0,00;0,14;0,00;0,00;240;126;179;26;20;652;249
22;65,25;-69,19;0,00;0,00;0,00;-0,07;0,00;0,00;469;120;55;46;28;294;574
23;38,74;-431,69;0,00;0,00;0,00;-0,43;0,00;0,00;187;139;185;30;27;249;144
24;31,16;-414,33;0,00;0,00;0,00;-0,41;0,00;0,00;85;144;143;37;36;818;451
25;68,38;50,05;0,00;0,00;0,00;0,05;0,00;0,00;368;57;83;28;35;142;189
26;54,86;-141,80;0,00;0,00;0,00;-0,14;0,00;0,00;377;61;185;21;16;627;705
27;73,10;25,76;0,00;0,00;0,00;0,03;0,00;0,00;486;66;176;12;17;225;358
28;7,89;-664,52;0,00;0,00;0,00;-0,66;0,00;0,00;185;179;173;47;19;455;489
29;55,16;-145,08;0,00;0,00;0,00;-0,15;0,00;0,00;86;131;16;42;28;156;641
30;87,12;84,97;0,00;0,00;0,00;0,08;0,00;0,00;423;170;79;47;32;364;998
