Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;57,17;-155,49;0,00;0,00;0,00;-0,16;0,00;0,00;463;37;181;24;16;525;131
2;91,91;208,96;0,00;0,00;0,00;0,21;0,00;0,00;159;159;111;20;39;645;272
3;39,33;-302,66;0,00;0,00;0,00;-0,30;0,00;0,00;323;162;185;13;24;818;483
4;41,07;-321,23;0,00;0,00;0,00;-0,32;0,00;0,00;259;145;113;48;34;622;693
5;56,07;-144,92;0,00;0,00;0,00;-0,14;0,00;0,00;285;163;62;40;28;417;198
6;56,56;-93,57;0,00;0,00;0,00;-0,09;0,00;0,00;144;181;130;32;17;879;183
7;49,51;-152,09;0,00;0,00;0,00;-0,15;0,00;0,00;422;42;135;13;34;797;138
8;58,28;-99,97;0,00;0,00;0,00;-0,10;0,00;0,00;108;28;133;46;30;332;408
9;64,41;-144,78;0,00;0,00;0,00;-0,14;0,00;0,00;29;46;151;31;17;685;424
10;0,00;-699,44;0,00;0,00;0,00;-0,70;0,00;0,00;55;134;107;12;22;854;332
11;42,60;-270,85;0,00;0,00;0,00;-0,27;0,00;0,00;372;28;89;33;39;423;165
12;3,36;-669,45;0,00;0,00;0,00;-0,67;0,00;0,00;172;151;13;15;35;124;871
13;64,97;-86,15;0,00;0,00;0,00;-0,09;0,00;0,00;266;85;136;39;20;821;397
14;15,84;-628,05;0,00;0,00;0,00;-0,63;0,00;0,00;428;89;157;26;24;384;380
15;79,95;109,95;0,00;0,00;0,00;0,11;0,00;0,00;441;13;190;48;15;385;548
16;51,72;-176,20;0,00;0,00;0,00;-0,18;0,00;0,00;228;113;156;48;31;796;179
17;34,05;-329,94;0,00;0,00;0,00;-0,33;0,00;0,00;296;103;95;35;27;895;794
18;55,69;-104,84;0,00;0,00;0,00;-0,10;0,00;0,00;402;150;128;29;20;701;788
