Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;3,68;-597,95;0,00;0,00;0,00;-0,60;0,00;0,00;62;140;81;44;17;705;176
2;18,01;-491,36;0,00;0,00;0,00;-0,49;0,00;0,00;481;16;151;17;36;686;828
3;20,00;-520,35;0,00;0,00;0,00;-0,52;0,00;0,00;279;180;51;29;18;720;386
4;77,31;113,29;0,00;0,00;0,00;0,11;0,00;0,00;115;131;38;46;16;367;374
5;49,61;-198,09;0,00;0,00;0,00;-0,20;0,00;0,00;369;73;30;17;22;506;767
6;9,50;-582,25;0,00;0,00;0,00;-0,58;0,00;0,00;480;51;174;28;16;169;468
7;67,73;-73,22;0,00;0,00;0,00;-0,07;0,00;0,00;55;178;179;40;35;318;875
8;0,00;-717,88;0,00;0,00;0,00;-0,72;0,00;0,00;383;55;150;45;33;669;928
9;29,32;-368,39;0,00;0,00;0,00;-0,37;0,00;0,00;96;102;44;45;31;564;407
10;86,32;115,20;0,00;0,00;0,00;0,12;0,00;0,00;41;192;83;49;33;948;183
11;72,50;77,15;0,00;0,00;0,00;0,08;0,00;0,00;94;157;72;30;30;889;394
12;51,39;-203,06;0,00;0,00;0,00;-0,20;0,00;0,00;476;159;120;35;36;597;985
13;63,58;-61,21;0,00;0,00;0,00;-0,06;0,00;0,00;234;63;61;24;24;775;998
14;39,46;-367,71;0,00;0,00;0,00;-0,37;0,00;0,00;190;170;194;29;30;890;525
15;36,08;-333,71;0,00;0,00;0,00;-0,33;0,00;0,00;224;182;160;12;25;960;541
16;65,83;29,41;0,00;0,00;0,00;0,03;0,00;0,00;421;168;161;41;36;606;633
17;50,99;-112,08;0,00;0,00;0,00;-0,11;0,00;0,00;414;74;172;26;18;561;522
18;72,07;9,49;0,00;0,00;0,00;0,01;0,00;0,00;209;176;43;45;15;982;614
19;60,33;-145,33;0,00;0,00;0,00;-0,15;0,00;0,00;252;90;167;30;26;995;705
20;15,51;-595,24;0,00;0,00;0,00;-0,60;0,00;0,00;319;127;60;49;36;202;227
21;70,30;-36,92;0,00;0,00;0,00;-0,04;0,00;0,00;276;126;179;26;20;652;249
22;69,70;-47,15;0,00;0,00;0,00;-0,05;0,00;0,00;36;120;55;46;28;294;574
23;0,73;-608,78;0,00;0,00;0,00;-0,61;0,00;0,00;50;139;185;30;27;249;144
24;47,86;-192,45;0,00;0,00;0,00;-0,19;0,00;0,00;173;144;143;37;36;818;451
25;80,41;151,20;0,00;0,00;0,00;0,15;0,00;0,00;490;57;83;28;35;142;189
26;54,30;-186,20;0,00;0,00;0,00;-0,19;0,00;0,00;492;61;185;21;16;627;705
27;28,02;-402,09;0,00;0,00;0,00;-0,40;0,00;0,00;89;66;176;12;17;225;358
28;45,43;-155,23;0,00;0,00;0,00;-0,16;0,00;0,00;291;179;173;47;19;455;489
29;66,15;-84,26;0,00;0,00;0,00;-0,08;0,00;0,00;127;131;16;42;28;156;641
30;61,74;-40,96;0,00;0,00;0,00;-0,04;0,00;0,00;414;170;79;47;32;364;998
31;7,70;-559,46;0,00;0,00;0,00;-0,56;0,00;0,00;155;140;180;33;24;388;626
32;61,11;-124,52;0,00;0,00;0,00;-0,12;0,00;0,00;404;174;72;44;37;949;222
33;63,48;-88,24;0,00;0,00;0,00;-0,09;0,00;0,00;415;112;142;36;18;467;748
34;79,15;55,70;0,00;0,00;0,00;0,06;0,00;0,00;292;146;148;49;23;739;339
35;0,00;-698,64;0,00;0,00;0,00;-0,70;0,00;0,00;332;171;52;28;27;980;233
36;86,32;124,47;0,00;0,00;0,00;0,12;0,00;0,00;199;148;184;15;23;109;334
37;65,45;-4,39;0,00;0,00;0,00;-0,00;0,00;0,00;168;152;175;38;19;218;529
38;54,58;-147,00;0,00;0,00;0,00;-0,15;0,00;0,00;174;88;187;13;15;759;141
39;79,86;100,52;0,00;0,00;0,00;0,10;0,00;0,00;37;189;146;45;31;367;574
40;42,48;-229,08;0,00;0,00;0,00;-0,23;0,00;0,00;395;44;109;16;37;960;597
41;71,17;95,38;0,00;0,00;0,00;0,10;0,00;0,00;144;66;71;47;31;318;831
42;34,08;-375,74;0,00;0,00;0,00;-0,38;0,00;0,00;220;115;88;33;29;217;588
43;81,19;150,63;0,00;0,00;0,00;0,15;0,00;0,00;341;91;90;30;33;384;548
44;30,67;-351,44;0,00;0,00;0,00;-0,35;0,00;0,00;224;155;174;42;38;651;674
45;83,89;52,53;0,00;0,00;0,00;0,05;0,00;0,00;256;148;121;16;21;638;478
46;74,81;53,08;0,00;0,00;0,00;0,05;0,00;0,00;454;143;48;41;21;529;359
47;69,54;-91,24;0,00;0,00;0,00;-0,09;0,00;0,00;113;83;34;44;27;952;622
48;86,54;182,29;0,00;0,00;0,00;0,18;0,00;0,00;320;79;43;21;27;113;306
49;42,44;-361,20;0,00;0,00;0,00;-0,36;0,00;0,00;369;75;116;13;39;799;411
50;26,21;-379,14;0,00;0,00;0,00;-0,38;0,00;0,00;208;104;62;33;21;693;195
51;59,72;-131,86;0,00;0,00;0,00;-0,13;0,00;0,00;249;196;38;24;37;583;727
52;72,71;53,69;0,00;0,00;0,00;0,05;0,00;0,00;184;19;28;48;35;557;461
53;38,31;-394,94;0,00;0,00;0,00;-0,39;0,00;0,00;419;69;119;22;33;133;189
54;0,00;-716,50;0,00;0,00;0,00;-0,72;0,00;0,00;240;87;136;12;33;357;559
55;38,39;-327,42;0,00;0,00;0,00;-0,33;0,00;0,00;489;34;119;38;38;101;231
56;0,00;-681,28;0,00;0,00;0,00;-0,68;0,00;0,00;479;128;143;34;31;684;975
57;42,87;-258,53;0,00;0,00;0,00;-0,26;0,00;0,00;401;129;166;41;33;868;601
58;18,06;-547,47;0,00;0,00;0,00;-0,55;0,00;0,00;449;108;62;18;20;434;796
59;85,60;135,59;0,00;0,00;0,00;0,14;0,00;0,00;337;68;170;20;26;893;428
60;22,34;-364,20;0,00;0,00;0,00;-0,36;0,00;0,00;155;17;162;20;30;324;495
61;20,66;-464,56;0,00;0,00;0,00;-0,46;0,00;0,00;84;183;30;31;15;867;233
62;49,99;-222,53;0,00;0,00;0,00;-0,22;0,00;0,00;321;164;120;27;37;826;798
63;69,81;21,40;0,00;0,00;0,00;0,02;0,00;0,00;443;64;121;26;37;617;659
64;73,33;18,26;0,00;0,00;0,00;0,02;0,00;0,00;136;94;12;47;22;399;608
65;78,63;166,41;0,00;0,00;0,00;0,17;0,00;0,00;288;162;178;30;17;400;553
66;64,69;17,84;0,00;0,00;0,00;0,02;0,00;0,00;226;150;24;41;35;408;499
67;60,92;-93,90;0,00;0,00;0,00;-0,09;0,00;0,00;288;30;182;24;22;649;932
68;49,62;-228,28;0,00;0,00;0,00;-0,23;0,00;0,00;33;145;24;34;35;606;628
69;41,45;-322,59;0,00;0,00;0,00;-0,32;0,00;0,00;57;13;113;11;32;216;111
70;92,72;277,71;0,00;0,00;0,00;0,28;0,00;0,00;304;189;107;29;26;569;552
71;53,39;-197,72;0,00;0,00;0,00;-0,20;0,00;0,00;399;157;48;38;18;143;358
72;39,87;-254,10;0,00;0,00;0,00;-0,25;0,00;0,00;180;50;159;44;28;668;128
73;58,62;-17,27;0,00;0,00;0,00;-0,02;0,00;0,00;178;127;48;17;24;820;322
74;54,16;-249,11;0,00;0,00;0,00;-0,25;0,00;0,00;185;85;65;30;18;841;544
75;45,62;-187,97;0,00;0,00;0,00;-0,19;0,00;0,00;235;40;40;37;29;147;572
76;70,77;-16,67;0,00;0,00;0,00;-0,02;0,00;0,00;486;97;186;18;35;150;518
77;69,85;-27,33;0,00;0,00;0,00;-0,03;0,00;0,00;459;21;63;18;22;862;782
78;57,73;-200,28;0,00;0,00;0,00;-0,20;0,00;0,00;331;66;43;11;24;303;953
79;77,21;74,69;0,00;0,00;0,00;0,07;0,00;0,00;485;60;133;33;32;466;519
80;69,57;39,86;0,00;0,00;0,00;0,04;0,00;0,00;51;167;96;27;25;235;149
81;85,56;163,86;0,00;0,00;0,00;0,16;0,00;0,00;176;51;112;36;21;208;593
82;29,90;-479,98;0,00;0,00;0,00;-0,48;0,00;0,00;374;190;117;12;18;627;569
83;100,00;214,20;0,00;0,00;0,00;0,21;0,00;0,00;122;80;40;25;30;780;210
84;52,38;-175,90;0,00;0,00;0,00;-0,18;0,00;0,00;61;111;162;23;32;550;758
85;36,06;-289,61;0,00;0,00;0,00;-0,29;0,00;0,00;289;125;185;48;35;637;880
86;20,42;-472,41;0,00;0,00;0,00;-0,47;0,00;0,00;375;159;48;44;19;472;505
87;83,37;100,40;0,00;0,00;0,00;0,10;0,00;0,00;221;134;79;13;25;243;636
88;64,18;-96,68;0,00;0,00;0,00;-0,10;0,00;0,00;171;175;187;26;28;359;674
89;34,74;-266,99;0,00;0,00;0,00;-0,27;0,00;0,00;236;165;54;38;29;526;531
90;15,00;-616,01;0,00;0,00;0,00;-0,62;0,00;0,00;309;34;44;46;25;939;886
91;62,59;-114,84;0,00;0,00;0,00;-0,11;0,00;0,00;77;186;41;34;27;942;711
92;34,55;-359,34;0,00;0,00;0,00;-0,36;0,00;0,00;435;192;25;17;20;774;390
93;68,36;-57,92;0,00;0,00;0,00;-0,06;0,00;0,00;445;81;67;15;33;783;621
94;43,76;-299,24;0,00;0,00;0,00;-0,30;0,00;0,00;120;180;62;49;33;688;411
95;43,46;-235,99;0,00;0,00;0,00;-0,24;0,00;0,00;128;116;53;17;22;904;558
96;100,00;319,86;0,00;0,00;0,00;0,32;0,00;0,00;30;35;130;34;19;383;585
97;30,73;-421,05;0,00;0,00;0,00;-0,42;0,00;0,00;385;73;74;34;39;353;755
98;36,49;-290,91;0,00;0,00;0,00;-0,29;0,00;0,00;295;50;117;35;29;246;875
99;68,57;-63,03;0,00;0,00;0,00;-0,06;0,00;0,00;221;98;198;17;19;408;560
100;18,70;-507,46;0,00;0,00;0,00;-0,51;0,00;0,00;434;188;106;38;36;601;731
101;53,34;-227,70;0,00;0,00;0,00;-0,23;0,00;0,00;66;17;112;39;27;244;666
102;52,24;-128,87;0,00;0,00;0,00;-0,13;0,00;0,00;308;185;145;43;23;581;204
103;42,73;-300,20;0,00;0,00;0,00;-0,30;0,00;0,00;80;54;109;22;37;271;507
104;92,04;283,21;0,00;0,00;0,00;0,28;0,00;0,00;451;98;119;11;37;386;796
105;0,00;-705,55;0,00;0,00;0,00;-0,71;0,00;0,00;87;50;131;18;26;248;427
106;60,09;-51,23;0,00;0,00;0,00;-0,05;0,00;0,00;330;144;59;14;18;265;196
107;54,99;-196,14;0,00;0,00;0,00;-0,20;0,00;0,00;376;175;13;14;25;960;178
108;43,28;-334,50;0,00;0,00;0,00;-0,33;0,00;0,00;190;64;128;20;24;205;830
109;27,35;-376,23;0,00;0,00;0,00;-0,38;0,00;0,00;77;91;61;19;26;444;687
110;36,24;-316,57;0,00;0,00;0,00;-0,32;0,00;0,00;232;20;74;32;27;291;873
111;89,53;219,82;0,00;0,00;0,00;0,22;0,00;0,00;149;176;61;16;36;790;300
112;42,14;-266,42;0,00;0,00;0,00;-0,27;0,00;0,00;455;65;145;10;38;516;970
113;73,10;39,36;0,00;0,00;0,00;0,04;0,00;0,00;204;133;26;21;27;872;959
114;57,33;-142,93;0,00;0,00;0,00;-0,14;0,00;0,00;39;27;142;41;22;929;926
115;75,35;72,12;0,00;0,00;0,00;0,07;0,00;0,00;378;189;164;13;35;926;987
116;86,90;144,53;0,00;0,00;0,00;0,14;0,00;0,00;226;54;85;27;30;897;611
117;74,52;33,33;0,00;0,00;0,00;0,03;0,00;0,00;68;192;140;41;30;990;999
118;74,95;28,51;0,00;0,00;0,00;0,03;0,00;0,00;379;90;68;41;27;367;200
119;30,43;-406,61;0,00;0,00;0,00;-0,41;0,00;0,00;64;38;12;43;33;108;756
