Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;32,81;-383,11;0,00;0,00;0,00;-0,38;0,00;0,00;106;37;181;24;16;525;131
2;58,75;-148,47;0,00;0,00;0,00;-0,15;0,00;0,00;260;159;111;20;39;645;272
3;11,71;-554,83;0,00;0,00;0,00;-0,55;0,00;0,00;419;162;185;13;24;818;483
4;28,50;-421,55;0,00;0,00;0,00;-0,42;0,00;0,00;349;145;113;48;34;622;693
5;42,89;-210,20;0,00;0,00;0,00;-0,21;0,00;0,00;336;163;62;40;28;417;198
6;65,82;-22,58;0,00;0,00;0,00;-0,02;0,00;0,00;398;181;130;32;17;879;183
7;100,00;308,71;0,00;0,00;0,00;0,31;0,00;0,00;175;42;135;13;34;797;138
8;98,00;319,66;0,00;0,00;0,00;0,32;0,00;0,00;253;28;133;46;30;332;408
9;58,84;-118,10;0,00;0,00;0,00;-0,12;0,00;0,00;392;46;151;31;17;685;424
10;21,06;-462,74;0,00;0,00;0,00;-0,46;0,00;0,00;233;134;107;12;22;854;332
11;47,02;-261,86;0,00;0,00;0,00;-0,26;0,00;0,00;326;28;89;33;39;423;165
12;55,62;-95,87;0,00;0,00;0,00;-0,10;0,00;0,00;238;151;13;15;35;124;871
13;33,65;-385,98;0,00;0,00;0,00;-0,39;0,00;0,00;229;85;136;39;20;821;397
14;26,14;-431,74;0,00;0,00;0,00;-0,43;0,00;0,00;147;89;157;26;24;384;380
15;59,84;-138,07;0,00;0,00;0,00;-0,14;0,00;0,00;205;13;190;48;15;385;548
16;36,67;-447,06;0,00;0,00;0,00;-0,45;0,00;0,00;164;113;156;48;31;796;179
17;29,56;-527,12;0,00;0,00;0,00;-0,53;0,00;0,00;283;103;95;35;27;895;794
18;13,31;-543,52;0,00;0,00;0,00;-0,54;0,00;0,00;220;150;128;29;20;701;788
19;55,50;-162,45;0,00;0,00;0,00;-0,16;0,00;0,00;429;58;73;47;31;518;225
20;46,15;-243,92;0,00;0,00;0,00;-0,24;0,00;0,00;100;121;61;29;16;750;171
21;52,09;-153,73;0,00;0,00;0,00;-0,15;0,00;0,00;48;153;67;17;18;324;153
22;52,74;-198,12;0,00;0,00;0,00;-0,20;0,00;0,00;92;186;146;30;21;507;893
23;67,22;-98,11;0,00;0,00;0,00;-0,10;0,00;0,00;452;100;151;39;23;163;787
24;58,31;-89,87;0,00;0,00;0,00;-0,09;0,00;0,00;75;96;36;44;23;764;474
25;36,26;-348,49;0,00;0,00;0,00;-0,35;0,00;0,00;168;34;103;23;36;639;826
26;60,26;-58,05;0,00;0,00;0,00;-0,06;0,00;0,00;255;134;14;25;34;549;328
27;74,86;80,64;0,00;0,00;0,00;0,08;0,00;0,00;191;30;142;37;26;513;541
28;62,43;-37,93;0,00;0,00;0,00;-0,04;0,00;0,00;91;98;65;13;29;166;425
29;51,22;-170,81;0,00;0,00;0,00;-0,17;0,00;0,00;319;63;194;26;29;554;716
30;81,55;127,02;0,00;0,00;0,00;0,13;0,00;0,00;475;57;167;47;29;269;648
31;69,09;32,20;0,00;0,00;0,00;0,03;0,00;0,00;198;40;79;39;27;633;109
32;77,33;36,27;0,00;0,00;0,00;0,04;0,00;0,00;233;197;26;18;21;235;974
33;64,15;-85,55;0,00;0,00;0,00;-0,09;0,00;0,00;91;135;143;17;34;868;582
34;26,81;-422,66;0,00;0,00;0,00;-0,42;0,00;0,00;191;70;39;43;39;347;851
35;40,28;-174,71;0,00;0,00;0,00;-0,17;0,00;0,00;457;95;45;15;17;737;418
36;21,29;-461,92;0,00;0,00;0,00;-0,46;0,00;0,00;233;80;116;22;23;817;422
