Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;31,73;-219,21;0,00;0,00;0,00;-0,22;0,00;0,00;340;150;98;38;19;872;349
2;67,78;34,11;0,00;0,00;0,00;0,03;0,00;0,00;230;54;118;42;29;904;851
3;65,77;102,79;0,00;0,00;0,00;0,10;0,00;0,00;470;193;135;38;35;556;207
4;56,75;70,92;0,00;0,00;0,00;0,07;0,00;0,00;184;130;155;25;17;304;999
5;62,05;107,49;0,00;0,00;0,00;0,11;0,00;0,00;26;187;108;41;33;493;622
6;58,65;153,96;0,00;0,00;0,00;0,15;0,00;0,00;259;102;71;49;37;136;976
7;46,51;-72,76;0,00;0,00;0,00;-0,07;0,00;0,00;59;124;19;16;33;683;797
8;54,69;33,54;0,00;0,00;0,00;0,03;0,00;0,00;263;87;69;19;39;862;898
9;20,60;-295,60;0,00;0,00;0,00;-0,30;0,00;0,00;181;68;116;33;25;762;340
10;51,81;56,91;0,00;0,00;0,00;0,06;0,00;0,00;424;162;75;49;23;792;965
11;60,54;199,41;0,00;0,00;0,00;0,20;0,00;0,00;202;147;16;39;17;990;977
12;49,49;29,94;0,00;0,00;0,00;0,03;0,00;0,00;206;163;12;32;20;981;795
13;53,94;23,66;0,00;0,00;0,00;0,02;0,00;0,00;433;155;83;41;34;989;624
14;27,36;-232,90;0,00;0,00;0,00;-0,23;0,00;0,00;389;106;68;38;32;895;407
15;56,93;66,64;0,00;0,00;0,00;0,07;0,00;0,00;279;60;66;13;17;714;950
16;38,41;-180,55;0,00;0,00;0,00;-0,18;0,00;0,00;373;54;194;17;33;918;987
17;24,39;-212,18;0,00;0,00;0,00;-0,21;0,00;0,00;76;163;189;39;24;224;123
18;66,67;156,10;0,00;0,00;0,00;0,16;0,00;0,00;183;185;191;43;35;479;850
19;24,82;-138,23;0,00;0,00;0,00;-0,14;0,00;0,00;374;98;136;42;22;363;920
20;51,48;130,81;0,00;0,00;0,00;0,13;0,00;0,00;474;180;107;18;28;396;447
21;74,18;204,20;0,00;0,00;0,00;0,20;0,00;0,00;98;126;129;21;29;516;637
22;45,39;-83,55;0,00;0,00;0,00;-0,08;0,00;0,00;479;144;143;20;37;697;951
23;44,69;-31,79;0,00;0,00;0,00;-0,03;0,00;0,00;157;92;92;20;18;928;737
24;55,95;68,95;0,00;0,00;0,00;0,07;0,00;0,00;496;104;134;16;16;852;290
25;44,21;-115,48;0,00;0,00;0,00;-0,12;0,00;0,00;380;92;50;10;16;165;272
26;41,20;-88,75;0,00;0,00;0,00;-0,09;0,00;0,00;445;184;129;33;26;453;452
27;33,88;-201,91;0,00;0,00;0,00;-0,20;0,00;0,00;36;115;191;33;18;986;307
28;41,89;-64,51;0,00;0,00;0,00;-0,06;0,00;0,00;449;13;154;11;23;747;162
29;57,95;31,50;0,00;0,00;0,00;0,03;0,00;0,00;23;87;172;33;20;582;343
30;42,67;-66,72;0,00;0,00;0,00;-0,07;0,00;0,00;321;72;193;41;23;350;790
31;57,53;104,99;0,00;0,00;0,00;0,10;0,00;0,00;128;78;143;33;15;199;988
32;27,12;-207,01;0,00;0,00;0,00;-0,21;0,00;0,00;106;147;45;42;34;781;432
33;49,43;-25,29;0,00;0,00;0,00;-0,03;0,00;0,00;387;52;77;31;37;222;215
34;44,52;-111,42;0,00;0,00;0,00;-0,11;0,00;0,00;434;112;198;13;24;547;233
35;44,39;21,04;0,00;0,00;0,00;0,02;0,00;0,00;359;165;184;14;32;307;808
36;46,00;-98,69;0,00;0,00;0,00;-0,10;0,00;0,00;76;71;115;30;17;384;888
37;41,39;-100,65;0,00;0,00;0,00;-0,10;0,00;0,00;215;180;129;38;34;661;192
38;52,38;38,87;0,00;0,00;0,00;0,04;0,00;0,00;170;154;119;21;23;995;955
39;100,00;539,68;0,00;0,00;0,00;0,54;0,00;0,00;482;146;46;45;20;260;861
40;55,95;55,16;0,00;0,00;0,00;0,06;0,00;0,00;330;27;199;48;34;789;634
41;45,25;-39,15;0,00;0,00;0,00;-0,04;0,00;0,00;14;32;40;28;29;230;716
42;43,26;-115,53;0,00;0,00;0,00;-0,12;0,00;0,00;116;14;54;11;18;381;314
43;48,97;-2,00;0,00;0,00;0,00;-0,00;0,00;0,00;259;181;194;23;28;950;468
44;58,69;143,21;0,00;0,00;0,00;0,14;0,00;0,00;67;47;187;32;33;846;657
45;32,62;-151,91;0,00;0,00;0,00;-0,15;0,00;0,00;162;64;151;44;27;529;191
46;44,99;-138,51;0,00;0,00;0,00;-0,14;0,00;0,00;205;115;63;37;34;555;583
47;70,96;170,62;0,00;0,00;0,00;0,17;0,00;0,00;239;79;182;45;18;705;798
48;33,99;-114,23;0,00;0,00;0,00;-0,11;0,00;0,00;360;14;24;27;35;391;136
49;38,71;-50,66;0,00;0,00;0,00;-0,05;0,00;0,00;370;54;29;36;28;679;584
