Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;60,59;-96,67;0,00;0,00;0,00;-0,10;0,00;0,00;383;37;181;24;16;525;131
2;43,02;-318,34;0,00;0,00;0,00;-0,32;0,00;0,00;18;159;111;20;39;645;272
3;29,02;-351,28;0,00;0,00;0,00;-0,35;0,00;0,00;132;162;185;13;24;818;483
4;39,92;-285,95;0,00;0,00;0,00;-0,29;0,00;0,00;245;145;113;48;34;622;693
5;30,18;-364,05;0,00;0,00;0,00;-0,36;0,00;0,00;126;163;62;40;28;417;198
6;63,34;-32,05;0,00;0,00;0,00;-0,03;0,00;0,00;29;181;130;32;17;879;183
7;84,59;140,24;0,00;0,00;0,00;0,14;0,00;0,00;154;42;135;13;34;797;138
8;94,06;277,33;0,00;0,00;0,00;0,28;0,00;0,00;364;28;133;46;30;332;408
9;22,08;-438,15;0,00;0,00;0,00;-0,44;0,00;0,00;467;46;151;31;17;685;424
10;17,60;-585,00;0,00;0,00;0,00;-0,59;0,00;0,00;273;134;107;12;22;854;332
11;17,92;-546,12;0,00;0,00;0,00;-0,55;0,00;0,00;161;28;89;33;39;423;165
12;32,66;-324,55;0,00;0,00;0,00;-0,32;0,00;0,00;397;151;13;15;35;124;871
13;54,43;-96,58;0,00;0,00;0,00;-0,10;0,00;0,00;306;85;136;39;20;821;397
14;45,11;-265,47;0,00;0,00;0,00;-0,27;0,00;0,00;422;89;157;26;24;384;380
15;60,88;-57,93;0,00;0,00;0,00;-0,06;0,00;0,00;487;13;190;48;15;385;548
16;29,49;-475,06;0,00;0,00;0,00;-0,48;0,00;0,00;142;113;156;48;31;796;179
17;29,27;-331,30;0,00;0,00;0,00;-0,33;0,00;0,00;135;103;95;35;27;895;794
18;18,00;-468,15;0,00;0,00;0,00;-0,47;0,00;0,00;183;150;128;29;20;701;788
19;100,00;291,72;0,00;0,00;0,00;0,29;0,00;0,00;303;58;73;47;31;518;225
20;75,22;13,71;0,00;0,00;0,00;0,01;0,00;0,00;257;121;61;29;16;750;171
21;37,81;-405,71;0,00;0,00;0,00;-0,41;0,00;0,00;370;153;67;17;18;324;153
22;5,23;-658,91;0,00;0,00;0,00;-0,66;0,00;0,00;256;186;146;30;21;507;893
23;74,26;69,05;0,00;0,00;0,00;0,07;0,00;0,00;66;100;151;39;23;163;787
24;66,82;-54,21;0,00;0,00;0,00;-0,05;0,00;0,00;36;96;36;44;23;764;474
25;35,10;-398,69;0,00;0,00;0,00;-0,40;0,00;0,00;417;34;103;23;36;639;826
26;82,06;166,99;0,00;0,00;0,00;0,17;0,00;0,00;306;134;14;25;34;549;328
27;12,73;-543,75;0,00;0,00;0,00;-0,54;0,00;0,00;108;30;142;37;26;513;541
28;50,92;-125,03;0,00;0,00;0,00;-0,13;0,00;0,00;251;98;65;13;29;166;425
29;4,69;-610,24;0,00;0,00;0,00;-0,61;0,00;0,00;443;63;194;26;29;554;716
30;62,10;-30,50;0,00;0,00;0,00;-0,03;0,00;0,00;168;57;167;47;29;269;648
31;60,69;-74,10;0,00;0,00;0,00;-0,07;0,00;0,00;417;40;79;39;27;633;109
32;39,01;-349,19;0,00;0,00;0,00;-0,35;0,00;0,00;444;197;26;18;21;235;974
33;48,43;-226,04;0,00;0,00;0,00;-0,23;0,00;0,00;71;135;143;17;34;868;582
34;12,71;-574,45;0,00;0,00;0,00;-0,57;0,00;0,00;332;70;39;43;39;347;851
35;53,68;-204,57;0,00;0,00;0,00;-0,20;0,00;0,00;273;95;45;15;17;737;418
36;23,43;-397,27;0,00;0,00;0,00;-0,40;0,00;0,00;108;80;116;22;23;817;422
37;62,74;-89,36;0,00;0,00;0,00;-0,09;0,00;0,00;215;117;173;23;37;718;703
38;46,37;-183,97;0,00;0,00;0,00;-0,18;0,00;0,00;242;129;108;15;16;411;662
39;44,73;-309,85;0,00;0,00;0,00;-0,31;0,00;0,00;231;182;108;30;31;429;198
40;20,96;-478,26;0,00;0,00;0,00;-0,48;0,00;0,00;334;81;154;21;21;781;998
41;13,10;-671,12;0,00;0,00;0,00;-0,67;0,00;0,00;44;57;18;17;37;632;515
42;11,08;-630,96;0,00;0,00;0,00;-0,63;0,00;0,00;10;119;36;26;34;798;594
43;36,09;-366,58;0,00;0,00;0,00;-0,37;0,00;0,00;476;25;53;33;30;697;637
44;30,19;-374,94;0,00;0,00;0,00;-0,37;0,00;0,00;292;179;155;24;38;813;396
45;68,57;-38,03;0,00;0,00;0,00;-0,04;0,00;0,00;475;150;164;13;24;730;805
46;31,65;-337,23;0,00;0,00;0,00;-0,34;0,00;0,00;28;139;138;25;21;739;420
47;70,60;56,90;0,00;0,00;0,00;0,06;0,00;0,00;242;87;150;43;19;230;144
48;40,73;-202,29;0,00;0,00;0,00;-0,20;0,00;0,00;347;77;104;45;21;828;592
49;65,53;24,47;0,00;0,00;0,00;0,02;0,00;0,00;272;180;25;16;19;915;958
50;0,00;-759,99;0,00;0,00;0,00;-0,76;0,00;0,00;190;100;73;49;27;931;925
51;17,72;-563,64;0,00;0,00;0,00;-0,56;0,00;0,00;468;120;196;32;34;550;147
52;46,64;-249,26;0,00;0,00;0,00;-0,25;0,00;0,00;447;35;150;39;19;702;770
53;68,30;-82,86;0,00;0,00;0,00;-0,08;0,00;0,00;31;119;15;15;21;325;711
54;74,29;150,26;0,00;0,00;0,00;0,15;0,00;0,00;85;157;97;15;34;959;459
55;82,53;227,48;0,00;0,00;0,00;0,23;0,00;0,00;147;171;170;36;35;665;550
56;57,67;-104,33;0,00;0,00;0,00;-0,10;0,00;0,00;97;151;105;26;26;361;215
57;87,63;144,99;0,00;0,00;0,00;0,14;0,00;0,00;337;18;56;17;27;932;854
58;46,22;-244,31;0,00;0,00;0,00;-0,24;0,00;0,00;238;63;51;18;19;464;291
59;29,69;-394,28;0,00;0,00;0,00;-0,39;0,00;0,00;44;87;119;30;30;174;136
60;38,36;-314,77;0,00;0,00;0,00;-0,31;0,00;0,00;38;105;19;43;19;355;605
61;56,48;-232,29;0,00;0,00;0,00;-0,23;0,00;0,00;357;167;147;48;30;152;159
62;83,82;118,33;0,00;0,00;0,00;0,12;0,00;0,00;16;188;87;33;15;541;112
63;33,48;-369,15;0,00;0,00;0,00;-0,37;0,00;0,00;383;84;150;33;21;588;834
64;75,72;34,96;0,00;0,00;0,00;0,03;0,00;0,00;384;171;198;29;18;843;924
65;4,43;-645,26;0,00;0,00;0,00;-0,65;0,00;0,00;327;38;166;37;31;294;488
66;0,00;-730,04;0,00;0,00;0,00;-0,73;0,00;0,00;211;179;144;27;17;901;444
67;44,43;-257,12;0,00;0,00;0,00;-0,26;0,00;0,00;159;188;166;13;32;993;881
68;58,90;-61,06;0,00;0,00;0,00;-0,06;0,00;0,00;473;32;191;43;39;182;924
69;53,68;-125,42;0,00;0,00;0,00;-0,13;0,00;0,00;32;144;164;20;30;638;142
70;25,58;-436,83;0,00;0,00;0,00;-0,44;0,00;0,00;250;137;127;45;30;807;377
71;28,09;-447,74;0,00;0,00;0,00;-0,45;0,00;0,00;352;118;160;44;15;658;945
72;52,31;-206,46;0,00;0,00;0,00;-0,21;0,00;0,00;172;181;78;46;25;681;751
73;41,61;-292,24;0,00;0,00;0,00;-0,29;0,00;0,00;292;18;19;47;25;435;741
74;84,63;133,88;0,00;0,00;0,00;0,13;0,00;0,00;111;92;144;11;25;491;672
75;33,39;-288,99;0,00;0,00;0,00;-0,29;0,00;0,00;376;18;196;40;19;580;304
76;49,38;-191,24;0,00;0,00;0,00;-0,19;0,00;0,00;100;143;130;10;36;602;491
77;43,89;-253,47;0,00;0,00;0,00;-0,25;0,00;0,00;359;165;141;21;17;607;732
78;65,32;-82,08;0,00;0,00;0,00;-0,08;0,00;0,00;174;194;172;48;22;803;503
79;50,54;-263,12;0,00;0,00;0,00;-0,26;0,00;0,00;215;195;30;34;20;857;604
80;53,33;-138,83;0,00;0,00;0,00;-0,14;0,00;0,00;416;69;135;45;30;459;798
81;53,93;-199,36;0,00;0,00;0,00;-0,20;0,00;0,00;495;120;92;38;31;834;922
82;54,12;-193,15;0,00;0,00;0,00;-0,19;0,00;0,00;457;158;124;41;23;862;739
83;56,62;-83,14;0,00;0,00;0,00;-0,08;0,00;0,00;202;174;26;15;28;786;617
