Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;43,18;-234,07;0,00;0,00;0,00;-0,23;0,00;0,00;281;140;81;44;17;705;176
2;25,42;-409,91;0,00;0,00;0,00;-0,41;0,00;0,00;15;16;151;17;36;686;828
3;15,66;-506,34;0,00;0,00;0,00;-0,51;0,00;0,00;53;180;51;29;18;720;386
4;68,75;50,43;0,00;0,00;0,00;0,05;0,00;0,00;47;131;38;46;16;367;374
5;32,77;-346,86;0,00;0,00;0,00;-0,35;0,00;0,00;316;73;30;17;22;506;767
6;47,91;-267,54;0,00;0,00;0,00;-0,27;0,00;0,00;107;51;174;28;16;169;468
7;98,62;369,62;0,00;0,00;0,00;0,37;0,00;0,00;308;178;179;40;35;318;875
8;38,44;-219,22;0,00;0,00;0,00;-0,22;0,00;0,00;169;55;150;45;33;669;928
9;46,60;-264,97;0,00;0,00;0,00;-0,26;0,00;0,00;105;102;44;45;31;564;407
10;81,98;117,69;0,00;0,00;0,00;0,12;0,00;0,00;146;192;83;49;33;948;183
11;29,17;-433,63;0,00;0,00;0,00;-0,43;0,00;0,00;471;157;72;30;30;889;394
12;10,86;-659,14;0,00;0,00;0,00;-0,66;0,00;0,00;198;159;120;35;36;597;985
13;66,54;25,56;0,00;0,00;0,00;0,03;0,00;0,00;181;63;61;24;24;775;998
14;52,81;-118,31;0,00;0,00;0,00;-0,12;0,00;0,00;327;170;194;29;30;890;525
15;37,49;-296,40;0,00;0,00;0,00;-0,30;0,00;0,00;482;182;160;12;25;960;541
16;31,59;-382,36;0,00;0,00;0,00;-0,38;0,00;0,00;121;168;161;41;36;606;633
17;25,76;-498,02;0,00;0,00;0,00;-0,50;0,00;0,00;310;74;172;26;18;561;522
18;60,71;-108,02;0,00;0,00;0,00;-0,11;0,00;0,00;477;176;43;45;15;982;614
19;88,54;241,43;0,00;0,00;0,00;0,24;0,00;0,00;371;90;167;30;26;995;705
20;28,46;-405,65;0,00;0,00;0,00;-0,41;0,00;0,00;384;127;60;49;36;202;227
21;68,78;18,24;0,00;0,00;0,00;0,02;0,00;0,00;291;126;179;26;20;652;249
22;44,10;-226,37;0,00;0,00;0,00;-0,23;0,00;0,00;75;120;55;46;28;294;574
23;49,10;-142,77;0,00;0,00;0,00;-0,14;0,00;0,00;86;139;185;30;27;249;144
24;21,88;-473,09;0,00;0,00;0,00;-0,47;0,00;0,00;108;144;143;37;36;818;451
25;93,51;234,01;0,00;0,00;0,00;0,23;0,00;0,00;332;57;83;28;35;142;189
26;51,45;-162,85;0,00;0,00;0,00;-0,16;0,00;0,00;55;61;185;21;16;627;705
27;32,10;-332,10;0,00;0,00;0,00;-0,33;0,00;0,00;93;66;176;12;17;225;358
28;7,66;-655,13;0,00;0,00;0,00;-0,66;0,00;0,00;256;179;173;47;19;455;489
29;92,28;287,24;0,00;0,00;0,00;0,29;0,00;0,00;186;131;16;42;28;156;641
30;58,42;-82,26;0,00;0,00;0,00;-0,08;0,00;0,00;459;170;79;47;32;364;998
31;52,76;-200,86;0,00;0,00;0,00;-0,20;0,00;0,00;331;140;180;33;24;388;626
32;35,52;-340,90;0,00;0,00;0,00;-0,34;0,00;0,00;296;174;72;44;37;949;222
33;79,74;63,34;0,00;0,00;0,00;0,06;0,00;0,00;368;112;142;36;18;467;748
34;98,77;331,14;0,00;0,00;0,00;0,33;0,00;0,00;466;146;148;49;23;739;339
