Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;17,90;-623,02;0,00;0,00;0,00;-0,62;0,00;0,00;244;140;81;44;17;705;176
2;35,02;-305,37;0,00;0,00;0,00;-0,31;0,00;0,00;226;16;151;17;36;686;828
3;33,17;-254,10;0,00;0,00;0,00;-0,25;0,00;0,00;351;180;51;29;18;720;386
4;83,33;165,07;0,00;0,00;0,00;0,17;0,00;0,00;223;131;38;46;16;367;374
5;56,95;-67,07;0,00;0,00;0,00;-0,07;0,00;0,00;324;73;30;17;22;506;767
6;36,05;-304,86;0,00;0,00;0,00;-0,30;0,00;0,00;330;51;174;28;16;169;468
7;68,00;35,68;0,00;0,00;0,00;0,04;0,00;0,00;153;178;179;40;35;318;875
8;46,99;-301,28;0,00;0,00;0,00;-0,30;0,00;0,00;477;55;150;45;33;669;928
9;68,15;89,16;0,00;0,00;0,00;0,09;0,00;0,00;229;102;44;45;31;564;407
10;96,90;277,51;0,00;0,00;0,00;0,28;0,00;0,00;82;192;83;49;33;948;183
11;77,68;100,62;0,00;0,00;0,00;0,10;0,00;0,00;41;157;72;30;30;889;394
12;29,17;-415,76;0,00;0,00;0,00;-0,42;0,00;0,00;180;159;120;35;36;597;985
13;91,92;268,39;0,00;0,00;0,00;0,27;0,00;0,00;182;63;61;24;24;775;998
14;55,63;-123,88;0,00;0,00;0,00;-0,12;0,00;0,00;247;170;194;29;30;890;525
15;19,39;-442,04;0,00;0,00;0,00;-0,44;0,00;0,00;351;182;160;12;25;960;541
16;36,39;-360,75;0,00;0,00;0,00;-0,36;0,00;0,00;111;168;161;41;36;606;633
17;50,67;-185,32;0,00;0,00;0,00;-0,19;0,00;0,00;271;74;172;26;18;561;522
18;64,82;-24,37;0,00;0,00;0,00;-0,02;0,00;0,00;382;176;43;45;15;982;614
19;22,54;-493,51;0,00;0,00;0,00;-0,49;0,00;0,00;243;90;167;30;26;995;705
20;5,34;-685,37;0,00;0,00;0,00;-0,69;0,00;0,00;87;127;60;49;36;202;227
21;54,84;-202,42;0,00;0,00;0,00;-0,20;0,00;0,00;157;126;179;26;20;652;249
22;64,87;42,64;0,00;0,00;0,00;0,04;0,00;0,00;373;120;55;46;28;294;574
23;5,77;-658,24;0,00;0,00;0,00;-0,66;0,00;0,00;93;139;185;30;27;249;144
