Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;30,31;-227,08;0,00;0,00;0,00;-0,23;0,00;0,00;248;150;98;38;19;872;349
2;59,36;72,56;0,00;0,00;0,00;0,07;0,00;0,00;314;54;118;42;29;904;851
3;60,70;108,46;0,00;0,00;0,00;0,11;0,00;0,00;34;193;135;38;35;556;207
4;57,13;32,15;0,00;0,00;0,00;0,03;0,00;0,00;120;130;155;25;17;304;999
5;51,53;162,28;0,00;0,00;0,00;0,16;0,00;0,00;359;187;108;41;33;493;622
6;55,94;58,62;0,00;0,00;0,00;0,06;0,00;0,00;438;102;71;49;37;136;976
7;41,32;-47,58;0,00;0,00;0,00;-0,05;0,00;0,00;384;124;19;16;33;683;797
8;52,17;42,46;0,00;0,00;0,00;0,04;0,00;0,00;361;87;69;19;39;862;898
9;28,36;-240,31;0,00;0,00;0,00;-0,24;0,00;0,00;120;68;116;33;25;762;340
10;47,51;-89,68;0,00;0,00;0,00;-0,09;0,00;0,00;411;162;75;49;23;792;965
11;49,05;45,88;0,00;0,00;0,00;0,05;0,00;0,00;325;147;16;39;17;990;977
12;54,73;106,46;0,00;0,00;0,00;0,11;0,00;0,00;55;163;12;32;20;981;795
13;52,71;122,52;0,00;0,00;0,00;0,12;0,00;0,00;322;155;83;41;34;989;624
14;24,34;-313,45;0,00;0,00;0,00;-0,31;0,00;0,00;95;106;68;38;32;895;407
15;54,92;-6,65;0,00;0,00;0,00;-0,01;0,00;0,00;414;60;66;13;17;714;950
16;48,07;-81,97;0,00;0,00;0,00;-0,08;0,00;0,00;454;54;194;17;33;918;987
17;24,95;-280,79;0,00;0,00;0,00;-0,28;0,00;0,00;370;163;189;39;24;224;123
18;69,05;195,75;0,00;0,00;0,00;0,20;0,00;0,00;457;185;191;43;35;479;850
19;43,81;-31,15;0,00;0,00;0,00;-0,03;0,00;0,00;296;98;136;42;22;363;920
20;61,43;91,10;0,00;0,00;0,00;0,09;0,00;0,00;266;180;107;18;28;396;447
21;59,82;42,60;0,00;0,00;0,00;0,04;0,00;0,00;64;126;129;21;29;516;637
22;46,20;24,17;0,00;0,00;0,00;0,02;0,00;0,00;154;144;143;20;37;697;951
23;43,10;-112,70;0,00;0,00;0,00;-0,11;0,00;0,00;178;92;92;20;18;928;737
24;61,81;123,79;0,00;0,00;0,00;0,12;0,00;0,00;332;104;134;16;16;852;290
25;41,14;-112,77;0,00;0,00;0,00;-0,11;0,00;0,00;359;92;50;10;16;165;272
26;41,13;8,76;0,00;0,00;0,00;0,01;0,00;0,00;246;184;129;33;26;453;452
27;44,41;-13,68;0,00;0,00;0,00;-0,01;0,00;0,00;98;115;191;33;18;986;307
28;43,79;-38,60;0,00;0,00;0,00;-0,04;0,00;0,00;293;13;154;11;23;747;162
29;56,32;9,17;0,00;0,00;0,00;0,01;0,00;0,00;231;87;172;33;20;582;343
30;45,62;8,38;0,00;0,00;0,00;0,01;0,00;0,00;199;72;193;41;23;350;790
31;63,52;217,37;0,00;0,00;0,00;0,22;0,00;0,00;241;78;143;33;15;199;988
32;39,94;-62,72;0,00;0,00;0,00;-0,06;0,00;0,00;176;147;45;42;34;781;432
33;39,48;-164,92;0,00;0,00;0,00;-0,16;0,00;0,00;70;52;77;31;37;222;215
34;33,68;-188,69;0,00;0,00;0,00;-0,19;0,00;0,00;408;112;198;13;24;547;233
35;35,48;-55,71;0,00;0,00;0,00;-0,06;0,00;0,00;373;165;184;14;32;307;808
36;54,39;1,68;0,00;0,00;0,00;0,00;0,00;0,00;232;71;115;30;17;384;888
37;37,14;-87,30;0,00;0,00;0,00;-0,09;0,00;0,00;10;180;129;38;34;661;192
38;57,37;41,50;0,00;0,00;0,00;0,04;0,00;0,00;244;154;119;21;23;995;955
39;100,00;557,54;0,00;0,00;0,00;0,56;0,00;0,00;376;146;46;45;20;260;861
40;56,39;132,80;0,00;0,00;0,00;0,13;0,00;0,00;289;27;199;48;34;789;634
41;46,24;-86,86;0,00;0,00;0,00;-0,09;0,00;0,00;223;32;40;28;29;230;716
42;47,02;-63,24;0,00;0,00;0,00;-0,06;0,00;0,00;311;14;54;11;18;381;314
43;45,06;-0,07;0,00;0,00;0,00;-0,00;0,00;0,00;480;181;194;23;28;950;468
44;55,14;12,21;0,00;0,00;0,00;0,01;0,00;0,00;65;47;187;32;33;846;657
45;30,23;-270,97;0,00;0,00;0,00;-0,27;0,00;0,00;376;64;151;44;27;529;191
46;42,45;-87,49;0,00;0,00;0,00;-0,09;0,00;0,00;454;115;63;37;34;555;583
47;77,19;211,15;0,00;0,00;0,00;0,21;0,00;0,00;424;79;182;45;18;705;798
48;36,57;-105,56;0,00;0,00;0,00;-0,11;0,00;0,00;129;14;24;27;35;391;136
49;33,47;-208,35;0,00;0,00;0,00;-0,21;0,00;0,00;483;54;29;36;28;679;584
50;21,19;-394,16;0,00;0,00;0,00;-0,39;0,00;0,00;499;148;123;26;30;797;642
51;36,37;-131,38;0,00;0,00;0,00;-0,13;0,00;0,00;456;38;132;26;31;166;319
52;42,95;-126,42;0,00;0,00;0,00;-0,13;0,00;0,00;397;108;191;23;24;680;859
53;48,20;18,24;0,00;0,00;0,00;0,02;0,00;0,00;366;71;33;46;34;354;451
54;47,20;-38,09;0,00;0,00;0,00;-0,04;0,00;0,00;390;178;27;30;29;333;773
55;85,71;390,74;0,00;0,00;0,00;0,39;0,00;0,00;431;158;99;17;37;221;779
56;47,76;-22,13;0,00;0,00;0,00;-0,02;0,00;0,00;136;49;45;37;16;312;524
57;47,79;-78,74;0,00;0,00;0,00;-0,08;0,00;0,00;302;89;62;19;16;338;211
58;66,74;85,07;0,00;0,00;0,00;0,09;0,00;0,00;205;87;147;41;21;859;128
59;39,67;-128,74;0,00;0,00;0,00;-0,13;0,00;0,00;477;114;166;29;24;876;982
60;78,02;324,43;0,00;0,00;0,00;0,32;0,00;0,00;188;78;123;45;15;652;658
61;50,59;-64,21;0,00;0,00;0,00;-0,06;0,00;0,00;103;32;41;37;27;435;572
62;38,22;-165,46;0,00;0,00;0,00;-0,17;0,00;0,00;339;13;155;43;21;424;944
63;55,24;85,81;0,00;0,00;0,00;0,09;0,00;0,00;61;15;35;37;31;883;823
64;36,07;-157,11;0,00;0,00;0,00;-0,16;0,00;0,00;217;188;126;12;21;907;771
65;42,64;-53,31;0,00;0,00;0,00;-0,05;0,00;0,00;401;82;28;11;38;367;689
66;78,61;274,95;0,00;0,00;0,00;0,27;0,00;0,00;180;46;171;38;38;138;225
67;38,64;-163,40;0,00;0,00;0,00;-0,16;0,00;0,00;359;113;67;41;32;952;406
68;65,55;104,93;0,00;0,00;0,00;0,10;0,00;0,00;145;194;161;48;24;488;117
69;20,39;-265,11;0,00;0,00;0,00;-0,27;0,00;0,00;464;70;75;20;36;336;797
70;61,18;141,92;0,00;0,00;0,00;0,14;0,00;0,00;151;111;163;22;20;803;647
71;38,65;-86,21;0,00;0,00;0,00;-0,09;0,00;0,00;235;26;113;17;22;779;976
72;59,34;103,46;0,00;0,00;0,00;0,10;0,00;0,00;392;199;87;45;21;680;177
73;36,76;-82,36;0,00;0,00;0,00;-0,08;0,00;0,00;384;139;88;33;22;426;914
74;45,05;-7,46;0,00;0,00;0,00;-0,01;0,00;0,00;440;160;144;31;33;199;488
75;30,41;-198,82;0,00;0,00;0,00;-0,20;0,00;0,00;299;55;112;24;16;699;779
76;56,97;5,37;0,00;0,00;0,00;0,01;0,00;0,00;244;60;16;46;38;131;934
77;71,06;260,65;0,00;0,00;0,00;0,26;0,00;0,00;103;10;20;34;16;598;528
78;52,01;27,31;0,00;0,00;0,00;0,03;0,00;0,00;305;79;114;34;24;213;324
79;14,27;-422,67;0,00;0,00;0,00;-0,42;0,00;0,00;311;45;120;16;30;986;559
80;45,54;3,49;0,00;0,00;0,00;0,00;0,00;0,00;402;144;71;37;19;158;983
81;74,32;288,63;0,00;0,00;0,00;0,29;0,00;0,00;143;199;144;30;30;767;194
82;39,52;-142,92;0,00;0,00;0,00;-0,14;0,00;0,00;23;75;62;33;28;685;786
83;51,25;54,23;0,00;0,00;0,00;0,05;0,00;0,00;429;95;164;45;27;115;114
84;47,66;17,39;0,00;0,00;0,00;0,02;0,00;0,00;85;93;166;47;32;643;562
85;44,06;-2,85;0,00;0,00;0,00;-0,00;0,00;0,00;368;125;127;30;36;781;362
86;55,57;122,07;0,00;0,00;0,00;0,12;0,00;0,00;445;79;102;15;17;447;959
87;45,54;-68,70;0,00;0,00;0,00;-0,07;0,00;0,00;452;27;68;17;29;275;296
88;63,47;110,23;0,00;0,00;0,00;0,11;0,00;0,00;267;137;157;26;36;301;597
89;55,97;128,26;0,00;0,00;0,00;0,13;0,00;0,00;297;11;182;14;30;153;235
90;49,81;-10,18;0,00;0,00;0,00;-0,01;0,00;0,00;115;120;103;47;25;596;770
91;56,69;8,05;0,00;0,00;0,00;0,01;0,00;0,00;82;162;27;41;35;116;628
92;50,06;-16,08;0,00;0,00;0,00;-0,02;0,00;0,00;58;99;89;33;28;215;621
93;44,52;-18,76;0,00;0,00;0,00;-0,02;0,00;0,00;308;189;132;22;30;507;363
94;44,32;-104,49;0,00;0,00;0,00;-0,10;0,00;0,00;349;152;58;34;22;119;939
95;36,48;-102,22;0,00;0,00;0,00;-0,10;0,00;0,00;467;183;68;39;36;890;646
96;32,42;-106,86;0,00;0,00;0,00;-0,11;0,00;0,00;435;115;145;16;32;158;412
97;49,64;-10,24;0,00;0,00;0,00;-0,01;0,00;0,00;322;77;133;47;23;742;379
98;29,98;-205,08;0,00;0,00;0,00;-0,21;0,00;0,00;149;178;110;44;31;930;263
99;55,19;91,90;0,00;0,00;0,00;0,09;0,00;0,00;357;84;149;11;38;680;804
100;39,25;-45,97;0,00;0,00;0,00;-0,05;0,00;0,00;165;179;29;18;31;505;748
101;52,47;112,38;0,00;0,00;0,00;0,11;0,00;0,00;405;34;30;33;22;461;243
102;63,55;204,89;0,00;0,00;0,00;0,20;0,00;0,00;467;121;30;12;20;194;865
103;44,33;-100,21;0,00;0,00;0,00;-0,10;0,00;0,00;360;31;115;38;32;192;792
104;42,09;31,48;0,00;0,00;0,00;0,03;0,00;0,00;326;188;147;32;16;219;269
105;53,54;147,81;0,00;0,00;0,00;0,15;0,00;0,00;402;192;160;16;31;219;850
106;42,22;-89,42;0,00;0,00;0,00;-0,09;0,00;0,00;135;50;178;23;22;781;484
107;55,10;32,32;0,00;0,00;0,00;0,03;0,00;0,00;263;88;177;37;18;764;542
108;64,36;273,79;0,00;0,00;0,00;0,27;0,00;0,00;395;139;62;12;22;544;609
109;65,53;66,55;0,00;0,00;0,00;0,07;0,00;0,00;335;76;164;16;24;508;793
110;51,74;-54,10;0,00;0,00;0,00;-0,05;0,00;0,00;360;57;113;41;19;297;479
111;36,38;-150,24;0,00;0,00;0,00;-0,15;0,00;0,00;166;73;65;44;32;882;909
112;28,88;-201,48;0,00;0,00;0,00;-0,20;0,00;0,00;132;169;36;48;36;383;821
113;81,12;300,33;0,00;0,00;0,00;0,30;0,00;0,00;377;142;119;18;23;803;245
114;50,21;83,76;0,00;0,00;0,00;0,08;0,00;0,00;243;194;127;35;20;685;982
115;48,91;-9,25;0,00;0,00;0,00;-0,01;0,00;0,00;258;16;91;11;29;916;945
116;27,32;-298,68;0,00;0,00;0,00;-0,30;0,00;0,00;497;134;48;18;36;902;761
117;49,63;16,35;0,00;0,00;0,00;0,02;0,00;0,00;234;84;100;30;23;455;176
118;38,26;-99,60;0,00;0,00;0,00;-0,10;0,00;0,00;469;49;28;39;32;248;531
119;72,39;217,25;0,00;0,00;0,00;0,22;0,00;0,00;427;178;108;48;16;265;704
120;23,56;-263,30;0,00;0,00;0,00;-0,26;0,00;0,00;477;160;75;36;29;292;186
121;79,30;274,21;0,00;0,00;0,00;0,27;0,00;0,00;432;38;181;34;30;169;738
122;54,67;71,15;0,00;0,00;0,00;0,07;0,00;0,00;142;174;72;23;39;403;905
123;12,90;-406,98;0,00;0,00;0,00;-0,41;0,00;0,00;194;18;165;25;24;458;530
124;26,14;-206,53;0,00;0,00;0,00;-0,21;0,00;0,00;76;55;101;31;17;747;136
125;54,37;51,80;0,00;0,00;0,00;0,05;0,00;0,00;274;164;87;44;21;332;716
126;74,83;212,81;0,00;0,00;0,00;0,21;0,00;0,00;131;153;140;19;26;153;805
127;49,37;-70,20;0,00;0,00;0,00;-0,07;0,00;0,00;28;36;43;30;17;717;274
128;39,70;-87,29;0,00;0,00;0,00;-0,09;0,00;0,00;352;25;17;33;38;978;409
129;63,68;156,41;0,00;0,00;0,00;0,16;0,00;0,00;278;43;137;10;28;167;106
130;53,01;38,15;0,00;0,00;0,00;0,04;0,00;0,00;235;160;176;24;25;422;671
131;80,25;241,23;0,00;0,00;0,00;0,24;0,00;0,00;104;108;129;19;25;398;514
132;33,56;-180,99;0,00;0,00;0,00;-0,18;0,00;0,00;426;73;154;25;19;358;153
133;34,73;-201,64;0,00;0,00;0,00;-0,20;0,00;0,00;450;174;123;37;27;240;316
134;58,82;154,63;0,00;0,00;0,00;0,15;0,00;0,00;119;11;112;32;30;627;931
135;54,51;65,14;0,00;0,00;0,00;0,07;0,00;0,00;17;198;181;13;24;269;806
136;32,19;-83,71;0,00;0,00;0,00;-0,08;0,00;0,00;191;160;42;14;39;687;245
137;68,20;108,30;0,00;0,00;0,00;0,11;0,00;0,00;472;190;85;45;16;475;942
138;45,73;-117,24;0,00;0,00;0,00;-0,12;0,00;0,00;268;99;139;34;23;769;940
139;24,24;-296,41;0,00;0,00;0,00;-0,30;0,00;0,00;251;148;137;15;24;687;196
140;47,24;-76,33;0,00;0,00;0,00;-0,08;0,00;0,00;185;18;41;33;39;608;465
141;57,12;63,00;0,00;0,00;0,00;0,06;0,00;0,00;468;164;48;32;25;830;219
142;40,08;-124,21;0,00;0,00;0,00;-0,12;0,00;0,00;316;101;161;17;17;513;891
143;44,21;-108,18;0,00;0,00;0,00;-0,11;0,00;0,00;81;41;124;31;32;373;877
144;41,70;-105,00;0,00;0,00;0,00;-0,11;0,00;0,00;473;196;83;47;25;652;142
145;66,39;108,39;0,00;0,00;0,00;0,11;0,00;0,00;339;98;197;21;24;700;649
146;68,76;172,10;0,00;0,00;0,00;0,17;0,00;0,00;169;85;162;36;19;311;862
147;50,96;27,62;0,00;0,00;0,00;0,03;0,00;0,00;470;47;65;37;36;539;536
148;42,48;-91,64;0,00;0,00;0,00;-0,09;0,00;0,00;448;10;79;46;23;324;341
149;38,07;-79,89;0,00;0,00;0,00;-0,08;0,00;0,00;354;83;147;49;20;257;692
150;47,76;-126,47;0,00;0,00;0,00;-0,13;0,00;0,00;135;107;140;29;34;927;152
151;51,45;-1,59;0,00;0,00;0,00;-0,00;0,00;0,00;24;138;184;29;24;607;534
152;34,38;-172,08;0,00;0,00;0,00;-0,17;0,00;0,00;343;19;164;42;33;187;933
153;75,28;316,49;0,00;0,00;0,00;0,32;0,00;0,00;327;146;53;35;22;556;993
154;24,70;-182,39;0,00;0,00;0,00;-0,18;0,00;0,00;387;104;124;42;30;948;411
155;38,58;-193,30;0,00;0,00;0,00;-0,19;0,00;0,00;476;29;73;35;27;699;416
156;40,25;-65,34;0,00;0,00;0,00;-0,07;0,00;0,00;387;61;45;39;25;110;546
157;29,44;-229,50;0,00;0,00;0,00;-0,23;0,00;0,00;15;44;108;20;26;548;459
158;54,84;114,39;0,00;0,00;0,00;0,11;0,00;0,00;20;169;133;31;32;895;858
159;59,49;229,41;0,00;0,00;0,00;0,23;0,00;0,00;262;157;175;10;30;421;424
160;66,89;221,29;0,00;0,00;0,00;0,22;0,00;0,00;228;195;41;33;20;966;176
161;48,24;39,01;0,00;0,00;0,00;0,04;0,00;0,00;435;92;141;48;20;471;406
162;51,81;-72,51;0,00;0,00;0,00;-0,07;0,00;0,00;187;179;37;19;18;653;668
163;46,25;1,07;0,00;0,00;0,00;0,00;0,00;0,00;270;138;148;49;21;826;850
164;47,34;-15,97;0,00;0,00;0,00;-0,02;0,00;0,00;123;199;125;17;31;511;157
165;41,02;-102,61;0,00;0,00;0,00;-0,10;0,00;0,00;167;33;122;34;33;750;115
166;64,21;132,12;0,00;0,00;0,00;0,13;0,00;0,00;124;163;85;46;19;842;445
167;84,90;324,22;0,00;0,00;0,00;0,32;0,00;0,00;412;197;147;14;31;949;328
168;20,41;-318,66;0,00;0,00;0,00;-0,32;0,00;0,00;475;118;119;13;19;252;983
169;77,74;330,04;0,00;0,00;0,00;0,33;0,00;0,00;112;179;33;36;33;405;582
170;50,37;39,59;0,00;0,00;0,00;0,04;0,00;0,00;199;39;181;31;30;547;214
171;34,70;-121,46;0,00;0,00;0,00;-0,12;0,00;0,00;119;76;134;48;16;482;474
172;56,89;33,57;0,00;0,00;0,00;0,03;0,00;0,00;400;173;49;36;39;669;940
173;55,64;50,67;0,00;0,00;0,00;0,05;0,00;0,00;315;11;64;33;30;200;899
174;50,26;-48,19;0,00;0,00;0,00;-0,05;0,00;0,00;494;80;30;19;34;293;810
175;41,54;-51,38;0,00;0,00;0,00;-0,05;0,00;0,00;476;31;176;40;16;215;353
176;51,27;42,22;0,00;0,00;0,00;0,04;0,00;0,00;261;35;13;30;28;565;400
177;47,57;-100,04;0,00;0,00;0,00;-0,10;0,00;0,00;108;112;47;45;34;454;636
178;34,51;-183,97;0,00;0,00;0,00;-0,18;0,00;0,00;203;125;38;16;35;855;887
179;70,95;131,11;0,00;0,00;0,00;0,13;0,00;0,00;278;148;83;48;18;967;824
180;51,92;30,64;0,00;0,00;0,00;0,03;0,00;0,00;413;165;123;13;21;971;627
181;38,69;-118,68;0,00;0,00;0,00;-0,12;0,00;0,00;187;157;150;45;33;148;199
182;34,92;-82,18;0,00;0,00;0,00;-0,08;0,00;0,00;387;88;24;42;23;244;831
183;65,82;179,32;0,00;0,00;0,00;0,18;0,00;0,00;159;129;166;14;19;532;273
184;45,87;-24,33;0,00;0,00;0,00;-0,02;0,00;0,00;441;58;102;43;36;894;760
185;40,44;-90,43;0,00;0,00;0,00;-0,09;0,00;0,00;105;158;62;18;28;341;575
186;35,94;-217,16;0,00;0,00;0,00;-0,22;0,00;0,00;173;165;115;32;35;251;117
187;51,01;6,74;0,00;0,00;0,00;0,01;0,00;0,00;486;137;103;47;30;441;721
188;55,76;95,16;0,00;0,00;0,00;0,10;0,00;0,00;216;40;173;13;22;266;432
189;62,39;116,83;0,00;0,00;0,00;0,12;0,00;0,00;150;61;87;20;16;753;105
190;19,66;-328,34;0,00;0,00;0,00;-0,33;0,00;0,00;132;177;159;33;23;493;570
191;52,71;0,58;0,00;0,00;0,00;0,00;0,00;0,00;72;137;22;33;15;842;559
192;39,40;-140,60;0,00;0,00;0,00;-0,14;0,00;0,00;394;97;180;17;15;428;950
193;28,27;-263,80;0,00;0,00;0,00;-0,26;0,00;0,00;453;55;134;20;17;189;629
194;50,85;-15,73;0,00;0,00;0,00;-0,02;0,00;0,00;350;178;162;25;30;588;504
195;59,61;23,14;0,00;0,00;0,00;0,02;0,00;0,00;147;107;55;38;34;881;757
196;7,55;-395,15;0,00;0,00;0,00;-0,40;0,00;0,00;478;94;192;11;25;825;296
197;82,56;327,36;0,00;0,00;0,00;0,33;0,00;0,00;136;42;23;49;37;575;114
198;49,03;-33,14;0,00;0,00;0,00;-0,03;0,00;0,00;128;150;51;48;28;930;674
199;51,65;29,14;0,00;0,00;0,00;0,03;0,00;0,00;477;166;138;32;26;125;351
200;57,20;0,45;0,00;0,00;0,00;0,00;0,00;0,00;184;27;70;44;29;984;112
201;41,35;-111,77;0,00;0,00;0,00;-0,11;0,00;0,00;82;169;189;37;16;932;486
202;4,33;-515,15;0,00;0,00;0,00;-0,52;0,00;0,00;34;106;47;16;28;330;636
203;13,51;-339,36;0,00;0,00;0,00;-0,34;0,00;0,00;348;18;158;14;24;919;322
204;32,68;-142,51;0,00;0,00;0,00;-0,14;0,00;0,00;150;118;100;29;24;830;724
205;47,16;-45,78;0,00;0,00;0,00;-0,05;0,00;0,00;344;74;41;32;38;749;492
206;54,80;59,60;0,00;0,00;0,00;0,06;0,00;0,00;211;81;180;20;19;903;660
207;61,93;206,99;0,00;0,00;0,00;0,21;0,00;0,00;58;124;161;27;29;431;395
208;61,63;176,20;0,00;0,00;0,00;0,18;0,00;0,00;229;126;130;15;22;623;436
209;66,81;152,63;0,00;0,00;0,00;0,15;0,00;0,00;498;181;65;44;30;820;159
210;46,22;-89,79;0,00;0,00;0,00;-0,09;0,00;0,00;297;95;100;10;28;159;311
211;64,49;267,55;0,00;0,00;0,00;0,27;0,00;0,00;52;78;79;42;26;915;995
212;36,17;-137,42;0,00;0,00;0,00;-0,14;0,00;0,00;328;72;78;14;33;281;315
213;21,75;-179,70;0,00;0,00;0,00;-0,18;0,00;0,00;165;56;122;27;37;959;320
