Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;83,36;166,47;0,00;0,00;0,00;0,17;0,00;0,00;422;37;181;24;16;525;131
2;65,18;-102,43;0,00;0,00;0,00;-0,10;0,00;0,00;428;159;111;20;39;645;272
3;32,36;-359,69;0,00;0,00;0,00;-0,36;0,00;0,00;120;162;185;13;24;818;483
4;0,00;-585,73;0,00;0,00;0,00;-0,59;0,00;0,00;242;145;113;48;34;622;693
5;49,99;-153,89;0,00;0,00;0,00;-0,15;0,00;0,00;397;163;62;40;28;417;198
6;46,33;-230,22;0,00;0,00;0,00;-0,23;0,00;0,00;287;181;130;32;17;879;183
7;74,58;-18,41;0,00;0,00;0,00;-0,02;0,00;0,00;420;42;135;13;34;797;138
8;64,78;-64,38;0,00;0,00;0,00;-0,06;0,00;0,00;254;28;133;46;30;332;408
9;55,77;-162,02;0,00;0,00;0,00;-0,16;0,00;0,00;168;46;151;31;17;685;424
10;17,09;-548,03;0,00;0,00;0,00;-0,55;0,00;0,00;404;134;107;12;22;854;332
11;40,47;-307,58;0,00;0,00;0,00;-0,31;0,00;0,00;437;28;89;33;39;423;165
12;20,32;-510,24;0,00;0,00;0,00;-0,51;0,00;0,00;297;151;13;15;35;124;871
13;14,24;-546,59;0,00;0,00;0,00;-0,55;0,00;0,00;448;85;136;39;20;821;397
14;9,32;-620,16;0,00;0,00;0,00;-0,62;0,00;0,00;409;89;157;26;24;384;380
15;60,01;-131,01;0,00;0,00;0,00;-0,13;0,00;0,00;464;13;190;48;15;385;548
16;27,22;-493,03;0,00;0,00;0,00;-0,49;0,00;0,00;70;113;156;48;31;796;179
17;67,82;-15,44;0,00;0,00;0,00;-0,02;0,00;0,00;277;103;95;35;27;895;794
18;47,16;-292,51;0,00;0,00;0,00;-0,29;0,00;0,00;63;150;128;29;20;701;788
19;81,67;66,39;0,00;0,00;0,00;0,07;0,00;0,00;350;58;73;47;31;518;225
20;21,05;-548,82;0,00;0,00;0,00;-0,55;0,00;0,00;463;121;61;29;16;750;171
21;38,15;-314,45;0,00;0,00;0,00;-0,31;0,00;0,00;21;153;67;17;18;324;153
22;63,73;-15,93;0,00;0,00;0,00;-0,02;0,00;0,00;38;186;146;30;21;507;893
23;79,21;133,18;0,00;0,00;0,00;0,13;0,00;0,00;464;100;151;39;23;163;787
24;94,39;238,31;0,00;0,00;0,00;0,24;0,00;0,00;284;96;36;44;23;764;474
25;53,07;-206,87;0,00;0,00;0,00;-0,21;0,00;0,00;367;34;103;23;36;639;826
