Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;38,77;-38,93;0,00;0,00;0,00;-0,04;0,00;0,00;478;150;98;38;19;872;349
2;60,40;115,43;0,00;0,00;0,00;0,12;0,00;0,00;370;54;118;42;29;904;851
3;56,86;86,43;0,00;0,00;0,00;0,09;0,00;0,00;117;193;135;38;35;556;207
4;54,71;76,54;0,00;0,00;0,00;0,08;0,00;0,00;237;130;155;25;17;304;999
5;66,79;152,78;0,00;0,00;0,00;0,15;0,00;0,00;101;187;108;41;33;493;622
6;55,20;12,07;0,00;0,00;0,00;0,01;0,00;0,00;204;102;71;49;37;136;976
7;47,22;-100,31;0,00;0,00;0,00;-0,10;0,00;0,00;447;124;19;16;33;683;797
8;50,39;33,64;0,00;0,00;0,00;0,03;0,00;0,00;313;87;69;19;39;862;898
9;23,27;-216,79;0,00;0,00;0,00;-0,22;0,00;0,00;52;68;116;33;25;762;340
10;41,56;-52,48;0,00;0,00;0,00;-0,05;0,00;0,00;86;162;75;49;23;792;965
11;68,55;187,54;0,00;0,00;0,00;0,19;0,00;0,00;269;147;16;39;17;990;977
12;58,23;4,36;0,00;0,00;0,00;0,00;0,00;0,00;310;163;12;32;20;981;795
13;55,79;-34,05;0,00;0,00;0,00;-0,03;0,00;0,00;150;155;83;41;34;989;624
14;27,90;-232,21;0,00;0,00;0,00;-0,23;0,00;0,00;164;106;68;38;32;895;407
15;47,28;-81,49;0,00;0,00;0,00;-0,08;0,00;0,00;72;60;66;13;17;714;950
16;40,12;-148,88;0,00;0,00;0,00;-0,15;0,00;0,00;439;54;194;17;33;918;987
17;34,34;-134,25;0,00;0,00;0,00;-0,13;0,00;0,00;242;163;189;39;24;224;123
18;79,73;356,33;0,00;0,00;0,00;0,36;0,00;0,00;400;185;191;43;35;479;850
19;40,36;-146,94;0,00;0,00;0,00;-0,15;0,00;0,00;95;98;136;42;22;363;920
20;57,98;9,50;0,00;0,00;0,00;0,01;0,00;0,00;239;180;107;18;28;396;447
21;73,25;202,04;0,00;0,00;0,00;0,20;0,00;0,00;252;126;129;21;29;516;637
22;40,21;-64,85;0,00;0,00;0,00;-0,06;0,00;0,00;299;144;143;20;37;697;951
23;53,54;46,41;0,00;0,00;0,00;0,05;0,00;0,00;450;92;92;20;18;928;737
24;53,30;-2,06;0,00;0,00;0,00;-0,00;0,00;0,00;381;104;134;16;16;852;290
25;46,33;-129,39;0,00;0,00;0,00;-0,13;0,00;0,00;263;92;50;10;16;165;272
26;49,83;67,92;0,00;0,00;0,00;0,07;0,00;0,00;415;184;129;33;26;453;452
27;48,04;10,21;0,00;0,00;0,00;0,01;0,00;0,00;181;115;191;33;18;986;307
28;45,41;-77,71;0,00;0,00;0,00;-0,08;0,00;0,00;369;13;154;11;23;747;162
29;63,37;137,79;0,00;0,00;0,00;0,14;0,00;0,00;407;87;172;33;20;582;343
30;35,38;-167,15;0,00;0,00;0,00;-0,17;0,00;0,00;41;72;193;41;23;350;790
31;53,73;-2,36;0,00;0,00;0,00;-0,00;0,00;0,00;421;78;143;33;15;199;988
32;32,88;-225,16;0,00;0,00;0,00;-0,23;0,00;0,00;319;147;45;42;34;781;432
33;40,65;-127,32;0,00;0,00;0,00;-0,13;0,00;0,00;478;52;77;31;37;222;215
34;49,18;-28,49;0,00;0,00;0,00;-0,03;0,00;0,00;44;112;198;13;24;547;233
35;41,22;-123,50;0,00;0,00;0,00;-0,12;0,00;0,00;318;165;184;14;32;307;808
36;48,91;-18,29;0,00;0,00;0,00;-0,02;0,00;0,00;255;71;115;30;17;384;888
37;34,55;-235,62;0,00;0,00;0,00;-0,24;0,00;0,00;485;180;129;38;34;661;192
38;53,91;96,70;0,00;0,00;0,00;0,10;0,00;0,00;284;154;119;21;23;995;955
39;95,67;353,03;0,00;0,00;0,00;0,35;0,00;0,00;464;146;46;45;20;260;861
40;52,71;-1,04;0,00;0,00;0,00;-0,00;0,00;0,00;206;27;199;48;34;789;634
41;45,69;-13,67;0,00;0,00;0,00;-0,01;0,00;0,00;167;32;40;28;29;230;716
42;45,95;25,74;0,00;0,00;0,00;0,03;0,00;0,00;113;14;54;11;18;381;314
43;44,77;-71,42;0,00;0,00;0,00;-0,07;0,00;0,00;393;181;194;23;28;950;468
44;54,64;60,21;0,00;0,00;0,00;0,06;0,00;0,00;67;47;187;32;33;846;657
45;37,71;-249,09;0,00;0,00;0,00;-0,25;0,00;0,00;330;64;151;44;27;529;191
46;45,62;-118,19;0,00;0,00;0,00;-0,12;0,00;0,00;28;115;63;37;34;555;583
47;70,83;175,34;0,00;0,00;0,00;0,18;0,00;0,00;402;79;182;45;18;705;798
48;34,45;-165,88;0,00;0,00;0,00;-0,17;0,00;0,00;358;14;24;27;35;391;136
49;42,33;-47,44;0,00;0,00;0,00;-0,05;0,00;0,00;201;54;29;36;28;679;584
50;17,49;-316,13;0,00;0,00;0,00;-0,32;0,00;0,00;138;148;123;26;30;797;642
51;46,81;69,81;0,00;0,00;0,00;0,07;0,00;0,00;381;38;132;26;31;166;319
52;45,79;-47,94;0,00;0,00;0,00;-0,05;0,00;0,00;353;108;191;23;24;680;859
53;55,45;50,27;0,00;0,00;0,00;0,05;0,00;0,00;112;71;33;46;34;354;451
54;40,32;-148,01;0,00;0,00;0,00;-0,15;0,00;0,00;25;178;27;30;29;333;773
55;87,76;379,99;0,00;0,00;0,00;0,38;0,00;0,00;405;158;99;17;37;221;779
56;49,61;-28,94;0,00;0,00;0,00;-0,03;0,00;0,00;379;49;45;37;16;312;524
57;51,05;28,13;0,00;0,00;0,00;0,03;0,00;0,00;286;89;62;19;16;338;211
58;69,20;232,78;0,00;0,00;0,00;0,23;0,00;0,00;150;87;147;41;21;859;128
59;37,57;-148,69;0,00;0,00;0,00;-0,15;0,00;0,00;324;114;166;29;24;876;982
60;71,24;232,07;0,00;0,00;0,00;0,23;0,00;0,00;296;78;123;45;15;652;658
61;36,80;-66,21;0,00;0,00;0,00;-0,07;0,00;0,00;429;32;41;37;27;435;572
62;56,55;103,76;0,00;0,00;0,00;0,10;0,00;0,00;444;13;155;43;21;424;944
63;47,56;-82,06;0,00;0,00;0,00;-0,08;0,00;0,00;405;15;35;37;31;883;823
64;35,98;-129,18;0,00;0,00;0,00;-0,13;0,00;0,00;261;188;126;12;21;907;771
65;44,40;-104,18;0,00;0,00;0,00;-0,10;0,00;0,00;132;82;28;11;38;367;689
66;70,43;157,80;0,00;0,00;0,00;0,16;0,00;0,00;483;46;171;38;38;138;225
67;42,59;-141,02;0,00;0,00;0,00;-0,14;0,00;0,00;117;113;67;41;32;952;406
68;54,83;27,26;0,00;0,00;0,00;0,03;0,00;0,00;377;194;161;48;24;488;117
69;28,97;-234,84;0,00;0,00;0,00;-0,23;0,00;0,00;107;70;75;20;36;336;797
70;61,44;43,77;0,00;0,00;0,00;0,04;0,00;0,00;344;111;163;22;20;803;647
71;37,49;-109,49;0,00;0,00;0,00;-0,11;0,00;0,00;11;26;113;17;22;779;976
72;58,85;118,12;0,00;0,00;0,00;0,12;0,00;0,00;387;199;87;45;21;680;177
73;37,35;-76,65;0,00;0,00;0,00;-0,08;0,00;0,00;486;139;88;33;22;426;914
74;46,99;-32,37;0,00;0,00;0,00;-0,03;0,00;0,00;246;160;144;31;33;199;488
75;34,23;-118,38;0,00;0,00;0,00;-0,12;0,00;0,00;316;55;112;24;16;699;779
76;60,19;80,08;0,00;0,00;0,00;0,08;0,00;0,00;426;60;16;46;38;131;934
77;63,95;137,19;0,00;0,00;0,00;0,14;0,00;0,00;336;10;20;34;16;598;528
78;52,35;63,58;0,00;0,00;0,00;0,06;0,00;0,00;410;79;114;34;24;213;324
79;31,64;-119,84;0,00;0,00;0,00;-0,12;0,00;0,00;312;45;120;16;30;986;559
80;49,11;-2,62;0,00;0,00;0,00;-0,00;0,00;0,00;125;144;71;37;19;158;983
81;67,26;239,69;0,00;0,00;0,00;0,24;0,00;0,00;114;199;144;30;30;767;194
82;23,55;-259,02;0,00;0,00;0,00;-0,26;0,00;0,00;225;75;62;33;28;685;786
83;42,27;-98,83;0,00;0,00;0,00;-0,10;0,00;0,00;21;95;164;45;27;115;114
84;50,02;7,82;0,00;0,00;0,00;0,01;0,00;0,00;477;93;166;47;32;643;562
85;49,65;37,23;0,00;0,00;0,00;0,04;0,00;0,00;476;125;127;30;36;781;362
86;59,35;91,84;0,00;0,00;0,00;0,09;0,00;0,00;71;79;102;15;17;447;959
87;53,55;20,32;0,00;0,00;0,00;0,02;0,00;0,00;265;27;68;17;29;275;296
88;71,70;336,64;0,00;0,00;0,00;0,34;0,00;0,00;354;137;157;26;36;301;597
89;51,38;13,17;0,00;0,00;0,00;0,01;0,00;0,00;137;11;182;14;30;153;235
90;51,14;37,49;0,00;0,00;0,00;0,04;0,00;0,00;307;120;103;47;25;596;770
91;43,75;-92,12;0,00;0,00;0,00;-0,09;0,00;0,00;273;162;27;41;35;116;628
92;62,15;90,00;0,00;0,00;0,00;0,09;0,00;0,00;359;99;89;33;28;215;621
93;46,47;-52,30;0,00;0,00;0,00;-0,05;0,00;0,00;55;189;132;22;30;507;363
94;34,49;-39,34;0,00;0,00;0,00;-0,04;0,00;0,00;409;152;58;34;22;119;939
95;38,53;-95,00;0,00;0,00;0,00;-0,09;0,00;0,00;74;183;68;39;36;890;646
96;29,94;-169,11;0,00;0,00;0,00;-0,17;0,00;0,00;191;115;145;16;32;158;412
97;56,15;6,28;0,00;0,00;0,00;0,01;0,00;0,00;382;77;133;47;23;742;379
98;34,86;-124,19;0,00;0,00;0,00;-0,12;0,00;0,00;411;178;110;44;31;930;263
99;63,96;81,55;0,00;0,00;0,00;0,08;0,00;0,00;252;84;149;11;38;680;804
100;41,47;-77,38;0,00;0,00;0,00;-0,08;0,00;0,00;213;179;29;18;31;505;748
101;55,25;101,57;0,00;0,00;0,00;0,10;0,00;0,00;128;34;30;33;22;461;243
102;65,43;94,16;0,00;0,00;0,00;0,09;0,00;0,00;226;121;30;12;20;194;865
103;45,55;-72,80;0,00;0,00;0,00;-0,07;0,00;0,00;245;31;115;38;32;192;792
104;51,42;18,16;0,00;0,00;0,00;0,02;0,00;0,00;115;188;147;32;16;219;269
105;49,69;-77,07;0,00;0,00;0,00;-0,08;0,00;0,00;28;192;160;16;31;219;850
106;57,66;45,29;0,00;0,00;0,00;0,05;0,00;0,00;99;50;178;23;22;781;484
107;47,95;39,77;0,00;0,00;0,00;0,04;0,00;0,00;490;88;177;37;18;764;542
108;65,20;251,20;0,00;0,00;0,00;0,25;0,00;0,00;465;139;62;12;22;544;609
109;61,65;9,76;0,00;0,00;0,00;0,01;0,00;0,00;52;76;164;16;24;508;793
110;46,53;62,66;0,00;0,00;0,00;0,06;0,00;0,00;114;57;113;41;19;297;479
111;38,49;-76,31;0,00;0,00;0,00;-0,08;0,00;0,00;437;73;65;44;32;882;909
112;32,13;-260,08;0,00;0,00;0,00;-0,26;0,00;0,00;401;169;36;48;36;383;821
113;90,21;383,50;0,00;0,00;0,00;0,38;0,00;0,00;356;142;119;18;23;803;245
114;56,73;67,64;0,00;0,00;0,00;0,07;0,00;0,00;493;194;127;35;20;685;982
115;56,82;125,20;0,00;0,00;0,00;0,13;0,00;0,00;275;16;91;11;29;916;945
116;22,38;-238,79;0,00;0,00;0,00;-0,24;0,00;0,00;86;134;48;18;36;902;761
117;47,50;49,17;0,00;0,00;0,00;0,05;0,00;0,00;441;84;100;30;23;455;176
118;45,53;36,80;0,00;0,00;0,00;0,04;0,00;0,00;320;49;28;39;32;248;531
119;74,09;287,21;0,00;0,00;0,00;0,29;0,00;0,00;444;178;108;48;16;265;704
120;26,46;-286,44;0,00;0,00;0,00;-0,29;0,00;0,00;18;160;75;36;29;292;186
121;85,48;325,74;0,00;0,00;0,00;0,33;0,00;0,00;117;38;181;34;30;169;738
122;50,42;54,00;0,00;0,00;0,00;0,05;0,00;0,00;348;174;72;23;39;403;905
123;16,28;-322,25;0,00;0,00;0,00;-0,32;0,00;0,00;444;18;165;25;24;458;530
124;22,79;-232,59;0,00;0,00;0,00;-0,23;0,00;0,00;319;55;101;31;17;747;136
125;52,38;50,21;0,00;0,00;0,00;0,05;0,00;0,00;427;164;87;44;21;332;716
126;66,87;177,89;0,00;0,00;0,00;0,18;0,00;0,00;294;153;140;19;26;153;805
127;37,57;-123,30;0,00;0,00;0,00;-0,12;0,00;0,00;343;36;43;30;17;717;274
128;54,98;62,26;0,00;0,00;0,00;0,06;0,00;0,00;181;25;17;33;38;978;409
129;72,36;193,81;0,00;0,00;0,00;0,19;0,00;0,00;251;43;137;10;28;167;106
130;51,27;-38,63;0,00;0,00;0,00;-0,04;0,00;0,00;276;160;176;24;25;422;671
131;74,09;296,79;0,00;0,00;0,00;0,30;0,00;0,00;35;108;129;19;25;398;514
132;44,94;-77,41;0,00;0,00;0,00;-0,08;0,00;0,00;206;73;154;25;19;358;153
133;47,16;-31,75;0,00;0,00;0,00;-0,03;0,00;0,00;330;174;123;37;27;240;316
134;64,50;170,21;0,00;0,00;0,00;0,17;0,00;0,00;66;11;112;32;30;627;931
135;49,41;44,25;0,00;0,00;0,00;0,04;0,00;0,00;243;198;181;13;24;269;806
136;34,70;-109,95;0,00;0,00;0,00;-0,11;0,00;0,00;213;160;42;14;39;687;245
137;70,36;237,38;0,00;0,00;0,00;0,24;0,00;0,00;140;190;85;45;16;475;942
138;38,61;-112,89;0,00;0,00;0,00;-0,11;0,00;0,00;308;99;139;34;23;769;940
139;39,29;-191,38;0,00;0,00;0,00;-0,19;0,00;0,00;122;148;137;15;24;687;196
140;48,73;-50,38;0,00;0,00;0,00;-0,05;0,00;0,00;300;18;41;33;39;608;465
141;56,03;39,04;0,00;0,00;0,00;0,04;0,00;0,00;58;164;48;32;25;830;219
142;38,75;-47,10;0,00;0,00;0,00;-0,05;0,00;0,00;96;101;161;17;17;513;891
143;41,77;-2,86;0,00;0,00;0,00;-0,00;0,00;0,00;438;41;124;31;32;373;877
144;31,99;-147,08;0,00;0,00;0,00;-0,15;0,00;0,00;353;196;83;47;25;652;142
145;74,84;237,48;0,00;0,00;0,00;0,24;0,00;0,00;398;98;197;21;24;700;649
146;63,11;76,19;0,00;0,00;0,00;0,08;0,00;0,00;96;85;162;36;19;311;862
147;52,36;18,39;0,00;0,00;0,00;0,02;0,00;0,00;232;47;65;37;36;539;536
148;44,25;-15,37;0,00;0,00;0,00;-0,02;0,00;0,00;178;10;79;46;23;324;341
149;41,45;-84,96;0,00;0,00;0,00;-0,08;0,00;0,00;462;83;147;49;20;257;692
150;46,65;-1,98;0,00;0,00;0,00;-0,00;0,00;0,00;266;107;140;29;34;927;152
151;52,35;-11,14;0,00;0,00;0,00;-0,01;0,00;0,00;407;138;184;29;24;607;534
152;34,98;-122,91;0,00;0,00;0,00;-0,12;0,00;0,00;54;19;164;42;33;187;933
153;80,82;271,81;0,00;0,00;0,00;0,27;0,00;0,00;56;146;53;35;22;556;993
154;21,60;-290,88;0,00;0,00;0,00;-0,29;0,00;0,00;448;104;124;42;30;948;411
155;42,10;-88,84;0,00;0,00;0,00;-0,09;0,00;0,00;129;29;73;35;27;699;416
156;45,82;-150,70;0,00;0,00;0,00;-0,15;0,00;0,00;408;61;45;39;25;110;546
157;30,44;-155,85;0,00;0,00;0,00;-0,16;0,00;0,00;132;44;108;20;26;548;459
158;48,61;-48,89;0,00;0,00;0,00;-0,05;0,00;0,00;204;169;133;31;32;895;858
159;56,26;-2,14;0,00;0,00;0,00;-0,00;0,00;0,00;236;157;175;10;30;421;424
160;59,99;101,93;0,00;0,00;0,00;0,10;0,00;0,00;170;195;41;33;20;966;176
161;40,39;-117,01;0,00;0,00;0,00;-0,12;0,00;0,00;221;92;141;48;20;471;406
162;49,50;-11,51;0,00;0,00;0,00;-0,01;0,00;0,00;246;179;37;19;18;653;668
