Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;15,88;-531,56;0,00;0,00;0,00;-0,53;0,00;0,00;290;140;81;44;17;705;176
2;21,47;-508,66;0,00;0,00;0,00;-0,51;0,00;0,00;374;16;151;17;36;686;828
3;0,00;-715,63;0,00;0,00;0,00;-0,72;0,00;0,00;155;180;51;29;18;720;386
4;22,83;-455,15;0,00;0,00;0,00;-0,46;0,00;0,00;32;131;38;46;16;367;374
5;35,21;-409,05;0,00;0,00;0,00;-0,41;0,00;0,00;277;73;30;17;22;506;767
6;76,81;92,16;0,00;0,00;0,00;0,09;0,00;0,00;253;51;174;28;16;169;468
7;81,43;83,01;0,00;0,00;0,00;0,08;0,00;0,00;426;178;179;40;35;318;875
8;72,40;-23,35;0,00;0,00;0,00;-0,02;0,00;0,00;387;55;150;45;33;669;928
9;40,58;-363,32;0,00;0,00;0,00;-0,36;0,00;0,00;203;102;44;45;31;564;407
10;63,85;-47,07;0,00;0,00;0,00;-0,05;0,00;0,00;60;192;83;49;33;948;183
11;27,43;-381,16;0,00;0,00;0,00;-0,38;0,00;0,00;321;157;72;30;30;889;394
12;37,49;-321,59;0,00;0,00;0,00;-0,32;0,00;0,00;398;159;120;35;36;597;985
13;61,24;-61,56;0,00;0,00;0,00;-0,06;0,00;0,00;277;63;61;24;24;775;998
14;59,92;-138,48;0,00;0,00;0,00;-0,14;0,00;0,00;230;170;194;29;30;890;525
15;57,46;-112,76;0,00;0,00;0,00;-0,11;0,00;0,00;374;182;160;12;25;960;541
16;53,42;-182,19;0,00;0,00;0,00;-0,18;0,00;0,00;12;168;161;41;36;606;633
17;29,18;-457,02;0,00;0,00;0,00;-0,46;0,00;0,00;270;74;172;26;18;561;522
18;60,69;-143,61;0,00;0,00;0,00;-0,14;0,00;0,00;495;176;43;45;15;982;614
19;75,00;89,97;0,00;0,00;0,00;0,09;0,00;0,00;129;90;167;30;26;995;705
20;3,22;-625,07;0,00;0,00;0,00;-0,63;0,00;0,00;177;127;60;49;36;202;227
21;62,06;-34,30;0,00;0,00;0,00;-0,03;0,00;0,00;226;126;179;26;20;652;249
22;79,52;106,05;0,00;0,00;0,00;0,11;0,00;0,00;396;120;55;46;28;294;574
23;47,41;-206,68;0,00;0,00;0,00;-0,21;0,00;0,00;265;139;185;30;27;249;144
24;37,57;-307,42;0,00;0,00;0,00;-0,31;0,00;0,00;460;144;143;37;36;818;451
25;94,50;183,43;0,00;0,00;0,00;0,18;0,00;0,00;269;57;83;28;35;142;189
26;51,66;-121,89;0,00;0,00;0,00;-0,12;0,00;0,00;58;61;185;21;16;627;705
27;58,34;-28,88;0,00;0,00;0,00;-0,03;0,00;0,00;469;66;176;12;17;225;358
28;58,57;-58,74;0,00;0,00;0,00;-0,06;0,00;0,00;336;179;173;47;19;455;489
29;91,59;172,68;0,00;0,00;0,00;0,17;0,00;0,00;241;131;16;42;28;156;641
30;78,28;46,08;0,00;0,00;0,00;0,05;0,00;0,00;472;170;79;47;32;364;998
31;37,99;-265,78;0,00;0,00;0,00;-0,27;0,00;0,00;206;140;180;33;24;388;626
32;42,60;-272,83;0,00;0,00;0,00;-0,27;0,00;0,00;440;174;72;44;37;949;222
33;70,18;-23,22;0,00;0,00;0,00;-0,02;0,00;0,00;71;112;142;36;18;467;748
34;54,56;-182,00;0,00;0,00;0,00;-0,18;0,00;0,00;286;146;148;49;23;739;339
35;35,86;-444,55;0,00;0,00;0,00;-0,44;0,00;0,00;74;171;52;28;27;980;233
36;89,04;128,83;0,00;0,00;0,00;0,13;0,00;0,00;120;148;184;15;23;109;334
37;61,66;28,55;0,00;0,00;0,00;0,03;0,00;0,00;244;152;175;38;19;218;529
38;100,00;273,06;0,00;0,00;0,00;0,27;0,00;0,00;139;88;187;13;15;759;141
