Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;67,97;-22,74;0,00;0,00;0,00;-0,02;0,00;0,00;57;37;181;24;16;525;131
2;48,63;-256,88;0,00;0,00;0,00;-0,26;0,00;0,00;387;159;111;20;39;645;272
3;18,46;-499,66;0,00;0,00;0,00;-0,50;0,00;0,00;308;162;185;13;24;818;483
4;16,07;-482,73;0,00;0,00;0,00;-0,48;0,00;0,00;366;145;113;48;34;622;693
5;51,70;-214,99;0,00;0,00;0,00;-0,21;0,00;0,00;347;163;62;40;28;417;198
6;45,27;-225,33;0,00;0,00;0,00;-0,23;0,00;0,00;15;181;130;32;17;879;183
7;92,66;187,62;0,00;0,00;0,00;0,19;0,00;0,00;352;42;135;13;34;797;138
8;60,36;-117,00;0,00;0,00;0,00;-0,12;0,00;0,00;158;28;133;46;30;332;408
9;64,92;-167,78;0,00;0,00;0,00;-0,17;0,00;0,00;203;46;151;31;17;685;424
10;38,63;-346,44;0,00;0,00;0,00;-0,35;0,00;0,00;199;134;107;12;22;854;332
11;0,00;-592,19;0,00;0,00;0,00;-0,59;0,00;0,00;58;28;89;33;39;423;165
12;61,60;-59,78;0,00;0,00;0,00;-0,06;0,00;0,00;30;151;13;15;35;124;871
13;60,57;-115,80;0,00;0,00;0,00;-0,12;0,00;0,00;77;85;136;39;20;821;397
14;38,96;-240,02;0,00;0,00;0,00;-0,24;0,00;0,00;57;89;157;26;24;384;380
15;43,57;-251,03;0,00;0,00;0,00;-0,25;0,00;0,00;452;13;190;48;15;385;548
16;8,11;-660,09;0,00;0,00;0,00;-0,66;0,00;0,00;170;113;156;48;31;796;179
17;85,02;87,23;0,00;0,00;0,00;0,09;0,00;0,00;449;103;95;35;27;895;794
18;32,71;-363,52;0,00;0,00;0,00;-0,36;0,00;0,00;268;150;128;29;20;701;788
19;57,42;-217,13;0,00;0,00;0,00;-0,22;0,00;0,00;252;58;73;47;31;518;225
20;38,96;-266,80;0,00;0,00;0,00;-0,27;0,00;0,00;200;121;61;29;16;750;171
21;54,12;-180,68;0,00;0,00;0,00;-0,18;0,00;0,00;81;153;67;17;18;324;153
22;29,50;-365,41;0,00;0,00;0,00;-0,37;0,00;0,00;487;186;146;30;21;507;893
23;39,96;-289,26;0,00;0,00;0,00;-0,29;0,00;0,00;47;100;151;39;23;163;787
24;73,01;30,46;0,00;0,00;0,00;0,03;0,00;0,00;68;96;36;44;23;764;474
25;32,15;-317,22;0,00;0,00;0,00;-0,32;0,00;0,00;208;34;103;23;36;639;826
26;85,03;183,89;0,00;0,00;0,00;0,18;0,00;0,00;469;134;14;25;34;549;328
27;47,68;-135,07;0,00;0,00;0,00;-0,14;0,00;0,00;66;30;142;37;26;513;541
28;70,06;-17,39;0,00;0,00;0,00;-0,02;0,00;0,00;185;98;65;13;29;166;425
29;45,12;-245,98;0,00;0,00;0,00;-0,25;0,00;0,00;42;63;194;26;29;554;716
30;55,91;-194,61;0,00;0,00;0,00;-0,19;0,00;0,00;270;57;167;47;29;269;648
31;69,73;31,19;0,00;0,00;0,00;0,03;0,00;0,00;395;40;79;39;27;633;109
32;57,38;-130,61;0,00;0,00;0,00;-0,13;0,00;0,00;146;197;26;18;21;235;974
33;53,96;-96,55;0,00;0,00;0,00;-0,10;0,00;0,00;119;135;143;17;34;868;582
34;37,31;-248,05;0,00;0,00;0,00;-0,25;0,00;0,00;41;70;39;43;39;347;851
35;63,70;-83,64;0,00;0,00;0,00;-0,08;0,00;0,00;374;95;45;15;17;737;418
36;0,00;-633,22;0,00;0,00;0,00;-0,63;0,00;0,00;432;80;116;22;23;817;422
37;25,55;-433,15;0,00;0,00;0,00;-0,43;0,00;0,00;343;117;173;23;37;718;703
38;56,77;-149,50;0,00;0,00;0,00;-0,15;0,00;0,00;379;129;108;15;16;411;662
39;66,39;-63,70;0,00;0,00;0,00;-0,06;0,00;0,00;305;182;108;30;31;429;198
40;10,97;-698,81;0,00;0,00;0,00;-0,70;0,00;0,00;488;81;154;21;21;781;998
41;47,29;-153,73;0,00;0,00;0,00;-0,15;0,00;0,00;50;57;18;17;37;632;515
42;1,76;-626,94;0,00;0,00;0,00;-0,63;0,00;0,00;70;119;36;26;34;798;594
43;63,86;-107,58;0,00;0,00;0,00;-0,11;0,00;0,00;289;25;53;33;30;697;637
44;26,18;-358,33;0,00;0,00;0,00;-0,36;0,00;0,00;32;179;155;24;38;813;396
45;43,47;-236,31;0,00;0,00;0,00;-0,24;0,00;0,00;324;150;164;13;24;730;805
46;47,35;-183,36;0,00;0,00;0,00;-0,18;0,00;0,00;396;139;138;25;21;739;420
47;99,76;366,14;0,00;0,00;0,00;0,37;0,00;0,00;457;87;150;43;19;230;144
48;21,00;-399,67;0,00;0,00;0,00;-0,40;0,00;0,00;300;77;104;45;21;828;592
49;0,00;-679,82;0,00;0,00;0,00;-0,68;0,00;0,00;264;180;25;16;19;915;958
50;7,33;-625,50;0,00;0,00;0,00;-0,63;0,00;0,00;310;100;73;49;27;931;925
51;40,36;-260,53;0,00;0,00;0,00;-0,26;0,00;0,00;269;120;196;32;34;550;147
52;63,55;38,41;0,00;0,00;0,00;0,04;0,00;0,00;138;35;150;39;19;702;770
53;47,23;-279,23;0,00;0,00;0,00;-0,28;0,00;0,00;395;119;15;15;21;325;711
54;38,91;-394,13;0,00;0,00;0,00;-0,39;0,00;0,00;243;157;97;15;34;959;459
55;12,48;-619,92;0,00;0,00;0,00;-0,62;0,00;0,00;91;171;170;36;35;665;550
56;39,38;-279,49;0,00;0,00;0,00;-0,28;0,00;0,00;104;151;105;26;26;361;215
57;62,09;-120,71;0,00;0,00;0,00;-0,12;0,00;0,00;389;18;56;17;27;932;854
58;60,21;-64,34;0,00;0,00;0,00;-0,06;0,00;0,00;427;63;51;18;19;464;291
59;66,70;-19,74;0,00;0,00;0,00;-0,02;0,00;0,00;42;87;119;30;30;174;136
