Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;57,80;-122,63;0,00;0,00;0,00;-0,12;0,00;0,00;140;37;181;24;16;525;131
2;30,75;-434,29;0,00;0,00;0,00;-0,43;0,00;0,00;355;159;111;20;39;645;272
3;33,25;-411,55;0,00;0,00;0,00;-0,41;0,00;0,00;334;162;185;13;24;818;483
4;5,51;-682,09;0,00;0,00;0,00;-0,68;0,00;0,00;19;145;113;48;34;622;693
5;21,23;-471,83;0,00;0,00;0,00;-0,47;0,00;0,00;213;163;62;40;28;417;198
6;64,63;-6,95;0,00;0,00;0,00;-0,01;0,00;0,00;212;181;130;32;17;879;183
7;77,73;55,68;0,00;0,00;0,00;0,06;0,00;0,00;342;42;135;13;34;797;138
8;74,39;3,33;0,00;0,00;0,00;0,00;0,00;0,00;162;28;133;46;30;332;408
9;61,72;-93,80;0,00;0,00;0,00;-0,09;0,00;0,00;271;46;151;31;17;685;424
10;19,93;-459,95;0,00;0,00;0,00;-0,46;0,00;0,00;39;134;107;12;22;854;332
11;61,98;-110,34;0,00;0,00;0,00;-0,11;0,00;0,00;437;28;89;33;39;423;165
12;29,38;-513,57;0,00;0,00;0,00;-0,51;0,00;0,00;386;151;13;15;35;124;871
13;21,63;-466,48;0,00;0,00;0,00;-0,47;0,00;0,00;443;85;136;39;20;821;397
14;63,42;-10,17;0,00;0,00;0,00;-0,01;0,00;0,00;176;89;157;26;24;384;380
15;78,99;69,76;0,00;0,00;0,00;0,07;0,00;0,00;339;13;190;48;15;385;548
16;33,00;-306,74;0,00;0,00;0,00;-0,31;0,00;0,00;463;113;156;48;31;796;179
17;76,42;49,60;0,00;0,00;0,00;0,05;0,00;0,00;214;103;95;35;27;895;794
18;11,74;-543,02;0,00;0,00;0,00;-0,54;0,00;0,00;383;150;128;29;20;701;788
19;65,97;-39,95;0,00;0,00;0,00;-0,04;0,00;0,00;31;58;73;47;31;518;225
20;15,80;-461,11;0,00;0,00;0,00;-0,46;0,00;0,00;477;121;61;29;16;750;171
21;74,32;22,65;0,00;0,00;0,00;0,02;0,00;0,00;290;153;67;17;18;324;153
22;41,09;-205,11;0,00;0,00;0,00;-0,21;0,00;0,00;487;186;146;30;21;507;893
23;75,48;79,14;0,00;0,00;0,00;0,08;0,00;0,00;283;100;151;39;23;163;787
24;84,55;194,45;0,00;0,00;0,00;0,19;0,00;0,00;371;96;36;44;23;764;474
25;60,72;-170,54;0,00;0,00;0,00;-0,17;0,00;0,00;83;34;103;23;36;639;826
26;93,56;225,25;0,00;0,00;0,00;0,23;0,00;0,00;286;134;14;25;34;549;328
27;53,83;-103,15;0,00;0,00;0,00;-0,10;0,00;0,00;243;30;142;37;26;513;541
28;52,86;-256,48;0,00;0,00;0,00;-0,26;0,00;0,00;232;98;65;13;29;166;425
29;32,67;-309,39;0,00;0,00;0,00;-0,31;0,00;0,00;498;63;194;26;29;554;716
