Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;65,92;-57,64;0,00;0,00;0,00;-0,06;0,00;0,00;67;140;81;44;17;705;176
2;40,76;-310,20;0,00;0,00;0,00;-0,31;0,00;0,00;401;16;151;17;36;686;828
3;39,08;-339,08;0,00;0,00;0,00;-0,34;0,00;0,00;362;180;51;29;18;720;386
4;39,89;-286,69;0,00;0,00;0,00;-0,29;0,00;0,00;421;131;38;46;16;367;374
5;63,55;-81,53;0,00;0,00;0,00;-0,08;0,00;0,00;126;73;30;17;22;506;767
6;27,92;-518,45;0,00;0,00;0,00;-0,52;0,00;0,00;105;51;174;28;16;169;468
7;39,49;-334,59;0,00;0,00;0,00;-0,33;0,00;0,00;249;178;179;40;35;318;875
8;41,46;-309,11;0,00;0,00;0,00;-0,31;0,00;0,00;21;55;150;45;33;669;928
9;53,58;-142,63;0,00;0,00;0,00;-0,14;0,00;0,00;396;102;44;45;31;564;407
10;90,08;209,61;0,00;0,00;0,00;0,21;0,00;0,00;425;192;83;49;33;948;183
11;60,31;-85,85;0,00;0,00;0,00;-0,09;0,00;0,00;411;157;72;30;30;889;394
12;40,79;-271,52;0,00;0,00;0,00;-0,27;0,00;0,00;225;159;120;35;36;597;985
13;91,00;195,58;0,00;0,00;0,00;0,20;0,00;0,00;247;63;61;24;24;775;998
14;60,84;-28,75;0,00;0,00;0,00;-0,03;0,00;0,00;358;170;194;29;30;890;525
15;35,65;-275,79;0,00;0,00;0,00;-0,28;0,00;0,00;205;182;160;12;25;960;541
16;36,10;-258,88;0,00;0,00;0,00;-0,26;0,00;0,00;29;168;161;41;36;606;633
17;46,77;-168,50;0,00;0,00;0,00;-0,17;0,00;0,00;97;74;172;26;18;561;522
18;77,96;158,14;0,00;0,00;0,00;0,16;0,00;0,00;206;176;43;45;15;982;614
19;31,83;-375,92;0,00;0,00;0,00;-0,38;0,00;0,00;30;90;167;30;26;995;705
20;15,01;-500,33;0,00;0,00;0,00;-0,50;0,00;0,00;452;127;60;49;36;202;227
21;63,80;-90,53;0,00;0,00;0,00;-0,09;0,00;0,00;241;126;179;26;20;652;249
22;34,04;-315,53;0,00;0,00;0,00;-0,32;0,00;0,00;498;120;55;46;28;294;574
23;50,65;-205,97;0,00;0,00;0,00;-0,21;0,00;0,00;76;139;185;30;27;249;144
24;51,45;-180,17;0,00;0,00;0,00;-0,18;0,00;0,00;83;144;143;37;36;818;451
25;99,60;281,02;0,00;0,00;0,00;0,28;0,00;0,00;53;57;83;28;35;142;189
26;43,25;-336,10;0,00;0,00;0,00;-0,34;0,00;0,00;236;61;185;21;16;627;705
27;56,18;-223,17;0,00;0,00;0,00;-0,22;0,00;0,00;438;66;176;12;17;225;358
28;18,09;-498,48;0,00;0,00;0,00;-0,50;0,00;0,00;201;179;173;47;19;455;489
29;40,15;-278,97;0,00;0,00;0,00;-0,28;0,00;0,00;23;131;16;42;28;156;641
30;44,68;-226,41;0,00;0,00;0,00;-0,23;0,00;0,00;441;170;79;47;32;364;998
31;95,13;250,76;0,00;0,00;0,00;0,25;0,00;0,00;68;140;180;33;24;388;626
32;61,34;-155,00;0,00;0,00;0,00;-0,16;0,00;0,00;147;174;72;44;37;949;222
33;76,10;92,19;0,00;0,00;0,00;0,09;0,00;0,00;375;112;142;36;18;467;748
34;94,08;268,27;0,00;0,00;0,00;0,27;0,00;0,00;291;146;148;49;23;739;339
35;39,05;-322,70;0,00;0,00;0,00;-0,32;0,00;0,00;265;171;52;28;27;980;233
36;33,94;-351,55;0,00;0,00;0,00;-0,35;0,00;0,00;210;148;184;15;23;109;334
37;80,14;184,25;0,00;0,00;0,00;0,18;0,00;0,00;200;152;175;38;19;218;529
38;74,93;49,14;0,00;0,00;0,00;0,05;0,00;0,00;296;88;187;13;15;759;141
39;5,04;-612,16;0,00;0,00;0,00;-0,61;0,00;0,00;212;189;146;45;31;367;574
40;50,63;-128,58;0,00;0,00;0,00;-0,13;0,00;0,00;28;44;109;16;37;960;597
41;66,17;-102,74;0,00;0,00;0,00;-0,10;0,00;0,00;330;66;71;47;31;318;831
42;47,48;-271,44;0,00;0,00;0,00;-0,27;0,00;0,00;287;115;88;33;29;217;588
43;63,30;-133,00;0,00;0,00;0,00;-0,13;0,00;0,00;105;91;90;30;33;384;548
44;31,60;-401,91;0,00;0,00;0,00;-0,40;0,00;0,00;404;155;174;42;38;651;674
45;69,22;31,92;0,00;0,00;0,00;0,03;0,00;0,00;126;148;121;16;21;638;478
46;63,42;-73,96;0,00;0,00;0,00;-0,07;0,00;0,00;468;143;48;41;21;529;359
47;81,57;109,24;0,00;0,00;0,00;0,11;0,00;0,00;328;83;34;44;27;952;622
48;75,02;89,49;0,00;0,00;0,00;0,09;0,00;0,00;485;79;43;21;27;113;306
49;78,14;98,82;0,00;0,00;0,00;0,10;0,00;0,00;163;75;116;13;39;799;411
50;37,29;-320,17;0,00;0,00;0,00;-0,32;0,00;0,00;94;104;62;33;21;693;195
51;8,48;-595,81;0,00;0,00;0,00;-0,60;0,00;0,00;485;196;38;24;37;583;727
52;65,45;-9,64;0,00;0,00;0,00;-0,01;0,00;0,00;448;19;28;48;35;557;461
53;38,61;-296,73;0,00;0,00;0,00;-0,30;0,00;0,00;393;69;119;22;33;133;189
54;16,83;-512,44;0,00;0,00;0,00;-0,51;0,00;0,00;291;87;136;12;33;357;559
55;77,45;53,39;0,00;0,00;0,00;0,05;0,00;0,00;101;34;119;38;38;101;231
56;0,00;-655,02;0,00;0,00;0,00;-0,66;0,00;0,00;46;128;143;34;31;684;975
57;39,89;-321,23;0,00;0,00;0,00;-0,32;0,00;0,00;126;129;166;41;33;868;601
58;66,10;-160,51;0,00;0,00;0,00;-0,16;0,00;0,00;179;108;62;18;20;434;796
