Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;46,05;-1,70;0,00;0,00;0,00;-0,00;0,00;0,00;268;150;98;38;19;872;349
2;58,86;73,62;0,00;0,00;0,00;0,07;0,00;0,00;227;54;118;42;29;904;851
3;57,58;58,51;0,00;0,00;0,00;0,06;0,00;0,00;98;193;135;38;35;556;207
4;62,98;128,77;0,00;0,00;0,00;0,13;0,00;0,00;466;130;155;25;17;304;999
5;55,92;73,11;0,00;0,00;0,00;0,07;0,00;0,00;259;187;108;41;33;493;622
6;58,98;126,14;0,00;0,00;0,00;0,13;0,00;0,00;139;102;71;49;37;136;976
7;45,62;-10,97;0,00;0,00;0,00;-0,01;0,00;0,00;491;124;19;16;33;683;797
8;51,64;60,20;0,00;0,00;0,00;0,06;0,00;0,00;74;87;69;19;39;862;898
9;29,49;-171,63;0,00;0,00;0,00;-0,17;0,00;0,00;421;68;116;33;25;762;340
10;44,89;19,96;0,00;0,00;0,00;0,02;0,00;0,00;70;162;75;49;23;792;965
11;76,97;250,99;0,00;0,00;0,00;0,25;0,00;0,00;62;147;16;39;17;990;977
12;53,02;48,32;0,00;0,00;0,00;0,05;0,00;0,00;407;163;12;32;20;981;795
13;59,97;163,65;0,00;0,00;0,00;0,16;0,00;0,00;373;155;83;41;34;989;624
14;39,08;-140,67;0,00;0,00;0,00;-0,14;0,00;0,00;123;106;68;38;32;895;407
15;51,04;-31,64;0,00;0,00;0,00;-0,03;0,00;0,00;56;60;66;13;17;714;950
16;37,55;-141,25;0,00;0,00;0,00;-0,14;0,00;0,00;464;54;194;17;33;918;987
17;33,49;-101,52;0,00;0,00;0,00;-0,10;0,00;0,00;116;163;189;39;24;224;123
18;68,94;160,64;0,00;0,00;0,00;0,16;0,00;0,00;10;185;191;43;35;479;850
19;34,97;-138,36;0,00;0,00;0,00;-0,14;0,00;0,00;249;98;136;42;22;363;920
20;52,35;48,25;0,00;0,00;0,00;0,05;0,00;0,00;56;180;107;18;28;396;447
21;73,15;126,07;0,00;0,00;0,00;0,13;0,00;0,00;225;126;129;21;29;516;637
22;38,30;-162,66;0,00;0,00;0,00;-0,16;0,00;0,00;52;144;143;20;37;697;951
23;46,57;10,53;0,00;0,00;0,00;0,01;0,00;0,00;474;92;92;20;18;928;737
24;55,42;56,49;0,00;0,00;0,00;0,06;0,00;0,00;313;104;134;16;16;852;290
25;35,12;-153,74;0,00;0,00;0,00;-0,15;0,00;0,00;198;92;50;10;16;165;272
26;55,11;25,38;0,00;0,00;0,00;0,03;0,00;0,00;316;184;129;33;26;453;452
27;45,59;19,58;0,00;0,00;0,00;0,02;0,00;0,00;92;115;191;33;18;986;307
28;39,38;-105,12;0,00;0,00;0,00;-0,11;0,00;0,00;212;13;154;11;23;747;162
29;52,95;12,50;0,00;0,00;0,00;0,01;0,00;0,00;109;87;172;33;20;582;343
30;52,35;14,13;0,00;0,00;0,00;0,01;0,00;0,00;383;72;193;41;23;350;790
31;50,38;59,03;0,00;0,00;0,00;0,06;0,00;0,00;278;78;143;33;15;199;988
32;19,37;-277,27;0,00;0,00;0,00;-0,28;0,00;0,00;77;147;45;42;34;781;432
33;35,80;-200,57;0,00;0,00;0,00;-0,20;0,00;0,00;126;52;77;31;37;222;215
34;39,84;-4,29;0,00;0,00;0,00;-0,00;0,00;0,00;351;112;198;13;24;547;233
35;37,24;-96,47;0,00;0,00;0,00;-0,10;0,00;0,00;56;165;184;14;32;307;808
36;56,59;143,91;0,00;0,00;0,00;0,14;0,00;0,00;39;71;115;30;17;384;888
37;43,29;-111,96;0,00;0,00;0,00;-0,11;0,00;0,00;125;180;129;38;34;661;192
38;54,54;41,35;0,00;0,00;0,00;0,04;0,00;0,00;99;154;119;21;23;995;955
39;100,00;540,66;0,00;0,00;0,00;0,54;0,00;0,00;364;146;46;45;20;260;861
40;56,07;99,56;0,00;0,00;0,00;0,10;0,00;0,00;274;27;199;48;34;789;634
41;47,86;-85,79;0,00;0,00;0,00;-0,09;0,00;0,00;145;32;40;28;29;230;716
42;55,20;-13,09;0,00;0,00;0,00;-0,01;0,00;0,00;436;14;54;11;18;381;314
43;54,71;34,05;0,00;0,00;0,00;0,03;0,00;0,00;293;181;194;23;28;950;468
44;63,02;149,59;0,00;0,00;0,00;0,15;0,00;0,00;457;47;187;32;33;846;657
45;38,93;-108,60;0,00;0,00;0,00;-0,11;0,00;0,00;310;64;151;44;27;529;191
46;41,96;-16,27;0,00;0,00;0,00;-0,02;0,00;0,00;93;115;63;37;34;555;583
47;79,89;318,34;0,00;0,00;0,00;0,32;0,00;0,00;156;79;182;45;18;705;798
48;32,86;-257,58;0,00;0,00;0,00;-0,26;0,00;0,00;425;14;24;27;35;391;136
49;33,39;-122,86;0,00;0,00;0,00;-0,12;0,00;0,00;254;54;29;36;28;679;584
50;24,75;-222,28;0,00;0,00;0,00;-0,22;0,00;0,00;79;148;123;26;30;797;642
51;36,02;-148,12;0,00;0,00;0,00;-0,15;0,00;0,00;384;38;132;26;31;166;319
52;58,18;78,01;0,00;0,00;0,00;0,08;0,00;0,00;185;108;191;23;24;680;859
53;50,19;80,89;0,00;0,00;0,00;0,08;0,00;0,00;293;71;33;46;34;354;451
54;43,01;-67,44;0,00;0,00;0,00;-0,07;0,00;0,00;272;178;27;30;29;333;773
55;100,00;507,84;0,00;0,00;0,00;0,51;0,00;0,00;364;158;99;17;37;221;779
56;49,52;-52,79;0,00;0,00;0,00;-0,05;0,00;0,00;76;49;45;37;16;312;524
57;40,78;-57,81;0,00;0,00;0,00;-0,06;0,00;0,00;446;89;62;19;16;338;211
58;69,64;221,61;0,00;0,00;0,00;0,22;0,00;0,00;486;87;147;41;21;859;128
59;35,69;-159,53;0,00;0,00;0,00;-0,16;0,00;0,00;354;114;166;29;24;876;982
60;80,32;336,52;0,00;0,00;0,00;0,34;0,00;0,00;36;78;123;45;15;652;658
61;44,85;-42,74;0,00;0,00;0,00;-0,04;0,00;0,00;440;32;41;37;27;435;572
62;56,43;158,46;0,00;0,00;0,00;0,16;0,00;0,00;458;13;155;43;21;424;944
63;53,79;107,94;0,00;0,00;0,00;0,11;0,00;0,00;217;15;35;37;31;883;823
64;32,56;-114,13;0,00;0,00;0,00;-0,11;0,00;0,00;427;188;126;12;21;907;771
65;51,36;44,43;0,00;0,00;0,00;0,04;0,00;0,00;61;82;28;11;38;367;689
66;83,59;357,75;0,00;0,00;0,00;0,36;0,00;0,00;326;46;171;38;38;138;225
67;42,31;-156,56;0,00;0,00;0,00;-0,16;0,00;0,00;177;113;67;41;32;952;406
68;56,78;89,41;0,00;0,00;0,00;0,09;0,00;0,00;99;194;161;48;24;488;117
69;15,35;-363,68;0,00;0,00;0,00;-0,36;0,00;0,00;468;70;75;20;36;336;797
70;55,68;-10,69;0,00;0,00;0,00;-0,01;0,00;0,00;105;111;163;22;20;803;647
71;45,66;5,94;0,00;0,00;0,00;0,01;0,00;0,00;155;26;113;17;22;779;976
72;57,38;163,96;0,00;0,00;0,00;0,16;0,00;0,00;403;199;87;45;21;680;177
73;32,30;-107,03;0,00;0,00;0,00;-0,11;0,00;0,00;118;139;88;33;22;426;914
74;45,24;-15,87;0,00;0,00;0,00;-0,02;0,00;0,00;174;160;144;31;33;199;488
75;38,75;-196,75;0,00;0,00;0,00;-0,20;0,00;0,00;454;55;112;24;16;699;779
76;58,94;85,10;0,00;0,00;0,00;0,09;0,00;0,00;346;60;16;46;38;131;934
77;75,23;264,11;0,00;0,00;0,00;0,26;0,00;0,00;428;10;20;34;16;598;528
78;55,30;80,35;0,00;0,00;0,00;0,08;0,00;0,00;295;79;114;34;24;213;324
79;17,21;-336,91;0,00;0,00;0,00;-0,34;0,00;0,00;299;45;120;16;30;986;559
80;51,46;63,16;0,00;0,00;0,00;0,06;0,00;0,00;409;144;71;37;19;158;983
81;75,37;342,73;0,00;0,00;0,00;0,34;0,00;0,00;291;199;144;30;30;767;194
82;26,45;-240,21;0,00;0,00;0,00;-0,24;0,00;0,00;220;75;62;33;28;685;786
83;43,09;-93,31;0,00;0,00;0,00;-0,09;0,00;0,00;140;95;164;45;27;115;114
84;41,66;-152,53;0,00;0,00;0,00;-0,15;0,00;0,00;433;93;166;47;32;643;562
85;49,20;-5,27;0,00;0,00;0,00;-0,01;0,00;0,00;259;125;127;30;36;781;362
86;58,00;2,60;0,00;0,00;0,00;0,00;0,00;0,00;199;79;102;15;17;447;959
87;53,48;14,48;0,00;0,00;0,00;0,01;0,00;0,00;477;27;68;17;29;275;296
88;64,56;248,35;0,00;0,00;0,00;0,25;0,00;0,00;447;137;157;26;36;301;597
89;42,80;-26,13;0,00;0,00;0,00;-0,03;0,00;0,00;264;11;182;14;30;153;235
90;57,32;-1,13;0,00;0,00;0,00;-0,00;0,00;0,00;377;120;103;47;25;596;770
91;54,98;51,47;0,00;0,00;0,00;0,05;0,00;0,00;112;162;27;41;35;116;628
92;60,19;85,97;0,00;0,00;0,00;0,09;0,00;0,00;25;99;89;33;28;215;621
93;55,37;89,67;0,00;0,00;0,00;0,09;0,00;0,00;293;189;132;22;30;507;363
94;43,24;-4,30;0,00;0,00;0,00;-0,00;0,00;0,00;274;152;58;34;22;119;939
95;39,93;-105,40;0,00;0,00;0,00;-0,11;0,00;0,00;94;183;68;39;36;890;646
96;27,46;-269,66;0,00;0,00;0,00;-0,27;0,00;0,00;455;115;145;16;32;158;412
97;47,58;3,65;0,00;0,00;0,00;0,00;0,00;0,00;181;77;133;47;23;742;379
98;32,55;-151,13;0,00;0,00;0,00;-0,15;0,00;0,00;230;178;110;44;31;930;263
99;63,89;151,60;0,00;0,00;0,00;0,15;0,00;0,00;103;84;149;11;38;680;804
100;49,81;102,79;0,00;0,00;0,00;0,10;0,00;0,00;99;179;29;18;31;505;748
101;40,17;-66,89;0,00;0,00;0,00;-0,07;0,00;0,00;401;34;30;33;22;461;243
102;68,21;153,14;0,00;0,00;0,00;0,15;0,00;0,00;111;121;30;12;20;194;865
103;40,37;-132,71;0,00;0,00;0,00;-0,13;0,00;0,00;127;31;115;38;32;192;792
104;48,22;-52,80;0,00;0,00;0,00;-0,05;0,00;0,00;231;188;147;32;16;219;269
105;56,23;62,34;0,00;0,00;0,00;0,06;0,00;0,00;225;192;160;16;31;219;850
