Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;30,69;-262,09;0,00;0,00;0,00;-0,26;0,00;0,00;42;150;98;38;19;872;349
2;65,74;104,38;0,00;0,00;0,00;0,10;0,00;0,00;35;54;118;42;29;904;851
3;55,85;72,60;0,00;0,00;0,00;0,07;0,00;0,00;83;193;135;38;35;556;207
4;57,70;-43,98;0,00;0,00;0,00;-0,04;0,00;0,00;340;130;155;25;17;304;999
5;60,19;151,82;0,00;0,00;0,00;0,15;0,00;0,00;86;187;108;41;33;493;622
6;60,27;78,02;0,00;0,00;0,00;0,08;0,00;0,00;15;102;71;49;37;136;976
7;57,46;85,27;0,00;0,00;0,00;0,09;0,00;0,00;406;124;19;16;33;683;797
8;47,34;9,93;0,00;0,00;0,00;0,01;0,00;0,00;32;87;69;19;39;862;898
9;20,26;-293,52;0,00;0,00;0,00;-0,29;0,00;0,00;30;68;116;33;25;762;340
10;50,94;-39,12;0,00;0,00;0,00;-0,04;0,00;0,00;361;162;75;49;23;792;965
11;63,26;95,51;0,00;0,00;0,00;0,10;0,00;0,00;158;147;16;39;17;990;977
12;57,68;48,90;0,00;0,00;0,00;0,05;0,00;0,00;496;163;12;32;20;981;795
13;60,57;178,70;0,00;0,00;0,00;0,18;0,00;0,00;92;155;83;41;34;989;624
14;24,10;-245,17;0,00;0,00;0,00;-0,25;0,00;0,00;201;106;68;38;32;895;407
15;49,80;15,04;0,00;0,00;0,00;0,02;0,00;0,00;151;60;66;13;17;714;950
16;48,39;29,19;0,00;0,00;0,00;0,03;0,00;0,00;380;54;194;17;33;918;987
17;30,48;-143,05;0,00;0,00;0,00;-0,14;0,00;0,00;96;163;189;39;24;224;123
18;66,74;121,62;0,00;0,00;0,00;0,12;0,00;0,00;194;185;191;43;35;479;850
19;29,79;-191,27;0,00;0,00;0,00;-0,19;0,00;0,00;300;98;136;42;22;363;920
20;50,52;-56,18;0,00;0,00;0,00;-0,06;0,00;0,00;251;180;107;18;28;396;447
21;77,10;222,69;0,00;0,00;0,00;0,22;0,00;0,00;263;126;129;21;29;516;637
