Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;62,36;-162,76;0,00;0,00;0,00;-0,16;0,00;0,00;130;37;181;24;16;525;131
2;72,29;9,20;0,00;0,00;0,00;0,01;0,00;0,00;293;159;111;20;39;645;272
3;0,00;-676,85;0,00;0,00;0,00;-0,68;0,00;0,00;480;162;185;13;24;818;483
4;35,14;-270,08;0,00;0,00;0,00;-0,27;0,00;0,00;324;145;113;48;34;622;693
5;55,67;-141,25;0,00;0,00;0,00;-0,14;0,00;0,00;116;163;62;40;28;417;198
6;82,71;155,05;0,00;0,00;0,00;0,16;0,00;0,00;109;181;130;32;17;879;183
7;42,44;-251,02;0,00;0,00;0,00;-0,25;0,00;0,00;115;42;135;13;34;797;138
8;89,00;144,59;0,00;0,00;0,00;0,14;0,00;0,00;452;28;133;46;30;332;408
9;12,43;-503,22;0,00;0,00;0,00;-0,50;0,00;0,00;477;46;151;31;17;685;424
10;0,00;-649,19;0,00;0,00;0,00;-0,65;0,00;0,00;348;134;107;12;22;854;332
11;2,47;-693,02;0,00;0,00;0,00;-0,69;0,00;0,00;464;28;89;33;39;423;165
12;36,47;-385,23;0,00;0,00;0,00;-0,39;0,00;0,00;49;151;13;15;35;124;871
13;29,03;-253,52;0,00;0,00;0,00;-0,25;0,00;0,00;338;85;136;39;20;821;397
14;40,88;-204,75;0,00;0,00;0,00;-0,20;0,00;0,00;444;89;157;26;24;384;380
15;75,30;-23,17;0,00;0,00;0,00;-0,02;0,00;0,00;217;13;190;48;15;385;548
16;40,91;-250,53;0,00;0,00;0,00;-0,25;0,00;0,00;439;113;156;48;31;796;179
17;50,90;-137,39;0,00;0,00;0,00;-0,14;0,00;0,00;252;103;95;35;27;895;794
18;34,98;-340,44;0,00;0,00;0,00;-0,34;0,00;0,00;446;150;128;29;20;701;788
19;91,75;184,11;0,00;0,00;0,00;0,18;0,00;0,00;438;58;73;47;31;518;225
20;2,65;-721,96;0,00;0,00;0,00;-0,72;0,00;0,00;282;121;61;29;16;750;171
21;31,57;-328,35;0,00;0,00;0,00;-0,33;0,00;0,00;393;153;67;17;18;324;153
22;41,32;-266,06;0,00;0,00;0,00;-0,27;0,00;0,00;85;186;146;30;21;507;893
23;68,79;-4,69;0,00;0,00;0,00;-0,00;0,00;0,00;245;100;151;39;23;163;787
24;60,87;-80,29;0,00;0,00;0,00;-0,08;0,00;0,00;461;96;36;44;23;764;474
25;56,97;-111,63;0,00;0,00;0,00;-0,11;0,00;0,00;455;34;103;23;36;639;826
26;62,06;-93,85;0,00;0,00;0,00;-0,09;0,00;0,00;388;134;14;25;34;549;328
27;90,53;124,02;0,00;0,00;0,00;0,12;0,00;0,00;432;30;142;37;26;513;541
28;47,06;-245,30;0,00;0,00;0,00;-0,25;0,00;0,00;159;98;65;13;29;166;425
29;0,00;-740,16;0,00;0,00;0,00;-0,74;0,00;0,00;393;63;194;26;29;554;716
30;76,33;72,26;0,00;0,00;0,00;0,07;0,00;0,00;313;57;167;47;29;269;648
31;70,80;5,28;0,00;0,00;0,00;0,01;0,00;0,00;333;40;79;39;27;633;109
32;54,94;-173,67;0,00;0,00;0,00;-0,17;0,00;0,00;360;197;26;18;21;235;974
33;61,09;-163,65;0,00;0,00;0,00;-0,16;0,00;0,00;388;135;143;17;34;868;582
34;47,24;-210,68;0,00;0,00;0,00;-0,21;0,00;0,00;189;70;39;43;39;347;851
35;12,99;-593,82;0,00;0,00;0,00;-0,59;0,00;0,00;33;95;45;15;17;737;418
36;5,65;-675,19;0,00;0,00;0,00;-0,68;0,00;0,00;35;80;116;22;23;817;422
37;34,54;-366,61;0,00;0,00;0,00;-0,37;0,00;0,00;223;117;173;23;37;718;703
38;51,59;-123,30;0,00;0,00;0,00;-0,12;0,00;0,00;476;129;108;15;16;411;662
39;62,51;-100,73;0,00;0,00;0,00;-0,10;0,00;0,00;212;182;108;30;31;429;198
40;0,00;-747,67;0,00;0,00;0,00;-0,75;0,00;0,00;409;81;154;21;21;781;998
41;63,27;-129,01;0,00;0,00;0,00;-0,13;0,00;0,00;127;57;18;17;37;632;515
42;24,57;-538,44;0,00;0,00;0,00;-0,54;0,00;0,00;185;119;36;26;34;798;594
43;30,52;-368,87;0,00;0,00;0,00;-0,37;0,00;0,00;53;25;53;33;30;697;637
44;28,67;-359,37;0,00;0,00;0,00;-0,36;0,00;0,00;142;179;155;24;38;813;396
45;62,10;-42,26;0,00;0,00;0,00;-0,04;0,00;0,00;80;150;164;13;24;730;805
46;47,62;-256,62;0,00;0,00;0,00;-0,26;0,00;0,00;472;139;138;25;21;739;420
47;70,36;8,01;0,00;0,00;0,00;0,01;0,00;0,00;495;87;150;43;19;230;144
48;24,58;-436,44;0,00;0,00;0,00;-0,44;0,00;0,00;423;77;104;45;21;828;592
49;55,54;-225,88;0,00;0,00;0,00;-0,23;0,00;0,00;314;180;25;16;19;915;958
50;35,18;-443,09;0,00;0,00;0,00;-0,44;0,00;0,00;293;100;73;49;27;931;925
51;36,64;-402,66;0,00;0,00;0,00;-0,40;0,00;0,00;91;120;196;32;34;550;147
52;16,71;-538,52;0,00;0,00;0,00;-0,54;0,00;0,00;35;35;150;39;19;702;770
53;74,17;90,58;0,00;0,00;0,00;0,09;0,00;0,00;238;119;15;15;21;325;711
54;62,89;-135,98;0,00;0,00;0,00;-0,14;0,00;0,00;123;157;97;15;34;959;459
55;46,17;-319,20;0,00;0,00;0,00;-0,32;0,00;0,00;281;171;170;36;35;665;550
56;97,13;173,75;0,00;0,00;0,00;0,17;0,00;0,00;229;151;105;26;26;361;215
57;37,34;-309,22;0,00;0,00;0,00;-0,31;0,00;0,00;15;18;56;17;27;932;854
58;6,57;-659,40;0,00;0,00;0,00;-0,66;0,00;0,00;29;63;51;18;19;464;291
59;15,42;-615,96;0,00;0,00;0,00;-0,62;0,00;0,00;340;87;119;30;30;174;136
60;24,06;-513,75;0,00;0,00;0,00;-0,51;0,00;0,00;405;105;19;43;19;355;605
61;68,42;51,74;0,00;0,00;0,00;0,05;0,00;0,00;284;167;147;48;30;152;159
62;79,58;122,94;0,00;0,00;0,00;0,12;0,00;0,00;310;188;87;33;15;541;112
63;66,08;-78,36;0,00;0,00;0,00;-0,08;0,00;0,00;317;84;150;33;21;588;834
64;100,00;308,92;0,00;0,00;0,00;0,31;0,00;0,00;216;171;198;29;18;843;924
65;49,71;-316,56;0,00;0,00;0,00;-0,32;0,00;0,00;497;38;166;37;31;294;488
66;0,00;-739,66;0,00;0,00;0,00;-0,74;0,00;0,00;68;179;144;27;17;901;444
67;17,14;-565,93;0,00;0,00;0,00;-0,57;0,00;0,00;315;188;166;13;32;993;881
68;41,35;-353,80;0,00;0,00;0,00;-0,35;0,00;0,00;353;32;191;43;39;182;924
69;76,38;72,42;0,00;0,00;0,00;0,07;0,00;0,00;28;144;164;20;30;638;142
70;12,01;-642,23;0,00;0,00;0,00;-0,64;0,00;0,00;176;137;127;45;30;807;377
71;18,02;-647,62;0,00;0,00;0,00;-0,65;0,00;0,00;53;118;160;44;15;658;945
72;83,62;125,42;0,00;0,00;0,00;0,13;0,00;0,00;22;181;78;46;25;681;751
73;65,77;-65,48;0,00;0,00;0,00;-0,07;0,00;0,00;280;18;19;47;25;435;741
74;77,95;137,96;0,00;0,00;0,00;0,14;0,00;0,00;86;92;144;11;25;491;672
75;63,12;-187,66;0,00;0,00;0,00;-0,19;0,00;0,00;480;18;196;40;19;580;304
76;50,09;-169,11;0,00;0,00;0,00;-0,17;0,00;0,00;339;143;130;10;36;602;491
77;40,43;-343,21;0,00;0,00;0,00;-0,34;0,00;0,00;16;165;141;21;17;607;732
78;48,52;-207,24;0,00;0,00;0,00;-0,21;0,00;0,00;344;194;172;48;22;803;503
79;40,95;-230,19;0,00;0,00;0,00;-0,23;0,00;0,00;383;195;30;34;20;857;604
80;36,85;-349,14;0,00;0,00;0,00;-0,35;0,00;0,00;409;69;135;45;30;459;798
81;29,96;-414,95;0,00;0,00;0,00;-0,41;0,00;0,00;289;120;92;38;31;834;922
82;49,76;-187,22;0,00;0,00;0,00;-0,19;0,00;0,00;387;158;124;41;23;862;739
83;38,52;-366,03;0,00;0,00;0,00;-0,37;0,00;0,00;167;174;26;15;28;786;617
84;41,07;-271,71;0,00;0,00;0,00;-0,27;0,00;0,00;40;82;135;35;35;291;467
85;92,10;194,55;0,00;0,00;0,00;0,19;0,00;0,00;262;92;44;43;38;797;181
86;17,23;-557,13;0,00;0,00;0,00;-0,56;0,00;0,00;360;170;196;13;34;121;746
87;74,83;42,23;0,00;0,00;0,00;0,04;0,00;0,00;404;63;22;16;37;477;472
88;37,09;-300,79;0,00;0,00;0,00;-0,30;0,00;0,00;289;80;187;13;38;189;798
89;50,55;-171,81;0,00;0,00;0,00;-0,17;0,00;0,00;160;97;87;24;28;535;541
90;43,72;-191,94;0,00;0,00;0,00;-0,19;0,00;0,00;488;21;168;47;36;453;923
