Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;30,18;-328,29;0,00;0,00;0,00;-0,33;0,00;0,00;191;140;81;44;17;705;176
2;44,42;-310,73;0,00;0,00;0,00;-0,31;0,00;0,00;499;16;151;17;36;686;828
3;28,30;-355,91;0,00;0,00;0,00;-0,36;0,00;0,00;367;180;51;29;18;720;386
4;78,22;98,65;0,00;0,00;0,00;0,10;0,00;0,00;178;131;38;46;16;367;374
5;45,77;-388,83;0,00;0,00;0,00;-0,39;0,00;0,00;369;73;30;17;22;506;767
6;49,43;-266,59;0,00;0,00;0,00;-0,27;0,00;0,00;462;51;174;28;16;169;468
7;59,26;-50,34;0,00;0,00;0,00;-0,05;0,00;0,00;192;178;179;40;35;318;875
8;11,98;-537,53;0,00;0,00;0,00;-0,54;0,00;0,00;219;55;150;45;33;669;928
9;52,97;-49,57;0,00;0,00;0,00;-0,05;0,00;0,00;184;102;44;45;31;564;407
10;60,78;-18,17;0,00;0,00;0,00;-0,02;0,00;0,00;35;192;83;49;33;948;183
11;90,61;192,99;0,00;0,00;0,00;0,19;0,00;0,00;163;157;72;30;30;889;394
12;5,82;-555,20;0,00;0,00;0,00;-0,56;0,00;0,00;61;159;120;35;36;597;985
13;50,90;-142,86;0,00;0,00;0,00;-0,14;0,00;0,00;473;63;61;24;24;775;998
14;43,26;-330,15;0,00;0,00;0,00;-0,33;0,00;0,00;83;170;194;29;30;890;525
15;84,04;215,96;0,00;0,00;0,00;0,22;0,00;0,00;367;182;160;12;25;960;541
16;45,30;-184,83;0,00;0,00;0,00;-0,18;0,00;0,00;397;168;161;41;36;606;633
17;17,90;-542,78;0,00;0,00;0,00;-0,54;0,00;0,00;208;74;172;26;18;561;522
18;25,42;-495,38;0,00;0,00;0,00;-0,50;0,00;0,00;90;176;43;45;15;982;614
19;73,46;76,38;0,00;0,00;0,00;0,08;0,00;0,00;134;90;167;30;26;995;705
20;75,13;35,01;0,00;0,00;0,00;0,04;0,00;0,00;12;127;60;49;36;202;227
21;90,13;276,11;0,00;0,00;0,00;0,28;0,00;0,00;86;126;179;26;20;652;249
22;75,09;77,84;0,00;0,00;0,00;0,08;0,00;0,00;72;120;55;46;28;294;574
23;47,97;-276,89;0,00;0,00;0,00;-0,28;0,00;0,00;228;139;185;30;27;249;144
24;62,05;-11,81;0,00;0,00;0,00;-0,01;0,00;0,00;259;144;143;37;36;818;451
25;72,52;-9,81;0,00;0,00;0,00;-0,01;0,00;0,00;188;57;83;28;35;142;189
26;60,98;-91,28;0,00;0,00;0,00;-0,09;0,00;0,00;123;61;185;21;16;627;705
27;6,62;-630,76;0,00;0,00;0,00;-0,63;0,00;0,00;422;66;176;12;17;225;358
28;34,91;-371,64;0,00;0,00;0,00;-0,37;0,00;0,00;232;179;173;47;19;455;489
29;35,56;-380,71;0,00;0,00;0,00;-0,38;0,00;0,00;179;131;16;42;28;156;641
30;57,48;-92,02;0,00;0,00;0,00;-0,09;0,00;0,00;328;170;79;47;32;364;998
31;61,60;-97,61;0,00;0,00;0,00;-0,10;0,00;0,00;423;140;180;33;24;388;626
32;15,89;-513,99;0,00;0,00;0,00;-0,51;0,00;0,00;495;174;72;44;37;949;222
33;91,87;355,77;0,00;0,00;0,00;0,36;0,00;0,00;168;112;142;36;18;467;748
34;73,81;0,39;0,00;0,00;0,00;0,00;0,00;0,00;232;146;148;49;23;739;339
35;0,00;-656,91;0,00;0,00;0,00;-0,66;0,00;0,00;248;171;52;28;27;980;233
36;60,48;-126,35;0,00;0,00;0,00;-0,13;0,00;0,00;467;148;184;15;23;109;334
37;100,00;333,00;0,00;0,00;0,00;0,33;0,00;0,00;365;152;175;38;19;218;529
38;59,91;-112,96;0,00;0,00;0,00;-0,11;0,00;0,00;153;88;187;13;15;759;141
39;53,47;-187,08;0,00;0,00;0,00;-0,19;0,00;0,00;453;189;146;45;31;367;574
40;42,32;-246,54;0,00;0,00;0,00;-0,25;0,00;0,00;366;44;109;16;37;960;597
41;42,15;-292,60;0,00;0,00;0,00;-0,29;0,00;0,00;486;66;71;47;31;318;831
42;56,13;-208,74;0,00;0,00;0,00;-0,21;0,00;0,00;33;115;88;33;29;217;588
43;100,00;294,74;0,00;0,00;0,00;0,29;0,00;0,00;439;91;90;30;33;384;548
44;41,78;-315,48;0,00;0,00;0,00;-0,32;0,00;0,00;254;155;174;42;38;651;674
45;100,00;290,54;0,00;0,00;0,00;0,29;0,00;0,00;450;148;121;16;21;638;478
46;32,15;-378,80;0,00;0,00;0,00;-0,38;0,00;0,00;487;143;48;41;21;529;359
47;76,57;71,46;0,00;0,00;0,00;0,07;0,00;0,00;131;83;34;44;27;952;622
48;53,06;-155,81;0,00;0,00;0,00;-0,16;0,00;0,00;386;79;43;21;27;113;306
49;39,28;-298,05;0,00;0,00;0,00;-0,30;0,00;0,00;382;75;116;13;39;799;411
50;46,95;-230,41;0,00;0,00;0,00;-0,23;0,00;0,00;437;104;62;33;21;693;195
51;78,36;99,02;0,00;0,00;0,00;0,10;0,00;0,00;86;196;38;24;37;583;727
52;54,10;-149,07;0,00;0,00;0,00;-0,15;0,00;0,00;158;19;28;48;35;557;461
53;71,57;-16,55;0,00;0,00;0,00;-0,02;0,00;0,00;289;69;119;22;33;133;189
54;29,45;-403,17;0,00;0,00;0,00;-0,40;0,00;0,00;184;87;136;12;33;357;559
55;26,14;-458,67;0,00;0,00;0,00;-0,46;0,00;0,00;438;34;119;38;38;101;231
56;0,00;-611,84;0,00;0,00;0,00;-0,61;0,00;0,00;16;128;143;34;31;684;975
57;41,88;-387,03;0,00;0,00;0,00;-0,39;0,00;0,00;450;129;166;41;33;868;601
58;50,13;-258,27;0,00;0,00;0,00;-0,26;0,00;0,00;216;108;62;18;20;434;796
59;74,08;35,40;0,00;0,00;0,00;0,04;0,00;0,00;374;68;170;20;26;893;428
60;90,87;242,23;0,00;0,00;0,00;0,24;0,00;0,00;266;17;162;20;30;324;495
61;17,06;-586,06;0,00;0,00;0,00;-0,59;0,00;0,00;27;183;30;31;15;867;233
62;31,47;-361,13;0,00;0,00;0,00;-0,36;0,00;0,00;194;164;120;27;37;826;798
63;24,31;-392,39;0,00;0,00;0,00;-0,39;0,00;0,00;457;64;121;26;37;617;659
64;56,04;-167,18;0,00;0,00;0,00;-0,17;0,00;0,00;352;94;12;47;22;399;608
65;72,89;-80,31;0,00;0,00;0,00;-0,08;0,00;0,00;189;162;178;30;17;400;553
66;25,50;-493,93;0,00;0,00;0,00;-0,49;0,00;0,00;387;150;24;41;35;408;499
67;87,57;182,12;0,00;0,00;0,00;0,18;0,00;0,00;496;30;182;24;22;649;932
68;13,37;-536,08;0,00;0,00;0,00;-0,54;0,00;0,00;244;145;24;34;35;606;628
69;16,53;-543,61;0,00;0,00;0,00;-0,54;0,00;0,00;449;13;113;11;32;216;111
70;74,54;33,22;0,00;0,00;0,00;0,03;0,00;0,00;390;189;107;29;26;569;552
71;35,19;-299,57;0,00;0,00;0,00;-0,30;0,00;0,00;363;157;48;38;18;143;358
72;41,63;-231,90;0,00;0,00;0,00;-0,23;0,00;0,00;446;50;159;44;28;668;128
73;12,94;-607,02;0,00;0,00;0,00;-0,61;0,00;0,00;305;127;48;17;24;820;322
74;53,20;-209,50;0,00;0,00;0,00;-0,21;0,00;0,00;60;85;65;30;18;841;544
75;27,61;-471,36;0,00;0,00;0,00;-0,47;0,00;0,00;208;40;40;37;29;147;572
76;61,80;-33,16;0,00;0,00;0,00;-0,03;0,00;0,00;12;97;186;18;35;150;518
77;71,61;12,52;0,00;0,00;0,00;0,01;0,00;0,00;465;21;63;18;22;862;782
78;83,26;108,03;0,00;0,00;0,00;0,11;0,00;0,00;401;66;43;11;24;303;953
79;41,32;-283,25;0,00;0,00;0,00;-0,28;0,00;0,00;33;60;133;33;32;466;519
80;73,13;72,76;0,00;0,00;0,00;0,07;0,00;0,00;217;167;96;27;25;235;149
81;51,11;-134,29;0,00;0,00;0,00;-0,13;0,00;0,00;135;51;112;36;21;208;593
82;100,00;187,08;0,00;0,00;0,00;0,19;0,00;0,00;337;190;117;12;18;627;569
83;42,97;-316,76;0,00;0,00;0,00;-0,32;0,00;0,00;213;80;40;25;30;780;210
84;30,91;-422,83;0,00;0,00;0,00;-0,42;0,00;0,00;26;111;162;23;32;550;758
85;57,88;-97,34;0,00;0,00;0,00;-0,10;0,00;0,00;34;125;185;48;35;637;880
86;62,61;-138,53;0,00;0,00;0,00;-0,14;0,00;0,00;459;159;48;44;19;472;505
87;52,55;-179,21;0,00;0,00;0,00;-0,18;0,00;0,00;363;134;79;13;25;243;636
88;89,39;87,81;0,00;0,00;0,00;0,09;0,00;0,00;69;175;187;26;28;359;674
89;28,43;-478,57;0,00;0,00;0,00;-0,48;0,00;0,00;208;165;54;38;29;526;531
90;77,75;30,21;0,00;0,00;0,00;0,03;0,00;0,00;233;34;44;46;25;939;886
91;72,56;2,97;0,00;0,00;0,00;0,00;0,00;0,00;497;186;41;34;27;942;711
92;42,58;-262,99;0,00;0,00;0,00;-0,26;0,00;0,00;307;192;25;17;20;774;390
93;21,93;-557,99;0,00;0,00;0,00;-0,56;0,00;0,00;403;81;67;15;33;783;621
94;30,48;-397,82;0,00;0,00;0,00;-0,40;0,00;0,00;150;180;62;49;33;688;411
95;32,91;-375,41;0,00;0,00;0,00;-0,38;0,00;0,00;33;116;53;17;22;904;558
96;65,68;-46,14;0,00;0,00;0,00;-0,05;0,00;0,00;243;35;130;34;19;383;585
97;40,01;-360,98;0,00;0,00;0,00;-0,36;0,00;0,00;411;73;74;34;39;353;755
98;43,03;-256,61;0,00;0,00;0,00;-0,26;0,00;0,00;447;50;117;35;29;246;875
