Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;16,32;-593,25;0,00;0,00;0,00;-0,59;0,00;0,00;311;37;181;24;16;525;131
2;74,78;19,16;0,00;0,00;0,00;0,02;0,00;0,00;399;159;111;20;39;645;272
3;18,59;-592,49;0,00;0,00;0,00;-0,59;0,00;0,00;358;162;185;13;24;818;483
4;11,56;-523,41;0,00;0,00;0,00;-0,52;0,00;0,00;180;145;113;48;34;622;693
5;71,44;96,96;0,00;0,00;0,00;0,10;0,00;0,00;47;163;62;40;28;417;198
6;51,83;-196,95;0,00;0,00;0,00;-0,20;0,00;0,00;440;181;130;32;17;879;183
7;60,21;-15,72;0,00;0,00;0,00;-0,02;0,00;0,00;413;42;135;13;34;797;138
8;67,02;-20,72;0,00;0,00;0,00;-0,02;0,00;0,00;344;28;133;46;30;332;408
9;83,44;124,47;0,00;0,00;0,00;0,12;0,00;0,00;59;46;151;31;17;685;424
10;26,65;-423,84;0,00;0,00;0,00;-0,42;0,00;0,00;70;134;107;12;22;854;332
11;41,01;-246,82;0,00;0,00;0,00;-0,25;0,00;0,00;163;28;89;33;39;423;165
12;27,31;-444,18;0,00;0,00;0,00;-0,44;0,00;0,00;402;151;13;15;35;124;871
13;32,88;-415,17;0,00;0,00;0,00;-0,42;0,00;0,00;313;85;136;39;20;821;397
14;54,36;-138,87;0,00;0,00;0,00;-0,14;0,00;0,00;175;89;157;26;24;384;380
15;54,73;-172,77;0,00;0,00;0,00;-0,17;0,00;0,00;418;13;190;48;15;385;548
16;31,17;-390,87;0,00;0,00;0,00;-0,39;0,00;0,00;79;113;156;48;31;796;179
17;56,44;-112,23;0,00;0,00;0,00;-0,11;0,00;0,00;195;103;95;35;27;895;794
18;34,70;-439,44;0,00;0,00;0,00;-0,44;0,00;0,00;181;150;128;29;20;701;788
19;60,00;-21,53;0,00;0,00;0,00;-0,02;0,00;0,00;144;58;73;47;31;518;225
20;35,39;-390,43;0,00;0,00;0,00;-0,39;0,00;0,00;91;121;61;29;16;750;171
21;79,34;101,18;0,00;0,00;0,00;0,10;0,00;0,00;97;153;67;17;18;324;153
22;49,79;-159,48;0,00;0,00;0,00;-0,16;0,00;0,00;422;186;146;30;21;507;893
23;100,00;309,71;0,00;0,00;0,00;0,31;0,00;0,00;347;100;151;39;23;163;787
24;90,00;233,21;0,00;0,00;0,00;0,23;0,00;0,00;428;96;36;44;23;764;474
25;34,32;-375,69;0,00;0,00;0,00;-0,38;0,00;0,00;144;34;103;23;36;639;826
26;75,70;105,51;0,00;0,00;0,00;0,11;0,00;0,00;100;134;14;25;34;549;328
27;38,69;-290,87;0,00;0,00;0,00;-0,29;0,00;0,00;199;30;142;37;26;513;541
28;50,44;-184,91;0,00;0,00;0,00;-0,18;0,00;0,00;438;98;65;13;29;166;425
