Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;31,39;-317,10;0,00;0,00;0,00;-0,32;0,00;0,00;79;140;81;44;17;705;176
2;17,02;-512,52;0,00;0,00;0,00;-0,51;0,00;0,00;315;16;151;17;36;686;828
3;38,55;-339,78;0,00;0,00;0,00;-0,34;0,00;0,00;73;180;51;29;18;720;386
4;54,90;-116,95;0,00;0,00;0,00;-0,12;0,00;0,00;49;131;38;46;16;367;374
5;15,54;-497,52;0,00;0,00;0,00;-0,50;0,00;0,00;443;73;30;17;22;506;767
6;38,93;-310,28;0,00;0,00;0,00;-0,31;0,00;0,00;264;51;174;28;16;169;468
7;63,35;-17,55;0,00;0,00;0,00;-0,02;0,00;0,00;28;178;179;40;35;318;875
8;42,77;-298,96;0,00;0,00;0,00;-0,30;0,00;0,00;279;55;150;45;33;669;928
9;66,43;20,41;0,00;0,00;0,00;0,02;0,00;0,00;395;102;44;45;31;564;407
10;79,84;153,11;0,00;0,00;0,00;0,15;0,00;0,00;109;192;83;49;33;948;183
11;19,15;-516,16;0,00;0,00;0,00;-0,52;0,00;0,00;148;157;72;30;30;889;394
12;0,00;-719,18;0,00;0,00;0,00;-0,72;0,00;0,00;478;159;120;35;36;597;985
13;53,56;-136,73;0,00;0,00;0,00;-0,14;0,00;0,00;123;63;61;24;24;775;998
14;32,44;-334,54;0,00;0,00;0,00;-0,33;0,00;0,00;194;170;194;29;30;890;525
15;30,45;-352,69;0,00;0,00;0,00;-0,35;0,00;0,00;152;182;160;12;25;960;541
16;35,83;-369,97;0,00;0,00;0,00;-0,37;0,00;0,00;295;168;161;41;36;606;633
17;3,19;-760,77;0,00;0,00;0,00;-0,76;0,00;0,00;454;74;172;26;18;561;522
18;83,28;175,32;0,00;0,00;0,00;0,18;0,00;0,00;12;176;43;45;15;982;614
19;71,49;14,14;0,00;0,00;0,00;0,01;0,00;0,00;363;90;167;30;26;995;705
20;35,37;-401,16;0,00;0,00;0,00;-0,40;0,00;0,00;190;127;60;49;36;202;227
21;100,00;325,60;0,00;0,00;0,00;0,33;0,00;0,00;443;126;179;26;20;652;249
22;43,08;-343,61;0,00;0,00;0,00;-0,34;0,00;0,00;299;120;55;46;28;294;574
23;49,99;-189,51;0,00;0,00;0,00;-0,19;0,00;0,00;83;139;185;30;27;249;144
24;45,28;-228,74;0,00;0,00;0,00;-0,23;0,00;0,00;148;144;143;37;36;818;451
25;83,92;102,14;0,00;0,00;0,00;0,10;0,00;0,00;468;57;83;28;35;142;189
26;56,48;-200,88;0,00;0,00;0,00;-0,20;0,00;0,00;199;61;185;21;16;627;705
27;32,16;-394,78;0,00;0,00;0,00;-0,39;0,00;0,00;77;66;176;12;17;225;358
28;28,37;-421,94;0,00;0,00;0,00;-0,42;0,00;0,00;258;179;173;47;19;455;489
29;32,21;-404,43;0,00;0,00;0,00;-0,40;0,00;0,00;118;131;16;42;28;156;641
30;53,49;-164,21;0,00;0,00;0,00;-0,16;0,00;0,00;483;170;79;47;32;364;998
31;43,49;-232,17;0,00;0,00;0,00;-0,23;0,00;0,00;267;140;180;33;24;388;626
32;7,66;-695,34;0,00;0,00;0,00;-0,70;0,00;0,00;216;174;72;44;37;949;222
33;79,98;141,63;0,00;0,00;0,00;0,14;0,00;0,00;374;112;142;36;18;467;748
34;82,80;111,27;0,00;0,00;0,00;0,11;0,00;0,00;176;146;148;49;23;739;339
35;17,31;-678,76;0,00;0,00;0,00;-0,68;0,00;0,00;469;171;52;28;27;980;233
36;42,58;-212,74;0,00;0,00;0,00;-0,21;0,00;0,00;95;148;184;15;23;109;334
37;72,61;-48,97;0,00;0,00;0,00;-0,05;0,00;0,00;472;152;175;38;19;218;529
38;72,48;-4,64;0,00;0,00;0,00;-0,00;0,00;0,00;444;88;187;13;15;759;141
39;43,07;-256,00;0,00;0,00;0,00;-0,26;0,00;0,00;175;189;146;45;31;367;574
40;34,41;-331,99;0,00;0,00;0,00;-0,33;0,00;0,00;413;44;109;16;37;960;597
41;57,45;-214,30;0,00;0,00;0,00;-0,21;0,00;0,00;438;66;71;47;31;318;831
42;0,00;-717,60;0,00;0,00;0,00;-0,72;0,00;0,00;463;115;88;33;29;217;588
43;83,73;121,86;0,00;0,00;0,00;0,12;0,00;0,00;332;91;90;30;33;384;548
44;14,30;-539,73;0,00;0,00;0,00;-0,54;0,00;0,00;100;155;174;42;38;651;674
45;73,58;-3,70;0,00;0,00;0,00;-0,00;0,00;0,00;315;148;121;16;21;638;478
46;73,74;48,24;0,00;0,00;0,00;0,05;0,00;0,00;20;143;48;41;21;529;359
47;63,75;-81,71;0,00;0,00;0,00;-0,08;0,00;0,00;167;83;34;44;27;952;622
48;44,11;-338,95;0,00;0,00;0,00;-0,34;0,00;0,00;86;79;43;21;27;113;306
49;43,46;-323,66;0,00;0,00;0,00;-0,32;0,00;0,00;457;75;116;13;39;799;411
50;49,53;-119,32;0,00;0,00;0,00;-0,12;0,00;0,00;150;104;62;33;21;693;195
51;14,73;-568,12;0,00;0,00;0,00;-0,57;0,00;0,00;399;196;38;24;37;583;727
52;39,99;-256,36;0,00;0,00;0,00;-0,26;0,00;0,00;369;19;28;48;35;557;461
53;36,18;-369,82;0,00;0,00;0,00;-0,37;0,00;0,00;133;69;119;22;33;133;189
54;19,74;-562,41;0,00;0,00;0,00;-0,56;0,00;0,00;447;87;136;12;33;357;559
55;67,21;-28,50;0,00;0,00;0,00;-0,03;0,00;0,00;296;34;119;38;38;101;231
56;15,90;-607,31;0,00;0,00;0,00;-0,61;0,00;0,00;292;128;143;34;31;684;975
57;13,30;-590,75;0,00;0,00;0,00;-0,59;0,00;0,00;55;129;166;41;33;868;601
58;54,97;-221,18;0,00;0,00;0,00;-0,22;0,00;0,00;269;108;62;18;20;434;796
59;25,70;-433,72;0,00;0,00;0,00;-0,43;0,00;0,00;25;68;170;20;26;893;428
60;53,73;-106,30;0,00;0,00;0,00;-0,11;0,00;0,00;24;17;162;20;30;324;495
61;2,16;-702,06;0,00;0,00;0,00;-0,70;0,00;0,00;375;183;30;31;15;867;233
