Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;36,40;-139,54;0,00;0,00;0,00;-0,14;0,00;0,00;300;150;98;38;19;872;349
2;59,27;60,45;0,00;0,00;0,00;0,06;0,00;0,00;222;54;118;42;29;904;851
3;53,46;86,29;0,00;0,00;0,00;0,09;0,00;0,00;484;193;135;38;35;556;207
4;62,03;92,68;0,00;0,00;0,00;0,09;0,00;0,00;457;130;155;25;17;304;999
5;53,47;30,49;0,00;0,00;0,00;0,03;0,00;0,00;435;187;108;41;33;493;622
6;50,94;71,09;0,00;0,00;0,00;0,07;0,00;0,00;45;102;71;49;37;136;976
7;49,35;21,34;0,00;0,00;0,00;0,02;0,00;0,00;481;124;19;16;33;683;797
8;50,38;-14,05;0,00;0,00;0,00;-0,01;0,00;0,00;496;87;69;19;39;862;898
9;26,46;-264,74;0,00;0,00;0,00;-0,26;0,00;0,00;480;68;116;33;25;762;340
10;53,86;-108,51;0,00;0,00;0,00;-0,11;0,00;0,00;167;162;75;49;23;792;965
11;61,04;131,89;0,00;0,00;0,00;0,13;0,00;0,00;315;147;16;39;17;990;977
12;47,30;78,33;0,00;0,00;0,00;0,08;0,00;0,00;130;163;12;32;20;981;795
13;52,69;86,45;0,00;0,00;0,00;0,09;0,00;0,00;296;155;83;41;34;989;624
14;36,08;-173,18;0,00;0,00;0,00;-0,17;0,00;0,00;283;106;68;38;32;895;407
15;50,95;86,02;0,00;0,00;0,00;0,09;0,00;0,00;311;60;66;13;17;714;950
16;39,68;-114,65;0,00;0,00;0,00;-0,11;0,00;0,00;156;54;194;17;33;918;987
17;28,85;-170,94;0,00;0,00;0,00;-0,17;0,00;0,00;228;163;189;39;24;224;123
18;68,65;113,41;0,00;0,00;0,00;0,11;0,00;0,00;233;185;191;43;35;479;850
19;41,84;-73,35;0,00;0,00;0,00;-0,07;0,00;0,00;324;98;136;42;22;363;920
20;58,66;146,10;0,00;0,00;0,00;0,15;0,00;0,00;343;180;107;18;28;396;447
21;63,49;164,43;0,00;0,00;0,00;0,16;0,00;0,00;487;126;129;21;29;516;637
22;49,33;-20,75;0,00;0,00;0,00;-0,02;0,00;0,00;220;144;143;20;37;697;951
23;41,23;-99,43;0,00;0,00;0,00;-0,10;0,00;0,00;221;92;92;20;18;928;737
