Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;37,07;-349,59;0,00;0,00;0,00;-0,35;0,00;0,00;391;140;81;44;17;705;176
2;39,70;-257,82;0,00;0,00;0,00;-0,26;0,00;0,00;120;16;151;17;36;686;828
3;4,19;-620,23;0,00;0,00;0,00;-0,62;0,00;0,00;10;180;51;29;18;720;386
4;53,07;-107,46;0,00;0,00;0,00;-0,11;0,00;0,00;325;131;38;46;16;367;374
5;51,99;-224,66;0,00;0,00;0,00;-0,22;0,00;0,00;46;73;30;17;22;506;767
6;52,28;-244,04;0,00;0,00;0,00;-0,24;0,00;0,00;407;51;174;28;16;169;468
7;78,79;146,37;0,00;0,00;0,00;0,15;0,00;0,00;190;178;179;40;35;318;875
8;72,63;72,55;0,00;0,00;0,00;0,07;0,00;0,00;269;55;150;45;33;669;928
9;45,77;-254,59;0,00;0,00;0,00;-0,25;0,00;0,00;466;102;44;45;31;564;407
10;61,09;-90,20;0,00;0,00;0,00;-0,09;0,00;0,00;478;192;83;49;33;948;183
11;56,99;20,46;0,00;0,00;0,00;0,02;0,00;0,00;461;157;72;30;30;889;394
12;29,41;-410,91;0,00;0,00;0,00;-0,41;0,00;0,00;361;159;120;35;36;597;985
13;55,88;-151,67;0,00;0,00;0,00;-0,15;0,00;0,00;136;63;61;24;24;775;998
14;65,59;-48,31;0,00;0,00;0,00;-0,05;0,00;0,00;240;170;194;29;30;890;525
15;24,76;-477,27;0,00;0,00;0,00;-0,48;0,00;0,00;163;182;160;12;25;960;541
16;15,11;-630,72;0,00;0,00;0,00;-0,63;0,00;0,00;238;168;161;41;36;606;633
17;68,83;109,38;0,00;0,00;0,00;0,11;0,00;0,00;50;74;172;26;18;561;522
18;100,00;317,35;0,00;0,00;0,00;0,32;0,00;0,00;490;176;43;45;15;982;614
19;61,47;-111,99;0,00;0,00;0,00;-0,11;0,00;0,00;414;90;167;30;26;995;705
20;30,00;-445,21;0,00;0,00;0,00;-0,45;0,00;0,00;452;127;60;49;36;202;227
21;56,08;-104,33;0,00;0,00;0,00;-0,10;0,00;0,00;354;126;179;26;20;652;249
22;7,58;-575,64;0,00;0,00;0,00;-0,58;0,00;0,00;472;120;55;46;28;294;574
