Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;39,36;-339,90;0,00;0,00;0,00;-0,34;0,00;0,00;241;37;181;24;16;525;131
2;65,02;-54,27;0,00;0,00;0,00;-0,05;0,00;0,00;453;159;111;20;39;645;272
3;18,04;-525,23;0,00;0,00;0,00;-0,53;0,00;0,00;469;162;185;13;24;818;483
4;31,04;-356,14;0,00;0,00;0,00;-0,36;0,00;0,00;174;145;113;48;34;622;693
5;15,61;-586,12;0,00;0,00;0,00;-0,59;0,00;0,00;371;163;62;40;28;417;198
6;53,99;-155,03;0,00;0,00;0,00;-0,16;0,00;0,00;322;181;130;32;17;879;183
7;32,60;-441,61;0,00;0,00;0,00;-0,44;0,00;0,00;145;42;135;13;34;797;138
8;68,68;-66,13;0,00;0,00;0,00;-0,07;0,00;0,00;499;28;133;46;30;332;408
9;31,58;-452,90;0,00;0,00;0,00;-0,45;0,00;0,00;15;46;151;31;17;685;424
10;30,09;-495,55;0,00;0,00;0,00;-0,50;0,00;0,00;174;134;107;12;22;854;332
11;34,95;-354,81;0,00;0,00;0,00;-0,35;0,00;0,00;154;28;89;33;39;423;165
12;60,17;-93,30;0,00;0,00;0,00;-0,09;0,00;0,00;400;151;13;15;35;124;871
13;1,49;-690,15;0,00;0,00;0,00;-0,69;0,00;0,00;241;85;136;39;20;821;397
14;18,02;-541,85;0,00;0,00;0,00;-0,54;0,00;0,00;252;89;157;26;24;384;380
15;54,39;-135,92;0,00;0,00;0,00;-0,14;0,00;0,00;491;13;190;48;15;385;548
16;42,00;-261,22;0,00;0,00;0,00;-0,26;0,00;0,00;479;113;156;48;31;796;179
17;57,25;-201,33;0,00;0,00;0,00;-0,20;0,00;0,00;476;103;95;35;27;895;794
18;23,15;-543,42;0,00;0,00;0,00;-0,54;0,00;0,00;373;150;128;29;20;701;788
19;48,44;-253,07;0,00;0,00;0,00;-0,25;0,00;0,00;58;58;73;47;31;518;225
20;36,91;-261,58;0,00;0,00;0,00;-0,26;0,00;0,00;198;121;61;29;16;750;171
21;51,27;-241,82;0,00;0,00;0,00;-0,24;0,00;0,00;202;153;67;17;18;324;153
22;62,96;-92,78;0,00;0,00;0,00;-0,09;0,00;0,00;21;186;146;30;21;507;893
23;32,42;-287,57;0,00;0,00;0,00;-0,29;0,00;0,00;103;100;151;39;23;163;787
24;65,25;-41,63;0,00;0,00;0,00;-0,04;0,00;0,00;246;96;36;44;23;764;474
25;23,69;-518,84;0,00;0,00;0,00;-0,52;0,00;0,00;198;34;103;23;36;639;826
26;38,90;-209,55;0,00;0,00;0,00;-0,21;0,00;0,00;90;134;14;25;34;549;328
27;33,98;-401,46;0,00;0,00;0,00;-0,40;0,00;0,00;497;30;142;37;26;513;541
28;32,24;-354,12;0,00;0,00;0,00;-0,35;0,00;0,00;433;98;65;13;29;166;425
29;41,20;-384,63;0,00;0,00;0,00;-0,38;0,00;0,00;154;63;194;26;29;554;716
30;37,78;-358,29;0,00;0,00;0,00;-0,36;0,00;0,00;31;57;167;47;29;269;648
31;74,00;2,56;0,00;0,00;0,00;0,00;0,00;0,00;375;40;79;39;27;633;109
32;30,21;-389,71;0,00;0,00;0,00;-0,39;0,00;0,00;496;197;26;18;21;235;974
33;30,52;-385,44;0,00;0,00;0,00;-0,39;0,00;0,00;236;135;143;17;34;868;582
34;18,31;-523,47;0,00;0,00;0,00;-0,52;0,00;0,00;285;70;39;43;39;347;851
35;27,19;-381,19;0,00;0,00;0,00;-0,38;0,00;0,00;103;95;45;15;17;737;418
36;0,00;-733,87;0,00;0,00;0,00;-0,73;0,00;0,00;396;80;116;22;23;817;422
37;95,32;221,34;0,00;0,00;0,00;0,22;0,00;0,00;334;117;173;23;37;718;703
38;31,02;-435,50;0,00;0,00;0,00;-0,44;0,00;0,00;110;129;108;15;16;411;662
39;40,05;-311,74;0,00;0,00;0,00;-0,31;0,00;0,00;102;182;108;30;31;429;198
40;0,00;-727,16;0,00;0,00;0,00;-0,73;0,00;0,00;472;81;154;21;21;781;998
41;53,67;-166,67;0,00;0,00;0,00;-0,17;0,00;0,00;417;57;18;17;37;632;515
42;37,82;-404,97;0,00;0,00;0,00;-0,40;0,00;0,00;340;119;36;26;34;798;594
43;16,11;-532,26;0,00;0,00;0,00;-0,53;0,00;0,00;127;25;53;33;30;697;637
44;0,00;-717,02;0,00;0,00;0,00;-0,72;0,00;0,00;70;179;155;24;38;813;396
45;74,07;-9,39;0,00;0,00;0,00;-0,01;0,00;0,00;478;150;164;13;24;730;805
46;37,44;-282,60;0,00;0,00;0,00;-0,28;0,00;0,00;85;139;138;25;21;739;420
47;78,25;87,31;0,00;0,00;0,00;0,09;0,00;0,00;85;87;150;43;19;230;144
48;90,58;148,25;0,00;0,00;0,00;0,15;0,00;0,00;315;77;104;45;21;828;592
49;37,97;-296,58;0,00;0,00;0,00;-0,30;0,00;0,00;323;180;25;16;19;915;958
50;35,89;-313,38;0,00;0,00;0,00;-0,31;0,00;0,00;65;100;73;49;27;931;925
51;14,70;-655,15;0,00;0,00;0,00;-0,66;0,00;0,00;442;120;196;32;34;550;147
52;28,56;-482,54;0,00;0,00;0,00;-0,48;0,00;0,00;486;35;150;39;19;702;770
53;88,19;162,00;0,00;0,00;0,00;0,16;0,00;0,00;434;119;15;15;21;325;711
54;41,77;-307,60;0,00;0,00;0,00;-0,31;0,00;0,00;452;157;97;15;34;959;459
55;14,63;-548,15;0,00;0,00;0,00;-0,55;0,00;0,00;375;171;170;36;35;665;550
56;51,14;-272,67;0,00;0,00;0,00;-0,27;0,00;0,00;450;151;105;26;26;361;215
57;14,13;-481,33;0,00;0,00;0,00;-0,48;0,00;0,00;488;18;56;17;27;932;854
58;0,00;-701,38;0,00;0,00;0,00;-0,70;0,00;0,00;213;63;51;18;19;464;291
59;27,93;-432,91;0,00;0,00;0,00;-0,43;0,00;0,00;419;87;119;30;30;174;136
60;76,61;51,24;0,00;0,00;0,00;0,05;0,00;0,00;214;105;19;43;19;355;605
61;33,62;-351,05;0,00;0,00;0,00;-0,35;0,00;0,00;30;167;147;48;30;152;159
62;10,51;-636,69;0,00;0,00;0,00;-0,64;0,00;0,00;390;188;87;33;15;541;112
63;89,54;188,76;0,00;0,00;0,00;0,19;0,00;0,00;428;84;150;33;21;588;834
64;64,70;71,03;0,00;0,00;0,00;0,07;0,00;0,00;341;171;198;29;18;843;924
65;13,76;-564,79;0,00;0,00;0,00;-0,56;0,00;0,00;60;38;166;37;31;294;488
66;34,77;-263,43;0,00;0,00;0,00;-0,26;0,00;0,00;464;179;144;27;17;901;444
67;39,38;-342,21;0,00;0,00;0,00;-0,34;0,00;0,00;478;188;166;13;32;993;881
68;18,30;-540,60;0,00;0,00;0,00;-0,54;0,00;0,00;157;32;191;43;39;182;924
69;100,00;295,95;0,00;0,00;0,00;0,30;0,00;0,00;86;144;164;20;30;638;142
70;70,59;8,55;0,00;0,00;0,00;0,01;0,00;0,00;477;137;127;45;30;807;377
71;10,82;-554,63;0,00;0,00;0,00;-0,55;0,00;0,00;282;118;160;44;15;658;945
72;48,00;-90,74;0,00;0,00;0,00;-0,09;0,00;0,00;138;181;78;46;25;681;751
73;46,48;-213,40;0,00;0,00;0,00;-0,21;0,00;0,00;301;18;19;47;25;435;741
74;76,16;1,84;0,00;0,00;0,00;0,00;0,00;0,00;333;92;144;11;25;491;672
75;27,92;-371,84;0,00;0,00;0,00;-0,37;0,00;0,00;284;18;196;40;19;580;304
76;66,25;-48,25;0,00;0,00;0,00;-0,05;0,00;0,00;71;143;130;10;36;602;491
77;46,15;-206,48;0,00;0,00;0,00;-0,21;0,00;0,00;125;165;141;21;17;607;732
78;54,75;-105,94;0,00;0,00;0,00;-0,11;0,00;0,00;496;194;172;48;22;803;503
79;32,21;-328,44;0,00;0,00;0,00;-0,33;0,00;0,00;28;195;30;34;20;857;604
80;68,81;-2,00;0,00;0,00;0,00;-0,00;0,00;0,00;103;69;135;45;30;459;798
81;30,73;-360,22;0,00;0,00;0,00;-0,36;0,00;0,00;275;120;92;38;31;834;922
82;43,52;-229,54;0,00;0,00;0,00;-0,23;0,00;0,00;262;158;124;41;23;862;739
83;67,14;-113,70;0,00;0,00;0,00;-0,11;0,00;0,00;200;174;26;15;28;786;617
84;41,37;-297,75;0,00;0,00;0,00;-0,30;0,00;0,00;88;82;135;35;35;291;467
85;82,36;102,76;0,00;0,00;0,00;0,10;0,00;0,00;414;92;44;43;38;797;181
86;3,83;-645,10;0,00;0,00;0,00;-0,65;0,00;0,00;394;170;196;13;34;121;746
87;34,51;-426,16;0,00;0,00;0,00;-0,43;0,00;0,00;297;63;22;16;37;477;472
88;33,13;-362,10;0,00;0,00;0,00;-0,36;0,00;0,00;290;80;187;13;38;189;798
89;90,43;169,91;0,00;0,00;0,00;0,17;0,00;0,00;365;97;87;24;28;535;541
