Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;36,82;-60,93;0,00;0,00;0,00;-0,06;0,00;0,00;424;150;98;38;19;872;349
2;55,61;84,69;0,00;0,00;0,00;0,08;0,00;0,00;261;54;118;42;29;904;851
3;58,77;86,72;0,00;0,00;0,00;0,09;0,00;0,00;438;193;135;38;35;556;207
4;65,07;59,90;0,00;0,00;0,00;0,06;0,00;0,00;211;130;155;25;17;304;999
5;62,41;70,39;0,00;0,00;0,00;0,07;0,00;0,00;139;187;108;41;33;493;622
6;60,44;140,92;0,00;0,00;0,00;0,14;0,00;0,00;493;102;71;49;37;136;976
7;59,17;13,29;0,00;0,00;0,00;0,01;0,00;0,00;83;124;19;16;33;683;797
8;65,83;137,99;0,00;0,00;0,00;0,14;0,00;0,00;236;87;69;19;39;862;898
9;24,87;-242,76;0,00;0,00;0,00;-0,24;0,00;0,00;103;68;116;33;25;762;340
10;47,25;-71,92;0,00;0,00;0,00;-0,07;0,00;0,00;305;162;75;49;23;792;965
11;65,28;217,26;0,00;0,00;0,00;0,22;0,00;0,00;32;147;16;39;17;990;977
12;53,46;62,03;0,00;0,00;0,00;0,06;0,00;0,00;465;163;12;32;20;981;795
13;63,12;111,09;0,00;0,00;0,00;0,11;0,00;0,00;193;155;83;41;34;989;624
14;24,02;-246,80;0,00;0,00;0,00;-0,25;0,00;0,00;375;106;68;38;32;895;407
15;59,17;39,03;0,00;0,00;0,00;0,04;0,00;0,00;212;60;66;13;17;714;950
16;43,32;-213,26;0,00;0,00;0,00;-0,21;0,00;0,00;141;54;194;17;33;918;987
17;28,78;-293,32;0,00;0,00;0,00;-0,29;0,00;0,00;435;163;189;39;24;224;123
18;78,44;219,60;0,00;0,00;0,00;0,22;0,00;0,00;492;185;191;43;35;479;850
19;35,57;-181,34;0,00;0,00;0,00;-0,18;0,00;0,00;22;98;136;42;22;363;920
20;56,18;13,90;0,00;0,00;0,00;0,01;0,00;0,00;377;180;107;18;28;396;447
21;77,74;278,43;0,00;0,00;0,00;0,28;0,00;0,00;291;126;129;21;29;516;637
22;52,21;-59,36;0,00;0,00;0,00;-0,06;0,00;0,00;68;144;143;20;37;697;951
23;47,48;-33,13;0,00;0,00;0,00;-0,03;0,00;0,00;425;92;92;20;18;928;737
24;50,53;27,41;0,00;0,00;0,00;0,03;0,00;0,00;451;104;134;16;16;852;290
25;47,83;15,35;0,00;0,00;0,00;0,02;0,00;0,00;186;92;50;10;16;165;272
26;51,66;46,91;0,00;0,00;0,00;0,05;0,00;0,00;410;184;129;33;26;453;452
27;45,02;-73,50;0,00;0,00;0,00;-0,07;0,00;0,00;348;115;191;33;18;986;307
28;44,38;-9,34;0,00;0,00;0,00;-0,01;0,00;0,00;477;13;154;11;23;747;162
29;50,05;59,31;0,00;0,00;0,00;0,06;0,00;0,00;155;87;172;33;20;582;343
30;37,81;-124,09;0,00;0,00;0,00;-0,12;0,00;0,00;186;72;193;41;23;350;790
31;54,73;72,06;0,00;0,00;0,00;0,07;0,00;0,00;227;78;143;33;15;199;988
