Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;81,90;146,46;0,00;0,00;0,00;0,15;0,00;0,00;32;37;181;24;16;525;131
2;39,63;-285,42;0,00;0,00;0,00;-0,29;0,00;0,00;411;159;111;20;39;645;272
3;18,12;-430,63;0,00;0,00;0,00;-0,43;0,00;0,00;54;162;185;13;24;818;483
4;41,22;-324,89;0,00;0,00;0,00;-0,32;0,00;0,00;310;145;113;48;34;622;693
5;43,57;-265,57;0,00;0,00;0,00;-0,27;0,00;0,00;386;163;62;40;28;417;198
6;42,74;-279,43;0,00;0,00;0,00;-0,28;0,00;0,00;150;181;130;32;17;879;183
7;83,10;142,44;0,00;0,00;0,00;0,14;0,00;0,00;458;42;135;13;34;797;138
8;59,25;-132,64;0,00;0,00;0,00;-0,13;0,00;0,00;22;28;133;46;30;332;408
9;52,88;-269,50;0,00;0,00;0,00;-0,27;0,00;0,00;16;46;151;31;17;685;424
10;53,21;-192,62;0,00;0,00;0,00;-0,19;0,00;0,00;323;134;107;12;22;854;332
11;0,00;-697,05;0,00;0,00;0,00;-0,70;0,00;0,00;229;28;89;33;39;423;165
12;42,37;-245,30;0,00;0,00;0,00;-0,25;0,00;0,00;196;151;13;15;35;124;871
13;96,52;330,93;0,00;0,00;0,00;0,33;0,00;0,00;125;85;136;39;20;821;397
14;9,20;-637,99;0,00;0,00;0,00;-0,64;0,00;0,00;27;89;157;26;24;384;380
15;74,93;69,91;0,00;0,00;0,00;0,07;0,00;0,00;15;13;190;48;15;385;548
16;42,73;-165,86;0,00;0,00;0,00;-0,17;0,00;0,00;298;113;156;48;31;796;179
17;33,03;-312,78;0,00;0,00;0,00;-0,31;0,00;0,00;492;103;95;35;27;895;794
18;30,83;-322,95;0,00;0,00;0,00;-0,32;0,00;0,00;418;150;128;29;20;701;788
19;68,58;-44,93;0,00;0,00;0,00;-0,04;0,00;0,00;481;58;73;47;31;518;225
20;40,94;-253,78;0,00;0,00;0,00;-0,25;0,00;0,00;369;121;61;29;16;750;171
21;41,84;-267,10;0,00;0,00;0,00;-0,27;0,00;0,00;24;153;67;17;18;324;153
22;59,41;-42,75;0,00;0,00;0,00;-0,04;0,00;0,00;58;186;146;30;21;507;893
23;73,50;128,35;0,00;0,00;0,00;0,13;0,00;0,00;200;100;151;39;23;163;787
24;56,35;-97,68;0,00;0,00;0,00;-0,10;0,00;0,00;445;96;36;44;23;764;474
25;25,48;-373,12;0,00;0,00;0,00;-0,37;0,00;0,00;432;34;103;23;36;639;826
26;100,00;348,80;0,00;0,00;0,00;0,35;0,00;0,00;161;134;14;25;34;549;328
27;43,61;-324,76;0,00;0,00;0,00;-0,32;0,00;0,00;169;30;142;37;26;513;541
28;28,96;-338,61;0,00;0,00;0,00;-0,34;0,00;0,00;40;98;65;13;29;166;425
29;37,39;-309,50;0,00;0,00;0,00;-0,31;0,00;0,00;246;63;194;26;29;554;716
30;91,31;228,42;0,00;0,00;0,00;0,23;0,00;0,00;148;57;167;47;29;269;648
31;76,57;32,62;0,00;0,00;0,00;0,03;0,00;0,00;472;40;79;39;27;633;109
32;49,61;-191,75;0,00;0,00;0,00;-0,19;0,00;0,00;314;197;26;18;21;235;974
33;52,35;-246,48;0,00;0,00;0,00;-0,25;0,00;0,00;141;135;143;17;34;868;582
34;58,49;-116,57;0,00;0,00;0,00;-0,12;0,00;0,00;425;70;39;43;39;347;851
35;71,78;103,78;0,00;0,00;0,00;0,10;0,00;0,00;431;95;45;15;17;737;418
36;1,31;-715,60;0,00;0,00;0,00;-0,72;0,00;0,00;469;80;116;22;23;817;422
37;29,96;-403,14;0,00;0,00;0,00;-0,40;0,00;0,00;197;117;173;23;37;718;703
38;46,84;-193,09;0,00;0,00;0,00;-0,19;0,00;0,00;77;129;108;15;16;411;662
39;77,25;63,28;0,00;0,00;0,00;0,06;0,00;0,00;424;182;108;30;31;429;198
40;45,17;-231,82;0,00;0,00;0,00;-0,23;0,00;0,00;397;81;154;21;21;781;998
41;11,52;-662,56;0,00;0,00;0,00;-0,66;0,00;0,00;279;57;18;17;37;632;515
42;5,54;-619,00;0,00;0,00;0,00;-0,62;0,00;0,00;274;119;36;26;34;798;594
43;41,17;-263,26;0,00;0,00;0,00;-0,26;0,00;0,00;125;25;53;33;30;697;637
44;63,70;-168,06;0,00;0,00;0,00;-0,17;0,00;0,00;109;179;155;24;38;813;396
45;65,46;-79,77;0,00;0,00;0,00;-0,08;0,00;0,00;436;150;164;13;24;730;805
