Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;33,98;-153,84;0,00;0,00;0,00;-0,15;0,00;0,00;208;150;98;38;19;872;349
2;55,01;155,33;0,00;0,00;0,00;0,16;0,00;0,00;148;54;118;42;29;904;851
3;62,26;86,63;0,00;0,00;0,00;0,09;0,00;0,00;178;193;135;38;35;556;207
4;51,61;58,08;0,00;0,00;0,00;0,06;0,00;0,00;289;130;155;25;17;304;999
5;51,51;34,62;0,00;0,00;0,00;0,03;0,00;0,00;157;187;108;41;33;493;622
6;58,06;14,01;0,00;0,00;0,00;0,01;0,00;0,00;465;102;71;49;37;136;976
7;47,04;-73,53;0,00;0,00;0,00;-0,07;0,00;0,00;401;124;19;16;33;683;797
8;52,86;-6,51;0,00;0,00;0,00;-0,01;0,00;0,00;147;87;69;19;39;862;898
9;19,47;-357,65;0,00;0,00;0,00;-0,36;0,00;0,00;313;68;116;33;25;762;340
10;41,92;-92,14;0,00;0,00;0,00;-0,09;0,00;0,00;334;162;75;49;23;792;965
11;67,28;205,92;0,00;0,00;0,00;0,21;0,00;0,00;195;147;16;39;17;990;977
12;50,73;92,79;0,00;0,00;0,00;0,09;0,00;0,00;472;163;12;32;20;981;795
13;54,18;102,00;0,00;0,00;0,00;0,10;0,00;0,00;399;155;83;41;34;989;624
14;23,66;-306,94;0,00;0,00;0,00;-0,31;0,00;0,00;224;106;68;38;32;895;407
15;58,81;19,40;0,00;0,00;0,00;0,02;0,00;0,00;170;60;66;13;17;714;950
16;41,51;-12,50;0,00;0,00;0,00;-0,01;0,00;0,00;192;54;194;17;33;918;987
17;20,96;-280,69;0,00;0,00;0,00;-0,28;0,00;0,00;240;163;189;39;24;224;123
18;65,10;148,44;0,00;0,00;0,00;0,15;0,00;0,00;251;185;191;43;35;479;850
19;39,29;-74,22;0,00;0,00;0,00;-0,07;0,00;0,00;402;98;136;42;22;363;920
20;47,88;-39,96;0,00;0,00;0,00;-0,04;0,00;0,00;188;180;107;18;28;396;447
21;66,84;72,58;0,00;0,00;0,00;0,07;0,00;0,00;338;126;129;21;29;516;637
22;42,68;6,41;0,00;0,00;0,00;0,01;0,00;0,00;292;144;143;20;37;697;951
23;48,65;6,85;0,00;0,00;0,00;0,01;0,00;0,00;372;92;92;20;18;928;737
24;46,35;-80,12;0,00;0,00;0,00;-0,08;0,00;0,00;343;104;134;16;16;852;290
25;41,65;-113,14;0,00;0,00;0,00;-0,11;0,00;0,00;75;92;50;10;16;165;272
26;46,80;44,45;0,00;0,00;0,00;0,04;0,00;0,00;335;184;129;33;26;453;452
27;42,63;-95,45;0,00;0,00;0,00;-0,10;0,00;0,00;335;115;191;33;18;986;307
28;49,90;-61,05;0,00;0,00;0,00;-0,06;0,00;0,00;163;13;154;11;23;747;162
29;57,03;34,76;0,00;0,00;0,00;0,03;0,00;0,00;232;87;172;33;20;582;343
30;42,50;-109,64;0,00;0,00;0,00;-0,11;0,00;0,00;487;72;193;41;23;350;790
31;58,47;199,60;0,00;0,00;0,00;0,20;0,00;0,00;65;78;143;33;15;199;988
32;31,70;-144,43;0,00;0,00;0,00;-0,14;0,00;0,00;41;147;45;42;34;781;432
33;46,26;-164,92;0,00;0,00;0,00;-0,16;0,00;0,00;490;52;77;31;37;222;215
34;46,10;-103,41;0,00;0,00;0,00;-0,10;0,00;0,00;332;112;198;13;24;547;233
35;35,35;-129,72;0,00;0,00;0,00;-0,13;0,00;0,00;175;165;184;14;32;307;808
36;50,13;-29,94;0,00;0,00;0,00;-0,03;0,00;0,00;259;71;115;30;17;384;888
37;39,23;-171,63;0,00;0,00;0,00;-0,17;0,00;0,00;238;180;129;38;34;661;192
38;56,74;87,36;0,00;0,00;0,00;0,09;0,00;0,00;475;154;119;21;23;995;955
39;100,00;490,54;0,00;0,00;0,00;0,49;0,00;0,00;257;146;46;45;20;260;861
40;64,40;165,22;0,00;0,00;0,00;0,17;0,00;0,00;481;27;199;48;34;789;634
41;49,99;-18,53;0,00;0,00;0,00;-0,02;0,00;0,00;249;32;40;28;29;230;716
42;38,08;10,35;0,00;0,00;0,00;0,01;0,00;0,00;432;14;54;11;18;381;314
43;56,58;59,37;0,00;0,00;0,00;0,06;0,00;0,00;102;181;194;23;28;950;468
44;61,83;125,86;0,00;0,00;0,00;0,13;0,00;0,00;207;47;187;32;33;846;657
45;41,58;-68,40;0,00;0,00;0,00;-0,07;0,00;0,00;297;64;151;44;27;529;191
46;47,49;-1,89;0,00;0,00;0,00;-0,00;0,00;0,00;221;115;63;37;34;555;583
47;83,64;338,25;0,00;0,00;0,00;0,34;0,00;0,00;486;79;182;45;18;705;798
48;29,73;-185,59;0,00;0,00;0,00;-0,19;0,00;0,00;313;14;24;27;35;391;136
49;43,85;89,45;0,00;0,00;0,00;0,09;0,00;0,00;321;54;29;36;28;679;584
50;25,63;-231,77;0,00;0,00;0,00;-0,23;0,00;0,00;36;148;123;26;30;797;642
51;48,64;-62,59;0,00;0,00;0,00;-0,06;0,00;0,00;365;38;132;26;31;166;319
52;50,31;77,77;0,00;0,00;0,00;0,08;0,00;0,00;219;108;191;23;24;680;859
53;43,48;-108,65;0,00;0,00;0,00;-0,11;0,00;0,00;78;71;33;46;34;354;451
54;39,27;-86,67;0,00;0,00;0,00;-0,09;0,00;0,00;41;178;27;30;29;333;773
55;83,53;348,44;0,00;0,00;0,00;0,35;0,00;0,00;382;158;99;17;37;221;779
56;57,46;75,56;0,00;0,00;0,00;0,08;0,00;0,00;484;49;45;37;16;312;524
57;39,91;-36,73;0,00;0,00;0,00;-0,04;0,00;0,00;64;89;62;19;16;338;211
58;63,35;141,42;0,00;0,00;0,00;0,14;0,00;0,00;59;87;147;41;21;859;128
59;37,81;-259,37;0,00;0,00;0,00;-0,26;0,00;0,00;120;114;166;29;24;876;982
60;81,28;392,53;0,00;0,00;0,00;0,39;0,00;0,00;282;78;123;45;15;652;658
61;50,29;-123,16;0,00;0,00;0,00;-0,12;0,00;0,00;64;32;41;37;27;435;572
62;48,76;-18,47;0,00;0,00;0,00;-0,02;0,00;0,00;403;13;155;43;21;424;944
63;46,82;16,64;0,00;0,00;0,00;0,02;0,00;0,00;145;15;35;37;31;883;823
64;29,38;-136,50;0,00;0,00;0,00;-0,14;0,00;0,00;191;188;126;12;21;907;771
65;47,81;-16,22;0,00;0,00;0,00;-0,02;0,00;0,00;85;82;28;11;38;367;689
66;77,92;285,17;0,00;0,00;0,00;0,29;0,00;0,00;210;46;171;38;38;138;225
67;45,09;-0,34;0,00;0,00;0,00;-0,00;0,00;0,00;275;113;67;41;32;952;406
68;52,80;23,49;0,00;0,00;0,00;0,02;0,00;0,00;85;194;161;48;24;488;117
69;7,19;-361,17;0,00;0,00;0,00;-0,36;0,00;0,00;56;70;75;20;36;336;797
70;46,72;21,40;0,00;0,00;0,00;0,02;0,00;0,00;144;111;163;22;20;803;647
71;39,97;-92,99;0,00;0,00;0,00;-0,09;0,00;0,00;348;26;113;17;22;779;976
72;66,97;160,36;0,00;0,00;0,00;0,16;0,00;0,00;446;199;87;45;21;680;177
73;46,75;-63,75;0,00;0,00;0,00;-0,06;0,00;0,00;221;139;88;33;22;426;914
74;45,85;-32,21;0,00;0,00;0,00;-0,03;0,00;0,00;316;160;144;31;33;199;488
75;44,51;-86,41;0,00;0,00;0,00;-0,09;0,00;0,00;343;55;112;24;16;699;779
76;45,18;-89,15;0,00;0,00;0,00;-0,09;0,00;0,00;148;60;16;46;38;131;934
77;69,81;140,84;0,00;0,00;0,00;0,14;0,00;0,00;311;10;20;34;16;598;528
78;45,94;-105,90;0,00;0,00;0,00;-0,11;0,00;0,00;14;79;114;34;24;213;324
79;19,86;-341,20;0,00;0,00;0,00;-0,34;0,00;0,00;35;45;120;16;30;986;559
80;55,19;11,99;0,00;0,00;0,00;0,01;0,00;0,00;142;144;71;37;19;158;983
81;64,90;98,90;0,00;0,00;0,00;0,10;0,00;0,00;497;199;144;30;30;767;194
82;26,03;-210,60;0,00;0,00;0,00;-0,21;0,00;0,00;219;75;62;33;28;685;786
83;38,11;-108,09;0,00;0,00;0,00;-0,11;0,00;0,00;77;95;164;45;27;115;114
84;46,95;-5,07;0,00;0,00;0,00;-0,01;0,00;0,00;420;93;166;47;32;643;562
85;43,10;13,71;0,00;0,00;0,00;0,01;0,00;0,00;91;125;127;30;36;781;362
86;61,84;151,44;0,00;0,00;0,00;0,15;0,00;0,00;235;79;102;15;17;447;959
87;59,39;54,99;0,00;0,00;0,00;0,05;0,00;0,00;156;27;68;17;29;275;296
88;63,95;215,32;0,00;0,00;0,00;0,22;0,00;0,00;253;137;157;26;36;301;597
89;35,55;-130,14;0,00;0,00;0,00;-0,13;0,00;0,00;264;11;182;14;30;153;235
90;65,05;131,56;0,00;0,00;0,00;0,13;0,00;0,00;237;120;103;47;25;596;770
91;59,97;91,66;0,00;0,00;0,00;0,09;0,00;0,00;427;162;27;41;35;116;628
92;66,80;235,11;0,00;0,00;0,00;0,24;0,00;0,00;235;99;89;33;28;215;621
93;46,36;-142,88;0,00;0,00;0,00;-0,14;0,00;0,00;379;189;132;22;30;507;363
94;44,24;-171,18;0,00;0,00;0,00;-0,17;0,00;0,00;365;152;58;34;22;119;939
95;34,28;-125,35;0,00;0,00;0,00;-0,13;0,00;0,00;315;183;68;39;36;890;646
96;41,19;-214,03;0,00;0,00;0,00;-0,21;0,00;0,00;90;115;145;16;32;158;412
97;49,32;5,74;0,00;0,00;0,00;0,01;0,00;0,00;335;77;133;47;23;742;379
98;36,39;-119,84;0,00;0,00;0,00;-0,12;0,00;0,00;65;178;110;44;31;930;263
99;58,30;100,97;0,00;0,00;0,00;0,10;0,00;0,00;129;84;149;11;38;680;804
100;54,07;-60,91;0,00;0,00;0,00;-0,06;0,00;0,00;253;179;29;18;31;505;748
101;40,57;-112,53;0,00;0,00;0,00;-0,11;0,00;0,00;391;34;30;33;22;461;243
102;65,70;117,88;0,00;0,00;0,00;0,12;0,00;0,00;193;121;30;12;20;194;865
103;48,51;-110,42;0,00;0,00;0,00;-0,11;0,00;0,00;405;31;115;38;32;192;792
104;53,51;76,82;0,00;0,00;0,00;0,08;0,00;0,00;409;188;147;32;16;219;269
105;51,56;14,65;0,00;0,00;0,00;0,01;0,00;0,00;332;192;160;16;31;219;850
106;49,05;18,17;0,00;0,00;0,00;0,02;0,00;0,00;374;50;178;23;22;781;484
107;54,55;85,16;0,00;0,00;0,00;0,09;0,00;0,00;427;88;177;37;18;764;542
108;66,26;206,83;0,00;0,00;0,00;0,21;0,00;0,00;104;139;62;12;22;544;609
109;70,25;187,69;0,00;0,00;0,00;0,19;0,00;0,00;345;76;164;16;24;508;793
110;41,70;-107,02;0,00;0,00;0,00;-0,11;0,00;0,00;112;57;113;41;19;297;479
111;40,50;-86,61;0,00;0,00;0,00;-0,09;0,00;0,00;492;73;65;44;32;882;909
