Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;43,26;-340,28;0,00;0,00;0,00;-0,34;0,00;0,00;84;140;81;44;17;705;176
2;57,04;-117,83;0,00;0,00;0,00;-0,12;0,00;0,00;175;16;151;17;36;686;828
3;47,75;-175,18;0,00;0,00;0,00;-0,18;0,00;0,00;330;180;51;29;18;720;386
4;100,00;308,70;0,00;0,00;0,00;0,31;0,00;0,00;92;131;38;46;16;367;374
5;50,57;-211,80;0,00;0,00;0,00;-0,21;0,00;0,00;335;73;30;17;22;506;767
6;41,92;-301,42;0,00;0,00;0,00;-0,30;0,00;0,00;190;51;174;28;16;169;468
7;60,13;-57,91;0,00;0,00;0,00;-0,06;0,00;0,00;459;178;179;40;35;318;875
8;58,19;-114,30;0,00;0,00;0,00;-0,11;0,00;0,00;331;55;150;45;33;669;928
9;24,63;-458,96;0,00;0,00;0,00;-0,46;0,00;0,00;404;102;44;45;31;564;407
10;43,72;-318,64;0,00;0,00;0,00;-0,32;0,00;0,00;445;192;83;49;33;948;183
11;11,48;-661,25;0,00;0,00;0,00;-0,66;0,00;0,00;303;157;72;30;30;889;394
12;21,49;-458,04;0,00;0,00;0,00;-0,46;0,00;0,00;54;159;120;35;36;597;985
13;65,03;-45,43;0,00;0,00;0,00;-0,05;0,00;0,00;99;63;61;24;24;775;998
14;85,08;171,16;0,00;0,00;0,00;0,17;0,00;0,00;191;170;194;29;30;890;525
15;34,74;-408,91;0,00;0,00;0,00;-0,41;0,00;0,00;235;182;160;12;25;960;541
16;34,14;-323,09;0,00;0,00;0,00;-0,32;0,00;0,00;294;168;161;41;36;606;633
17;33,42;-366,25;0,00;0,00;0,00;-0,37;0,00;0,00;63;74;172;26;18;561;522
18;88,77;261,57;0,00;0,00;0,00;0,26;0,00;0,00;472;176;43;45;15;982;614
19;47,64;-283,86;0,00;0,00;0,00;-0,28;0,00;0,00;124;90;167;30;26;995;705
20;22,36;-495,77;0,00;0,00;0,00;-0,50;0,00;0,00;476;127;60;49;36;202;227
21;100,00;347,82;0,00;0,00;0,00;0,35;0,00;0,00;245;126;179;26;20;652;249
22;63,04;-115,67;0,00;0,00;0,00;-0,12;0,00;0,00;64;120;55;46;28;294;574
23;33,54;-270,33;0,00;0,00;0,00;-0,27;0,00;0,00;132;139;185;30;27;249;144
24;31,60;-431,65;0,00;0,00;0,00;-0,43;0,00;0,00;91;144;143;37;36;818;451
25;80,05;102,53;0,00;0,00;0,00;0,10;0,00;0,00;191;57;83;28;35;142;189
26;77,74;131,65;0,00;0,00;0,00;0,13;0,00;0,00;440;61;185;21;16;627;705
27;49,46;-162,38;0,00;0,00;0,00;-0,16;0,00;0,00;130;66;176;12;17;225;358
28;29,13;-423,60;0,00;0,00;0,00;-0,42;0,00;0,00;367;179;173;47;19;455;489
29;59,87;41,24;0,00;0,00;0,00;0,04;0,00;0,00;376;131;16;42;28;156;641
30;28,57;-417,94;0,00;0,00;0,00;-0,42;0,00;0,00;200;170;79;47;32;364;998
31;56,92;-135,55;0,00;0,00;0,00;-0,14;0,00;0,00;177;140;180;33;24;388;626
32;30,59;-419,59;0,00;0,00;0,00;-0,42;0,00;0,00;446;174;72;44;37;949;222
33;100,00;308,06;0,00;0,00;0,00;0,31;0,00;0,00;114;112;142;36;18;467;748
34;87,37;89,34;0,00;0,00;0,00;0,09;0,00;0,00;453;146;148;49;23;739;339
35;0,00;-678,65;0,00;0,00;0,00;-0,68;0,00;0,00;139;171;52;28;27;980;233
36;38,19;-477,23;0,00;0,00;0,00;-0,48;0,00;0,00;124;148;184;15;23;109;334
37;98,93;272,49;0,00;0,00;0,00;0,27;0,00;0,00;157;152;175;38;19;218;529
38;74,49;-55,57;0,00;0,00;0,00;-0,06;0,00;0,00;442;88;187;13;15;759;141
39;32,55;-268,50;0,00;0,00;0,00;-0,27;0,00;0,00;73;189;146;45;31;367;574
40;27,12;-342,08;0,00;0,00;0,00;-0,34;0,00;0,00;258;44;109;16;37;960;597
41;46,64;-183,85;0,00;0,00;0,00;-0,18;0,00;0,00;302;66;71;47;31;318;831
42;19,73;-511,66;0,00;0,00;0,00;-0,51;0,00;0,00;368;115;88;33;29;217;588
43;43,78;-251,77;0,00;0,00;0,00;-0,25;0,00;0,00;204;91;90;30;33;384;548
44;41,68;-339,33;0,00;0,00;0,00;-0,34;0,00;0,00;167;155;174;42;38;651;674
45;40,36;-320,83;0,00;0,00;0,00;-0,32;0,00;0,00;242;148;121;16;21;638;478
46;56,52;-154,74;0,00;0,00;0,00;-0,15;0,00;0,00;329;143;48;41;21;529;359
47;75,93;31,11;0,00;0,00;0,00;0,03;0,00;0,00;265;83;34;44;27;952;622
48;56,25;-39,36;0,00;0,00;0,00;-0,04;0,00;0,00;218;79;43;21;27;113;306
49;21,61;-487,84;0,00;0,00;0,00;-0,49;0,00;0,00;442;75;116;13;39;799;411
50;45,83;-230,08;0,00;0,00;0,00;-0,23;0,00;0,00;93;104;62;33;21;693;195
51;44,33;-259,73;0,00;0,00;0,00;-0,26;0,00;0,00;85;196;38;24;37;583;727
52;49,68;-272,90;0,00;0,00;0,00;-0,27;0,00;0,00;340;19;28;48;35;557;461
53;77,71;68,38;0,00;0,00;0,00;0,07;0,00;0,00;75;69;119;22;33;133;189
54;29,26;-449,45;0,00;0,00;0,00;-0,45;0,00;0,00;434;87;136;12;33;357;559
55;51,28;-290,02;0,00;0,00;0,00;-0,29;0,00;0,00;308;34;119;38;38;101;231
56;3,62;-608,76;0,00;0,00;0,00;-0,61;0,00;0,00;282;128;143;34;31;684;975
57;75,23;88,45;0,00;0,00;0,00;0,09;0,00;0,00;121;129;166;41;33;868;601
58;43,79;-283,38;0,00;0,00;0,00;-0,28;0,00;0,00;38;108;62;18;20;434;796
59;69,12;-10,96;0,00;0,00;0,00;-0,01;0,00;0,00;324;68;170;20;26;893;428
60;42,83;-218,67;0,00;0,00;0,00;-0,22;0,00;0,00;430;17;162;20;30;324;495
61;47,53;-130,23;0,00;0,00;0,00;-0,13;0,00;0,00;304;183;30;31;15;867;233
62;55,39;-175,28;0,00;0,00;0,00;-0,18;0,00;0,00;107;164;120;27;37;826;798
63;55,72;-162,57;0,00;0,00;0,00;-0,16;0,00;0,00;373;64;121;26;37;617;659
64;79,16;157,38;0,00;0,00;0,00;0,16;0,00;0,00;167;94;12;47;22;399;608
65;75,97;8,93;0,00;0,00;0,00;0,01;0,00;0,00;278;162;178;30;17;400;553
66;28,17;-397,43;0,00;0,00;0,00;-0,40;0,00;0,00;44;150;24;41;35;408;499
67;60,92;-62,50;0,00;0,00;0,00;-0,06;0,00;0,00;383;30;182;24;22;649;932
68;33,75;-242,46;0,00;0,00;0,00;-0,24;0,00;0,00;61;145;24;34;35;606;628
69;29,23;-431,92;0,00;0,00;0,00;-0,43;0,00;0,00;277;13;113;11;32;216;111
70;64,99;32,99;0,00;0,00;0,00;0,03;0,00;0,00;466;189;107;29;26;569;552
71;86,55;179,27;0,00;0,00;0,00;0,18;0,00;0,00;262;157;48;38;18;143;358
72;43,92;-173,04;0,00;0,00;0,00;-0,17;0,00;0,00;377;50;159;44;28;668;128
73;33,02;-379,80;0,00;0,00;0,00;-0,38;0,00;0,00;478;127;48;17;24;820;322
74;64,38;64,97;0,00;0,00;0,00;0,06;0,00;0,00;411;85;65;30;18;841;544
75;29,59;-380,19;0,00;0,00;0,00;-0,38;0,00;0,00;193;40;40;37;29;147;572
76;52,39;-148,54;0,00;0,00;0,00;-0,15;0,00;0,00;409;97;186;18;35;150;518
77;46,70;-211,97;0,00;0,00;0,00;-0,21;0,00;0,00;221;21;63;18;22;862;782
78;53,34;-104,36;0,00;0,00;0,00;-0,10;0,00;0,00;46;66;43;11;24;303;953
79;44,97;-275,85;0,00;0,00;0,00;-0,28;0,00;0,00;184;60;133;33;32;466;519
80;19,56;-534,44;0,00;0,00;0,00;-0,53;0,00;0,00;81;167;96;27;25;235;149
81;70,04;-46,88;0,00;0,00;0,00;-0,05;0,00;0,00;177;51;112;36;21;208;593
82;37,37;-286,31;0,00;0,00;0,00;-0,29;0,00;0,00;461;190;117;12;18;627;569
83;42,96;-239,95;0,00;0,00;0,00;-0,24;0,00;0,00;158;80;40;25;30;780;210
84;68,38;5,94;0,00;0,00;0,00;0,01;0,00;0,00;60;111;162;23;32;550;758
85;24,55;-429,61;0,00;0,00;0,00;-0,43;0,00;0,00;203;125;185;48;35;637;880
86;10,61;-637,33;0,00;0,00;0,00;-0,64;0,00;0,00;151;159;48;44;19;472;505
87;55,35;-121,21;0,00;0,00;0,00;-0,12;0,00;0,00;337;134;79;13;25;243;636
88;26,03;-538,31;0,00;0,00;0,00;-0,54;0,00;0,00;420;175;187;26;28;359;674
89;49,61;-133,37;0,00;0,00;0,00;-0,13;0,00;0,00;477;165;54;38;29;526;531
90;77,98;111,19;0,00;0,00;0,00;0,11;0,00;0,00;325;34;44;46;25;939;886
91;65,20;-123,01;0,00;0,00;0,00;-0,12;0,00;0,00;285;186;41;34;27;942;711
92;38,92;-286,05;0,00;0,00;0,00;-0,29;0,00;0,00;382;192;25;17;20;774;390
93;14,44;-587,95;0,00;0,00;0,00;-0,59;0,00;0,00;106;81;67;15;33;783;621
94;41,87;-258,78;0,00;0,00;0,00;-0,26;0,00;0,00;318;180;62;49;33;688;411
95;27,73;-392,95;0,00;0,00;0,00;-0,39;0,00;0,00;372;116;53;17;22;904;558
96;67,73;-32,80;0,00;0,00;0,00;-0,03;0,00;0,00;65;35;130;34;19;383;585
97;46,41;-226,96;0,00;0,00;0,00;-0,23;0,00;0,00;60;73;74;34;39;353;755
98;67,39;-79,17;0,00;0,00;0,00;-0,08;0,00;0,00;492;50;117;35;29;246;875
99;25,63;-465,12;0,00;0,00;0,00;-0,47;0,00;0,00;153;98;198;17;19;408;560
100;28,21;-477,65;0,00;0,00;0,00;-0,48;0,00;0,00;107;188;106;38;36;601;731
101;25,74;-492,64;0,00;0,00;0,00;-0,49;0,00;0,00;289;17;112;39;27;244;666
102;52,78;-150,98;0,00;0,00;0,00;-0,15;0,00;0,00;84;185;145;43;23;581;204
103;60,27;-134,39;0,00;0,00;0,00;-0,13;0,00;0,00;262;54;109;22;37;271;507
104;57,75;-137,90;0,00;0,00;0,00;-0,14;0,00;0,00;151;98;119;11;37;386;796
105;52,46;-167,32;0,00;0,00;0,00;-0,17;0,00;0,00;276;50;131;18;26;248;427
106;73,15;90,24;0,00;0,00;0,00;0,09;0,00;0,00;252;144;59;14;18;265;196
107;53,48;-138,74;0,00;0,00;0,00;-0,14;0,00;0,00;284;175;13;14;25;960;178
108;79,42;91,74;0,00;0,00;0,00;0,09;0,00;0,00;477;64;128;20;24;205;830
109;28,22;-412,49;0,00;0,00;0,00;-0,41;0,00;0,00;117;91;61;19;26;444;687
110;78,83;173,02;0,00;0,00;0,00;0,17;0,00;0,00;202;20;74;32;27;291;873
111;91,27;229,54;0,00;0,00;0,00;0,23;0,00;0,00;74;176;61;16;36;790;300
112;26,41;-400,25;0,00;0,00;0,00;-0,40;0,00;0,00;51;65;145;10;38;516;970
113;79,95;136,70;0,00;0,00;0,00;0,14;0,00;0,00;400;133;26;21;27;872;959
114;85,23;157,04;0,00;0,00;0,00;0,16;0,00;0,00;412;27;142;41;22;929;926
115;73,26;83,09;0,00;0,00;0,00;0,08;0,00;0,00;240;189;164;13;35;926;987
116;66,29;29,20;0,00;0,00;0,00;0,03;0,00;0,00;317;54;85;27;30;897;611
117;86,72;129,56;0,00;0,00;0,00;0,13;0,00;0,00;491;192;140;41;30;990;999
118;60,41;-98,38;0,00;0,00;0,00;-0,10;0,00;0,00;192;90;68;41;27;367;200
119;52,14;-148,63;0,00;0,00;0,00;-0,15;0,00;0,00;243;38;12;43;33;108;756
120;6,51;-602,76;0,00;0,00;0,00;-0,60;0,00;0,00;139;104;118;18;35;804;557
121;60,59;-84,75;0,00;0,00;0,00;-0,08;0,00;0,00;37;197;64;31;17;694;751
122;70,65;8,62;0,00;0,00;0,00;0,01;0,00;0,00;347;53;83;42;17;277;956
123;29,12;-435,57;0,00;0,00;0,00;-0,44;0,00;0,00;221;107;93;22;28;310;708
124;77,94;63,38;0,00;0,00;0,00;0,06;0,00;0,00;95;84;100;17;16;872;636
125;51,20;-157,69;0,00;0,00;0,00;-0,16;0,00;0,00;403;154;38;39;20;545;353
