Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;53,64;-204,44;0,00;0,00;0,00;-0,20;0,00;0,00;336;140;81;44;17;705;176
2;11,10;-598,31;0,00;0,00;0,00;-0,60;0,00;0,00;347;16;151;17;36;686;828
3;40,69;-439,11;0,00;0,00;0,00;-0,44;0,00;0,00;401;180;51;29;18;720;386
4;96,00;250,16;0,00;0,00;0,00;0,25;0,00;0,00;246;131;38;46;16;367;374
5;72,61;-39,71;0,00;0,00;0,00;-0,04;0,00;0,00;489;73;30;17;22;506;767
6;14,41;-533,20;0,00;0,00;0,00;-0,53;0,00;0,00;165;51;174;28;16;169;468
7;97,87;231,85;0,00;0,00;0,00;0,23;0,00;0,00;34;178;179;40;35;318;875
8;67,62;100,27;0,00;0,00;0,00;0,10;0,00;0,00;377;55;150;45;33;669;928
9;41,39;-268,55;0,00;0,00;0,00;-0,27;0,00;0,00;402;102;44;45;31;564;407
10;56,59;-106,74;0,00;0,00;0,00;-0,11;0,00;0,00;444;192;83;49;33;948;183
11;31,39;-514,25;0,00;0,00;0,00;-0,51;0,00;0,00;150;157;72;30;30;889;394
12;23,06;-432,48;0,00;0,00;0,00;-0,43;0,00;0,00;185;159;120;35;36;597;985
13;45,18;-264,68;0,00;0,00;0,00;-0,26;0,00;0,00;456;63;61;24;24;775;998
14;55,48;-143,16;0,00;0,00;0,00;-0,14;0,00;0,00;180;170;194;29;30;890;525
15;23,45;-460,13;0,00;0,00;0,00;-0,46;0,00;0,00;138;182;160;12;25;960;541
16;13,90;-502,08;0,00;0,00;0,00;-0,50;0,00;0,00;155;168;161;41;36;606;633
17;3,62;-729,62;0,00;0,00;0,00;-0,73;0,00;0,00;290;74;172;26;18;561;522
18;96,23;211,27;0,00;0,00;0,00;0,21;0,00;0,00;77;176;43;45;15;982;614
19;56,14;-177,00;0,00;0,00;0,00;-0,18;0,00;0,00;333;90;167;30;26;995;705
20;49,54;-184,86;0,00;0,00;0,00;-0,18;0,00;0,00;174;127;60;49;36;202;227
21;40,25;-207,41;0,00;0,00;0,00;-0,21;0,00;0,00;433;126;179;26;20;652;249
22;40,45;-271,88;0,00;0,00;0,00;-0,27;0,00;0,00;403;120;55;46;28;294;574
23;10,85;-663,69;0,00;0,00;0,00;-0,66;0,00;0,00;257;139;185;30;27;249;144
24;57,37;-59,62;0,00;0,00;0,00;-0,06;0,00;0,00;408;144;143;37;36;818;451
25;39,14;-308,04;0,00;0,00;0,00;-0,31;0,00;0,00;255;57;83;28;35;142;189
26;78,28;28,13;0,00;0,00;0,00;0,03;0,00;0,00;134;61;185;21;16;627;705
27;81,17;64,27;0,00;0,00;0,00;0,06;0,00;0,00;457;66;176;12;17;225;358
28;6,18;-698,40;0,00;0,00;0,00;-0,70;0,00;0,00;23;179;173;47;19;455;489
29;59,74;-112,48;0,00;0,00;0,00;-0,11;0,00;0,00;235;131;16;42;28;156;641
30;85,02;202,31;0,00;0,00;0,00;0,20;0,00;0,00;288;170;79;47;32;364;998
31;23,22;-420,24;0,00;0,00;0,00;-0,42;0,00;0,00;259;140;180;33;24;388;626
32;80,72;144,57;0,00;0,00;0,00;0,14;0,00;0,00;469;174;72;44;37;949;222
33;80,36;124,66;0,00;0,00;0,00;0,12;0,00;0,00;395;112;142;36;18;467;748
34;77,68;118,12;0,00;0,00;0,00;0,12;0,00;0,00;397;146;148;49;23;739;339
35;6,64;-581,66;0,00;0,00;0,00;-0,58;0,00;0,00;382;171;52;28;27;980;233
36;34,23;-369,46;0,00;0,00;0,00;-0,37;0,00;0,00;220;148;184;15;23;109;334
37;100,00;313,41;0,00;0,00;0,00;0,31;0,00;0,00;350;152;175;38;19;218;529
38;85,88;147,88;0,00;0,00;0,00;0,15;0,00;0,00;128;88;187;13;15;759;141
39;73,52;16,59;0,00;0,00;0,00;0,02;0,00;0,00;58;189;146;45;31;367;574
40;1,82;-706,41;0,00;0,00;0,00;-0,71;0,00;0,00;114;44;109;16;37;960;597
41;58,65;-63,46;0,00;0,00;0,00;-0,06;0,00;0,00;209;66;71;47;31;318;831
42;36,13;-429,34;0,00;0,00;0,00;-0,43;0,00;0,00;309;115;88;33;29;217;588
43;63,22;-114,12;0,00;0,00;0,00;-0,11;0,00;0,00;157;91;90;30;33;384;548
44;24,56;-405,85;0,00;0,00;0,00;-0,41;0,00;0,00;456;155;174;42;38;651;674
45;88,06;117,61;0,00;0,00;0,00;0,12;0,00;0,00;436;148;121;16;21;638;478
46;73,19;90,71;0,00;0,00;0,00;0,09;0,00;0,00;304;143;48;41;21;529;359
47;71,57;6,43;0,00;0,00;0,00;0,01;0,00;0,00;330;83;34;44;27;952;622
48;97,23;246,07;0,00;0,00;0,00;0,25;0,00;0,00;408;79;43;21;27;113;306
49;9,07;-687,07;0,00;0,00;0,00;-0,69;0,00;0,00;165;75;116;13;39;799;411
50;73,39;75,40;0,00;0,00;0,00;0,08;0,00;0,00;465;104;62;33;21;693;195
51;18,88;-557,60;0,00;0,00;0,00;-0,56;0,00;0,00;334;196;38;24;37;583;727
52;29,07;-318,43;0,00;0,00;0,00;-0,32;0,00;0,00;285;19;28;48;35;557;461
53;77,06;90,95;0,00;0,00;0,00;0,09;0,00;0,00;443;69;119;22;33;133;189
54;50,44;-164,09;0,00;0,00;0,00;-0,16;0,00;0,00;139;87;136;12;33;357;559
55;37,97;-324,28;0,00;0,00;0,00;-0,32;0,00;0,00;200;34;119;38;38;101;231
56;46,36;-276,25;0,00;0,00;0,00;-0,28;0,00;0,00;266;128;143;34;31;684;975
57;62,56;-77,45;0,00;0,00;0,00;-0,08;0,00;0,00;72;129;166;41;33;868;601
58;98,22;342,92;0,00;0,00;0,00;0,34;0,00;0,00;341;108;62;18;20;434;796
59;33,01;-422,79;0,00;0,00;0,00;-0,42;0,00;0,00;469;68;170;20;26;893;428
60;54,33;-231,01;0,00;0,00;0,00;-0,23;0,00;0,00;413;17;162;20;30;324;495
61;0,00;-708,93;0,00;0,00;0,00;-0,71;0,00;0,00;382;183;30;31;15;867;233
62;56,64;-119,48;0,00;0,00;0,00;-0,12;0,00;0,00;143;164;120;27;37;826;798
63;40,99;-271,58;0,00;0,00;0,00;-0,27;0,00;0,00;416;64;121;26;37;617;659
64;76,38;108,98;0,00;0,00;0,00;0,11;0,00;0,00;496;94;12;47;22;399;608
65;73,29;92,16;0,00;0,00;0,00;0,09;0,00;0,00;349;162;178;30;17;400;553
66;68,96;-85,66;0,00;0,00;0,00;-0,09;0,00;0,00;177;150;24;41;35;408;499
67;84,20;183,38;0,00;0,00;0,00;0,18;0,00;0,00;168;30;182;24;22;649;932
68;24,89;-419,09;0,00;0,00;0,00;-0,42;0,00;0,00;260;145;24;34;35;606;628
69;43,05;-236,27;0,00;0,00;0,00;-0,24;0,00;0,00;40;13;113;11;32;216;111
70;75,35;112,68;0,00;0,00;0,00;0,11;0,00;0,00;405;189;107;29;26;569;552
71;37,98;-280,10;0,00;0,00;0,00;-0,28;0,00;0,00;196;157;48;38;18;143;358
72;98,26;245,96;0,00;0,00;0,00;0,25;0,00;0,00;380;50;159;44;28;668;128
73;58,32;-26,88;0,00;0,00;0,00;-0,03;0,00;0,00;478;127;48;17;24;820;322
74;21,95;-503,81;0,00;0,00;0,00;-0,50;0,00;0,00;30;85;65;30;18;841;544
75;90,74;153,37;0,00;0,00;0,00;0,15;0,00;0,00;94;40;40;37;29;147;572
76;81,75;65,39;0,00;0,00;0,00;0,07;0,00;0,00;477;97;186;18;35;150;518
77;50,85;-177,70;0,00;0,00;0,00;-0,18;0,00;0,00;27;21;63;18;22;862;782
78;55,19;-118,64;0,00;0,00;0,00;-0,12;0,00;0,00;128;66;43;11;24;303;953
79;5,11;-655,73;0,00;0,00;0,00;-0,66;0,00;0,00;318;60;133;33;32;466;519
80;9,68;-680,83;0,00;0,00;0,00;-0,68;0,00;0,00;495;167;96;27;25;235;149
81;83,89;191,35;0,00;0,00;0,00;0,19;0,00;0,00;397;51;112;36;21;208;593
82;49,87;-138,23;0,00;0,00;0,00;-0,14;0,00;0,00;76;190;117;12;18;627;569
83;100,00;351,98;0,00;0,00;0,00;0,35;0,00;0,00;274;80;40;25;30;780;210
84;16,29;-525,93;0,00;0,00;0,00;-0,53;0,00;0,00;124;111;162;23;32;550;758
85;3,69;-693,69;0,00;0,00;0,00;-0,69;0,00;0,00;298;125;185;48;35;637;880
86;26,83;-378,53;0,00;0,00;0,00;-0,38;0,00;0,00;81;159;48;44;19;472;505
87;14,52;-564,28;0,00;0,00;0,00;-0,56;0,00;0,00;164;134;79;13;25;243;636
88;100,00;227,37;0,00;0,00;0,00;0,23;0,00;0,00;293;175;187;26;28;359;674
89;38,72;-318,85;0,00;0,00;0,00;-0,32;0,00;0,00;434;165;54;38;29;526;531
90;57,67;-53,44;0,00;0,00;0,00;-0,05;0,00;0,00;384;34;44;46;25;939;886
91;99,53;400,83;0,00;0,00;0,00;0,40;0,00;0,00;257;186;41;34;27;942;711
92;36,28;-333,26;0,00;0,00;0,00;-0,33;0,00;0,00;268;192;25;17;20;774;390
93;45,39;-290,80;0,00;0,00;0,00;-0,29;0,00;0,00;157;81;67;15;33;783;621
94;25,57;-413,11;0,00;0,00;0,00;-0,41;0,00;0,00;127;180;62;49;33;688;411
95;39,82;-286,33;0,00;0,00;0,00;-0,29;0,00;0,00;258;116;53;17;22;904;558
96;32,59;-380,06;0,00;0,00;0,00;-0,38;0,00;0,00;354;35;130;34;19;383;585
97;26,73;-401,93;0,00;0,00;0,00;-0,40;0,00;0,00;305;73;74;34;39;353;755
98;99,24;299,75;0,00;0,00;0,00;0,30;0,00;0,00;441;50;117;35;29;246;875
99;57,74;-193,49;0,00;0,00;0,00;-0,19;0,00;0,00;76;98;198;17;19;408;560
100;29,62;-341,16;0,00;0,00;0,00;-0,34;0,00;0,00;207;188;106;38;36;601;731
101;0,00;-728,88;0,00;0,00;0,00;-0,73;0,00;0,00;101;17;112;39;27;244;666
102;42,30;-274,04;0,00;0,00;0,00;-0,27;0,00;0,00;341;185;145;43;23;581;204
103;28,48;-348,46;0,00;0,00;0,00;-0,35;0,00;0,00;215;54;109;22;37;271;507
104;30,17;-443,16;0,00;0,00;0,00;-0,44;0,00;0,00;250;98;119;11;37;386;796
105;23,25;-448,64;0,00;0,00;0,00;-0,45;0,00;0,00;377;50;131;18;26;248;427
106;33,21;-397,07;0,00;0,00;0,00;-0,40;0,00;0,00;420;144;59;14;18;265;196
107;48,86;-132,74;0,00;0,00;0,00;-0,13;0,00;0,00;88;175;13;14;25;960;178
108;86,32;170,95;0,00;0,00;0,00;0,17;0,00;0,00;420;64;128;20;24;205;830
109;18,81;-550,29;0,00;0,00;0,00;-0,55;0,00;0,00;98;91;61;19;26;444;687
110;29,28;-387,61;0,00;0,00;0,00;-0,39;0,00;0,00;239;20;74;32;27;291;873
111;54,31;-271,20;0,00;0,00;0,00;-0,27;0,00;0,00;299;176;61;16;36;790;300
112;46,67;-192,66;0,00;0,00;0,00;-0,19;0,00;0,00;193;65;145;10;38;516;970
113;92,87;309,77;0,00;0,00;0,00;0,31;0,00;0,00;319;133;26;21;27;872;959
114;65,78;-82,63;0,00;0,00;0,00;-0,08;0,00;0,00;437;27;142;41;22;929;926
115;39,22;-233,66;0,00;0,00;0,00;-0,23;0,00;0,00;187;189;164;13;35;926;987
116;70,15;22,69;0,00;0,00;0,00;0,02;0,00;0,00;37;54;85;27;30;897;611
117;47,00;-155,26;0,00;0,00;0,00;-0,16;0,00;0,00;115;192;140;41;30;990;999
118;60,73;-86,66;0,00;0,00;0,00;-0,09;0,00;0,00;232;90;68;41;27;367;200
119;68,70;-17,30;0,00;0,00;0,00;-0,02;0,00;0,00;329;38;12;43;33;108;756
120;45,96;-313,29;0,00;0,00;0,00;-0,31;0,00;0,00;55;104;118;18;35;804;557
121;43,54;-240,94;0,00;0,00;0,00;-0,24;0,00;0,00;461;197;64;31;17;694;751
122;51,64;-162,18;0,00;0,00;0,00;-0,16;0,00;0,00;113;53;83;42;17;277;956
123;3,80;-607,61;0,00;0,00;0,00;-0,61;0,00;0,00;431;107;93;22;28;310;708
124;40,87;-359,94;0,00;0,00;0,00;-0,36;0,00;0,00;284;84;100;17;16;872;636
125;49,65;-167,36;0,00;0,00;0,00;-0,17;0,00;0,00;71;154;38;39;20;545;353
126;74,97;-27,51;0,00;0,00;0,00;-0,03;0,00;0,00;281;51;109;21;23;470;825
127;30,24;-421,31;0,00;0,00;0,00;-0,42;0,00;0,00;347;154;31;39;30;430;794
128;55,39;-178,56;0,00;0,00;0,00;-0,18;0,00;0,00;387;130;149;26;30;178;283
129;70,31;74,92;0,00;0,00;0,00;0,07;0,00;0,00;147;87;22;41;23;334;517
130;56,80;-132,34;0,00;0,00;0,00;-0,13;0,00;0,00;164;167;127;28;31;475;744
131;48,81;-211,66;0,00;0,00;0,00;-0,21;0,00;0,00;82;101;191;20;16;772;295
132;100,00;263,81;0,00;0,00;0,00;0,26;0,00;0,00;305;62;28;18;22;615;375
133;61,86;-9,96;0,00;0,00;0,00;-0,01;0,00;0,00;244;35;120;20;32;880;715
134;39,53;-319,35;0,00;0,00;0,00;-0,32;0,00;0,00;170;139;84;15;18;177;796
135;32,46;-300,90;0,00;0,00;0,00;-0,30;0,00;0,00;43;69;177;40;16;931;561
136;15,76;-560,34;0,00;0,00;0,00;-0,56;0,00;0,00;18;190;131;44;22;467;689
137;36,53;-379,42;0,00;0,00;0,00;-0,38;0,00;0,00;380;71;49;22;19;251;542
138;23,64;-436,07;0,00;0,00;0,00;-0,44;0,00;0,00;157;77;131;28;36;643;299
139;71,28;-15,36;0,00;0,00;0,00;-0,02;0,00;0,00;362;104;137;27;16;800;614
140;34,68;-367,03;0,00;0,00;0,00;-0,37;0,00;0,00;458;60;160;25;23;930;421
141;49,56;-120,90;0,00;0,00;0,00;-0,12;0,00;0,00;162;181;113;15;24;710;687
142;67,30;-10,81;0,00;0,00;0,00;-0,01;0,00;0,00;289;56;199;13;37;790;759
143;16,21;-550,46;0,00;0,00;0,00;-0,55;0,00;0,00;229;141;190;18;30;570;729
144;52,12;-196,85;0,00;0,00;0,00;-0,20;0,00;0,00;121;53;191;17;19;225;548
145;49,45;-175,74;0,00;0,00;0,00;-0,18;0,00;0,00;383;163;82;10;30;574;396
146;43,22;-234,65;0,00;0,00;0,00;-0,23;0,00;0,00;433;104;44;24;24;752;410
147;61,06;-30,72;0,00;0,00;0,00;-0,03;0,00;0,00;99;122;13;42;33;126;999
148;28,75;-387,00;0,00;0,00;0,00;-0,39;0,00;0,00;311;105;38;38;23;361;568
149;48,10;-321,72;0,00;0,00;0,00;-0,32;0,00;0,00;29;174;87;11;22;185;322
150;97,67;300,26;0,00;0,00;0,00;0,30;0,00;0,00;498;173;98;28;37;746;837
151;42,38;-363,04;0,00;0,00;0,00;-0,36;0,00;0,00;228;157;20;49;21;805;823
152;39,72;-326,90;0,00;0,00;0,00;-0,33;0,00;0,00;107;118;26;34;21;950;606
153;58,55;-16,74;0,00;0,00;0,00;-0,02;0,00;0,00;361;51;153;48;27;488;624
154;46,70;-212,68;0,00;0,00;0,00;-0,21;0,00;0,00;19;93;190;46;37;611;664
155;27,06;-442,05;0,00;0,00;0,00;-0,44;0,00;0,00;252;20;95;13;27;911;574
156;36,77;-319,49;0,00;0,00;0,00;-0,32;0,00;0,00;323;18;41;14;33;208;392
157;70,36;-60,95;0,00;0,00;0,00;-0,06;0,00;0,00;192;179;184;39;22;924;157
158;100,00;218,46;0,00;0,00;0,00;0,22;0,00;0,00;152;35;87;41;26;987;554
159;34,58;-343,99;0,00;0,00;0,00;-0,34;0,00;0,00;335;16;196;33;23;934;852
160;34,58;-397,52;0,00;0,00;0,00;-0,40;0,00;0,00;317;80;155;23;34;913;264
161;7,19;-622,55;0,00;0,00;0,00;-0,62;0,00;0,00;212;119;159;17;17;491;511
162;45,62;-266,57;0,00;0,00;0,00;-0,27;0,00;0,00;324;94;93;24;38;211;284
163;35,08;-255,18;0,00;0,00;0,00;-0,26;0,00;0,00;210;174;77;12;27;171;333
164;38,99;-307,59;0,00;0,00;0,00;-0,31;0,00;0,00;25;47;185;30;36;358;281
