Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;40,44;-275,61;0,00;0,00;0,00;-0,28;0,00;0,00;201;37;181;24;16;525;131
2;52,09;-236,73;0,00;0,00;0,00;-0,24;0,00;0,00;30;159;111;20;39;645;272
3;0,00;-702,88;0,00;0,00;0,00;-0,70;0,00;0,00;74;162;185;13;24;818;483
4;0,00;-728,12;0,00;0,00;0,00;-0,73;0,00;0,00;60;145;113;48;34;622;693
5;22,41;-443,01;0,00;0,00;0,00;-0,44;0,00;0,00;51;163;62;40;28;417;198
6;71,00;14,61;0,00;0,00;0,00;0,01;0,00;0,00;310;181;130;32;17;879;183
7;64,30;-69,72;0,00;0,00;0,00;-0,07;0,00;0,00;377;42;135;13;34;797;138
8;76,95;76,80;0,00;0,00;0,00;0,08;0,00;0,00;167;28;133;46;30;332;408
9;68,75;-7,58;0,00;0,00;0,00;-0,01;0,00;0,00;176;46;151;31;17;685;424
10;59,48;-102,96;0,00;0,00;0,00;-0,10;0,00;0,00;353;134;107;12;22;854;332
11;0,00;-665,81;0,00;0,00;0,00;-0,67;0,00;0,00;409;28;89;33;39;423;165
12;26,32;-417,02;0,00;0,00;0,00;-0,42;0,00;0,00;471;151;13;15;35;124;871
13;58,83;-145,46;0,00;0,00;0,00;-0,15;0,00;0,00;484;85;136;39;20;821;397
14;54,30;-271,63;0,00;0,00;0,00;-0,27;0,00;0,00;182;89;157;26;24;384;380
15;89,45;213,66;0,00;0,00;0,00;0,21;0,00;0,00;37;13;190;48;15;385;548
16;14,76;-582,80;0,00;0,00;0,00;-0,58;0,00;0,00;472;113;156;48;31;796;179
17;45,90;-287,91;0,00;0,00;0,00;-0,29;0,00;0,00;418;103;95;35;27;895;794
18;49,62;-208,15;0,00;0,00;0,00;-0,21;0,00;0,00;112;150;128;29;20;701;788
19;89,03;142,40;0,00;0,00;0,00;0,14;0,00;0,00;291;58;73;47;31;518;225
20;28,28;-416,55;0,00;0,00;0,00;-0,42;0,00;0,00;186;121;61;29;16;750;171
21;60,74;-251,40;0,00;0,00;0,00;-0,25;0,00;0,00;33;153;67;17;18;324;153
22;7,18;-614,29;0,00;0,00;0,00;-0,61;0,00;0,00;308;186;146;30;21;507;893
23;73,92;73,09;0,00;0,00;0,00;0,07;0,00;0,00;214;100;151;39;23;163;787
24;100,00;196,20;0,00;0,00;0,00;0,20;0,00;0,00;263;96;36;44;23;764;474
25;36,17;-350,82;0,00;0,00;0,00;-0,35;0,00;0,00;141;34;103;23;36;639;826
26;79,62;51,62;0,00;0,00;0,00;0,05;0,00;0,00;399;134;14;25;34;549;328
27;67,42;-41,89;0,00;0,00;0,00;-0,04;0,00;0,00;483;30;142;37;26;513;541
28;68,29;-31,91;0,00;0,00;0,00;-0,03;0,00;0,00;17;98;65;13;29;166;425
29;37,11;-347,08;0,00;0,00;0,00;-0,35;0,00;0,00;164;63;194;26;29;554;716
30;55,30;-141,67;0,00;0,00;0,00;-0,14;0,00;0,00;328;57;167;47;29;269;648
31;76,17;55,46;0,00;0,00;0,00;0,06;0,00;0,00;376;40;79;39;27;633;109
32;41,29;-259,71;0,00;0,00;0,00;-0,26;0,00;0,00;233;197;26;18;21;235;974
33;79,27;9,00;0,00;0,00;0,00;0,01;0,00;0,00;256;135;143;17;34;868;582
34;9,20;-537,26;0,00;0,00;0,00;-0,54;0,00;0,00;29;70;39;43;39;347;851
35;53,43;-272,06;0,00;0,00;0,00;-0,27;0,00;0,00;225;95;45;15;17;737;418
36;26,94;-538,87;0,00;0,00;0,00;-0,54;0,00;0,00;221;80;116;22;23;817;422
37;61,33;-15,48;0,00;0,00;0,00;-0,02;0,00;0,00;175;117;173;23;37;718;703
38;31,31;-346,04;0,00;0,00;0,00;-0,35;0,00;0,00;476;129;108;15;16;411;662
39;64,27;-151,03;0,00;0,00;0,00;-0,15;0,00;0,00;210;182;108;30;31;429;198
40;66,97;-72,87;0,00;0,00;0,00;-0,07;0,00;0,00;376;81;154;21;21;781;998
41;56,96;-145,74;0,00;0,00;0,00;-0,15;0,00;0,00;123;57;18;17;37;632;515
42;28,25;-428,44;0,00;0,00;0,00;-0,43;0,00;0,00;68;119;36;26;34;798;594
43;53,10;-200,50;0,00;0,00;0,00;-0,20;0,00;0,00;305;25;53;33;30;697;637
44;27,44;-449,51;0,00;0,00;0,00;-0,45;0,00;0,00;234;179;155;24;38;813;396
45;67,45;-41,86;0,00;0,00;0,00;-0,04;0,00;0,00;112;150;164;13;24;730;805
46;49,53;-199,27;0,00;0,00;0,00;-0,20;0,00;0,00;30;139;138;25;21;739;420
47;77,87;93,73;0,00;0,00;0,00;0,09;0,00;0,00;354;87;150;43;19;230;144
48;36,95;-433,49;0,00;0,00;0,00;-0,43;0,00;0,00;271;77;104;45;21;828;592
49;63,70;-47,61;0,00;0,00;0,00;-0,05;0,00;0,00;184;180;25;16;19;915;958
50;3,55;-623,84;0,00;0,00;0,00;-0,62;0,00;0,00;435;100;73;49;27;931;925
51;52,85;-168,90;0,00;0,00;0,00;-0,17;0,00;0,00;346;120;196;32;34;550;147
52;31,59;-258,05;0,00;0,00;0,00;-0,26;0,00;0,00;26;35;150;39;19;702;770
53;54,15;-238,48;0,00;0,00;0,00;-0,24;0,00;0,00;348;119;15;15;21;325;711
54;37,96;-279,44;0,00;0,00;0,00;-0,28;0,00;0,00;41;157;97;15;34;959;459
55;60,45;-104,63;0,00;0,00;0,00;-0,10;0,00;0,00;192;171;170;36;35;665;550
56;16,57;-491,23;0,00;0,00;0,00;-0,49;0,00;0,00;200;151;105;26;26;361;215
57;45,88;-237,29;0,00;0,00;0,00;-0,24;0,00;0,00;261;18;56;17;27;932;854
58;31,29;-391,74;0,00;0,00;0,00;-0,39;0,00;0,00;485;63;51;18;19;464;291
59;47,91;-291,01;0,00;0,00;0,00;-0,29;0,00;0,00;480;87;119;30;30;174;136
60;54,02;-180,22;0,00;0,00;0,00;-0,18;0,00;0,00;300;105;19;43;19;355;605
61;22,65;-362,18;0,00;0,00;0,00;-0,36;0,00;0,00;288;167;147;48;30;152;159
62;70,18;-45,01;0,00;0,00;0,00;-0,05;0,00;0,00;346;188;87;33;15;541;112
63;94,77;193,06;0,00;0,00;0,00;0,19;0,00;0,00;470;84;150;33;21;588;834
64;87,42;142,90;0,00;0,00;0,00;0,14;0,00;0,00;141;171;198;29;18;843;924
65;5,42;-704,39;0,00;0,00;0,00;-0,70;0,00;0,00;72;38;166;37;31;294;488
66;20,34;-509,71;0,00;0,00;0,00;-0,51;0,00;0,00;428;179;144;27;17;901;444
67;48,05;-95,43;0,00;0,00;0,00;-0,10;0,00;0,00;257;188;166;13;32;993;881
68;26,46;-447,94;0,00;0,00;0,00;-0,45;0,00;0,00;346;32;191;43;39;182;924
69;33,79;-372,63;0,00;0,00;0,00;-0,37;0,00;0,00;303;144;164;20;30;638;142
70;47,25;-228,32;0,00;0,00;0,00;-0,23;0,00;0,00;424;137;127;45;30;807;377
71;4,38;-646,28;0,00;0,00;0,00;-0,65;0,00;0,00;306;118;160;44;15;658;945
72;56,74;-175,83;0,00;0,00;0,00;-0,18;0,00;0,00;421;181;78;46;25;681;751
73;60,18;-123,18;0,00;0,00;0,00;-0,12;0,00;0,00;363;18;19;47;25;435;741
74;66,60;-21,27;0,00;0,00;0,00;-0,02;0,00;0,00;476;92;144;11;25;491;672
75;29,56;-428,60;0,00;0,00;0,00;-0,43;0,00;0,00;221;18;196;40;19;580;304
76;53,16;-182,34;0,00;0,00;0,00;-0,18;0,00;0,00;92;143;130;10;36;602;491
77;51,20;-185,08;0,00;0,00;0,00;-0,19;0,00;0,00;39;165;141;21;17;607;732
78;47,81;-186,02;0,00;0,00;0,00;-0,19;0,00;0,00;43;194;172;48;22;803;503
79;60,18;-185,74;0,00;0,00;0,00;-0,19;0,00;0,00;243;195;30;34;20;857;604
80;100,00;210,02;0,00;0,00;0,00;0,21;0,00;0,00;398;69;135;45;30;459;798
81;29,66;-384,86;0,00;0,00;0,00;-0,38;0,00;0,00;439;120;92;38;31;834;922
82;57,72;-129,23;0,00;0,00;0,00;-0,13;0,00;0,00;484;158;124;41;23;862;739
83;91,94;242,30;0,00;0,00;0,00;0,24;0,00;0,00;406;174;26;15;28;786;617
84;52,40;-231,88;0,00;0,00;0,00;-0,23;0,00;0,00;58;82;135;35;35;291;467
85;41,69;-216,14;0,00;0,00;0,00;-0,22;0,00;0,00;82;92;44;43;38;797;181
86;68,70;-52,66;0,00;0,00;0,00;-0,05;0,00;0,00;232;170;196;13;34;121;746
87;81,35;123,85;0,00;0,00;0,00;0,12;0,00;0,00;287;63;22;16;37;477;472
88;70,23;29,95;0,00;0,00;0,00;0,03;0,00;0,00;59;80;187;13;38;189;798
89;38,98;-246,48;0,00;0,00;0,00;-0,25;0,00;0,00;337;97;87;24;28;535;541
90;82,31;127,26;0,00;0,00;0,00;0,13;0,00;0,00;431;21;168;47;36;453;923
91;39,15;-321,93;0,00;0,00;0,00;-0,32;0,00;0,00;444;95;110;46;32;989;390
92;47,55;-248,97;0,00;0,00;0,00;-0,25;0,00;0,00;122;199;86;12;26;112;297
93;41,44;-249,49;0,00;0,00;0,00;-0,25;0,00;0,00;53;182;10;28;30;710;965
94;54,44;-104,96;0,00;0,00;0,00;-0,10;0,00;0,00;116;143;186;29;28;734;253
95;41,13;-300,48;0,00;0,00;0,00;-0,30;0,00;0,00;192;163;140;42;34;403;627
96;38,26;-389,97;0,00;0,00;0,00;-0,39;0,00;0,00;183;136;179;35;23;865;553
97;78,58;83,75;0,00;0,00;0,00;0,08;0,00;0,00;106;74;197;39;19;729;633
98;50,38;-214,40;0,00;0,00;0,00;-0,21;0,00;0,00;254;136;134;45;33;480;176
99;0,00;-737,24;0,00;0,00;0,00;-0,74;0,00;0,00;255;85;53;22;33;154;655
100;48,82;-306,52;0,00;0,00;0,00;-0,31;0,00;0,00;470;133;168;43;37;760;198
101;85,66;7,00;0,00;0,00;0,00;0,01;0,00;0,00;255;83;140;10;20;951;747
102;31,26;-417,40;0,00;0,00;0,00;-0,42;0,00;0,00;333;167;97;24;39;516;247
103;68,06;67,95;0,00;0,00;0,00;0,07;0,00;0,00;137;181;133;33;35;759;407
104;49,00;-208,82;0,00;0,00;0,00;-0,21;0,00;0,00;255;20;156;20;19;736;125
105;43,65;-306,82;0,00;0,00;0,00;-0,31;0,00;0,00;292;156;107;26;37;252;158
106;24,17;-410,71;0,00;0,00;0,00;-0,41;0,00;0,00;433;111;10;32;18;202;633
107;43,33;-311,14;0,00;0,00;0,00;-0,31;0,00;0,00;99;114;161;43;37;271;330
108;52,28;-253,68;0,00;0,00;0,00;-0,25;0,00;0,00;34;36;128;28;15;758;376
