Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;32,86;-147,65;0,00;0,00;0,00;-0,15;0,00;0,00;100;150;98;38;19;872;349
2;62,35;118,19;0,00;0,00;0,00;0,12;0,00;0,00;480;54;118;42;29;904;851
3;57,88;118,56;0,00;0,00;0,00;0,12;0,00;0,00;23;193;135;38;35;556;207
4;57,66;136,50;0,00;0,00;0,00;0,14;0,00;0,00;458;130;155;25;17;304;999
5;60,05;53,36;0,00;0,00;0,00;0,05;0,00;0,00;131;187;108;41;33;493;622
6;56,20;9,90;0,00;0,00;0,00;0,01;0,00;0,00;449;102;71;49;37;136;976
7;50,94;10,70;0,00;0,00;0,00;0,01;0,00;0,00;198;124;19;16;33;683;797
8;55,16;96,84;0,00;0,00;0,00;0,10;0,00;0,00;49;87;69;19;39;862;898
9;25,51;-263,11;0,00;0,00;0,00;-0,26;0,00;0,00;402;68;116;33;25;762;340
10;38,28;-129,55;0,00;0,00;0,00;-0,13;0,00;0,00;347;162;75;49;23;792;965
11;64,55;113,90;0,00;0,00;0,00;0,11;0,00;0,00;230;147;16;39;17;990;977
12;52,13;-13,31;0,00;0,00;0,00;-0,01;0,00;0,00;47;163;12;32;20;981;795
13;57,68;59,95;0,00;0,00;0,00;0,06;0,00;0,00;316;155;83;41;34;989;624
14;19,93;-319,44;0,00;0,00;0,00;-0,32;0,00;0,00;350;106;68;38;32;895;407
15;53,59;11,80;0,00;0,00;0,00;0,01;0,00;0,00;258;60;66;13;17;714;950
16;48,62;-48,01;0,00;0,00;0,00;-0,05;0,00;0,00;119;54;194;17;33;918;987
17;24,01;-294,91;0,00;0,00;0,00;-0,29;0,00;0,00;342;163;189;39;24;224;123
18;71,10;200,03;0,00;0,00;0,00;0,20;0,00;0,00;52;185;191;43;35;479;850
19;37,75;-152,11;0,00;0,00;0,00;-0,15;0,00;0,00;421;98;136;42;22;363;920
20;55,49;51,03;0,00;0,00;0,00;0,05;0,00;0,00;416;180;107;18;28;396;447
21;68,16;211,45;0,00;0,00;0,00;0,21;0,00;0,00;79;126;129;21;29;516;637
22;40,90;-73,56;0,00;0,00;0,00;-0,07;0,00;0,00;67;144;143;20;37;697;951
23;44,28;12,87;0,00;0,00;0,00;0,01;0,00;0,00;471;92;92;20;18;928;737
24;61,01;90,23;0,00;0,00;0,00;0,09;0,00;0,00;253;104;134;16;16;852;290
25;39,61;-101,26;0,00;0,00;0,00;-0,10;0,00;0,00;413;92;50;10;16;165;272
26;48,02;-40,47;0,00;0,00;0,00;-0,04;0,00;0,00;55;184;129;33;26;453;452
27;45,45;29,58;0,00;0,00;0,00;0,03;0,00;0,00;324;115;191;33;18;986;307
28;40,29;-141,44;0,00;0,00;0,00;-0,14;0,00;0,00;111;13;154;11;23;747;162
29;48,14;-38,11;0,00;0,00;0,00;-0,04;0,00;0,00;189;87;172;33;20;582;343
30;46,80;48,86;0,00;0,00;0,00;0,05;0,00;0,00;25;72;193;41;23;350;790
