Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;46,08;-196,65;0,00;0,00;0,00;-0,20;0,00;0,00;481;37;181;24;16;525;131
2;57,48;-80,83;0,00;0,00;0,00;-0,08;0,00;0,00;432;159;111;20;39;645;272
3;15,59;-600,31;0,00;0,00;0,00;-0,60;0,00;0,00;229;162;185;13;24;818;483
4;20,13;-515,21;0,00;0,00;0,00;-0,52;0,00;0,00;474;145;113;48;34;622;693
5;28,00;-515,62;0,00;0,00;0,00;-0,52;0,00;0,00;73;163;62;40;28;417;198
6;78,06;33,20;0,00;0,00;0,00;0,03;0,00;0,00;82;181;130;32;17;879;183
7;93,35;215,61;0,00;0,00;0,00;0,22;0,00;0,00;359;42;135;13;34;797;138
8;95,62;299,14;0,00;0,00;0,00;0,30;0,00;0,00;366;28;133;46;30;332;408
9;34,41;-313,31;0,00;0,00;0,00;-0,31;0,00;0,00;10;46;151;31;17;685;424
10;0,00;-724,63;0,00;0,00;0,00;-0,72;0,00;0,00;259;134;107;12;22;854;332
11;59,88;-38,91;0,00;0,00;0,00;-0,04;0,00;0,00;304;28;89;33;39;423;165
12;30,95;-357,45;0,00;0,00;0,00;-0,36;0,00;0,00;445;151;13;15;35;124;871
13;34,14;-390,12;0,00;0,00;0,00;-0,39;0,00;0,00;211;85;136;39;20;821;397
14;59,96;-146,87;0,00;0,00;0,00;-0,15;0,00;0,00;36;89;157;26;24;384;380
15;100,00;316,34;0,00;0,00;0,00;0,32;0,00;0,00;389;13;190;48;15;385;548
16;40,88;-305,21;0,00;0,00;0,00;-0,31;0,00;0,00;201;113;156;48;31;796;179
17;71,08;-112,73;0,00;0,00;0,00;-0,11;0,00;0,00;138;103;95;35;27;895;794
18;40,42;-255,23;0,00;0,00;0,00;-0,26;0,00;0,00;319;150;128;29;20;701;788
19;45,30;-169,78;0,00;0,00;0,00;-0,17;0,00;0,00;108;58;73;47;31;518;225
20;44,49;-209,31;0,00;0,00;0,00;-0,21;0,00;0,00;176;121;61;29;16;750;171
21;61,79;-35,69;0,00;0,00;0,00;-0,04;0,00;0,00;273;153;67;17;18;324;153
22;80,64;124,51;0,00;0,00;0,00;0,12;0,00;0,00;181;186;146;30;21;507;893
23;82,15;103,75;0,00;0,00;0,00;0,10;0,00;0,00;189;100;151;39;23;163;787
24;42,23;-279,22;0,00;0,00;0,00;-0,28;0,00;0,00;94;96;36;44;23;764;474
25;51,94;-207,26;0,00;0,00;0,00;-0,21;0,00;0,00;423;34;103;23;36;639;826
26;72,10;-4,05;0,00;0,00;0,00;-0,00;0,00;0,00;389;134;14;25;34;549;328
27;67,62;0,52;0,00;0,00;0,00;0,00;0,00;0,00;497;30;142;37;26;513;541
28;40,75;-218,04;0,00;0,00;0,00;-0,22;0,00;0,00;320;98;65;13;29;166;425
29;50,98;-133,82;0,00;0,00;0,00;-0,13;0,00;0,00;56;63;194;26;29;554;716
30;86,18;119,96;0,00;0,00;0,00;0,12;0,00;0,00;49;57;167;47;29;269;648
31;57,25;-116,51;0,00;0,00;0,00;-0,12;0,00;0,00;168;40;79;39;27;633;109
32;8,47;-665,40;0,00;0,00;0,00;-0,67;0,00;0,00;424;197;26;18;21;235;974
33;59,44;-129,68;0,00;0,00;0,00;-0,13;0,00;0,00;364;135;143;17;34;868;582
34;44,42;-272,35;0,00;0,00;0,00;-0,27;0,00;0,00;204;70;39;43;39;347;851
35;42,32;-228,45;0,00;0,00;0,00;-0,23;0,00;0,00;303;95;45;15;17;737;418
