Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;26,53;-231,41;0,00;0,00;0,00;-0,23;0,00;0,00;209;150;98;38;19;872;349
2;66,17;121,99;0,00;0,00;0,00;0,12;0,00;0,00;147;54;118;42;29;904;851
3;64,89;96,99;0,00;0,00;0,00;0,10;0,00;0,00;180;193;135;38;35;556;207
4;58,90;186,93;0,00;0,00;0,00;0,19;0,00;0,00;129;130;155;25;17;304;999
5;56,19;42,47;0,00;0,00;0,00;0,04;0,00;0,00;199;187;108;41;33;493;622
6;65,40;155,98;0,00;0,00;0,00;0,16;0,00;0,00;158;102;71;49;37;136;976
7;43,57;-114,79;0,00;0,00;0,00;-0,11;0,00;0,00;103;124;19;16;33;683;797
8;55,23;14,02;0,00;0,00;0,00;0,01;0,00;0,00;169;87;69;19;39;862;898
9;27,24;-262,56;0,00;0,00;0,00;-0,26;0,00;0,00;154;68;116;33;25;762;340
10;55,03;64,95;0,00;0,00;0,00;0,06;0,00;0,00;448;162;75;49;23;792;965
11;57,27;130,36;0,00;0,00;0,00;0,13;0,00;0,00;357;147;16;39;17;990;977
12;55,27;51,01;0,00;0,00;0,00;0,05;0,00;0,00;356;163;12;32;20;981;795
13;56,48;13,23;0,00;0,00;0,00;0,01;0,00;0,00;275;155;83;41;34;989;624
14;26,67;-246,81;0,00;0,00;0,00;-0,25;0,00;0,00;429;106;68;38;32;895;407
15;57,93;104,55;0,00;0,00;0,00;0,10;0,00;0,00;321;60;66;13;17;714;950
16;39,35;-187,45;0,00;0,00;0,00;-0,19;0,00;0,00;84;54;194;17;33;918;987
17;26,57;-276,81;0,00;0,00;0,00;-0,28;0,00;0,00;16;163;189;39;24;224;123
18;69,75;203,65;0,00;0,00;0,00;0,20;0,00;0,00;157;185;191;43;35;479;850
19;37,32;-106,82;0,00;0,00;0,00;-0,11;0,00;0,00;324;98;136;42;22;363;920
20;53,99;34,49;0,00;0,00;0,00;0,03;0,00;0,00;487;180;107;18;28;396;447
21;74,26;188,22;0,00;0,00;0,00;0,19;0,00;0,00;490;126;129;21;29;516;637
22;33,59;-178,80;0,00;0,00;0,00;-0,18;0,00;0,00;459;144;143;20;37;697;951
23;41,25;-8,16;0,00;0,00;0,00;-0,01;0,00;0,00;472;92;92;20;18;928;737
24;52,40;37,03;0,00;0,00;0,00;0,04;0,00;0,00;161;104;134;16;16;852;290
25;48,21;-74,71;0,00;0,00;0,00;-0,07;0,00;0,00;458;92;50;10;16;165;272
26;49,58;62,62;0,00;0,00;0,00;0,06;0,00;0,00;194;184;129;33;26;453;452
27;35,46;-148,81;0,00;0,00;0,00;-0,15;0,00;0,00;197;115;191;33;18;986;307
28;45,24;-25,26;0,00;0,00;0,00;-0,03;0,00;0,00;146;13;154;11;23;747;162
29;60,21;153,41;0,00;0,00;0,00;0,15;0,00;0,00;339;87;172;33;20;582;343
30;47,15;24,32;0,00;0,00;0,00;0,02;0,00;0,00;275;72;193;41;23;350;790
31;57,61;-6,27;0,00;0,00;0,00;-0,01;0,00;0,00;248;78;143;33;15;199;988
32;34,75;-23,76;0,00;0,00;0,00;-0,02;0,00;0,00;101;147;45;42;34;781;432
33;47,06;46,04;0,00;0,00;0,00;0,05;0,00;0,00;460;52;77;31;37;222;215
34;44,81;5,89;0,00;0,00;0,00;0,01;0,00;0,00;459;112;198;13;24;547;233
35;45,73;28,65;0,00;0,00;0,00;0,03;0,00;0,00;192;165;184;14;32;307;808
