Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;69,94;3,58;0,00;0,00;0,00;0,00;0,00;0,00;263;140;81;44;17;705;176
2;53,43;-166,43;0,00;0,00;0,00;-0,17;0,00;0,00;268;16;151;17;36;686;828
3;1,64;-727,49;0,00;0,00;0,00;-0,73;0,00;0,00;269;180;51;29;18;720;386
4;85,67;160,59;0,00;0,00;0,00;0,16;0,00;0,00;48;131;38;46;16;367;374
5;33,37;-413,83;0,00;0,00;0,00;-0,41;0,00;0,00;383;73;30;17;22;506;767
6;33,85;-317,76;0,00;0,00;0,00;-0,32;0,00;0,00;382;51;174;28;16;169;468
7;40,84;-323,66;0,00;0,00;0,00;-0,32;0,00;0,00;238;178;179;40;35;318;875
8;33,28;-338,31;0,00;0,00;0,00;-0,34;0,00;0,00;191;55;150;45;33;669;928
9;57,02;-187,39;0,00;0,00;0,00;-0,19;0,00;0,00;350;102;44;45;31;564;407
10;66,16;-9,72;0,00;0,00;0,00;-0,01;0,00;0,00;90;192;83;49;33;948;183
11;48,18;-198,37;0,00;0,00;0,00;-0,20;0,00;0,00;217;157;72;30;30;889;394
12;59,80;-158,49;0,00;0,00;0,00;-0,16;0,00;0,00;69;159;120;35;36;597;985
13;64,94;-71,72;0,00;0,00;0,00;-0,07;0,00;0,00;487;63;61;24;24;775;998
14;39,47;-238,55;0,00;0,00;0,00;-0,24;0,00;0,00;292;170;194;29;30;890;525
15;25,90;-432,95;0,00;0,00;0,00;-0,43;0,00;0,00;357;182;160;12;25;960;541
16;26,53;-434,66;0,00;0,00;0,00;-0,43;0,00;0,00;394;168;161;41;36;606;633
17;31,74;-369,69;0,00;0,00;0,00;-0,37;0,00;0,00;68;74;172;26;18;561;522
18;47,91;-268,97;0,00;0,00;0,00;-0,27;0,00;0,00;11;176;43;45;15;982;614
19;39,89;-270,65;0,00;0,00;0,00;-0,27;0,00;0,00;57;90;167;30;26;995;705
20;44,57;-302,63;0,00;0,00;0,00;-0,30;0,00;0,00;238;127;60;49;36;202;227
21;42,21;-212,04;0,00;0,00;0,00;-0,21;0,00;0,00;16;126;179;26;20;652;249
22;56,56;-160,17;0,00;0,00;0,00;-0,16;0,00;0,00;366;120;55;46;28;294;574
23;0,00;-747,12;0,00;0,00;0,00;-0,75;0,00;0,00;443;139;185;30;27;249;144
24;6,36;-628,22;0,00;0,00;0,00;-0,63;0,00;0,00;46;144;143;37;36;818;451
25;64,68;-128,29;0,00;0,00;0,00;-0,13;0,00;0,00;304;57;83;28;35;142;189
26;49,39;-193,96;0,00;0,00;0,00;-0,19;0,00;0,00;91;61;185;21;16;627;705
27;58,37;-180,38;0,00;0,00;0,00;-0,18;0,00;0,00;169;66;176;12;17;225;358
28;22,21;-430,58;0,00;0,00;0,00;-0,43;0,00;0,00;288;179;173;47;19;455;489
29;79,88;75,16;0,00;0,00;0,00;0,08;0,00;0,00;453;131;16;42;28;156;641
30;65,77;-7,82;0,00;0,00;0,00;-0,01;0,00;0,00;187;170;79;47;32;364;998
31;49,68;-270,80;0,00;0,00;0,00;-0,27;0,00;0,00;465;140;180;33;24;388;626
32;45,68;-182,01;0,00;0,00;0,00;-0,18;0,00;0,00;276;174;72;44;37;949;222
33;67,01;-11,34;0,00;0,00;0,00;-0,01;0,00;0,00;235;112;142;36;18;467;748
34;71,07;28,92;0,00;0,00;0,00;0,03;0,00;0,00;478;146;148;49;23;739;339
35;27,97;-388,56;0,00;0,00;0,00;-0,39;0,00;0,00;82;171;52;28;27;980;233
36;62,06;-87,11;0,00;0,00;0,00;-0,09;0,00;0,00;278;148;184;15;23;109;334
37;81,36;96,24;0,00;0,00;0,00;0,10;0,00;0,00;361;152;175;38;19;218;529
38;82,95;221,07;0,00;0,00;0,00;0,22;0,00;0,00;154;88;187;13;15;759;141
