Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;69,27;13,06;0,00;0,00;0,00;0,01;0,00;0,00;166;140;81;44;17;705;176
2;22,57;-492,59;0,00;0,00;0,00;-0,49;0,00;0,00;145;16;151;17;36;686;828
3;14,46;-522,75;0,00;0,00;0,00;-0,52;0,00;0,00;225;180;51;29;18;720;386
4;40,79;-315,99;0,00;0,00;0,00;-0,32;0,00;0,00;78;131;38;46;16;367;374
5;74,05;-50,38;0,00;0,00;0,00;-0,05;0,00;0,00;459;73;30;17;22;506;767
6;33,70;-441,60;0,00;0,00;0,00;-0,44;0,00;0,00;356;51;174;28;16;169;468
7;57,08;-123,41;0,00;0,00;0,00;-0,12;0,00;0,00;224;178;179;40;35;318;875
8;34,71;-447,91;0,00;0,00;0,00;-0,45;0,00;0,00;106;55;150;45;33;669;928
9;28,54;-430,83;0,00;0,00;0,00;-0,43;0,00;0,00;217;102;44;45;31;564;407
10;61,63;-20,92;0,00;0,00;0,00;-0,02;0,00;0,00;285;192;83;49;33;948;183
11;32,82;-429,49;0,00;0,00;0,00;-0,43;0,00;0,00;166;157;72;30;30;889;394
12;9,32;-650,53;0,00;0,00;0,00;-0,65;0,00;0,00;319;159;120;35;36;597;985
13;66,10;-91,66;0,00;0,00;0,00;-0,09;0,00;0,00;56;63;61;24;24;775;998
14;64,12;32,13;0,00;0,00;0,00;0,03;0,00;0,00;332;170;194;29;30;890;525
15;45,90;-219,59;0,00;0,00;0,00;-0,22;0,00;0,00;34;182;160;12;25;960;541
16;49,56;-147,00;0,00;0,00;0,00;-0,15;0,00;0,00;422;168;161;41;36;606;633
17;49,39;-133,47;0,00;0,00;0,00;-0,13;0,00;0,00;485;74;172;26;18;561;522
18;68,79;-21,92;0,00;0,00;0,00;-0,02;0,00;0,00;152;176;43;45;15;982;614
19;31,30;-409,89;0,00;0,00;0,00;-0,41;0,00;0,00;337;90;167;30;26;995;705
20;26,65;-408,10;0,00;0,00;0,00;-0,41;0,00;0,00;278;127;60;49;36;202;227
21;23,01;-515,07;0,00;0,00;0,00;-0,52;0,00;0,00;119;126;179;26;20;652;249
22;81,83;112,62;0,00;0,00;0,00;0,11;0,00;0,00;96;120;55;46;28;294;574
23;46,20;-285,60;0,00;0,00;0,00;-0,29;0,00;0,00;371;139;185;30;27;249;144
24;46,42;-98,67;0,00;0,00;0,00;-0,10;0,00;0,00;88;144;143;37;36;818;451
25;50,63;-141,29;0,00;0,00;0,00;-0,14;0,00;0,00;479;57;83;28;35;142;189
26;80,80;88,10;0,00;0,00;0,00;0,09;0,00;0,00;356;61;185;21;16;627;705
27;61,06;-145,87;0,00;0,00;0,00;-0,15;0,00;0,00;119;66;176;12;17;225;358
28;0,00;-704,91;0,00;0,00;0,00;-0,70;0,00;0,00;320;179;173;47;19;455;489
29;78,55;121,92;0,00;0,00;0,00;0,12;0,00;0,00;461;131;16;42;28;156;641
30;55,39;-239,82;0,00;0,00;0,00;-0,24;0,00;0,00;315;170;79;47;32;364;998
31;6,77;-577,16;0,00;0,00;0,00;-0,58;0,00;0,00;405;140;180;33;24;388;626
32;35,78;-373,92;0,00;0,00;0,00;-0,37;0,00;0,00;133;174;72;44;37;949;222
33;75,61;39,87;0,00;0,00;0,00;0,04;0,00;0,00;399;112;142;36;18;467;748
34;50,85;-87,92;0,00;0,00;0,00;-0,09;0,00;0,00;301;146;148;49;23;739;339
35;16,56;-459,64;0,00;0,00;0,00;-0,46;0,00;0,00;340;171;52;28;27;980;233
36;81,69;94,22;0,00;0,00;0,00;0,09;0,00;0,00;296;148;184;15;23;109;334
37;73,88;41,66;0,00;0,00;0,00;0,04;0,00;0,00;414;152;175;38;19;218;529
38;58,56;-149,84;0,00;0,00;0,00;-0,15;0,00;0,00;426;88;187;13;15;759;141
39;74,17;-23,25;0,00;0,00;0,00;-0,02;0,00;0,00;363;189;146;45;31;367;574
40;27,60;-419,75;0,00;0,00;0,00;-0,42;0,00;0,00;372;44;109;16;37;960;597
41;60,30;-117,25;0,00;0,00;0,00;-0,12;0,00;0,00;184;66;71;47;31;318;831
42;45,36;-203,97;0,00;0,00;0,00;-0,20;0,00;0,00;366;115;88;33;29;217;588
43;54,57;-136,24;0,00;0,00;0,00;-0,14;0,00;0,00;469;91;90;30;33;384;548
44;69,29;16,38;0,00;0,00;0,00;0,02;0,00;0,00;476;155;174;42;38;651;674
45;51,33;-149,91;0,00;0,00;0,00;-0,15;0,00;0,00;452;148;121;16;21;638;478
46;47,29;-220,91;0,00;0,00;0,00;-0,22;0,00;0,00;74;143;48;41;21;529;359
47;73,62;81,16;0,00;0,00;0,00;0,08;0,00;0,00;353;83;34;44;27;952;622
48;84,07;192,10;0,00;0,00;0,00;0,19;0,00;0,00;302;79;43;21;27;113;306
49;69,19;-12,90;0,00;0,00;0,00;-0,01;0,00;0,00;81;75;116;13;39;799;411
50;36,41;-328,33;0,00;0,00;0,00;-0,33;0,00;0,00;257;104;62;33;21;693;195
51;17,96;-464,70;0,00;0,00;0,00;-0,46;0,00;0,00;450;196;38;24;37;583;727
52;31,44;-418,55;0,00;0,00;0,00;-0,42;0,00;0,00;129;19;28;48;35;557;461
53;66,55;-89,75;0,00;0,00;0,00;-0,09;0,00;0,00;272;69;119;22;33;133;189
54;2,77;-688,64;0,00;0,00;0,00;-0,69;0,00;0,00;17;87;136;12;33;357;559
55;46,89;-247,19;0,00;0,00;0,00;-0,25;0,00;0,00;348;34;119;38;38;101;231
56;31,33;-357,68;0,00;0,00;0,00;-0,36;0,00;0,00;263;128;143;34;31;684;975
57;56,45;-96,61;0,00;0,00;0,00;-0,10;0,00;0,00;401;129;166;41;33;868;601
58;98,39;361,76;0,00;0,00;0,00;0,36;0,00;0,00;41;108;62;18;20;434;796
59;68,30;4,31;0,00;0,00;0,00;0,00;0,00;0,00;468;68;170;20;26;893;428
