Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;66,75;10,49;0,00;0,00;0,00;0,01;0,00;0,00;13;37;181;24;16;525;131
2;51,99;-231,18;0,00;0,00;0,00;-0,23;0,00;0,00;81;159;111;20;39;645;272
3;35,37;-434,60;0,00;0,00;0,00;-0,43;0,00;0,00;477;162;185;13;24;818;483
4;6,73;-731,16;0,00;0,00;0,00;-0,73;0,00;0,00;58;145;113;48;34;622;693
5;26,05;-429,82;0,00;0,00;0,00;-0,43;0,00;0,00;344;163;62;40;28;417;198
6;62,87;-26,79;0,00;0,00;0,00;-0,03;0,00;0,00;362;181;130;32;17;879;183
7;66,05;-21,52;0,00;0,00;0,00;-0,02;0,00;0,00;145;42;135;13;34;797;138
8;64,15;-78,22;0,00;0,00;0,00;-0,08;0,00;0,00;323;28;133;46;30;332;408
9;74,18;6,87;0,00;0,00;0,00;0,01;0,00;0,00;209;46;151;31;17;685;424
10;15,51;-583,71;0,00;0,00;0,00;-0,58;0,00;0,00;183;134;107;12;22;854;332
11;8,12;-625,16;0,00;0,00;0,00;-0,63;0,00;0,00;403;28;89;33;39;423;165
12;58,83;-148,45;0,00;0,00;0,00;-0,15;0,00;0,00;89;151;13;15;35;124;871
13;40,73;-244,61;0,00;0,00;0,00;-0,24;0,00;0,00;83;85;136;39;20;821;397
14;37,64;-275,08;0,00;0,00;0,00;-0,28;0,00;0,00;202;89;157;26;24;384;380
15;61,61;-62,14;0,00;0,00;0,00;-0,06;0,00;0,00;52;13;190;48;15;385;548
16;15,81;-531,59;0,00;0,00;0,00;-0,53;0,00;0,00;256;113;156;48;31;796;179
17;65,54;-27,50;0,00;0,00;0,00;-0,03;0,00;0,00;415;103;95;35;27;895;794
18;40,22;-218,76;0,00;0,00;0,00;-0,22;0,00;0,00;110;150;128;29;20;701;788
19;50,53;-218,65;0,00;0,00;0,00;-0,22;0,00;0,00;152;58;73;47;31;518;225
20;57,36;-183,30;0,00;0,00;0,00;-0,18;0,00;0,00;274;121;61;29;16;750;171
21;74,52;72,49;0,00;0,00;0,00;0,07;0,00;0,00;491;153;67;17;18;324;153
22;58,04;-234,53;0,00;0,00;0,00;-0,23;0,00;0,00;172;186;146;30;21;507;893
23;76,99;81,18;0,00;0,00;0,00;0,08;0,00;0,00;163;100;151;39;23;163;787
24;99,33;289,01;0,00;0,00;0,00;0,29;0,00;0,00;162;96;36;44;23;764;474
25;18,58;-542,31;0,00;0,00;0,00;-0,54;0,00;0,00;157;34;103;23;36;639;826
26;40,16;-229,94;0,00;0,00;0,00;-0,23;0,00;0,00;432;134;14;25;34;549;328
27;84,16;191,03;0,00;0,00;0,00;0,19;0,00;0,00;257;30;142;37;26;513;541
28;80,20;79,74;0,00;0,00;0,00;0,08;0,00;0,00;147;98;65;13;29;166;425
29;51,26;-141,30;0,00;0,00;0,00;-0,14;0,00;0,00;141;63;194;26;29;554;716
30;79,48;5,22;0,00;0,00;0,00;0,01;0,00;0,00;52;57;167;47;29;269;648
31;100,00;293,24;0,00;0,00;0,00;0,29;0,00;0,00;268;40;79;39;27;633;109
32;35,08;-247,51;0,00;0,00;0,00;-0,25;0,00;0,00;83;197;26;18;21;235;974
33;69,94;-12,44;0,00;0,00;0,00;-0,01;0,00;0,00;40;135;143;17;34;868;582
34;71,88;11,41;0,00;0,00;0,00;0,01;0,00;0,00;150;70;39;43;39;347;851
35;39,22;-308,02;0,00;0,00;0,00;-0,31;0,00;0,00;237;95;45;15;17;737;418
36;0,00;-739,92;0,00;0,00;0,00;-0,74;0,00;0,00;259;80;116;22;23;817;422
37;83,28;128,72;0,00;0,00;0,00;0,13;0,00;0,00;473;117;173;23;37;718;703
38;35,14;-397,88;0,00;0,00;0,00;-0,40;0,00;0,00;73;129;108;15;16;411;662
39;90,30;263,50;0,00;0,00;0,00;0,26;0,00;0,00;313;182;108;30;31;429;198
40;14,97;-617,01;0,00;0,00;0,00;-0,62;0,00;0,00;152;81;154;21;21;781;998
41;44,29;-252,28;0,00;0,00;0,00;-0,25;0,00;0,00;233;57;18;17;37;632;515
