Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;38,83;-72,15;0,00;0,00;0,00;-0,07;0,00;0,00;13;150;98;38;19;872;349
2;65,79;180,83;0,00;0,00;0,00;0,18;0,00;0,00;60;54;118;42;29;904;851
3;56,69;118,97;0,00;0,00;0,00;0,12;0,00;0,00;28;193;135;38;35;556;207
4;56,73;59,44;0,00;0,00;0,00;0,06;0,00;0,00;151;130;155;25;17;304;999
5;63,05;110,86;0,00;0,00;0,00;0,11;0,00;0,00;360;187;108;41;33;493;622
6;61,16;140,82;0,00;0,00;0,00;0,14;0,00;0,00;255;102;71;49;37;136;976
7;52,89;95,78;0,00;0,00;0,00;0,10;0,00;0,00;473;124;19;16;33;683;797
8;51,80;25,83;0,00;0,00;0,00;0,03;0,00;0,00;427;87;69;19;39;862;898
9;25,17;-218,07;0,00;0,00;0,00;-0,22;0,00;0,00;75;68;116;33;25;762;340
10;47,03;47,98;0,00;0,00;0,00;0,05;0,00;0,00;346;162;75;49;23;792;965
11;64,04;207,20;0,00;0,00;0,00;0,21;0,00;0,00;172;147;16;39;17;990;977
12;54,06;8,21;0,00;0,00;0,00;0,01;0,00;0,00;215;163;12;32;20;981;795
13;62,27;129,39;0,00;0,00;0,00;0,13;0,00;0,00;433;155;83;41;34;989;624
14;28,90;-215,98;0,00;0,00;0,00;-0,22;0,00;0,00;233;106;68;38;32;895;407
15;50,84;50,03;0,00;0,00;0,00;0,05;0,00;0,00;66;60;66;13;17;714;950
16;38,49;-54,32;0,00;0,00;0,00;-0,05;0,00;0,00;238;54;194;17;33;918;987
17;28,30;-183,31;0,00;0,00;0,00;-0,18;0,00;0,00;441;163;189;39;24;224;123
18;81,84;335,38;0,00;0,00;0,00;0,34;0,00;0,00;391;185;191;43;35;479;850
19;29,26;-226,14;0,00;0,00;0,00;-0,23;0,00;0,00;37;98;136;42;22;363;920
20;46,27;111,20;0,00;0,00;0,00;0,11;0,00;0,00;381;180;107;18;28;396;447
21;75,21;295,48;0,00;0,00;0,00;0,30;0,00;0,00;403;126;129;21;29;516;637
22;41,04;-111,76;0,00;0,00;0,00;-0,11;0,00;0,00;132;144;143;20;37;697;951
23;41,39;18,33;0,00;0,00;0,00;0,02;0,00;0,00;125;92;92;20;18;928;737
24;63,88;272,88;0,00;0,00;0,00;0,27;0,00;0,00;50;104;134;16;16;852;290
25;43,54;-31,10;0,00;0,00;0,00;-0,03;0,00;0,00;41;92;50;10;16;165;272
26;45,28;-36,82;0,00;0,00;0,00;-0,04;0,00;0,00;27;184;129;33;26;453;452
27;31,21;-287,60;0,00;0,00;0,00;-0,29;0,00;0,00;133;115;191;33;18;986;307
28;52,31;94,79;0,00;0,00;0,00;0,09;0,00;0,00;251;13;154;11;23;747;162
29;47,37;-73,83;0,00;0,00;0,00;-0,07;0,00;0,00;341;87;172;33;20;582;343
30;43,63;12,47;0,00;0,00;0,00;0,01;0,00;0,00;28;72;193;41;23;350;790
31;54,45;49,07;0,00;0,00;0,00;0,05;0,00;0,00;481;78;143;33;15;199;988
32;33,81;-151,11;0,00;0,00;0,00;-0,15;0,00;0,00;438;147;45;42;34;781;432
33;52,99;-9,89;0,00;0,00;0,00;-0,01;0,00;0,00;459;52;77;31;37;222;215
34;41,66;-90,61;0,00;0,00;0,00;-0,09;0,00;0,00;115;112;198;13;24;547;233
35;40,93;-95,24;0,00;0,00;0,00;-0,10;0,00;0,00;365;165;184;14;32;307;808
36;47,75;7,24;0,00;0,00;0,00;0,01;0,00;0,00;109;71;115;30;17;384;888
37;46,54;-77,66;0,00;0,00;0,00;-0,08;0,00;0,00;360;180;129;38;34;661;192
38;54,25;27,83;0,00;0,00;0,00;0,03;0,00;0,00;87;154;119;21;23;995;955
39;100,00;492,94;0,00;0,00;0,00;0,49;0,00;0,00;404;146;46;45;20;260;861
40;51,28;104,57;0,00;0,00;0,00;0,10;0,00;0,00;458;27;199;48;34;789;634
41;48,24;-26,15;0,00;0,00;0,00;-0,03;0,00;0,00;204;32;40;28;29;230;716
42;43,28;-85,16;0,00;0,00;0,00;-0,09;0,00;0,00;358;14;54;11;18;381;314
43;42,84;-77,45;0,00;0,00;0,00;-0,08;0,00;0,00;42;181;194;23;28;950;468
44;60,76;157,73;0,00;0,00;0,00;0,16;0,00;0,00;415;47;187;32;33;846;657
45;46,11;-114,88;0,00;0,00;0,00;-0,11;0,00;0,00;320;64;151;44;27;529;191
46;44,71;-14,18;0,00;0,00;0,00;-0,01;0,00;0,00;47;115;63;37;34;555;583
47;76,55;277,91;0,00;0,00;0,00;0,28;0,00;0,00;387;79;182;45;18;705;798
48;43,36;-109,01;0,00;0,00;0,00;-0,11;0,00;0,00;269;14;24;27;35;391;136
49;34,88;-83,38;0,00;0,00;0,00;-0,08;0,00;0,00;259;54;29;36;28;679;584
50;13,01;-338,24;0,00;0,00;0,00;-0,34;0,00;0,00;175;148;123;26;30;797;642
51;34,84;-96,78;0,00;0,00;0,00;-0,10;0,00;0,00;230;38;132;26;31;166;319
52;49,10;42,85;0,00;0,00;0,00;0,04;0,00;0,00;266;108;191;23;24;680;859
53;63,64;118,60;0,00;0,00;0,00;0,12;0,00;0,00;284;71;33;46;34;354;451
54;41,37;-192,47;0,00;0,00;0,00;-0,19;0,00;0,00;452;178;27;30;29;333;773
55;89,78;387,83;0,00;0,00;0,00;0,39;0,00;0,00;276;158;99;17;37;221;779
56;55,85;151,35;0,00;0,00;0,00;0,15;0,00;0,00;385;49;45;37;16;312;524
57;43,05;-64,48;0,00;0,00;0,00;-0,06;0,00;0,00;78;89;62;19;16;338;211
58;58,75;177,48;0,00;0,00;0,00;0,18;0,00;0,00;483;87;147;41;21;859;128
59;41,95;-14,55;0,00;0,00;0,00;-0,01;0,00;0,00;484;114;166;29;24;876;982
60;76,28;272,64;0,00;0,00;0,00;0,27;0,00;0,00;307;78;123;45;15;652;658
61;45,88;-70,74;0,00;0,00;0,00;-0,07;0,00;0,00;320;32;41;37;27;435;572
62;51,48;37,20;0,00;0,00;0,00;0,04;0,00;0,00;103;13;155;43;21;424;944
63;42,48;-99,19;0,00;0,00;0,00;-0,10;0,00;0,00;471;15;35;37;31;883;823
64;33,99;-180,08;0,00;0,00;0,00;-0,18;0,00;0,00;359;188;126;12;21;907;771
65;43,41;32,38;0,00;0,00;0,00;0,03;0,00;0,00;193;82;28;11;38;367;689
66;84,68;371,39;0,00;0,00;0,00;0,37;0,00;0,00;88;46;171;38;38;138;225
67;42,50;-52,30;0,00;0,00;0,00;-0,05;0,00;0,00;164;113;67;41;32;952;406
68;50,49;-6,52;0,00;0,00;0,00;-0,01;0,00;0,00;360;194;161;48;24;488;117
69;20,79;-308,48;0,00;0,00;0,00;-0,31;0,00;0,00;128;70;75;20;36;336;797
70;53,70;10,64;0,00;0,00;0,00;0,01;0,00;0,00;385;111;163;22;20;803;647
71;54,05;30,25;0,00;0,00;0,00;0,03;0,00;0,00;496;26;113;17;22;779;976
72;72,00;161,13;0,00;0,00;0,00;0,16;0,00;0,00;308;199;87;45;21;680;177
73;50,66;-46,54;0,00;0,00;0,00;-0,05;0,00;0,00;366;139;88;33;22;426;914
74;45,77;-13,39;0,00;0,00;0,00;-0,01;0,00;0,00;230;160;144;31;33;199;488
75;34,48;-132,34;0,00;0,00;0,00;-0,13;0,00;0,00;231;55;112;24;16;699;779
76;56,94;131,17;0,00;0,00;0,00;0,13;0,00;0,00;376;60;16;46;38;131;934
77;74,13;221,60;0,00;0,00;0,00;0,22;0,00;0,00;71;10;20;34;16;598;528
78;51,94;-67,15;0,00;0,00;0,00;-0,07;0,00;0,00;391;79;114;34;24;213;324
79;20,75;-232,35;0,00;0,00;0,00;-0,23;0,00;0,00;170;45;120;16;30;986;559
80;51,85;-75,90;0,00;0,00;0,00;-0,08;0,00;0,00;478;144;71;37;19;158;983
81;67,91;155,43;0,00;0,00;0,00;0,16;0,00;0,00;439;199;144;30;30;767;194
82;21,54;-268,98;0,00;0,00;0,00;-0,27;0,00;0,00;189;75;62;33;28;685;786
83;45,95;-49,42;0,00;0,00;0,00;-0,05;0,00;0,00;265;95;164;45;27;115;114
84;41,34;-76,65;0,00;0,00;0,00;-0,08;0,00;0,00;352;93;166;47;32;643;562
85;52,77;16,48;0,00;0,00;0,00;0,02;0,00;0,00;392;125;127;30;36;781;362
86;57,69;58,74;0,00;0,00;0,00;0,06;0,00;0,00;83;79;102;15;17;447;959
87;58,72;112,63;0,00;0,00;0,00;0,11;0,00;0,00;268;27;68;17;29;275;296
88;71,40;222,65;0,00;0,00;0,00;0,22;0,00;0,00;125;137;157;26;36;301;597
89;44,41;-17,84;0,00;0,00;0,00;-0,02;0,00;0,00;449;11;182;14;30;153;235
90;51,57;64,76;0,00;0,00;0,00;0,06;0,00;0,00;195;120;103;47;25;596;770
91;50,52;55,00;0,00;0,00;0,00;0,05;0,00;0,00;324;162;27;41;35;116;628
92;54,02;18,57;0,00;0,00;0,00;0,02;0,00;0,00;468;99;89;33;28;215;621
93;47,02;-54,35;0,00;0,00;0,00;-0,05;0,00;0,00;159;189;132;22;30;507;363
94;37,41;-168,67;0,00;0,00;0,00;-0,17;0,00;0,00;470;152;58;34;22;119;939
95;38,91;-149,32;0,00;0,00;0,00;-0,15;0,00;0,00;469;183;68;39;36;890;646
96;38,51;-153,60;0,00;0,00;0,00;-0,15;0,00;0,00;353;115;145;16;32;158;412
97;55,32;-12,53;0,00;0,00;0,00;-0,01;0,00;0,00;309;77;133;47;23;742;379
98;34,88;-132,43;0,00;0,00;0,00;-0,13;0,00;0,00;484;178;110;44;31;930;263
99;53,76;62,76;0,00;0,00;0,00;0,06;0,00;0,00;62;84;149;11;38;680;804
100;52,00;36,40;0,00;0,00;0,00;0,04;0,00;0,00;35;179;29;18;31;505;748
101;52,54;-7,04;0,00;0,00;0,00;-0,01;0,00;0,00;71;34;30;33;22;461;243
102;61,61;176,39;0,00;0,00;0,00;0,18;0,00;0,00;417;121;30;12;20;194;865
103;53,85;-27,00;0,00;0,00;0,00;-0,03;0,00;0,00;219;31;115;38;32;192;792
104;54,83;44,99;0,00;0,00;0,00;0,04;0,00;0,00;384;188;147;32;16;219;269
105;40,22;-206,75;0,00;0,00;0,00;-0,21;0,00;0,00;208;192;160;16;31;219;850
106;54,90;139,70;0,00;0,00;0,00;0,14;0,00;0,00;129;50;178;23;22;781;484
107;62,55;180,21;0,00;0,00;0,00;0,18;0,00;0,00;350;88;177;37;18;764;542
108;65,19;108,30;0,00;0,00;0,00;0,11;0,00;0,00;176;139;62;12;22;544;609
109;67,25;240,35;0,00;0,00;0,00;0,24;0,00;0,00;27;76;164;16;24;508;793
110;44,42;-107,19;0,00;0,00;0,00;-0,11;0,00;0,00;41;57;113;41;19;297;479
111;29,12;-170,63;0,00;0,00;0,00;-0,17;0,00;0,00;57;73;65;44;32;882;909
112;33,15;-104,46;0,00;0,00;0,00;-0,10;0,00;0,00;369;169;36;48;36;383;821
113;81,98;310,29;0,00;0,00;0,00;0,31;0,00;0,00;425;142;119;18;23;803;245
114;57,40;87,95;0,00;0,00;0,00;0,09;0,00;0,00;314;194;127;35;20;685;982
115;53,15;32,51;0,00;0,00;0,00;0,03;0,00;0,00;390;16;91;11;29;916;945
116;20,22;-310,55;0,00;0,00;0,00;-0,31;0,00;0,00;403;134;48;18;36;902;761
117;44,39;-42,04;0,00;0,00;0,00;-0,04;0,00;0,00;225;84;100;30;23;455;176
118;24,67;-265,27;0,00;0,00;0,00;-0,27;0,00;0,00;465;49;28;39;32;248;531
119;77,09;294,55;0,00;0,00;0,00;0,29;0,00;0,00;249;178;108;48;16;265;704
120;17,41;-385,88;0,00;0,00;0,00;-0,39;0,00;0,00;208;160;75;36;29;292;186
121;72,71;288,88;0,00;0,00;0,00;0,29;0,00;0,00;400;38;181;34;30;169;738
122;66,85;158,73;0,00;0,00;0,00;0,16;0,00;0,00;215;174;72;23;39;403;905
123;21,07;-329,94;0,00;0,00;0,00;-0,33;0,00;0,00;318;18;165;25;24;458;530
124;28,38;-292,14;0,00;0,00;0,00;-0,29;0,00;0,00;232;55;101;31;17;747;136
125;57,39;66,32;0,00;0,00;0,00;0,07;0,00;0,00;199;164;87;44;21;332;716
126;88,40;416,72;0,00;0,00;0,00;0,42;0,00;0,00;268;153;140;19;26;153;805
127;55,19;130,45;0,00;0,00;0,00;0,13;0,00;0,00;48;36;43;30;17;717;274
128;50,47;-26,60;0,00;0,00;0,00;-0,03;0,00;0,00;172;25;17;33;38;978;409
129;61,04;88,32;0,00;0,00;0,00;0,09;0,00;0,00;494;43;137;10;28;167;106
130;52,32;64,82;0,00;0,00;0,00;0,06;0,00;0,00;116;160;176;24;25;422;671
131;71,73;254,25;0,00;0,00;0,00;0,25;0,00;0,00;488;108;129;19;25;398;514
132;46,85;15,01;0,00;0,00;0,00;0,02;0,00;0,00;322;73;154;25;19;358;153
133;36,79;-144,33;0,00;0,00;0,00;-0,14;0,00;0,00;289;174;123;37;27;240;316
134;55,74;95,03;0,00;0,00;0,00;0,10;0,00;0,00;50;11;112;32;30;627;931
135;58,94;111,49;0,00;0,00;0,00;0,11;0,00;0,00;408;198;181;13;24;269;806
136;40,27;-30,18;0,00;0,00;0,00;-0,03;0,00;0,00;465;160;42;14;39;687;245
