Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;34,63;-341,77;0,00;0,00;0,00;-0,34;0,00;0,00;303;140;81;44;17;705;176
2;48,73;-134,92;0,00;0,00;0,00;-0,13;0,00;0,00;75;16;151;17;36;686;828
3;54,48;-133,64;0,00;0,00;0,00;-0,13;0,00;0,00;15;180;51;29;18;720;386
4;75,19;-8,88;0,00;0,00;0,00;-0,01;0,00;0,00;307;131;38;46;16;367;374
5;72,29;30,34;0,00;0,00;0,00;0,03;0,00;0,00;269;73;30;17;22;506;767
6;28,99;-392,49;0,00;0,00;0,00;-0,39;0,00;0,00;43;51;174;28;16;169;468
7;20,60;-576,43;0,00;0,00;0,00;-0,58;0,00;0,00;198;178;179;40;35;318;875
8;58,88;-75,16;0,00;0,00;0,00;-0,08;0,00;0,00;365;55;150;45;33;669;928
9;47,45;-272,84;0,00;0,00;0,00;-0,27;0,00;0,00;227;102;44;45;31;564;407
10;48,15;-187,73;0,00;0,00;0,00;-0,19;0,00;0,00;272;192;83;49;33;948;183
11;70,50;23,40;0,00;0,00;0,00;0,02;0,00;0,00;105;157;72;30;30;889;394
12;41,79;-246,83;0,00;0,00;0,00;-0,25;0,00;0,00;21;159;120;35;36;597;985
13;58,87;-190,51;0,00;0,00;0,00;-0,19;0,00;0,00;332;63;61;24;24;775;998
14;50,14;-220,33;0,00;0,00;0,00;-0,22;0,00;0,00;29;170;194;29;30;890;525
15;51,66;-199,19;0,00;0,00;0,00;-0,20;0,00;0,00;292;182;160;12;25;960;541
16;47,93;-207,65;0,00;0,00;0,00;-0,21;0,00;0,00;230;168;161;41;36;606;633
17;14,73;-635,62;0,00;0,00;0,00;-0,64;0,00;0,00;360;74;172;26;18;561;522
18;77,35;122,35;0,00;0,00;0,00;0,12;0,00;0,00;244;176;43;45;15;982;614
19;28,45;-391,78;0,00;0,00;0,00;-0,39;0,00;0,00;461;90;167;30;26;995;705
20;55,71;-175,22;0,00;0,00;0,00;-0,18;0,00;0,00;178;127;60;49;36;202;227
21;100,00;347,48;0,00;0,00;0,00;0,35;0,00;0,00;109;126;179;26;20;652;249
22;51,14;-194,77;0,00;0,00;0,00;-0,19;0,00;0,00;354;120;55;46;28;294;574
23;42,91;-294,96;0,00;0,00;0,00;-0,29;0,00;0,00;75;139;185;30;27;249;144
24;69,96;16,72;0,00;0,00;0,00;0,02;0,00;0,00;281;144;143;37;36;818;451
25;83,88;143,67;0,00;0,00;0,00;0,14;0,00;0,00;183;57;83;28;35;142;189
26;62,12;-61,89;0,00;0,00;0,00;-0,06;0,00;0,00;492;61;185;21;16;627;705
27;67,25;-38,94;0,00;0,00;0,00;-0,04;0,00;0,00;406;66;176;12;17;225;358
28;37,22;-211,64;0,00;0,00;0,00;-0,21;0,00;0,00;110;179;173;47;19;455;489
29;85,22;156,51;0,00;0,00;0,00;0,16;0,00;0,00;314;131;16;42;28;156;641
30;68,92;9,02;0,00;0,00;0,00;0,01;0,00;0,00;256;170;79;47;32;364;998
31;5,43;-686,35;0,00;0,00;0,00;-0,69;0,00;0,00;98;140;180;33;24;388;626
32;47,88;-242,04;0,00;0,00;0,00;-0,24;0,00;0,00;249;174;72;44;37;949;222
33;100,00;332,92;0,00;0,00;0,00;0,33;0,00;0,00;43;112;142;36;18;467;748
34;64,28;-50,01;0,00;0,00;0,00;-0,05;0,00;0,00;98;146;148;49;23;739;339
35;53,57;-198,49;0,00;0,00;0,00;-0,20;0,00;0,00;470;171;52;28;27;980;233
36;67,94;-20,92;0,00;0,00;0,00;-0,02;0,00;0,00;280;148;184;15;23;109;334
37;59,48;-162,57;0,00;0,00;0,00;-0,16;0,00;0,00;278;152;175;38;19;218;529
38;55,32;-84,91;0,00;0,00;0,00;-0,08;0,00;0,00;424;88;187;13;15;759;141
39;34,17;-343,01;0,00;0,00;0,00;-0,34;0,00;0,00;85;189;146;45;31;367;574
40;9,09;-536,96;0,00;0,00;0,00;-0,54;0,00;0,00;478;44;109;16;37;960;597
41;68,44;-50,49;0,00;0,00;0,00;-0,05;0,00;0,00;363;66;71;47;31;318;831
42;39,10;-374,70;0,00;0,00;0,00;-0,37;0,00;0,00;90;115;88;33;29;217;588
43;57,86;-164,33;0,00;0,00;0,00;-0,16;0,00;0,00;118;91;90;30;33;384;548
44;31,16;-403,24;0,00;0,00;0,00;-0,40;0,00;0,00;168;155;174;42;38;651;674
45;81,85;69,41;0,00;0,00;0,00;0,07;0,00;0,00;417;148;121;16;21;638;478
46;49,14;-279,78;0,00;0,00;0,00;-0,28;0,00;0,00;13;143;48;41;21;529;359
47;44,20;-288,37;0,00;0,00;0,00;-0,29;0,00;0,00;472;83;34;44;27;952;622
48;73,73;-14,84;0,00;0,00;0,00;-0,01;0,00;0,00;240;79;43;21;27;113;306
49;46,12;-147,80;0,00;0,00;0,00;-0,15;0,00;0,00;337;75;116;13;39;799;411
50;35,42;-365,82;0,00;0,00;0,00;-0,37;0,00;0,00;118;104;62;33;21;693;195
51;10,46;-574,11;0,00;0,00;0,00;-0,57;0,00;0,00;352;196;38;24;37;583;727
52;0,00;-772,99;0,00;0,00;0,00;-0,77;0,00;0,00;86;19;28;48;35;557;461
53;18,42;-456,71;0,00;0,00;0,00;-0,46;0,00;0,00;78;69;119;22;33;133;189
54;59,32;-230,72;0,00;0,00;0,00;-0,23;0,00;0,00;307;87;136;12;33;357;559
55;49,48;-212,55;0,00;0,00;0,00;-0,21;0,00;0,00;11;34;119;38;38;101;231
56;0,00;-695,15;0,00;0,00;0,00;-0,70;0,00;0,00;135;128;143;34;31;684;975
57;46,68;-257,48;0,00;0,00;0,00;-0,26;0,00;0,00;55;129;166;41;33;868;601
58;43,43;-178,28;0,00;0,00;0,00;-0,18;0,00;0,00;353;108;62;18;20;434;796
59;55,28;-215,15;0,00;0,00;0,00;-0,22;0,00;0,00;392;68;170;20;26;893;428
60;43,18;-271,51;0,00;0,00;0,00;-0,27;0,00;0,00;231;17;162;20;30;324;495
61;0,09;-681,50;0,00;0,00;0,00;-0,68;0,00;0,00;10;183;30;31;15;867;233
62;54,65;-203,49;0,00;0,00;0,00;-0,20;0,00;0,00;323;164;120;27;37;826;798
63;50,39;-199,86;0,00;0,00;0,00;-0,20;0,00;0,00;420;64;121;26;37;617;659
64;55,34;-61,31;0,00;0,00;0,00;-0,06;0,00;0,00;462;94;12;47;22;399;608
65;57,42;-155,91;0,00;0,00;0,00;-0,16;0,00;0,00;407;162;178;30;17;400;553
66;29,70;-435,62;0,00;0,00;0,00;-0,44;0,00;0,00;125;150;24;41;35;408;499
67;26,48;-480,62;0,00;0,00;0,00;-0,48;0,00;0,00;168;30;182;24;22;649;932
68;49,75;-148,38;0,00;0,00;0,00;-0,15;0,00;0,00;103;145;24;34;35;606;628
69;53,94;-141,07;0,00;0,00;0,00;-0,14;0,00;0,00;427;13;113;11;32;216;111
70;63,68;-43,90;0,00;0,00;0,00;-0,04;0,00;0,00;418;189;107;29;26;569;552
71;64,32;-20,16;0,00;0,00;0,00;-0,02;0,00;0,00;427;157;48;38;18;143;358
72;21,59;-477,97;0,00;0,00;0,00;-0,48;0,00;0,00;154;50;159;44;28;668;128
73;37,15;-342,02;0,00;0,00;0,00;-0,34;0,00;0,00;45;127;48;17;24;820;322
74;48,25;-286,11;0,00;0,00;0,00;-0,29;0,00;0,00;487;85;65;30;18;841;544
75;57,34;-95,52;0,00;0,00;0,00;-0,10;0,00;0,00;363;40;40;37;29;147;572
76;0,00;-773,78;0,00;0,00;0,00;-0,77;0,00;0,00;90;97;186;18;35;150;518
77;45,66;-210,82;0,00;0,00;0,00;-0,21;0,00;0,00;116;21;63;18;22;862;782
78;76,79;11,68;0,00;0,00;0,00;0,01;0,00;0,00;248;66;43;11;24;303;953
79;33,20;-422,09;0,00;0,00;0,00;-0,42;0,00;0,00;284;60;133;33;32;466;519
80;29,56;-432,10;0,00;0,00;0,00;-0,43;0,00;0,00;80;167;96;27;25;235;149
81;45,14;-175,59;0,00;0,00;0,00;-0,18;0,00;0,00;433;51;112;36;21;208;593
82;61,53;-123,34;0,00;0,00;0,00;-0,12;0,00;0,00;238;190;117;12;18;627;569
83;63,48;-102,81;0,00;0,00;0,00;-0,10;0,00;0,00;375;80;40;25;30;780;210
84;39,68;-405,93;0,00;0,00;0,00;-0,41;0,00;0,00;221;111;162;23;32;550;758
85;51,66;-246,45;0,00;0,00;0,00;-0,25;0,00;0,00;141;125;185;48;35;637;880
86;16,26;-564,20;0,00;0,00;0,00;-0,56;0,00;0,00;259;159;48;44;19;472;505
87;14,93;-639,91;0,00;0,00;0,00;-0,64;0,00;0,00;298;134;79;13;25;243;636
88;81,04;75,09;0,00;0,00;0,00;0,08;0,00;0,00;22;175;187;26;28;359;674
89;36,23;-244,19;0,00;0,00;0,00;-0,24;0,00;0,00;407;165;54;38;29;526;531
90;100,00;213,58;0,00;0,00;0,00;0,21;0,00;0,00;16;34;44;46;25;939;886
91;54,27;-121,60;0,00;0,00;0,00;-0,12;0,00;0,00;50;186;41;34;27;942;711
92;42,17;-309,17;0,00;0,00;0,00;-0,31;0,00;0,00;189;192;25;17;20;774;390
93;54,82;-253,18;0,00;0,00;0,00;-0,25;0,00;0,00;166;81;67;15;33;783;621
94;26,05;-605,31;0,00;0,00;0,00;-0,61;0,00;0,00;75;180;62;49;33;688;411
95;66,90;-32,01;0,00;0,00;0,00;-0,03;0,00;0,00;137;116;53;17;22;904;558
