Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;62,94;-58,94;0,00;0,00;0,00;-0,06;0,00;0,00;434;37;181;24;16;525;131
2;74,74;27,74;0,00;0,00;0,00;0,03;0,00;0,00;269;159;111;20;39;645;272
3;16,89;-562,10;0,00;0,00;0,00;-0,56;0,00;0,00;442;162;185;13;24;818;483
4;40,35;-272,40;0,00;0,00;0,00;-0,27;0,00;0,00;154;145;113;48;34;622;693
5;35,82;-352,91;0,00;0,00;0,00;-0,35;0,00;0,00;69;163;62;40;28;417;198
6;9,71;-622,29;0,00;0,00;0,00;-0,62;0,00;0,00;130;181;130;32;17;879;183
7;72,32;-33,60;0,00;0,00;0,00;-0,03;0,00;0,00;40;42;135;13;34;797;138
8;70,79;40,13;0,00;0,00;0,00;0,04;0,00;0,00;465;28;133;46;30;332;408
9;59,83;-4,17;0,00;0,00;0,00;-0,00;0,00;0,00;259;46;151;31;17;685;424
10;51,91;-156,95;0,00;0,00;0,00;-0,16;0,00;0,00;480;134;107;12;22;854;332
11;15,17;-562,39;0,00;0,00;0,00;-0,56;0,00;0,00;490;28;89;33;39;423;165
12;31,06;-376,44;0,00;0,00;0,00;-0,38;0,00;0,00;71;151;13;15;35;124;871
13;42,38;-307,68;0,00;0,00;0,00;-0,31;0,00;0,00;375;85;136;39;20;821;397
14;8,87;-634,13;0,00;0,00;0,00;-0,63;0,00;0,00;493;89;157;26;24;384;380
15;48,11;-186,99;0,00;0,00;0,00;-0,19;0,00;0,00;311;13;190;48;15;385;548
16;14,82;-582,78;0,00;0,00;0,00;-0,58;0,00;0,00;210;113;156;48;31;796;179
17;76,46;56,54;0,00;0,00;0,00;0,06;0,00;0,00;331;103;95;35;27;895;794
18;26,21;-430,52;0,00;0,00;0,00;-0,43;0,00;0,00;75;150;128;29;20;701;788
19;65,99;-125,39;0,00;0,00;0,00;-0,13;0,00;0,00;204;58;73;47;31;518;225
20;20,95;-509,31;0,00;0,00;0,00;-0,51;0,00;0,00;281;121;61;29;16;750;171
21;52,33;-193,04;0,00;0,00;0,00;-0,19;0,00;0,00;376;153;67;17;18;324;153
22;50,30;-157,96;0,00;0,00;0,00;-0,16;0,00;0,00;412;186;146;30;21;507;893
23;55,28;-112,91;0,00;0,00;0,00;-0,11;0,00;0,00;241;100;151;39;23;163;787
24;63,39;-14,19;0,00;0,00;0,00;-0,01;0,00;0,00;400;96;36;44;23;764;474
25;57,77;-132,33;0,00;0,00;0,00;-0,13;0,00;0,00;412;34;103;23;36;639;826
26;73,77;94,21;0,00;0,00;0,00;0,09;0,00;0,00;351;134;14;25;34;549;328
27;44,20;-297,39;0,00;0,00;0,00;-0,30;0,00;0,00;302;30;142;37;26;513;541
28;41,18;-308,99;0,00;0,00;0,00;-0,31;0,00;0,00;429;98;65;13;29;166;425
29;44,45;-251,37;0,00;0,00;0,00;-0,25;0,00;0,00;13;63;194;26;29;554;716
30;68,12;-33,32;0,00;0,00;0,00;-0,03;0,00;0,00;138;57;167;47;29;269;648
31;72,83;34,53;0,00;0,00;0,00;0,03;0,00;0,00;263;40;79;39;27;633;109
32;23,59;-384,75;0,00;0,00;0,00;-0,38;0,00;0,00;35;197;26;18;21;235;974
33;69,34;-1,29;0,00;0,00;0,00;-0,00;0,00;0,00;411;135;143;17;34;868;582
34;60,41;-127,68;0,00;0,00;0,00;-0,13;0,00;0,00;421;70;39;43;39;347;851
35;23,63;-519,06;0,00;0,00;0,00;-0,52;0,00;0,00;23;95;45;15;17;737;418
36;43,27;-212,32;0,00;0,00;0,00;-0,21;0,00;0,00;479;80;116;22;23;817;422
37;79,18;140,60;0,00;0,00;0,00;0,14;0,00;0,00;28;117;173;23;37;718;703
38;38,96;-337,88;0,00;0,00;0,00;-0,34;0,00;0,00;80;129;108;15;16;411;662
39;73,81;74,65;0,00;0,00;0,00;0,07;0,00;0,00;352;182;108;30;31;429;198
40;39,94;-337,88;0,00;0,00;0,00;-0,34;0,00;0,00;256;81;154;21;21;781;998
41;39,13;-336,62;0,00;0,00;0,00;-0,34;0,00;0,00;132;57;18;17;37;632;515
42;41,79;-254,01;0,00;0,00;0,00;-0,25;0,00;0,00;488;119;36;26;34;798;594
43;28,73;-419,97;0,00;0,00;0,00;-0,42;0,00;0,00;492;25;53;33;30;697;637
44;14,17;-649,70;0,00;0,00;0,00;-0,65;0,00;0,00;12;179;155;24;38;813;396
45;29,73;-376,33;0,00;0,00;0,00;-0,38;0,00;0,00;398;150;164;13;24;730;805
46;54,88;-56,06;0,00;0,00;0,00;-0,06;0,00;0,00;456;139;138;25;21;739;420
47;67,03;-80,09;0,00;0,00;0,00;-0,08;0,00;0,00;491;87;150;43;19;230;144
48;59,82;-91,11;0,00;0,00;0,00;-0,09;0,00;0,00;259;77;104;45;21;828;592
49;14,31;-607,31;0,00;0,00;0,00;-0,61;0,00;0,00;485;180;25;16;19;915;958
50;27,68;-450,67;0,00;0,00;0,00;-0,45;0,00;0,00;107;100;73;49;27;931;925
51;26,22;-394,63;0,00;0,00;0,00;-0,39;0,00;0,00;435;120;196;32;34;550;147
52;59,84;-89,86;0,00;0,00;0,00;-0,09;0,00;0,00;131;35;150;39;19;702;770
53;28,59;-467,24;0,00;0,00;0,00;-0,47;0,00;0,00;138;119;15;15;21;325;711
54;8,79;-638,60;0,00;0,00;0,00;-0,64;0,00;0,00;219;157;97;15;34;959;459
55;30,04;-336,14;0,00;0,00;0,00;-0,34;0,00;0,00;238;171;170;36;35;665;550
56;38,91;-305,14;0,00;0,00;0,00;-0,31;0,00;0,00;418;151;105;26;26;361;215
57;21,06;-533,28;0,00;0,00;0,00;-0,53;0,00;0,00;242;18;56;17;27;932;854
58;15,11;-624,61;0,00;0,00;0,00;-0,62;0,00;0,00;206;63;51;18;19;464;291
59;42,96;-306,04;0,00;0,00;0,00;-0,31;0,00;0,00;259;87;119;30;30;174;136
60;26,78;-457,39;0,00;0,00;0,00;-0,46;0,00;0,00;346;105;19;43;19;355;605
61;42,71;-255,97;0,00;0,00;0,00;-0,26;0,00;0,00;127;167;147;48;30;152;159
62;54,39;-153,18;0,00;0,00;0,00;-0,15;0,00;0,00;82;188;87;33;15;541;112
63;97,93;266,24;0,00;0,00;0,00;0,27;0,00;0,00;12;84;150;33;21;588;834
64;73,22;4,75;0,00;0,00;0,00;0,00;0,00;0,00;418;171;198;29;18;843;924
65;4,60;-678,33;0,00;0,00;0,00;-0,68;0,00;0,00;464;38;166;37;31;294;488
