Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;56,63;-103,49;0,00;0,00;0,00;-0,10;0,00;0,00;391;140;81;44;17;705;176
2;42,51;-294,60;0,00;0,00;0,00;-0,29;0,00;0,00;258;16;151;17;36;686;828
3;53,75;-124,00;0,00;0,00;0,00;-0,12;0,00;0,00;159;180;51;29;18;720;386
4;77,70;139,19;0,00;0,00;0,00;0,14;0,00;0,00;348;131;38;46;16;367;374
5;19,83;-464,93;0,00;0,00;0,00;-0,46;0,00;0,00;271;73;30;17;22;506;767
6;54,85;-109,81;0,00;0,00;0,00;-0,11;0,00;0,00;120;51;174;28;16;169;468
7;38,26;-482,94;0,00;0,00;0,00;-0,48;0,00;0,00;362;178;179;40;35;318;875
8;40,45;-298,24;0,00;0,00;0,00;-0,30;0,00;0,00;435;55;150;45;33;669;928
9;39,58;-386,75;0,00;0,00;0,00;-0,39;0,00;0,00;285;102;44;45;31;564;407
10;56,35;-91,77;0,00;0,00;0,00;-0,09;0,00;0,00;114;192;83;49;33;948;183
11;94,25;293,04;0,00;0,00;0,00;0,29;0,00;0,00;81;157;72;30;30;889;394
12;34,40;-331,97;0,00;0,00;0,00;-0,33;0,00;0,00;67;159;120;35;36;597;985
13;34,01;-426,13;0,00;0,00;0,00;-0,43;0,00;0,00;440;63;61;24;24;775;998
14;9,10;-498,55;0,00;0,00;0,00;-0,50;0,00;0,00;33;170;194;29;30;890;525
15;13,99;-511,30;0,00;0,00;0,00;-0,51;0,00;0,00;450;182;160;12;25;960;541
16;60,87;-155,91;0,00;0,00;0,00;-0,16;0,00;0,00;128;168;161;41;36;606;633
17;18,47;-480,57;0,00;0,00;0,00;-0,48;0,00;0,00;407;74;172;26;18;561;522
18;65,40;-100,23;0,00;0,00;0,00;-0,10;0,00;0,00;315;176;43;45;15;982;614
19;22,89;-429,53;0,00;0,00;0,00;-0,43;0,00;0,00;221;90;167;30;26;995;705
20;53,90;-262,28;0,00;0,00;0,00;-0,26;0,00;0,00;217;127;60;49;36;202;227
21;49,05;-229,21;0,00;0,00;0,00;-0,23;0,00;0,00;353;126;179;26;20;652;249
22;28,30;-471,21;0,00;0,00;0,00;-0,47;0,00;0,00;163;120;55;46;28;294;574
23;27,54;-420,59;0,00;0,00;0,00;-0,42;0,00;0,00;497;139;185;30;27;249;144
24;60,17;-87,61;0,00;0,00;0,00;-0,09;0,00;0,00;313;144;143;37;36;818;451
25;65,77;-67,23;0,00;0,00;0,00;-0,07;0,00;0,00;481;57;83;28;35;142;189
26;32,23;-451,90;0,00;0,00;0,00;-0,45;0,00;0,00;352;61;185;21;16;627;705
27;57,24;-99,14;0,00;0,00;0,00;-0,10;0,00;0,00;369;66;176;12;17;225;358
28;49,38;-150,96;0,00;0,00;0,00;-0,15;0,00;0,00;379;179;173;47;19;455;489
29;73,59;85,59;0,00;0,00;0,00;0,09;0,00;0,00;106;131;16;42;28;156;641
30;88,18;164,43;0,00;0,00;0,00;0,16;0,00;0,00;498;170;79;47;32;364;998
31;42,74;-245,07;0,00;0,00;0,00;-0,25;0,00;0,00;348;140;180;33;24;388;626
32;74,18;36,05;0,00;0,00;0,00;0,04;0,00;0,00;188;174;72;44;37;949;222
33;63,05;-110,75;0,00;0,00;0,00;-0,11;0,00;0,00;364;112;142;36;18;467;748
34;84,71;82,68;0,00;0,00;0,00;0,08;0,00;0,00;367;146;148;49;23;739;339
35;60,31;-45,54;0,00;0,00;0,00;-0,05;0,00;0,00;40;171;52;28;27;980;233
36;53,38;-109,18;0,00;0,00;0,00;-0,11;0,00;0,00;402;148;184;15;23;109;334
37;58,94;-67,13;0,00;0,00;0,00;-0,07;0,00;0,00;165;152;175;38;19;218;529
38;90,73;119,08;0,00;0,00;0,00;0,12;0,00;0,00;327;88;187;13;15;759;141
39;38,76;-434,81;0,00;0,00;0,00;-0,43;0,00;0,00;323;189;146;45;31;367;574
40;33,61;-347,00;0,00;0,00;0,00;-0,35;0,00;0,00;284;44;109;16;37;960;597
41;99,47;358,89;0,00;0,00;0,00;0,36;0,00;0,00;366;66;71;47;31;318;831
42;44,82;-265,51;0,00;0,00;0,00;-0,27;0,00;0,00;110;115;88;33;29;217;588
43;27,35;-409,74;0,00;0,00;0,00;-0,41;0,00;0,00;129;91;90;30;33;384;548
44;99,44;317,22;0,00;0,00;0,00;0,32;0,00;0,00;369;155;174;42;38;651;674
45;73,37;-17,61;0,00;0,00;0,00;-0,02;0,00;0,00;177;148;121;16;21;638;478
46;74,95;27,19;0,00;0,00;0,00;0,03;0,00;0,00;293;143;48;41;21;529;359
47;94,53;255,80;0,00;0,00;0,00;0,26;0,00;0,00;271;83;34;44;27;952;622
48;82,47;151,64;0,00;0,00;0,00;0,15;0,00;0,00;397;79;43;21;27;113;306
49;62,14;-43,82;0,00;0,00;0,00;-0,04;0,00;0,00;202;75;116;13;39;799;411
50;60,33;-130,89;0,00;0,00;0,00;-0,13;0,00;0,00;30;104;62;33;21;693;195
51;31,38;-448,52;0,00;0,00;0,00;-0,45;0,00;0,00;385;196;38;24;37;583;727
52;50,72;-196,87;0,00;0,00;0,00;-0,20;0,00;0,00;264;19;28;48;35;557;461
53;44,10;-153,88;0,00;0,00;0,00;-0,15;0,00;0,00;183;69;119;22;33;133;189
54;0,00;-645,01;0,00;0,00;0,00;-0,65;0,00;0,00;69;87;136;12;33;357;559
55;66,81;11,45;0,00;0,00;0,00;0,01;0,00;0,00;350;34;119;38;38;101;231
56;0,00;-711,37;0,00;0,00;0,00;-0,71;0,00;0,00;219;128;143;34;31;684;975
57;72,84;25,96;0,00;0,00;0,00;0,03;0,00;0,00;380;129;166;41;33;868;601
58;64,60;-56,80;0,00;0,00;0,00;-0,06;0,00;0,00;251;108;62;18;20;434;796
59;74,51;-20,20;0,00;0,00;0,00;-0,02;0,00;0,00;300;68;170;20;26;893;428
60;33,09;-364,05;0,00;0,00;0,00;-0,36;0,00;0,00;176;17;162;20;30;324;495
61;0,00;-741,97;0,00;0,00;0,00;-0,74;0,00;0,00;134;183;30;31;15;867;233
62;25,41;-521,65;0,00;0,00;0,00;-0,52;0,00;0,00;425;164;120;27;37;826;798
63;13,04;-529,21;0,00;0,00;0,00;-0,53;0,00;0,00;419;64;121;26;37;617;659
64;48,03;-237,31;0,00;0,00;0,00;-0,24;0,00;0,00;466;94;12;47;22;399;608
65;54,57;-137,37;0,00;0,00;0,00;-0,14;0,00;0,00;425;162;178;30;17;400;553
66;65,84;-70,50;0,00;0,00;0,00;-0,07;0,00;0,00;292;150;24;41;35;408;499
67;43,72;-252,20;0,00;0,00;0,00;-0,25;0,00;0,00;236;30;182;24;22;649;932
68;31,03;-337,79;0,00;0,00;0,00;-0,34;0,00;0,00;285;145;24;34;35;606;628
69;45,04;-202,92;0,00;0,00;0,00;-0,20;0,00;0,00;115;13;113;11;32;216;111
70;63,39;-30,33;0,00;0,00;0,00;-0,03;0,00;0,00;411;189;107;29;26;569;552
71;45,79;-257,81;0,00;0,00;0,00;-0,26;0,00;0,00;49;157;48;38;18;143;358
72;57,06;-73,48;0,00;0,00;0,00;-0,07;0,00;0,00;144;50;159;44;28;668;128
73;16,15;-522,71;0,00;0,00;0,00;-0,52;0,00;0,00;252;127;48;17;24;820;322
74;33,12;-310,70;0,00;0,00;0,00;-0,31;0,00;0,00;76;85;65;30;18;841;544
75;57,61;-151,68;0,00;0,00;0,00;-0,15;0,00;0,00;272;40;40;37;29;147;572
76;69,87;-63,96;0,00;0,00;0,00;-0,06;0,00;0,00;428;97;186;18;35;150;518
77;26,20;-454,93;0,00;0,00;0,00;-0,45;0,00;0,00;103;21;63;18;22;862;782
78;79,07;166,10;0,00;0,00;0,00;0,17;0,00;0,00;275;66;43;11;24;303;953
79;88,39;218,46;0,00;0,00;0,00;0,22;0,00;0,00;316;60;133;33;32;466;519
80;54,03;-109,83;0,00;0,00;0,00;-0,11;0,00;0,00;354;167;96;27;25;235;149
81;65,37;-91,29;0,00;0,00;0,00;-0,09;0,00;0,00;136;51;112;36;21;208;593
82;31,81;-407,68;0,00;0,00;0,00;-0,41;0,00;0,00;445;190;117;12;18;627;569
83;70,53;68,67;0,00;0,00;0,00;0,07;0,00;0,00;111;80;40;25;30;780;210
84;27,24;-471,19;0,00;0,00;0,00;-0,47;0,00;0,00;303;111;162;23;32;550;758
85;37,48;-362,97;0,00;0,00;0,00;-0,36;0,00;0,00;333;125;185;48;35;637;880
86;27,99;-389,75;0,00;0,00;0,00;-0,39;0,00;0,00;169;159;48;44;19;472;505
87;51,40;-174,38;0,00;0,00;0,00;-0,17;0,00;0,00;294;134;79;13;25;243;636
88;62,95;-136,65;0,00;0,00;0,00;-0,14;0,00;0,00;253;175;187;26;28;359;674
89;64,88;-45,27;0,00;0,00;0,00;-0,05;0,00;0,00;166;165;54;38;29;526;531
90;21,79;-435,38;0,00;0,00;0,00;-0,44;0,00;0,00;377;34;44;46;25;939;886
91;23,31;-434,58;0,00;0,00;0,00;-0,43;0,00;0,00;487;186;41;34;27;942;711
92;19,97;-502,50;0,00;0,00;0,00;-0,50;0,00;0,00;183;192;25;17;20;774;390
93;58,16;-146,10;0,00;0,00;0,00;-0,15;0,00;0,00;222;81;67;15;33;783;621
94;35,51;-374,87;0,00;0,00;0,00;-0,37;0,00;0,00;49;180;62;49;33;688;411
95;21,12;-532,71;0,00;0,00;0,00;-0,53;0,00;0,00;43;116;53;17;22;904;558
96;59,55;-73,85;0,00;0,00;0,00;-0,07;0,00;0,00;363;35;130;34;19;383;585
97;47,05;-282,63;0,00;0,00;0,00;-0,28;0,00;0,00;17;73;74;34;39;353;755
98;84,90;201,09;0,00;0,00;0,00;0,20;0,00;0,00;393;50;117;35;29;246;875
99;62,15;12,82;0,00;0,00;0,00;0,01;0,00;0,00;134;98;198;17;19;408;560
100;12,01;-523,79;0,00;0,00;0,00;-0,52;0,00;0,00;395;188;106;38;36;601;731
101;64,82;38,38;0,00;0,00;0,00;0,04;0,00;0,00;224;17;112;39;27;244;666
102;28,37;-430,66;0,00;0,00;0,00;-0,43;0,00;0,00;469;185;145;43;23;581;204
103;20,41;-488,06;0,00;0,00;0,00;-0,49;0,00;0,00;296;54;109;22;37;271;507
104;51,80;-137,71;0,00;0,00;0,00;-0,14;0,00;0,00;228;98;119;11;37;386;796
105;39,60;-273,36;0,00;0,00;0,00;-0,27;0,00;0,00;60;50;131;18;26;248;427
106;50,36;-162,40;0,00;0,00;0,00;-0,16;0,00;0,00;113;144;59;14;18;265;196
107;71,89;-1,59;0,00;0,00;0,00;-0,00;0,00;0,00;457;175;13;14;25;960;178
108;68,16;-40,16;0,00;0,00;0,00;-0,04;0,00;0,00;439;64;128;20;24;205;830
109;11,75;-566,84;0,00;0,00;0,00;-0,57;0,00;0,00;95;91;61;19;26;444;687
110;34,74;-320,54;0,00;0,00;0,00;-0,32;0,00;0,00;320;20;74;32;27;291;873
111;28,10;-514,88;0,00;0,00;0,00;-0,51;0,00;0,00;83;176;61;16;36;790;300
112;42,42;-285,15;0,00;0,00;0,00;-0,29;0,00;0,00;379;65;145;10;38;516;970
113;69,84;-16,16;0,00;0,00;0,00;-0,02;0,00;0,00;472;133;26;21;27;872;959
114;93,22;238,54;0,00;0,00;0,00;0,24;0,00;0,00;107;27;142;41;22;929;926
115;13,03;-567,86;0,00;0,00;0,00;-0,57;0,00;0,00;448;189;164;13;35;926;987
116;80,57;76,25;0,00;0,00;0,00;0,08;0,00;0,00;226;54;85;27;30;897;611
117;50,58;-130,78;0,00;0,00;0,00;-0,13;0,00;0,00;154;192;140;41;30;990;999
118;60,96;-144,08;0,00;0,00;0,00;-0,14;0,00;0,00;250;90;68;41;27;367;200
119;46,34;-278,42;0,00;0,00;0,00;-0,28;0,00;0,00;251;38;12;43;33;108;756
120;8,02;-610,45;0,00;0,00;0,00;-0,61;0,00;0,00;249;104;118;18;35;804;557
121;13,18;-640,64;0,00;0,00;0,00;-0,64;0,00;0,00;241;197;64;31;17;694;751
122;68,28;68,80;0,00;0,00;0,00;0,07;0,00;0,00;353;53;83;42;17;277;956
123;36,12;-388,90;0,00;0,00;0,00;-0,39;0,00;0,00;230;107;93;22;28;310;708
124;71,18;-37,11;0,00;0,00;0,00;-0,04;0,00;0,00;186;84;100;17;16;872;636
125;32,99;-347,06;0,00;0,00;0,00;-0,35;0,00;0,00;233;154;38;39;20;545;353
126;58,10;-55,01;0,00;0,00;0,00;-0,06;0,00;0,00;368;51;109;21;23;470;825
127;26,17;-529,72;0,00;0,00;0,00;-0,53;0,00;0,00;398;154;31;39;30;430;794
128;100,00;251,14;0,00;0,00;0,00;0,25;0,00;0,00;179;130;149;26;30;178;283
129;55,09;-157,58;0,00;0,00;0,00;-0,16;0,00;0,00;219;87;22;41;23;334;517
130;89,84;162,13;0,00;0,00;0,00;0,16;0,00;0,00;449;167;127;28;31;475;744
131;60,39;-166,82;0,00;0,00;0,00;-0,17;0,00;0,00;61;101;191;20;16;772;295
132;46,00;-236,92;0,00;0,00;0,00;-0,24;0,00;0,00;126;62;28;18;22;615;375
133;80,37;153,03;0,00;0,00;0,00;0,15;0,00;0,00;320;35;120;20;32;880;715
134;75,24;40,33;0,00;0,00;0,00;0,04;0,00;0,00;194;139;84;15;18;177;796
135;47,87;-145,89;0,00;0,00;0,00;-0,15;0,00;0,00;253;69;177;40;16;931;561
136;27,15;-392,99;0,00;0,00;0,00;-0,39;0,00;0,00;69;190;131;44;22;467;689
137;34,55;-371,31;0,00;0,00;0,00;-0,37;0,00;0,00;163;71;49;22;19;251;542
138;32,72;-420,27;0,00;0,00;0,00;-0,42;0,00;0,00;136;77;131;28;36;643;299
139;34,28;-337,15;0,00;0,00;0,00;-0,34;0,00;0,00;96;104;137;27;16;800;614
140;63,03;-33,49;0,00;0,00;0,00;-0,03;0,00;0,00;274;60;160;25;23;930;421
141;54,54;-163,86;0,00;0,00;0,00;-0,16;0,00;0,00;188;181;113;15;24;710;687
142;23,23;-483,13;0,00;0,00;0,00;-0,48;0,00;0,00;91;56;199;13;37;790;759
143;68,95;-58,29;0,00;0,00;0,00;-0,06;0,00;0,00;275;141;190;18;30;570;729
144;60,67;-170,86;0,00;0,00;0,00;-0,17;0,00;0,00;177;53;191;17;19;225;548
145;84,62;168,77;0,00;0,00;0,00;0,17;0,00;0,00;460;163;82;10;30;574;396
146;0,00;-660,46;0,00;0,00;0,00;-0,66;0,00;0,00;57;104;44;24;24;752;410
147;82,59;205,37;0,00;0,00;0,00;0,21;0,00;0,00;264;122;13;42;33;126;999
148;53,19;-157,29;0,00;0,00;0,00;-0,16;0,00;0,00;281;105;38;38;23;361;568
149;100,00;286,25;0,00;0,00;0,00;0,29;0,00;0,00;79;174;87;11;22;185;322
150;91,55;150,57;0,00;0,00;0,00;0,15;0,00;0,00;139;173;98;28;37;746;837
151;6,15;-652,22;0,00;0,00;0,00;-0,65;0,00;0,00;146;157;20;49;21;805;823
152;65,96;-28,15;0,00;0,00;0,00;-0,03;0,00;0,00;88;118;26;34;21;950;606
153;63,68;-44,29;0,00;0,00;0,00;-0,04;0,00;0,00;272;51;153;48;27;488;624
154;46,53;-321,55;0,00;0,00;0,00;-0,32;0,00;0,00;52;93;190;46;37;611;664
155;34,85;-233,55;0,00;0,00;0,00;-0,23;0,00;0,00;73;20;95;13;27;911;574
156;21,89;-431,02;0,00;0,00;0,00;-0,43;0,00;0,00;274;18;41;14;33;208;392
157;58,34;-82,76;0,00;0,00;0,00;-0,08;0,00;0,00;60;179;184;39;22;924;157
158;83,61;77,53;0,00;0,00;0,00;0,08;0,00;0,00;226;35;87;41;26;987;554
159;25,49;-422,70;0,00;0,00;0,00;-0,42;0,00;0,00;35;16;196;33;23;934;852
160;56,04;-93,82;0,00;0,00;0,00;-0,09;0,00;0,00;122;80;155;23;34;913;264
161;58,25;-193,52;0,00;0,00;0,00;-0,19;0,00;0,00;70;119;159;17;17;491;511
162;37,85;-303,06;0,00;0,00;0,00;-0,30;0,00;0,00;443;94;93;24;38;211;284
163;69,65;-25,75;0,00;0,00;0,00;-0,03;0,00;0,00;185;174;77;12;27;171;333
164;59,55;-60,39;0,00;0,00;0,00;-0,06;0,00;0,00;55;47;185;30;36;358;281
165;71,53;11,87;0,00;0,00;0,00;0,01;0,00;0,00;148;196;170;39;33;451;858
166;51,87;-248,30;0,00;0,00;0,00;-0,25;0,00;0,00;482;59;130;23;23;853;934
167;44,09;-224,73;0,00;0,00;0,00;-0,22;0,00;0,00;107;174;139;29;18;579;382
168;73,36;26,80;0,00;0,00;0,00;0,03;0,00;0,00;186;11;68;41;25;631;395
169;29,75;-404,59;0,00;0,00;0,00;-0,40;0,00;0,00;290;87;86;31;33;448;688
170;59,59;-6,03;0,00;0,00;0,00;-0,01;0,00;0,00;437;116;147;41;30;293;352
171;62,72;-32,97;0,00;0,00;0,00;-0,03;0,00;0,00;232;104;139;20;22;413;540
172;46,78;-266,69;0,00;0,00;0,00;-0,27;0,00;0,00;115;79;153;20;17;257;904
173;15,60;-441,54;0,00;0,00;0,00;-0,44;0,00;0,00;337;163;154;31;39;111;747
174;62,23;-35,89;0,00;0,00;0,00;-0,04;0,00;0,00;168;198;190;19;35;921;145
175;42,66;-315,53;0,00;0,00;0,00;-0,32;0,00;0,00;109;51;101;41;27;985;108
176;44,28;-240,12;0,00;0,00;0,00;-0,24;0,00;0,00;477;61;173;17;24;246;768
177;57,16;-106,89;0,00;0,00;0,00;-0,11;0,00;0,00;226;61;93;47;19;865;815
178;0,00;-674,03;0,00;0,00;0,00;-0,67;0,00;0,00;177;72;35;22;28;609;366
179;86,86;79,09;0,00;0,00;0,00;0,08;0,00;0,00;248;44;60;18;16;616;499
180;88,96;213,13;0,00;0,00;0,00;0,21;0,00;0,00;403;20;42;41;36;710;296
181;82,28;126,32;0,00;0,00;0,00;0,13;0,00;0,00;485;186;152;30;23;570;829
182;78,78;15,16;0,00;0,00;0,00;0,02;0,00;0,00;287;145;134;40;15;490;585
183;73,37;49,26;0,00;0,00;0,00;0,05;0,00;0,00;406;93;148;38;36;620;399
184;31,34;-343,93;0,00;0,00;0,00;-0,34;0,00;0,00;194;34;23;28;26;754;207
185;33,60;-304,67;0,00;0,00;0,00;-0,30;0,00;0,00;268;79;16;42;37;830;569
186;45,41;-233,37;0,00;0,00;0,00;-0,23;0,00;0,00;96;163;162;16;38;599;837
187;37,07;-301,78;0,00;0,00;0,00;-0,30;0,00;0,00;210;152;153;20;17;369;445
188;48,08;-193,85;0,00;0,00;0,00;-0,19;0,00;0,00;351;107;117;21;17;535;963
189;53,22;-158,66;0,00;0,00;0,00;-0,16;0,00;0,00;44;125;164;32;16;516;385
190;69,51;-56,52;0,00;0,00;0,00;-0,06;0,00;0,00;79;111;28;18;34;165;381
191;38,67;-401,89;0,00;0,00;0,00;-0,40;0,00;0,00;182;15;191;27;20;130;134
192;47,72;-192,76;0,00;0,00;0,00;-0,19;0,00;0,00;376;172;78;49;29;602;870
193;31,22;-384,74;0,00;0,00;0,00;-0,38;0,00;0,00;403;158;166;49;18;617;221
194;28,67;-351,11;0,00;0,00;0,00;-0,35;0,00;0,00;53;69;174;18;18;298;912
195;53,24;-145,06;0,00;0,00;0,00;-0,15;0,00;0,00;210;185;31;12;27;295;382
196;14,56;-491,91;0,00;0,00;0,00;-0,49;0,00;0,00;287;33;173;32;31;247;736
197;44,25;-259,43;0,00;0,00;0,00;-0,26;0,00;0,00;358;108;191;35;36;606;146
198;76,19;85,84;0,00;0,00;0,00;0,09;0,00;0,00;32;76;147;49;24;117;859
199;90,28;283,62;0,00;0,00;0,00;0,28;0,00;0,00;285;58;47;33;30;248;484
200;97,96;256,22;0,00;0,00;0,00;0,26;0,00;0,00;171;155;185;37;33;591;590
201;33,52;-311,99;0,00;0,00;0,00;-0,31;0,00;0,00;184;34;191;37;39;158;519
202;43,77;-255,50;0,00;0,00;0,00;-0,26;0,00;0,00;23;29;87;34;36;455;854
203;51,47;-144,27;0,00;0,00;0,00;-0,14;0,00;0,00;499;74;64;37;31;444;116
204;48,49;-155,35;0,00;0,00;0,00;-0,16;0,00;0,00;260;25;149;40;31;263;775
205;60,61;-30,64;0,00;0,00;0,00;-0,03;0,00;0,00;224;14;97;14;37;968;473
206;51,38;-201,07;0,00;0,00;0,00;-0,20;0,00;0,00;74;115;56;26;38;497;532
207;81,49;138,86;0,00;0,00;0,00;0,14;0,00;0,00;397;111;80;24;26;195;818
208;30,11;-332,22;0,00;0,00;0,00;-0,33;0,00;0,00;202;11;152;42;34;455;200
209;40,79;-330,88;0,00;0,00;0,00;-0,33;0,00;0,00;258;90;142;23;27;255;853
210;52,71;-160,42;0,00;0,00;0,00;-0,16;0,00;0,00;444;51;132;47;20;853;900
211;61,04;-111,98;0,00;0,00;0,00;-0,11;0,00;0,00;48;118;196;32;21;380;244
212;22,17;-435,75;0,00;0,00;0,00;-0,44;0,00;0,00;420;153;40;29;35;585;527
213;78,27;63,67;0,00;0,00;0,00;0,06;0,00;0,00;48;14;45;43;16;634;415
214;42,04;-247,87;0,00;0,00;0,00;-0,25;0,00;0,00;235;114;13;36;25;100;989
215;47,54;-282,64;0,00;0,00;0,00;-0,28;0,00;0,00;136;48;132;47;31;422;107
216;77,86;48,86;0,00;0,00;0,00;0,05;0,00;0,00;377;95;119;20;37;155;521
217;72,52;58,15;0,00;0,00;0,00;0,06;0,00;0,00;75;74;103;42;33;789;419
218;53,95;-159,93;0,00;0,00;0,00;-0,16;0,00;0,00;103;83;28;35;22;747;999
219;31,82;-313,46;0,00;0,00;0,00;-0,31;0,00;0,00;473;199;36;11;33;973;699
220;36,40;-292,38;0,00;0,00;0,00;-0,29;0,00;0,00;330;73;53;35;38;656;265
221;0,00;-721,94;0,00;0,00;0,00;-0,72;0,00;0,00;68;151;14;49;15;526;594
222;85,00;160,80;0,00;0,00;0,00;0,16;0,00;0,00;40;23;76;37;39;369;781
223;75,41;50,98;0,00;0,00;0,00;0,05;0,00;0,00;279;198;75;16;24;991;843
224;36,29;-393,54;0,00;0,00;0,00;-0,39;0,00;0,00;64;127;18;27;38;616;838
225;79,06;22,20;0,00;0,00;0,00;0,02;0,00;0,00;71;53;120;40;31;227;716
226;41,69;-307,00;0,00;0,00;0,00;-0,31;0,00;0,00;86;84;133;20;39;609;296
227;56,50;-170,26;0,00;0,00;0,00;-0,17;0,00;0,00;412;74;37;30;18;499;157
228;83,12;120,05;0,00;0,00;0,00;0,12;0,00;0,00;145;77;73;30;26;304;577
229;96,06;138,51;0,00;0,00;0,00;0,14;0,00;0,00;253;74;131;12;22;854;846
230;59,79;-120,73;0,00;0,00;0,00;-0,12;0,00;0,00;78;160;142;30;34;843;911
231;60,87;-31,48;0,00;0,00;0,00;-0,03;0,00;0,00;358;66;144;26;16;627;476
232;60,97;-203,59;0,00;0,00;0,00;-0,20;0,00;0,00;86;52;33;34;28;511;259
233;61,81;26,20;0,00;0,00;0,00;0,03;0,00;0,00;50;92;98;38;35;235;128
234;30,67;-327,43;0,00;0,00;0,00;-0,33;0,00;0,00;144;111;133;35;17;844;711
