Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;37,14;-166,43;0,00;0,00;0,00;-0,17;0,00;0,00;94;150;98;38;19;872;349
2;54,91;60,89;0,00;0,00;0,00;0,06;0,00;0,00;38;54;118;42;29;904;851
3;59,60;30,03;0,00;0,00;0,00;0,03;0,00;0,00;258;193;135;38;35;556;207
4;66,00;157,56;0,00;0,00;0,00;0,16;0,00;0,00;484;130;155;25;17;304;999
5;53,56;39,94;0,00;0,00;0,00;0,04;0,00;0,00;38;187;108;41;33;493;622
6;62,41;114,43;0,00;0,00;0,00;0,11;0,00;0,00;296;102;71;49;37;136;976
7;48,02;-48,09;0,00;0,00;0,00;-0,05;0,00;0,00;152;124;19;16;33;683;797
8;58,71;-2,98;0,00;0,00;0,00;-0,00;0,00;0,00;54;87;69;19;39;862;898
9;22,57;-284,79;0,00;0,00;0,00;-0,28;0,00;0,00;323;68;116;33;25;762;340
10;49,32;-31,68;0,00;0,00;0,00;-0,03;0,00;0,00;350;162;75;49;23;792;965
11;63,45;165,22;0,00;0,00;0,00;0,17;0,00;0,00;481;147;16;39;17;990;977
12;54,49;64,14;0,00;0,00;0,00;0,06;0,00;0,00;62;163;12;32;20;981;795
13;68,01;180,15;0,00;0,00;0,00;0,18;0,00;0,00;103;155;83;41;34;989;624
14;25,07;-213,56;0,00;0,00;0,00;-0,21;0,00;0,00;388;106;68;38;32;895;407
15;56,48;66,76;0,00;0,00;0,00;0,07;0,00;0,00;389;60;66;13;17;714;950
16;36,69;-105,68;0,00;0,00;0,00;-0,11;0,00;0,00;459;54;194;17;33;918;987
17;17,94;-310,96;0,00;0,00;0,00;-0,31;0,00;0,00;496;163;189;39;24;224;123
18;73,06;266,82;0,00;0,00;0,00;0,27;0,00;0,00;477;185;191;43;35;479;850
19;41,45;-116,23;0,00;0,00;0,00;-0,12;0,00;0,00;120;98;136;42;22;363;920
20;51,27;21,27;0,00;0,00;0,00;0,02;0,00;0,00;92;180;107;18;28;396;447
21;70,87;165,42;0,00;0,00;0,00;0,17;0,00;0,00;487;126;129;21;29;516;637
22;36,30;-79,01;0,00;0,00;0,00;-0,08;0,00;0,00;344;144;143;20;37;697;951
23;43,82;-23,15;0,00;0,00;0,00;-0,02;0,00;0,00;52;92;92;20;18;928;737
24;55,25;87,59;0,00;0,00;0,00;0,09;0,00;0,00;198;104;134;16;16;852;290
25;37,05;-84,35;0,00;0,00;0,00;-0,08;0,00;0,00;382;92;50;10;16;165;272
26;47,28;-1,37;0,00;0,00;0,00;-0,00;0,00;0,00;354;184;129;33;26;453;452
27;32,04;-135,62;0,00;0,00;0,00;-0,14;0,00;0,00;99;115;191;33;18;986;307
28;54,60;68,11;0,00;0,00;0,00;0,07;0,00;0,00;262;13;154;11;23;747;162
29;56,24;42,29;0,00;0,00;0,00;0,04;0,00;0,00;351;87;172;33;20;582;343
30;48,96;-41,32;0,00;0,00;0,00;-0,04;0,00;0,00;252;72;193;41;23;350;790
31;46,09;-60,14;0,00;0,00;0,00;-0,06;0,00;0,00;294;78;143;33;15;199;988
32;37,21;-80,98;0,00;0,00;0,00;-0,08;0,00;0,00;62;147;45;42;34;781;432
33;37,85;-56,97;0,00;0,00;0,00;-0,06;0,00;0,00;366;52;77;31;37;222;215
34;49,43;27,98;0,00;0,00;0,00;0,03;0,00;0,00;209;112;198;13;24;547;233
35;41,59;-107,20;0,00;0,00;0,00;-0,11;0,00;0,00;409;165;184;14;32;307;808
36;54,30;39,80;0,00;0,00;0,00;0,04;0,00;0,00;316;71;115;30;17;384;888
37;37,91;-153,23;0,00;0,00;0,00;-0,15;0,00;0,00;221;180;129;38;34;661;192
38;52,03;49,85;0,00;0,00;0,00;0,05;0,00;0,00;396;154;119;21;23;995;955
39;100,00;553,91;0,00;0,00;0,00;0,55;0,00;0,00;420;146;46;45;20;260;861
40;60,50;12,31;0,00;0,00;0,00;0,01;0,00;0,00;265;27;199;48;34;789;634
41;43,52;26,29;0,00;0,00;0,00;0,03;0,00;0,00;479;32;40;28;29;230;716
42;47,67;-14,59;0,00;0,00;0,00;-0,01;0,00;0,00;139;14;54;11;18;381;314
43;60,04;118,30;0,00;0,00;0,00;0,12;0,00;0,00;230;181;194;23;28;950;468
44;63,90;168,46;0,00;0,00;0,00;0,17;0,00;0,00;398;47;187;32;33;846;657
45;36,80;-177,12;0,00;0,00;0,00;-0,18;0,00;0,00;143;64;151;44;27;529;191
46;42,61;44,79;0,00;0,00;0,00;0,04;0,00;0,00;283;115;63;37;34;555;583
47;77,28;249,61;0,00;0,00;0,00;0,25;0,00;0,00;76;79;182;45;18;705;798
48;39,16;-83,58;0,00;0,00;0,00;-0,08;0,00;0,00;46;14;24;27;35;391;136
49;38,03;-135,38;0,00;0,00;0,00;-0,14;0,00;0,00;233;54;29;36;28;679;584
50;25,59;-143,45;0,00;0,00;0,00;-0,14;0,00;0,00;226;148;123;26;30;797;642
51;39,92;-153,02;0,00;0,00;0,00;-0,15;0,00;0,00;170;38;132;26;31;166;319
52;38,99;-149,98;0,00;0,00;0,00;-0,15;0,00;0,00;22;108;191;23;24;680;859
53;54,34;117,56;0,00;0,00;0,00;0,12;0,00;0,00;277;71;33;46;34;354;451
54;34,72;-75,05;0,00;0,00;0,00;-0,08;0,00;0,00;446;178;27;30;29;333;773
55;83,81;297,60;0,00;0,00;0,00;0,30;0,00;0,00;495;158;99;17;37;221;779
56;53,03;98,64;0,00;0,00;0,00;0,10;0,00;0,00;397;49;45;37;16;312;524
57;43,56;-23,93;0,00;0,00;0,00;-0,02;0,00;0,00;317;89;62;19;16;338;211
58;62,06;108,73;0,00;0,00;0,00;0,11;0,00;0,00;411;87;147;41;21;859;128
59;47,38;-6,64;0,00;0,00;0,00;-0,01;0,00;0,00;178;114;166;29;24;876;982
60;80,50;265,17;0,00;0,00;0,00;0,27;0,00;0,00;463;78;123;45;15;652;658
61;49,34;-3,06;0,00;0,00;0,00;-0,00;0,00;0,00;147;32;41;37;27;435;572
62;47,57;-49,13;0,00;0,00;0,00;-0,05;0,00;0,00;490;13;155;43;21;424;944
63;48,92;18,98;0,00;0,00;0,00;0,02;0,00;0,00;329;15;35;37;31;883;823
64;34,01;-173,98;0,00;0,00;0,00;-0,17;0,00;0,00;320;188;126;12;21;907;771
65;45,45;-26,60;0,00;0,00;0,00;-0,03;0,00;0,00;438;82;28;11;38;367;689
66;83,26;343,49;0,00;0,00;0,00;0,34;0,00;0,00;104;46;171;38;38;138;225
67;44,41;-67,83;0,00;0,00;0,00;-0,07;0,00;0,00;472;113;67;41;32;952;406
68;50,74;110,17;0,00;0,00;0,00;0,11;0,00;0,00;35;194;161;48;24;488;117
69;21,67;-320,95;0,00;0,00;0,00;-0,32;0,00;0,00;358;70;75;20;36;336;797
70;46,73;-43,39;0,00;0,00;0,00;-0,04;0,00;0,00;413;111;163;22;20;803;647
71;47,35;-62,23;0,00;0,00;0,00;-0,06;0,00;0,00;343;26;113;17;22;779;976
72;64,64;141,21;0,00;0,00;0,00;0,14;0,00;0,00;259;199;87;45;21;680;177
73;50,02;78,35;0,00;0,00;0,00;0,08;0,00;0,00;139;139;88;33;22;426;914
74;35,56;-152,34;0,00;0,00;0,00;-0,15;0,00;0,00;55;160;144;31;33;199;488
75;42,21;-170,83;0,00;0,00;0,00;-0,17;0,00;0,00;234;55;112;24;16;699;779
76;51,12;-46,73;0,00;0,00;0,00;-0,05;0,00;0,00;346;60;16;46;38;131;934
77;73,22;205,73;0,00;0,00;0,00;0,21;0,00;0,00;72;10;20;34;16;598;528
78;50,92;30,57;0,00;0,00;0,00;0,03;0,00;0,00;327;79;114;34;24;213;324
79;16,44;-412,42;0,00;0,00;0,00;-0,41;0,00;0,00;426;45;120;16;30;986;559
80;49,50;-70,24;0,00;0,00;0,00;-0,07;0,00;0,00;117;144;71;37;19;158;983
81;75,56;237,52;0,00;0,00;0,00;0,24;0,00;0,00;56;199;144;30;30;767;194
82;20,99;-306,04;0,00;0,00;0,00;-0,31;0,00;0,00;373;75;62;33;28;685;786
83;40,60;-144,16;0,00;0,00;0,00;-0,14;0,00;0,00;68;95;164;45;27;115;114
84;51,67;28,97;0,00;0,00;0,00;0,03;0,00;0,00;348;93;166;47;32;643;562
85;49,09;17,33;0,00;0,00;0,00;0,02;0,00;0,00;64;125;127;30;36;781;362
86;55,55;67,36;0,00;0,00;0,00;0,07;0,00;0,00;343;79;102;15;17;447;959
87;62,79;124,34;0,00;0,00;0,00;0,12;0,00;0,00;483;27;68;17;29;275;296
88;66,74;276,90;0,00;0,00;0,00;0,28;0,00;0,00;62;137;157;26;36;301;597
89;42,05;-33,34;0,00;0,00;0,00;-0,03;0,00;0,00;391;11;182;14;30;153;235
90;59,36;203,01;0,00;0,00;0,00;0,20;0,00;0,00;447;120;103;47;25;596;770
91;41,26;-77,38;0,00;0,00;0,00;-0,08;0,00;0,00;22;162;27;41;35;116;628
92;56,75;160,25;0,00;0,00;0,00;0,16;0,00;0,00;220;99;89;33;28;215;621
93;52,43;72,72;0,00;0,00;0,00;0,07;0,00;0,00;204;189;132;22;30;507;363
