Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;33,85;-336,60;0,00;0,00;0,00;-0,34;0,00;0,00;469;37;181;24;16;525;131
2;58,23;-130,96;0,00;0,00;0,00;-0,13;0,00;0,00;159;159;111;20;39;645;272
3;28,81;-334,00;0,00;0,00;0,00;-0,33;0,00;0,00;186;162;185;13;24;818;483
4;13,24;-583,74;0,00;0,00;0,00;-0,58;0,00;0,00;467;145;113;48;34;622;693
5;67,89;56,61;0,00;0,00;0,00;0,06;0,00;0,00;169;163;62;40;28;417;198
6;17,73;-480,90;0,00;0,00;0,00;-0,48;0,00;0,00;153;181;130;32;17;879;183
7;87,84;239,77;0,00;0,00;0,00;0,24;0,00;0,00;76;42;135;13;34;797;138
8;62,94;-51,30;0,00;0,00;0,00;-0,05;0,00;0,00;256;28;133;46;30;332;408
9;80,76;190,06;0,00;0,00;0,00;0,19;0,00;0,00;283;46;151;31;17;685;424
10;48,57;-129,02;0,00;0,00;0,00;-0,13;0,00;0,00;387;134;107;12;22;854;332
11;40,48;-303,34;0,00;0,00;0,00;-0,30;0,00;0,00;423;28;89;33;39;423;165
12;40,03;-293,56;0,00;0,00;0,00;-0,29;0,00;0,00;427;151;13;15;35;124;871
13;41,17;-253,29;0,00;0,00;0,00;-0,25;0,00;0,00;494;85;136;39;20;821;397
14;18,48;-487,69;0,00;0,00;0,00;-0,49;0,00;0,00;218;89;157;26;24;384;380
15;73,28;38,37;0,00;0,00;0,00;0,04;0,00;0,00;49;13;190;48;15;385;548
16;32,79;-435,38;0,00;0,00;0,00;-0,44;0,00;0,00;66;113;156;48;31;796;179
17;70,33;17,53;0,00;0,00;0,00;0,02;0,00;0,00;144;103;95;35;27;895;794
18;19,57;-456,71;0,00;0,00;0,00;-0,46;0,00;0,00;363;150;128;29;20;701;788
19;89,37;239,35;0,00;0,00;0,00;0,24;0,00;0,00;248;58;73;47;31;518;225
20;35,29;-364,50;0,00;0,00;0,00;-0,36;0,00;0,00;494;121;61;29;16;750;171
21;92,89;239,72;0,00;0,00;0,00;0,24;0,00;0,00;499;153;67;17;18;324;153
22;49,42;-216,73;0,00;0,00;0,00;-0,22;0,00;0,00;54;186;146;30;21;507;893
23;80,06;104,72;0,00;0,00;0,00;0,10;0,00;0,00;447;100;151;39;23;163;787
24;86,07;112,25;0,00;0,00;0,00;0,11;0,00;0,00;382;96;36;44;23;764;474
25;5,60;-723,67;0,00;0,00;0,00;-0,72;0,00;0,00;395;34;103;23;36;639;826
26;88,98;205,03;0,00;0,00;0,00;0,21;0,00;0,00;202;134;14;25;34;549;328
27;87,90;206,31;0,00;0,00;0,00;0,21;0,00;0,00;345;30;142;37;26;513;541
28;14,96;-498,66;0,00;0,00;0,00;-0,50;0,00;0,00;169;98;65;13;29;166;425
29;59,48;-141,04;0,00;0,00;0,00;-0,14;0,00;0,00;20;63;194;26;29;554;716
30;100,00;329,77;0,00;0,00;0,00;0,33;0,00;0,00;309;57;167;47;29;269;648
31;69,28;24,94;0,00;0,00;0,00;0,02;0,00;0,00;182;40;79;39;27;633;109
32;52,70;-179,76;0,00;0,00;0,00;-0,18;0,00;0,00;317;197;26;18;21;235;974
33;53,53;-69,77;0,00;0,00;0,00;-0,07;0,00;0,00;378;135;143;17;34;868;582
34;27,53;-315,97;0,00;0,00;0,00;-0,32;0,00;0,00;320;70;39;43;39;347;851
35;66,22;5,10;0,00;0,00;0,00;0,01;0,00;0,00;201;95;45;15;17;737;418
36;0,00;-721,61;0,00;0,00;0,00;-0,72;0,00;0,00;498;80;116;22;23;817;422
37;70,54;-13,10;0,00;0,00;0,00;-0,01;0,00;0,00;360;117;173;23;37;718;703
38;44,96;-295,11;0,00;0,00;0,00;-0,30;0,00;0,00;489;129;108;15;16;411;662
39;75,83;0,07;0,00;0,00;0,00;0,00;0,00;0,00;184;182;108;30;31;429;198
40;9,37;-580,09;0,00;0,00;0,00;-0,58;0,00;0,00;251;81;154;21;21;781;998
41;35,15;-326,89;0,00;0,00;0,00;-0,33;0,00;0,00;463;57;18;17;37;632;515
42;52,10;-132,87;0,00;0,00;0,00;-0,13;0,00;0,00;396;119;36;26;34;798;594
