Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;39,64;-73,47;0,00;0,00;0,00;-0,07;0,00;0,00;300;150;98;38;19;872;349
2;57,13;20,82;0,00;0,00;0,00;0,02;0,00;0,00;319;54;118;42;29;904;851
3;68,10;207,72;0,00;0,00;0,00;0,21;0,00;0,00;201;193;135;38;35;556;207
4;54,67;51,49;0,00;0,00;0,00;0,05;0,00;0,00;420;130;155;25;17;304;999
5;50,72;6,23;0,00;0,00;0,00;0,01;0,00;0,00;194;187;108;41;33;493;622
6;57,07;58,32;0,00;0,00;0,00;0,06;0,00;0,00;138;102;71;49;37;136;976
7;48,48;-23,88;0,00;0,00;0,00;-0,02;0,00;0,00;370;124;19;16;33;683;797
8;47,41;34,50;0,00;0,00;0,00;0,03;0,00;0,00;83;87;69;19;39;862;898
9;25,10;-224,58;0,00;0,00;0,00;-0,22;0,00;0,00;181;68;116;33;25;762;340
10;44,54;-172,60;0,00;0,00;0,00;-0,17;0,00;0,00;289;162;75;49;23;792;965
11;58,01;193,13;0,00;0,00;0,00;0,19;0,00;0,00;472;147;16;39;17;990;977
12;59,28;119,33;0,00;0,00;0,00;0,12;0,00;0,00;263;163;12;32;20;981;795
13;62,01;180,23;0,00;0,00;0,00;0,18;0,00;0,00;128;155;83;41;34;989;624
14;25,92;-154,75;0,00;0,00;0,00;-0,15;0,00;0,00;452;106;68;38;32;895;407
15;48,01;-35,33;0,00;0,00;0,00;-0,04;0,00;0,00;472;60;66;13;17;714;950
16;41,48;-39,58;0,00;0,00;0,00;-0,04;0,00;0,00;158;54;194;17;33;918;987
17;26,47;-183,26;0,00;0,00;0,00;-0,18;0,00;0,00;442;163;189;39;24;224;123
18;74,40;226,73;0,00;0,00;0,00;0,23;0,00;0,00;300;185;191;43;35;479;850
19;38,95;-198,97;0,00;0,00;0,00;-0,20;0,00;0,00;363;98;136;42;22;363;920
20;54,58;-15,40;0,00;0,00;0,00;-0,02;0,00;0,00;377;180;107;18;28;396;447
21;70,14;178,08;0,00;0,00;0,00;0,18;0,00;0,00;460;126;129;21;29;516;637
22;39,39;-98,33;0,00;0,00;0,00;-0,10;0,00;0,00;166;144;143;20;37;697;951
23;50,20;97,25;0,00;0,00;0,00;0,10;0,00;0,00;138;92;92;20;18;928;737
24;52,18;47,91;0,00;0,00;0,00;0,05;0,00;0,00;381;104;134;16;16;852;290
25;43,26;-43,22;0,00;0,00;0,00;-0,04;0,00;0,00;473;92;50;10;16;165;272
26;49,17;-71,45;0,00;0,00;0,00;-0,07;0,00;0,00;113;184;129;33;26;453;452
27;33,45;-166,89;0,00;0,00;0,00;-0,17;0,00;0,00;276;115;191;33;18;986;307
28;48,71;-16,76;0,00;0,00;0,00;-0,02;0,00;0,00;151;13;154;11;23;747;162
29;57,40;74,99;0,00;0,00;0,00;0,07;0,00;0,00;389;87;172;33;20;582;343
30;44,19;21,24;0,00;0,00;0,00;0,02;0,00;0,00;285;72;193;41;23;350;790
31;50,91;70,67;0,00;0,00;0,00;0,07;0,00;0,00;123;78;143;33;15;199;988
32;35,43;-119,40;0,00;0,00;0,00;-0,12;0,00;0,00;125;147;45;42;34;781;432
33;43,26;-57,67;0,00;0,00;0,00;-0,06;0,00;0,00;482;52;77;31;37;222;215
34;48,41;-34,12;0,00;0,00;0,00;-0,03;0,00;0,00;480;112;198;13;24;547;233
35;41,92;-112,33;0,00;0,00;0,00;-0,11;0,00;0,00;164;165;184;14;32;307;808
36;59,33;124,28;0,00;0,00;0,00;0,12;0,00;0,00;436;71;115;30;17;384;888
37;39,78;-80,21;0,00;0,00;0,00;-0,08;0,00;0,00;437;180;129;38;34;661;192
38;55,86;25,70;0,00;0,00;0,00;0,03;0,00;0,00;244;154;119;21;23;995;955
39;100,00;541,77;0,00;0,00;0,00;0,54;0,00;0,00;36;146;46;45;20;260;861
40;53,34;14,39;0,00;0,00;0,00;0,01;0,00;0,00;258;27;199;48;34;789;634
41;49,63;-24,76;0,00;0,00;0,00;-0,02;0,00;0,00;299;32;40;28;29;230;716
42;42,27;-174,68;0,00;0,00;0,00;-0,17;0,00;0,00;248;14;54;11;18;381;314
43;42,83;51,05;0,00;0,00;0,00;0,05;0,00;0,00;265;181;194;23;28;950;468
44;61,27;91,44;0,00;0,00;0,00;0,09;0,00;0,00;420;47;187;32;33;846;657
45;39,52;-137,25;0,00;0,00;0,00;-0,14;0,00;0,00;112;64;151;44;27;529;191
