Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;46,86;-204,91;0,00;0,00;0,00;-0,20;0,00;0,00;266;37;181;24;16;525;131
2;61,87;-65,89;0,00;0,00;0,00;-0,07;0,00;0,00;99;159;111;20;39;645;272
3;18,48;-421,70;0,00;0,00;0,00;-0,42;0,00;0,00;197;162;185;13;24;818;483
4;16,05;-577,69;0,00;0,00;0,00;-0,58;0,00;0,00;92;145;113;48;34;622;693
5;46,80;-221,31;0,00;0,00;0,00;-0,22;0,00;0,00;361;163;62;40;28;417;198
6;52,49;-243,72;0,00;0,00;0,00;-0,24;0,00;0,00;348;181;130;32;17;879;183
7;100,00;255,94;0,00;0,00;0,00;0,26;0,00;0,00;154;42;135;13;34;797;138
8;76,30;-42,35;0,00;0,00;0,00;-0,04;0,00;0,00;37;28;133;46;30;332;408
9;59,97;4,75;0,00;0,00;0,00;0,00;0,00;0,00;262;46;151;31;17;685;424
10;39,80;-257,26;0,00;0,00;0,00;-0,26;0,00;0,00;324;134;107;12;22;854;332
11;3,59;-609,71;0,00;0,00;0,00;-0,61;0,00;0,00;395;28;89;33;39;423;165
12;50,06;-223,01;0,00;0,00;0,00;-0,22;0,00;0,00;384;151;13;15;35;124;871
13;57,08;-165,68;0,00;0,00;0,00;-0,17;0,00;0,00;87;85;136;39;20;821;397
14;51,68;-119,99;0,00;0,00;0,00;-0,12;0,00;0,00;287;89;157;26;24;384;380
15;61,13;-77,94;0,00;0,00;0,00;-0,08;0,00;0,00;347;13;190;48;15;385;548
16;34,82;-290,03;0,00;0,00;0,00;-0,29;0,00;0,00;134;113;156;48;31;796;179
17;71,35;50,35;0,00;0,00;0,00;0,05;0,00;0,00;257;103;95;35;27;895;794
18;42,28;-354,30;0,00;0,00;0,00;-0,35;0,00;0,00;181;150;128;29;20;701;788
19;100,00;372,26;0,00;0,00;0,00;0,37;0,00;0,00;193;58;73;47;31;518;225
20;59,96;-127,84;0,00;0,00;0,00;-0,13;0,00;0,00;215;121;61;29;16;750;171
21;81,09;149,82;0,00;0,00;0,00;0,15;0,00;0,00;126;153;67;17;18;324;153
22;29,68;-427,06;0,00;0,00;0,00;-0,43;0,00;0,00;472;186;146;30;21;507;893
23;88,05;185,30;0,00;0,00;0,00;0,19;0,00;0,00;275;100;151;39;23;163;787
24;63,87;-107,36;0,00;0,00;0,00;-0,11;0,00;0,00;155;96;36;44;23;764;474
25;61,43;-34,17;0,00;0,00;0,00;-0,03;0,00;0,00;322;34;103;23;36;639;826
26;62,15;-115,86;0,00;0,00;0,00;-0,12;0,00;0,00;369;134;14;25;34;549;328
27;38,87;-400,78;0,00;0,00;0,00;-0,40;0,00;0,00;105;30;142;37;26;513;541
28;68,84;-1,93;0,00;0,00;0,00;-0,00;0,00;0,00;25;98;65;13;29;166;425
29;40,14;-333,31;0,00;0,00;0,00;-0,33;0,00;0,00;191;63;194;26;29;554;716
30;29,40;-421,24;0,00;0,00;0,00;-0,42;0,00;0,00;325;57;167;47;29;269;648
31;85,81;141,79;0,00;0,00;0,00;0,14;0,00;0,00;296;40;79;39;27;633;109
32;35,72;-341,19;0,00;0,00;0,00;-0,34;0,00;0,00;77;197;26;18;21;235;974
33;84,19;85,97;0,00;0,00;0,00;0,09;0,00;0,00;214;135;143;17;34;868;582
34;60,88;-72,86;0,00;0,00;0,00;-0,07;0,00;0,00;36;70;39;43;39;347;851
35;22,17;-418,98;0,00;0,00;0,00;-0,42;0,00;0,00;426;95;45;15;17;737;418
36;42,89;-298,02;0,00;0,00;0,00;-0,30;0,00;0,00;311;80;116;22;23;817;422
37;40,59;-321,71;0,00;0,00;0,00;-0,32;0,00;0,00;311;117;173;23;37;718;703
38;52,39;-113,90;0,00;0,00;0,00;-0,11;0,00;0,00;345;129;108;15;16;411;662
39;61,07;-21,87;0,00;0,00;0,00;-0,02;0,00;0,00;128;182;108;30;31;429;198
40;6,71;-520,05;0,00;0,00;0,00;-0,52;0,00;0,00;44;81;154;21;21;781;998
41;74,47;24,43;0,00;0,00;0,00;0,02;0,00;0,00;179;57;18;17;37;632;515
42;0,00;-644,38;0,00;0,00;0,00;-0,64;0,00;0,00;289;119;36;26;34;798;594
